sw2578B-ms98-a-0002,10.335125,10.625125,not,B,ng,u-2-1
sw2578B-ms98-a-0024,180.332125,180.462125,and,B,sv,u-34-1
sw2578B-ms98-a-0024,180.462125,180.592125,yet,I,sv,u-34-1
sw2578B-ms98-a-0024,180.592125,180.682125,there,I,sv,u-34-1
sw2578B-ms98-a-0024,180.682125,180.742125,are,I,sv,u-34-1
sw2578B-ms98-a-0024,180.742125,180.972125,so,I,sv,u-34-1
sw2578B-ms98-a-0024,180.972125,181.292125,many,I,sv,u-34-1
sw2578B-ms98-a-0024,181.292125,181.432125,out,I,sv,u-34-1
sw2578B-ms98-a-0024,181.502125,181.808750,there,I,sv,u-34-1
sw2578B-ms98-a-0025,182.611750,183.061750,that,I,sv,u-34-1
sw2578B-ms98-a-0025,183.061750,183.561750,uh,I,sv,u-34-1
sw2578B-ms98-a-0026,184.821250,185.071250,that,I,sv,u-34-1
sw2578B-ms98-a-0026,185.071250,185.291250,you,I,sv,u-34-1
sw2578B-ms98-a-0026,185.371250,185.481250,you,I,sv,u-34-1
sw2578B-ms98-a-0026,185.481250,185.561250,know,I,sv,u-34-1
sw2578B-ms98-a-0026,185.561250,185.701250,you,I,sv,u-34-1
sw2578B-ms98-a-0026,185.701250,185.951250,never,I,sv,u-34-1
sw2578B-ms98-a-0026,185.951250,186.081250,get,I,sv,u-34-1
sw2578B-ms98-a-0026,186.081250,186.131250,a,I,sv,u-34-1
sw2578B-ms98-a-0026,186.131250,186.421250,chance,I,sv,u-34-1
sw2578B-ms98-a-0026,186.421250,186.581250,to,I,sv,u-34-1
sw2578B-ms98-a-0026,186.581250,186.815375,read,I,sv,u-34-1
sw2578B-ms98-a-0026,186.815375,187.026375,and,B,%,u-34-2
sw2578B-ms98-a-0026,187.026375,187.101250,so,I,%,u-34-2
sw2578B-ms98-a-0026,187.101250,187.241625,i,I,%,u-34-2
sw2578B-ms98-a-0026,187.241625,187.441250,said,I,%,u-34-2
sw2578B-ms98-a-0026,187.441250,187.673000,well,B,sd,u-34-3
sw2578B-ms98-a-0026,188.351000,188.444125,i,I,sd,u-34-3
sw2578B-ms98-a-0026,188.444125,188.571250,think,I,sd,u-34-3
sw2578B-ms98-a-0026,188.571250,188.631250,it,I,sd,u-34-3
sw2578B-ms98-a-0026,188.631250,188.761250,was,I,sd,u-34-3
sw2578B-ms98-a-0026,188.761250,188.991250,because,I,sd,u-34-3
sw2578B-ms98-a-0026,188.991250,189.139750,i,I,sd,u-34-3
sw2578B-ms98-a-0026,189.139750,189.546625,read,I,sd,u-34-3
sw2578B-ms98-a-0026,189.546625,189.881250,um,I,sd,u-34-3
sw2578B-ms98-a-0026,190.051250,190.762125,Dickens',I,sd,u-34-3
sw2578B-ms98-a-0026,190.865500,190.955875,A,I,sd,u-34-3
sw2578B-ms98-a-0026,190.955875,191.171250,Tale,I,sd,u-34-3
sw2578B-ms98-a-0026,191.171250,191.241250,of,I,sd,u-34-3
sw2578B-ms98-a-0026,191.241250,191.401250,Two,I,sd,u-34-3
sw2578B-ms98-a-0026,191.401250,191.869750,Cities,I,sd,u-34-3
sw2578B-ms98-a-0026,192.338500,192.471500,and,B,sd,u-36-1
sw2578B-ms98-a-0026,192.471500,192.622125,i,I,sd,u-36-1
sw2578B-ms98-a-0026,192.622125,192.821250,just,I,sd,u-36-1
sw2578B-ms98-a-0027,192.967000,193.227000,i,I,sd,u-36-1
sw2578B-ms98-a-0027,193.227000,193.546375,mean,I,sd,u-36-1
sw2578B-ms98-a-0027,193.647750,193.827000,that,I,sd,u-36-1
sw2578B-ms98-a-0027,193.827000,193.967000,even,I,sd,u-36-1
sw2578B-ms98-a-0027,193.967000,194.077000,when,I,sd,u-36-1
sw2578B-ms98-a-0027,194.077000,194.147000,i,I,sd,u-36-1
sw2578B-ms98-a-0027,194.147000,194.327000,read,I,sd,u-36-1
sw2578B-ms98-a-0027,194.327000,194.457000,it,I,sd,u-36-1
sw2578B-ms98-a-0027,194.457000,194.887000,now,I,sd,u-36-1
sw2578B-ms98-a-0027,194.887000,194.957000,it,I,sd,u-36-1
sw2578B-ms98-a-0027,194.957000,195.217000,still,I,sd,u-36-1
sw2578B-ms98-a-0027,195.217000,195.447000,makes,I,sd,u-36-1
sw2578B-ms98-a-0027,195.447000,195.527000,me,I,sd,u-36-1
sw2578B-ms98-a-0027,195.527000,195.937000,cry,I,sd,u-36-1
sw2578B-ms98-a-0027,195.937000,196.007000,the,I,sd,u-36-1
sw2578B-ms98-a-0027,196.007000,196.377000,ending,I,sd,u-36-1
sw2578B-ms98-a-0027,196.377000,196.477000,of,I,sd,u-36-1
sw2578B-ms98-a-0027,196.477000,196.741750,it,I,sd,u-36-1
sw2578B-ms98-a-0027,197.235125,197.378250,and,B,sd,u-38-1
sw2578B-ms98-a-0027,197.378250,197.477000,i,I,sd,u-38-1
sw2578B-ms98-a-0027,197.477000,197.780250,couldn't,I,sd,u-38-1
sw2578B-ms98-a-0027,197.780250,198.270000,believe,I,sd,u-38-1
sw2578B-ms98-a-0027,198.270000,198.461250,i,I,sd,u-38-1
sw2578B-ms98-a-0027,198.461250,198.619500,i,I,sd,u-38-1
sw2578B-ms98-a-0027,198.619500,198.767000,could,I,sd,u-38-1
sw2578B-ms98-a-0027,198.767000,198.947000,not,I,sd,u-38-1
sw2578B-ms98-a-0027,198.947000,199.317000,believe,I,sd,u-38-1
sw2578B-ms98-a-0027,199.317000,199.527000,that,I,sd,u-38-1
sw2578B-ms98-a-0027,199.527000,199.617000,it,I,sd,u-38-1
sw2578B-ms98-a-0027,199.617000,199.797000,took,I,sd,u-38-1
sw2578B-ms98-a-0027,199.797000,199.927000,me,I,sd,u-38-1
sw2578B-ms98-a-0027,199.927000,200.277000,so,I,sd,u-38-1
sw2578B-ms98-a-0027,200.277000,200.717000,long,I,sd,u-38-1
sw2578B-ms98-a-0027,200.717000,200.867000,to,I,sd,u-38-1
sw2578B-ms98-a-0027,200.867000,201.087000,read,I,sd,u-38-1
sw2578B-ms98-a-0027,201.087000,201.287000,such,I,sd,u-38-1
sw2578B-ms98-a-0027,201.287000,201.367000,a,I,sd,u-38-1
sw2578B-ms98-a-0027,201.367000,201.587000,good,I,sd,u-38-1
sw2578B-ms98-a-0027,201.587000,201.997000,book,I,sd,u-38-1
sw2578B-ms98-a-0027,201.997000,202.177000,i'd,B,sd,u-40-1
sw2578B-ms98-a-0027,202.177000,202.367000,read,I,sd,u-40-1
sw2578B-ms98-a-0027,202.367000,202.597000,some,I,sd,u-40-1
sw2578B-ms98-a-0027,202.597000,202.987000,Dickens,I,sd,u-40-1
sw2578B-ms98-a-0027,202.987000,203.357000,before,I,sd,u-40-1
sw2578B-ms98-a-0027,203.357000,203.497000,but,B,sd,u-40-2
sw2578B-ms98-a-0027,203.497000,203.557000,i,I,sd,u-40-2
sw2578B-ms98-a-0027,203.557000,203.777000,hadn't,I,sd,u-40-2
sw2578B-ms98-a-0027,203.777000,203.927000,read,I,sd,u-40-2
sw2578B-ms98-a-0027,203.927000,204.127000,that,I,sd,u-40-2
sw2578B-ms98-a-0027,204.127000,204.259500,one,I,sd,u-40-2
sw2578B-ms98-a-0027,204.259500,204.406375,and,B,sd(^q),u-40-3
sw2578B-ms98-a-0027,204.406375,204.535000,i,I,sd(^q),u-40-3
sw2578B-ms98-a-0027,205.084875,205.223500,i,I,sd(^q),u-40-3
sw2578B-ms98-a-0027,205.223500,205.407000,was,I,sd(^q),u-40-3
sw2578B-ms98-a-0027,205.407000,205.627000,like,I,sd(^q),u-40-3
sw2578B-ms98-a-0027,206.197000,206.287000,i,I,sd(^q),u-40-3
sw2578B-ms98-a-0027,206.287000,206.497000,thought,I,sd(^q),u-40-3
sw2578B-ms98-a-0027,206.497000,206.567000,to,I,sd(^q),u-40-3
sw2578B-ms98-a-0027,206.567000,207.267750,myself,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,208.000000,208.140000,you,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,208.140000,208.280000,know,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,208.280000,208.540000,what,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,208.540000,208.800000,other,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,208.800000,209.150000,things,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,209.150000,209.270000,are,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,209.270000,209.620000,out,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,209.620000,209.980000,there,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,209.980000,210.150000,that,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,210.150000,210.268875,are,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,210.494875,210.630000,that,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,210.630000,210.690000,are,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,210.690000,211.619875,classics,I,sd(^q),u-40-3
sw2578B-ms98-a-0028,211.778125,211.932875,you,B,+,u-42-1
sw2578B-ms98-a-0028,211.932875,212.170000,know,I,+,u-42-1
sw2578B-ms98-a-0028,212.170000,212.350000,that,I,+,u-42-1
sw2578B-ms98-a-0028,212.350000,212.510000,have,I,+,u-42-1
sw2578B-ms98-a-0028,212.510000,212.870000,withstood,I,+,u-42-1
sw2578B-ms98-a-0028,212.870000,213.200000,time,I,+,u-42-1
sw2578B-ms98-a-0028,213.200000,213.290000,and,I,+,u-42-1
sw2578B-ms98-a-0028,213.290000,213.400000,that,I,+,u-42-1
sw2578B-ms98-a-0028,213.400000,213.620000,are,I,+,u-42-1
sw2578B-ms98-a-0028,213.620000,214.173250,just,I,+,u-42-1
sw2578B-ms98-a-0028,214.173250,214.780000,excellent,I,+,u-42-1
sw2578B-ms98-a-0028,214.780000,215.371875,something's,B,sv,u-42-2
sw2578B-ms98-a-0028,215.492375,215.930000,excellent,I,sv,u-42-2
sw2578B-ms98-a-0028,215.930000,216.250000,about,I,sv,u-42-2
sw2578B-ms98-a-0028,216.250000,216.500000,them,I,sv,u-42-2
sw2578B-ms98-a-0029,216.698875,217.008875,whether,I,sv,u-42-2
sw2578B-ms98-a-0029,217.008875,217.198875,it's,I,sv,u-42-2
sw2578B-ms98-a-0029,217.198875,217.278875,the,I,sv,u-42-2
sw2578B-ms98-a-0029,217.278875,217.428875,way,I,sv,u-42-2
sw2578B-ms98-a-0029,217.428875,217.528875,they,I,sv,u-42-2
sw2578B-ms98-a-0029,217.528875,217.648875,were,I,sv,u-42-2
sw2578B-ms98-a-0029,217.648875,217.928875,written,I,sv,u-42-2
sw2578B-ms98-a-0029,217.928875,218.149875,or,I,sv,u-42-2
sw2578B-ms98-a-0029,218.571625,218.798875,whether,I,sv,u-42-2
sw2578B-ms98-a-0029,218.798875,218.888875,it,I,sv,u-42-2
sw2578B-ms98-a-0029,218.888875,219.038875,was,I,sv,u-42-2
sw2578B-ms98-a-0029,219.038875,219.118875,the,I,sv,u-42-2
sw2578B-ms98-a-0029,219.118875,219.608875,material,I,sv,u-42-2
sw2578B-ms98-a-0029,219.608875,219.748875,they,I,sv,u-42-2
sw2578B-ms98-a-0029,219.748875,219.858875,were,I,sv,u-42-2
sw2578B-ms98-a-0029,219.858875,220.198875,written,I,sv,u-42-2
sw2578B-ms98-a-0029,220.298875,220.378875,you,I,sv,u-42-2
sw2578B-ms98-a-0029,220.378875,220.498875,know,I,sv,u-42-2
sw2578B-ms98-a-0029,220.498875,220.678875,that,I,sv,u-42-2
sw2578B-ms98-a-0029,220.768875,220.938875,was,I,sv,u-42-2
sw2578B-ms98-a-0029,220.938875,221.188875,written,I,sv,u-42-2
sw2578B-ms98-a-0029,221.188875,221.638875,about,I,sv,u-42-2
sw2578B-ms98-a-0029,222.188875,222.628875,and,B,sd,u-42-3
sw2578B-ms98-a-0029,222.628875,222.964125,um,I,sd,u-42-3
sw2578B-ms98-a-0030,224.204375,224.464375,so,I,sd,u-42-3
sw2578B-ms98-a-0030,224.464375,224.564375,i,I,sd,u-42-3
sw2578B-ms98-a-0030,224.564375,225.014375,started,I,sd,u-42-3
sw2578B-ms98-a-0030,225.014375,225.354375,reading,I,sd,u-42-3
sw2578B-ms98-a-0030,225.354375,225.434375,i,B,sd,u-42-4
sw2578B-ms98-a-0030,225.434375,225.664375,had,I,sd,u-42-4
sw2578B-ms98-a-0030,225.664375,225.904375,this,I,sd,u-42-4
sw2578B-ms98-a-0030,225.964375,226.212250,like,I,sd,u-42-4
sw2578B-ms98-a-0030,226.339375,226.454375,you,I,sd,u-42-4
sw2578B-ms98-a-0030,226.454375,226.634375,know,I,sd,u-42-4
sw2578B-ms98-a-0031,227.230500,227.318375,i,I,sd,u-42-4
sw2578B-ms98-a-0031,227.318375,227.460500,had,I,sd,u-42-4
sw2578B-ms98-a-0031,227.460500,227.520500,a,I,sd,u-42-4
sw2578B-ms98-a-0031,227.520500,228.020500,binge,I,sd,u-42-4
sw2578B-ms98-a-0031,228.020500,228.215875,of,I,sd,u-42-4
sw2578B-ms98-a-0031,228.215875,229.228000,[laughter],O,,
sw2578B-ms98-a-0031,229.228000,229.420500,but,O,,
sw2578B-ms98-a-0031,229.420500,229.638375,my,B,%,u-42-5
sw2578B-ms98-a-0031,229.638375,230.095000,mother,I,%,u-42-5
sw2578B-ms98-a-0031,230.584625,230.740500,uh,I,%,u-42-5
sw2578B-ms98-a-0031,230.740500,230.970500,i,B,sd,u-42-6
sw2578B-ms98-a-0031,230.970500,231.180500,was,I,sd,u-42-6
sw2578B-ms98-a-0031,231.180500,231.430500,living,I,sd,u-42-6
sw2578B-ms98-a-0031,231.430500,231.540500,in,I,sd,u-42-6
sw2578B-ms98-a-0031,231.540500,231.960500,Bermuda,I,sd,u-42-6
sw2578B-ms98-a-0031,231.960500,232.100500,at,I,sd,u-42-6
sw2578B-ms98-a-0031,232.100500,232.160500,the,I,sd,u-42-6
sw2578B-ms98-a-0031,232.160500,232.420500,time,I,sd,u-42-6
sw2578B-ms98-a-0031,232.420500,232.550500,with,I,sd,u-42-6
sw2578B-ms98-a-0031,232.550500,232.670500,my,I,sd,u-42-6
sw2578B-ms98-a-0031,232.670500,233.110500,husband,I,sd,u-42-6
sw2578B-ms98-a-0031,233.110500,233.350500,but,B,sd,u-42-7
sw2578B-ms98-a-0031,233.350500,233.700500,my,I,sd,u-42-7
sw2578B-ms98-a-0031,233.700500,233.840500,uh,I,sd,u-42-7
sw2578B-ms98-a-0031,233.840500,234.325250,mother,I,sd,u-42-7
sw2578B-ms98-a-0031,234.664250,235.040500,sent,I,sd,u-42-7
sw2578B-ms98-a-0031,235.040500,235.360500,me,I,sd,u-42-7
sw2578B-ms98-a-0031,235.460500,235.540500,you,I,sd,u-42-7
sw2578B-ms98-a-0031,235.540500,235.720500,know,I,sd,u-42-7
sw2578B-ms98-a-0031,235.720500,236.120500,like,I,sd,u-42-7
sw2578B-ms98-a-0031,236.120500,236.650500,bookl[et]-,I,sd,u-42-7
sw2578B-ms98-a-0031,236.650500,236.810500,you,I,sd,u-42-7
sw2578B-ms98-a-0031,236.810500,237.130500,know,I,sd,u-42-7
sw2578B-ms98-a-0031,237.130500,237.554750,uh,I,sd,u-42-7
sw2578B-ms98-a-0031,238.308000,238.780500,boxes,I,sd,u-42-7
sw2578B-ms98-a-0031,238.780500,238.960500,full,I,sd,u-42-7
sw2578B-ms98-a-0031,238.960500,239.080500,of,I,sd,u-42-7
sw2578B-ms98-a-0031,239.080500,239.440500,different,I,sd,u-42-7
sw2578B-ms98-a-0031,239.440500,239.962250,books,I,sd,u-42-7
sw2578B-ms98-a-0032,240.574625,240.944625,and,B,sd,u-44-1
sw2578B-ms98-a-0032,240.944625,241.084625,uh,I,sd,u-44-1
sw2578B-ms98-a-0032,241.204625,241.344625,she,I,sd,u-44-1
sw2578B-ms98-a-0032,241.344625,241.574625,just,I,sd,u-44-1
sw2578B-ms98-a-0032,241.574625,241.704625,would,I,sd,u-44-1
sw2578B-ms98-a-0032,241.704625,241.844625,get,I,sd,u-44-1
sw2578B-ms98-a-0032,241.844625,242.014625,them,I,sd,u-44-1
sw2578B-ms98-a-0032,242.014625,242.184625,real,I,sd,u-44-1
sw2578B-ms98-a-0032,242.184625,242.544625,cheap,I,sd,u-44-1
sw2578B-ms98-a-0032,242.544625,242.704625,and,I,sd,u-44-1
sw2578B-ms98-a-0032,242.704625,242.974625,stuff,I,sd,u-44-1
sw2578B-ms98-a-0032,242.974625,243.154625,and,I,sd,u-44-1
sw2578B-ms98-a-0032,243.154625,243.344625,send,I,sd,u-44-1
sw2578B-ms98-a-0032,243.344625,243.484625,them,I,sd,u-44-1
sw2578B-ms98-a-0032,243.484625,243.784625,over,I,sd,u-44-1
sw2578B-ms98-a-0032,243.784625,243.964625,but,B,%,u-44-2
sw2578B-ms98-a-0032,243.964625,244.314625,she,I,%,u-44-2
sw2578B-ms98-a-0032,244.314625,244.644625,she,I,%,u-44-2
sw2578B-ms98-a-0032,244.644625,244.844625,is,I,%,u-44-2
sw2578B-ms98-a-0032,244.844625,245.094625,quite,I,%,u-44-2
sw2578B-ms98-a-0032,245.094625,245.454625,familiar,I,%,u-44-2
sw2578B-ms98-a-0032,245.454625,245.658125,with,I,%,u-44-2
sw2578B-ms98-a-0033,246.558875,246.673750,i,I,%,u-44-2
sw2578B-ms98-a-0033,246.673750,246.848875,guess,I,%,u-44-2
sw2578B-ms98-a-0033,246.848875,247.408875,because,I,%,u-44-2
sw2578B-ms98-a-0033,247.408875,247.588875,it,B,sv,u-44-3
sw2578B-ms98-a-0033,247.588875,247.779250,seems,I,sv,u-44-3
sw2578B-ms98-a-0033,247.779250,248.005250,like,I,sv,u-44-3
sw2578B-ms98-a-0033,248.005250,248.207750,uh,I,sv,u-44-3
sw2578B-ms98-a-0033,248.430000,248.718875,older,I,sv,u-44-3
sw2578B-ms98-a-0033,248.718875,249.088875,people,I,sv,u-44-3
sw2578B-ms98-a-0033,249.088875,249.378875,have,I,sv,u-44-3
sw2578B-ms98-a-0033,249.468875,249.768875,much,I,sv,u-44-3
sw2578B-ms98-a-0033,249.768875,250.198875,better,I,sv,u-44-3
sw2578B-ms98-a-0034,251.474875,251.995125,um,I,sv,u-44-3
sw2578B-ms98-a-0035,253.091625,253.201625,in,B,sv,u-44-4
sw2578B-ms98-a-0035,253.201625,253.341625,their,I,sv,u-44-4
sw2578B-ms98-a-0035,253.341625,253.911625,schooling,I,sv,u-44-4
sw2578B-ms98-a-0035,253.911625,254.111625,they,I,sv,u-44-4
sw2578B-ms98-a-0035,254.111625,254.311625,they,I,sv,u-44-4
sw2578B-ms98-a-0035,254.311625,254.551625,got,I,sv,u-44-4
sw2578B-ms98-a-0035,254.551625,254.741625,more,I,sv,u-44-4
sw2578B-ms98-a-0035,254.741625,254.821625,of,I,sv,u-44-4
sw2578B-ms98-a-0035,254.821625,254.881625,the,I,sv,u-44-4
sw2578B-ms98-a-0035,254.881625,255.521625,classics,I,sv,u-44-4
sw2578B-ms98-a-0035,255.521625,255.771625,than,I,sv,u-44-4
sw2578B-ms98-a-0035,255.771625,255.861625,i,I,sv,u-44-4
sw2578B-ms98-a-0035,255.861625,256.211625,did,I,sv,u-44-4
sw2578B-ms98-a-0035,256.431625,256.541625,you,B,+,u-46-1
sw2578B-ms98-a-0035,256.541625,256.857250,know,I,+,u-46-1
sw2578B-ms98-a-0035,257.128375,257.271625,and,B,sd,u-46-2
sw2578B-ms98-a-0035,257.271625,257.451625,she,I,sd,u-46-2
sw2578B-ms98-a-0035,257.451625,257.821625,knows,I,sd,u-46-2
sw2578B-ms98-a-0035,257.821625,257.971625,so,I,sd,u-46-2
sw2578B-ms98-a-0035,257.971625,258.281625,much,I,sd,u-46-2
sw2578B-ms98-a-0035,258.281625,258.591625,more,I,sd,u-46-2
sw2578B-ms98-a-0035,258.591625,258.671625,of,I,sd,u-46-2
sw2578B-ms98-a-0035,258.671625,258.821625,them,I,sd,u-46-2
sw2578B-ms98-a-0035,258.821625,258.961625,than,I,sd,u-46-2
sw2578B-ms98-a-0035,258.961625,259.181625,i,I,sd,u-46-2
sw2578B-ms98-a-0035,259.181625,259.371625,do,I,sd,u-46-2
sw2578B-ms98-a-0035,259.371625,259.421625,i,B,sd,u-46-3
sw2578B-ms98-a-0035,259.421625,259.651625,wouldn't,I,sd,u-46-3
sw2578B-ms98-a-0035,259.651625,259.851625,even,I,sd,u-46-3
sw2578B-ms98-a-0035,259.851625,260.201625,know,I,sd,u-46-3
sw2578B-ms98-a-0035,260.201625,260.291625,you,I,sd,u-46-3
sw2578B-ms98-a-0035,260.291625,260.421625,know,I,sd,u-46-3
sw2578B-ms98-a-0035,260.421625,260.561625,to,I,sd,u-46-3
sw2578B-ms98-a-0035,260.561625,260.711625,go,I,sd,u-46-3
sw2578B-ms98-a-0035,260.711625,260.941625,look,I,sd,u-46-3
sw2578B-ms98-a-0035,260.941625,261.061625,for,I,sd,u-46-3
sw2578B-ms98-a-0035,261.061625,261.301625,that,I,sd,u-46-3
sw2578B-ms98-a-0035,261.301625,261.711625,author,I,sd,u-46-3
sw2578B-ms98-a-0035,261.711625,261.821625,or,I,sd,u-46-3
sw2578B-ms98-a-0035,261.821625,262.041625,that,I,sd,u-46-3
sw2578B-ms98-a-0035,262.041625,262.601625,book,I,sd,u-46-3
sw2578B-ms98-a-0036,263.551250,263.951250,yeah,O,,
sw2578B-ms98-a-0036,264.051250,264.491250,so,O,,
sw2578B-ms98-a-0038,283.333500,283.817875,um-hum,O,,
sw2578B-ms98-a-0040,292.682250,292.976125,uh-hum,O,,
sw2578B-ms98-a-0040,293.166500,293.353500,[vocalized-noise],O,,
sw2578B-ms98-a-0040,293.353500,293.713250,probably,B,sv,u-50-1
sw2578B-ms98-a-0040,293.713250,293.793250,you,I,sv,u-50-1
sw2578B-ms98-a-0040,293.793250,293.953250,read,I,sv,u-50-1
sw2578B-ms98-a-0040,293.953250,294.003250,a,I,sv,u-50-1
sw2578B-ms98-a-0040,294.003250,294.243250,book,I,sv,u-50-1
sw2578B-ms98-a-0040,294.243250,294.663250,review,I,sv,u-50-1
sw2578B-ms98-a-0040,294.663250,294.783250,or,I,sv,u-50-1
sw2578B-ms98-a-0040,294.783250,295.190750,something,I,sv,u-50-1
sw2578B-ms98-a-0040,295.526000,295.715375,some,O,,
sw2578B-ms98-a-0040,295.715375,295.813250,kind,O,,
sw2578B-ms98-a-0040,295.813250,295.923250,of,O,,
sw2578B-ms98-a-0040,295.923250,296.293250,review,B,sv,u-52-1
sw2578B-ms98-a-0040,296.293250,296.503250,on,I,sv,u-52-1
sw2578B-ms98-a-0040,296.503250,296.593250,it,I,sv,u-52-1
sw2578B-ms98-a-0042,308.932750,309.338000,um-hum,B,b,u-54-1
sw2578B-ms98-a-0044,316.023000,316.612750,um-hum,O,,
sw2578B-ms98-a-0046,333.842250,334.452250,yeah,O,,
sw2578B-ms98-a-0046,334.622250,334.962250,yeah,B,b,u-56-1
sw2578B-ms98-a-0048,367.686625,368.026625,yeah,B,b,u-58-1
sw2578B-ms98-a-0049,368.878750,369.178750,well,B,sd,u-60-1
sw2578B-ms98-a-0049,369.178750,369.338750,what,I,sd,u-60-1
sw2578B-ms98-a-0049,369.338750,369.478750,i,I,sd,u-60-1
sw2578B-ms98-a-0049,369.478750,369.658750,do,I,sd,u-60-1
sw2578B-ms98-a-0049,369.658750,369.748750,is,I,sd,u-60-1
sw2578B-ms98-a-0049,369.748750,369.828750,i,I,sd,u-60-1
sw2578B-ms98-a-0049,369.828750,370.198750,usually,I,sd,u-60-1
sw2578B-ms98-a-0049,370.198750,370.338750,have,I,sd,u-60-1
sw2578B-ms98-a-0049,370.338750,370.568750,two,I,sd,u-60-1
sw2578B-ms98-a-0049,370.568750,370.858750,books,I,sd,u-60-1
sw2578B-ms98-a-0049,370.858750,370.958750,at,I,sd,u-60-1
sw2578B-ms98-a-0049,370.958750,371.188750,one,I,sd,u-60-1
sw2578B-ms98-a-0049,371.188750,371.528750,time,I,sd,u-60-1
sw2578B-ms98-a-0049,371.528750,371.598750,i,B,sd,u-60-2
sw2578B-ms98-a-0049,371.598750,371.788750,have,I,sd,u-60-2
sw2578B-ms98-a-0049,371.788750,371.858750,a,I,sd,u-60-2
sw2578B-ms98-a-0049,371.858750,372.368750,classic,I,sd,u-60-2
sw2578B-ms98-a-0049,372.368750,372.528750,which,I,sd,u-60-2
sw2578B-ms98-a-0049,372.528750,372.568750,i,I,sd,u-60-2
sw2578B-ms98-a-0049,372.568750,372.698750,have,I,sd,u-60-2
sw2578B-ms98-a-0049,372.698750,372.828750,to,I,sd,u-60-2
sw2578B-ms98-a-0049,372.828750,373.158750,work,I,sd,u-60-2
sw2578B-ms98-a-0049,373.158750,373.409375,on,I,sd,u-60-2
sw2578B-ms98-a-0049,373.590125,374.238375,basically,I,sd,u-60-2
sw2578B-ms98-a-0049,374.780750,374.898750,you,B,+,u-62-1
sw2578B-ms98-a-0049,374.898750,375.068750,know,I,+,u-62-1
sw2578B-ms98-a-0049,375.068750,375.228750,what,I,+,u-62-1
sw2578B-ms98-a-0049,375.228750,375.451250,uh,I,+,u-62-1
sw2578B-ms98-a-0050,376.204750,376.354750,just,I,+,u-62-1
sw2578B-ms98-a-0050,376.354750,376.944750,depending,I,+,u-62-1
sw2578B-ms98-a-0050,376.944750,377.044750,well,B,sd,u-62-2
sw2578B-ms98-a-0050,377.044750,377.264750,some,I,sd,u-62-2
sw2578B-ms98-a-0050,377.264750,377.614750,authors,I,sd,u-62-2
sw2578B-ms98-a-0050,377.614750,377.674750,i,I,sd,u-62-2
sw2578B-ms98-a-0050,377.674750,377.844750,can,I,sd,u-62-2
sw2578B-ms98-a-0050,377.844750,378.134750,just,I,sd,u-62-2
sw2578B-ms98-a-0050,378.134750,378.254750,you,I,sd,u-62-2
sw2578B-ms98-a-0050,378.254750,378.404750,know,I,sd,u-62-2
sw2578B-ms98-a-0050,378.404750,378.884750,basically,I,sd,u-62-2
sw2578B-ms98-a-0050,378.884750,379.214750,drink,I,sd,u-62-2
sw2578B-ms98-a-0050,379.214750,379.534750,in,I,sd,u-62-2
sw2578B-ms98-a-0050,379.844750,379.963250,but,B,sd,u-64-1
sw2578B-ms98-a-0050,379.963250,380.324375,others,I,sd,u-64-1
sw2578B-ms98-a-0050,380.324375,380.625625,i,I,sd,u-64-1
sw2578B-ms98-a-0050,380.625625,380.784750,really,I,sd,u-64-1
sw2578B-ms98-a-0050,380.784750,380.934750,do,I,sd,u-64-1
sw2578B-ms98-a-0050,380.934750,381.094750,have,I,sd,u-64-1
sw2578B-ms98-a-0050,381.094750,381.294750,to,I,sd,u-64-1
sw2578B-ms98-a-0050,381.294750,381.684750,work,I,sd,u-64-1
sw2578B-ms98-a-0050,381.684750,381.874750,at,I,sd,u-64-1
sw2578B-ms98-a-0050,381.874750,382.074750,them,I,sd,u-64-1
sw2578B-ms98-a-0050,382.534750,382.724750,and,B,sd,u-64-2
sw2578B-ms98-a-0050,382.724750,383.014750,then,I,sd,u-64-2
sw2578B-ms98-a-0050,383.014750,383.404750,um,I,sd,u-64-2
sw2578B-ms98-a-0050,383.404750,383.795375,whether,I,sd,u-64-2
sw2578B-ms98-a-0050,383.795375,383.984750,you,I,sd,u-64-2
sw2578B-ms98-a-0050,383.984750,384.194750,know,I,sd,u-64-2
sw2578B-ms98-a-0050,384.194750,384.444750,they're,I,sd,u-64-2
sw2578B-ms98-a-0050,384.444750,384.484750,a,I,sd,u-64-2
sw2578B-ms98-a-0050,384.484750,385.004750,foreign,I,sd,u-64-2
sw2578B-ms98-a-0050,385.004750,385.414750,author,I,sd,u-64-2
sw2578B-ms98-a-0050,385.414750,385.774750,or,I,sd,u-64-2
