sw2340A-ms98-a-0002,1.360000,1.580000,hello,B,fp^m,u-2-1
sw2340A-ms98-a-0030,124.114125,124.424125,she's,I,sd,u-44-2
sw2340A-ms98-a-0030,124.424125,124.964125,perfectly,I,sd,u-44-2
sw2340A-ms98-a-0030,124.964125,125.453375,healthy,I,sd,u-44-2
sw2340A-ms98-a-0030,126.074875,126.601750,uh,B,b,u-46-1
sw2340A-ms98-a-0032,129.762125,130.162125,well,B,sd,u-48-1
sw2340A-ms98-a-0032,130.162125,130.452125,her,I,sd,u-48-1
sw2340A-ms98-a-0032,130.452125,130.892125,husband,I,sd,u-48-1
sw2340A-ms98-a-0032,130.892125,131.369000,died,I,sd,u-48-1
sw2340A-ms98-a-0032,131.451750,131.622125,they,B,sd,u-48-2
sw2340A-ms98-a-0032,131.622125,131.742125,were,I,sd,u-48-2
sw2340A-ms98-a-0032,131.742125,131.802125,in,I,sd,u-48-2
sw2340A-ms98-a-0032,131.802125,131.862125,the,I,sd,u-48-2
sw2340A-ms98-a-0032,131.862125,132.332125,military,I,sd,u-48-2
sw2340A-ms98-a-0032,132.332125,132.672125,together,I,sd,u-48-2
sw2340A-ms98-a-0032,132.672125,132.782125,and,B,sd,u-48-3
sw2340A-ms98-a-0032,132.782125,132.922125,she,I,sd,u-48-3
sw2340A-ms98-a-0032,132.922125,133.312125,just,I,sd,u-48-3
sw2340A-ms98-a-0032,133.312125,133.512125,did,I,sd,u-48-3
sw2340A-ms98-a-0032,133.512125,133.752125,not,I,sd,u-48-3
sw2340A-ms98-a-0032,133.752125,134.022125,want,I,sd,u-48-3
sw2340A-ms98-a-0032,134.022125,134.082125,to,I,sd,u-48-3
sw2340A-ms98-a-0032,134.082125,134.232125,take,I,sd,u-48-3
sw2340A-ms98-a-0032,134.232125,134.422125,care,I,sd,u-48-3
sw2340A-ms98-a-0032,134.422125,134.482125,of,I,sd,u-48-3
sw2340A-ms98-a-0032,134.482125,134.572125,the,I,sd,u-48-3
sw2340A-ms98-a-0032,134.572125,135.202125,house,I,sd,u-48-3
sw2340A-ms98-a-0033,135.947875,136.267875,and,B,sd,u-50-1
sw2340A-ms98-a-0033,136.267875,136.437875,she,I,sd,u-50-1
sw2340A-ms98-a-0033,136.437875,136.847875,visited,I,sd,u-50-1
sw2340A-ms98-a-0033,136.847875,136.907875,the,I,sd,u-50-1
sw2340A-ms98-a-0033,136.907875,137.247875,place,I,sd,u-50-1
sw2340A-ms98-a-0033,137.247875,137.357875,and,I,sd,u-50-1
sw2340A-ms98-a-0033,137.357875,137.467875,then,I,sd,u-50-1
sw2340A-ms98-a-0033,137.467875,137.667875,fell,I,sd,u-50-1
sw2340A-ms98-a-0033,137.667875,137.727875,in,I,sd,u-50-1
sw2340A-ms98-a-0033,137.727875,137.927875,love,I,sd,u-50-1
sw2340A-ms98-a-0033,137.927875,138.097875,with,I,sd,u-50-1
sw2340A-ms98-a-0033,138.097875,138.157875,it,I,sd,u-50-1
sw2340A-ms98-a-0033,138.157875,138.257875,and,I,sd,u-50-1
sw2340A-ms98-a-0033,138.257875,138.747875,decided,I,sd,u-50-1
sw2340A-ms98-a-0033,138.747875,138.857875,to,I,sd,u-50-1
sw2340A-ms98-a-0033,138.857875,139.416625,just,I,sd,u-50-1
sw2340A-ms98-a-0033,139.578625,140.307875,shun,I,sd,u-50-1
sw2340A-ms98-a-0033,140.307875,140.487875,all,I,sd,u-50-1
sw2340A-ms98-a-0033,140.487875,141.307875,responsibilities,I,sd,u-50-1
sw2340A-ms98-a-0033,141.307875,141.377875,of,I,sd,u-50-1
sw2340A-ms98-a-0033,141.377875,141.557875,any,I,sd,u-50-1
sw2340A-ms98-a-0033,141.557875,141.887875,kind,I,sd,u-50-1
sw2340A-ms98-a-0033,141.887875,141.967875,so,B,+,u-52-1
sw2340A-ms98-a-0033,141.967875,142.067875,to,I,+,u-52-1
sw2340A-ms98-a-0033,142.067875,142.377875,speak,I,+,u-52-1
sw2340A-ms98-a-0033,142.377875,142.577875,and,B,sd,u-52-2
sw2340A-ms98-a-0033,142.577875,142.850625,so,I,sd,u-52-2
sw2340A-ms98-a-0034,144.046500,144.276500,she's,B,+,u-54-1
sw2340A-ms98-a-0034,144.276500,144.586500,happy,I,+,u-54-1
sw2340A-ms98-a-0034,144.586500,144.776500,as,I,+,u-54-1
sw2340A-ms98-a-0034,144.776500,145.166500,as,I,+,u-54-1
sw2340A-ms98-a-0034,145.166500,145.476500,heck,I,+,u-54-1
sw2340A-ms98-a-0034,145.476500,145.746500,uh,O,,
sw2340A-ms98-a-0034,145.746500,145.896500,and,B,sd,u-54-2
sw2340A-ms98-a-0034,145.896500,146.036625,they,I,sd,u-54-2
sw2340A-ms98-a-0034,146.036625,146.123250,they,I,sd,u-54-2
sw2340A-ms98-a-0034,146.123250,146.221750,have,I,sd,u-54-2
sw2340A-ms98-a-0034,146.221750,146.446500,serve,I,sd,u-54-2
sw2340A-ms98-a-0034,146.446500,146.736500,meals,I,sd,u-54-2
sw2340A-ms98-a-0034,146.736500,146.826500,of,I,sd,u-54-2
sw2340A-ms98-a-0034,146.826500,147.316500,course,I,sd,u-54-2
sw2340A-ms98-a-0035,148.243750,148.363750,and,O,,
sw2340A-ms98-a-0035,148.363750,148.423750,they,B,sd,u-56-1
sw2340A-ms98-a-0035,148.423750,148.633750,have,I,sd,u-56-1
sw2340A-ms98-a-0035,148.633750,149.103750,clubs,I,sd,u-56-1
sw2340A-ms98-a-0035,149.103750,149.253750,and,I,sd,u-56-1
sw2340A-ms98-a-0035,149.253750,149.293750,a,I,sd,u-56-1
sw2340A-ms98-a-0035,149.293750,149.643750,swimming,I,sd,u-56-1
sw2340A-ms98-a-0035,149.643750,149.923750,pool,I,sd,u-56-1
sw2340A-ms98-a-0035,149.923750,150.283750,so,B,ba,u-56-2
sw2340A-ms98-a-0035,150.283750,150.763750,that's,I,ba,u-56-2
sw2340A-ms98-a-0035,150.763750,151.163750,nice,I,ba,u-56-2
sw2340A-ms98-a-0035,151.163750,151.423750,now,B,sd,u-56-3
sw2340A-ms98-a-0035,151.423750,151.638875,i,I,sd,u-56-3
sw2340A-ms98-a-0036,152.263000,152.493000,i,I,sd,u-56-3
sw2340A-ms98-a-0036,152.493000,152.673000,know,I,sd,u-56-3
sw2340A-ms98-a-0036,152.673000,152.763000,the,I,sd,u-56-3
sw2340A-ms98-a-0036,152.763000,153.193000,ones,I,sd,u-56-3
sw2340A-ms98-a-0036,153.193000,153.533000,where,I,sd,u-56-3
sw2340A-ms98-a-0036,153.533000,153.773000,you're,I,sd,u-56-3
sw2340A-ms98-a-0036,153.773000,154.123000,really,I,sd,u-56-3
sw2340A-ms98-a-0036,154.123000,154.572875,ill,I,sd,u-56-3
sw2340A-ms98-a-0036,154.949500,155.073000,we,I,sd,u-56-3
sw2340A-ms98-a-0036,155.073000,155.713000,visited,I,sd,u-56-3
sw2340A-ms98-a-0036,155.713000,155.763000,a,I,sd,u-56-3
sw2340A-ms98-a-0036,155.763000,156.003000,long,I,sd,u-56-3
sw2340A-ms98-a-0036,156.003000,156.233000,time,I,sd,u-56-3
sw2340A-ms98-a-0036,156.233000,156.443000,ago,I,sd,u-56-3
sw2340A-ms98-a-0036,156.443000,156.823000,when,I,sd,u-56-3
sw2340A-ms98-a-0036,156.953000,157.163000,she,B,+,u-58-1
sw2340A-ms98-a-0036,157.163000,157.293000,had,I,+,u-58-1
sw2340A-ms98-a-0036,157.293000,157.363000,a,I,+,u-58-1
sw2340A-ms98-a-0036,157.363000,157.943000,grandmother,I,+,u-58-1
sw2340A-ms98-a-0036,157.943000,158.113000,that,I,+,u-58-1
sw2340A-ms98-a-0036,158.113000,158.323000,was,I,+,u-58-1
sw2340A-ms98-a-0036,158.323000,158.573000,in,I,+,u-58-1
sw2340A-ms98-a-0036,158.573000,158.933000,one,I,+,u-58-1
sw2340A-ms98-a-0037,159.756125,160.016125,and,B,sd,u-58-2
sw2340A-ms98-a-0037,160.016125,160.146125,they,I,sd,u-58-2
sw2340A-ms98-a-0037,160.146125,160.416125,were,I,sd,u-58-2
sw2340A-ms98-a-0037,160.416125,160.968500,all,I,sd,u-58-2
sw2340A-ms98-a-0037,161.416625,161.726125,more,I,sd,u-58-2
sw2340A-ms98-a-0037,161.726125,161.786125,or,I,sd,u-58-2
sw2340A-ms98-a-0037,161.786125,162.046125,less,I,sd,u-58-2
sw2340A-ms98-a-0037,162.046125,162.966125,hospitalized,I,sd,u-58-2
sw2340A-ms98-a-0037,162.966125,163.196125,type,I,sd,u-58-2
sw2340A-ms98-a-0037,163.196125,163.296125,you,B,+,u-60-1
sw2340A-ms98-a-0037,163.296125,163.476125,know,I,+,u-60-1
sw2340A-ms98-a-0037,163.476125,163.726125,really,I,+,u-60-1
sw2340A-ms98-a-0037,163.726125,163.936125,really,I,+,u-60-1
sw2340A-ms98-a-0037,163.936125,164.328625,sick,I,+,u-60-1
sw2340A-ms98-a-0037,164.671375,164.856125,it's,B,sv,u-62-1
sw2340A-ms98-a-0037,164.856125,164.906125,a,I,sv,u-62-1
sw2340A-ms98-a-0037,164.906125,165.126125,tough,I,sv,u-62-1
sw2340A-ms98-a-0037,165.126125,165.576125,question,I,sv,u-62-1
sw2340A-ms98-a-0039,168.984375,169.384375,oh,B,sd,u-64-1
sw2340A-ms98-a-0039,169.384375,169.494375,you,I,sd,u-64-1
sw2340A-ms98-a-0039,169.494375,169.644375,got,I,sd,u-64-1
sw2340A-ms98-a-0039,169.644375,169.754375,ex[perience]-,I,sd,u-64-1
sw2340A-ms98-a-0039,169.754375,169.964375,more,I,sd,u-64-1
sw2340A-ms98-a-0039,169.964375,170.404375,experience,I,sd,u-64-1
sw2340A-ms98-a-0039,170.404375,170.504375,than,I,sd,u-64-1
sw2340A-ms98-a-0039,170.504375,170.614375,i,I,sd,u-64-1
sw2340A-ms98-a-0039,170.614375,170.774375,do,I,sd,u-64-1
sw2340A-ms98-a-0039,170.774375,170.917375,then,I,sd,u-64-1
sw2340A-ms98-a-0039,170.917375,171.147625,on,I,sd,u-64-1
sw2340A-ms98-a-0039,171.147625,171.306625,it,I,sd,u-64-1
sw2340A-ms98-a-0041,174.930375,175.552625,yeah,B,aa,u-66-1
sw2340A-ms98-a-0041,175.987000,176.546000,yeah,B,aa^r,u-66-2
sw2340A-ms98-a-0043,183.070000,183.350000,oh,B,sv,u-68-1
sw2340A-ms98-a-0043,183.350000,183.560000,that,I,sv,u-68-1
sw2340A-ms98-a-0043,183.560000,183.690000,would,I,sv,u-68-1
sw2340A-ms98-a-0043,183.690000,183.820000,be,I,sv,u-68-1
sw2340A-ms98-a-0043,183.820000,184.240000,awful,I,sv,u-68-1
sw2340A-ms98-a-0043,184.240000,184.320000,i,B,sd,u-70-1
sw2340A-ms98-a-0043,184.320000,184.510000,never,I,sd,u-70-1
sw2340A-ms98-a-0043,184.510000,184.760000,thought,I,sd,u-70-1
sw2340A-ms98-a-0043,184.760000,185.030000,about,I,sd,u-70-1
sw2340A-ms98-a-0043,185.030000,185.280000,that,I,sd,u-70-1
sw2340A-ms98-a-0043,185.280000,185.350000,you,I,sd,u-70-1
sw2340A-ms98-a-0043,185.350000,185.630000,know,I,sd,u-70-1
sw2340A-ms98-a-0045,190.620500,191.200750,um-hum,B,b,u-72-1
sw2340A-ms98-a-0047,205.806500,205.976500,yeah,B,aa,u-74-1
sw2340A-ms98-a-0047,205.976500,206.116500,i,B,sv,u-74-2
sw2340A-ms98-a-0047,206.116500,206.406500,think,I,sv,u-74-2
sw2340A-ms98-a-0047,206.406500,206.677375,that,I,sv,u-74-2
sw2340A-ms98-a-0047,206.677375,207.031500,uh,I,sv,u-74-2
sw2340A-ms98-a-0047,207.031500,207.546500,hopefully,I,sv,u-74-2
sw2340A-ms98-a-0047,207.546500,208.016500,we,I,sv,u-74-2
sw2340A-ms98-a-0047,208.016500,208.236500,as,I,sv,u-74-2
sw2340A-ms98-a-0047,208.236500,208.276500,a,I,sv,u-74-2
sw2340A-ms98-a-0047,208.276500,208.646500,country,I,sv,u-74-2
sw2340A-ms98-a-0047,208.646500,208.796500,are,I,sv,u-74-2
sw2340A-ms98-a-0047,208.796500,209.166500,learning,I,sv,u-74-2
sw2340A-ms98-a-0047,209.166500,209.206500,a,I,sv,u-74-2
sw2340A-ms98-a-0047,209.206500,209.416500,little,I,sv,u-74-2
sw2340A-ms98-a-0047,209.416500,209.546500,more,I,sv,u-74-2
sw2340A-ms98-a-0047,209.546500,209.706500,about,I,sv,u-74-2
sw2340A-ms98-a-0047,209.706500,209.766500,it,I,sv,u-74-2
sw2340A-ms98-a-0047,209.766500,209.866500,and,B,sv,u-74-3
sw2340A-ms98-a-0047,209.866500,209.956500,they're,I,sv,u-74-3
sw2340A-ms98-a-0047,209.956500,210.266500,getting,I,sv,u-74-3
sw2340A-ms98-a-0047,210.266500,210.836500,nicer,I,sv,u-74-3
sw2340A-ms98-a-0048,211.605625,211.745625,i've,B,sd,u-76-1
sw2340A-ms98-a-0048,211.745625,212.015625,seen,I,sd,u-76-1
sw2340A-ms98-a-0048,212.015625,212.115625,on,I,sd,u-76-1
sw2340A-ms98-a-0048,212.115625,212.565625,TV,I,sd,u-76-1
sw2340A-ms98-a-0048,212.565625,212.745625,where,I,sd,u-76-1
sw2340A-ms98-a-0048,212.745625,212.964750,they,I,sd,u-76-1
sw2340A-ms98-a-0048,213.156750,213.555625,take,I,sd,u-76-1
sw2340A-ms98-a-0048,213.555625,214.085625,animals,I,sd,u-76-1
sw2340A-ms98-a-0048,214.085625,214.255625,and,I,sd,u-76-1
sw2340A-ms98-a-0048,214.255625,214.475625,young,I,sd,u-76-1
sw2340A-ms98-a-0048,214.475625,214.995625,children,I,sd,u-76-1
sw2340A-ms98-a-0048,215.585625,215.645625,in,B,sd,u-76-2
sw2340A-ms98-a-0048,215.645625,215.825625,fact,I,sd,u-76-2
sw2340A-ms98-a-0048,215.825625,215.925625,my,I,sd,u-76-2
sw2340A-ms98-a-0048,215.925625,216.225625,daughter,I,sd,u-76-2
sw2340A-ms98-a-0048,216.225625,216.355625,is,I,sd,u-76-2
sw2340A-ms98-a-0048,216.355625,216.595625,one,I,sd,u-76-2
sw2340A-ms98-a-0048,216.595625,216.675625,my,B,sd,u-76-3
sw2340A-ms98-a-0048,216.675625,216.915625,wife,I,sd,u-76-3
sw2340A-ms98-a-0048,216.915625,217.095625,took,I,sd,u-76-3
sw2340A-ms98-a-0048,217.095625,217.195625,my,I,sd,u-76-3
sw2340A-ms98-a-0048,217.195625,217.635625,daughters,I,sd,u-76-3
sw2340A-ms98-a-0048,217.635625,217.875625,one,I,sd,u-76-3
sw2340A-ms98-a-0048,217.875625,218.255625,year,I,sd,u-76-3
sw2340A-ms98-a-0048,218.255625,218.385625,when,I,sd,u-76-3
sw2340A-ms98-a-0048,218.385625,218.455625,they,I,sd,u-76-3
sw2340A-ms98-a-0048,218.455625,218.565625,were,I,sd,u-76-3
sw2340A-ms98-a-0048,218.565625,218.815625,getting,I,sd,u-76-3
sw2340A-ms98-a-0048,218.815625,218.975625,some,I,sd,u-76-3
sw2340A-ms98-a-0048,218.975625,219.325625,points,I,sd,u-76-3
sw2340A-ms98-a-0048,219.325625,219.455625,for,I,sd,u-76-3
sw2340A-ms98-a-0048,219.455625,219.895625,school,I,sd,u-76-3
sw2340A-ms98-a-0048,220.455625,220.665625,took,I,sd,u-76-3
sw2340A-ms98-a-0048,220.665625,220.825625,them,I,sd,u-76-3
sw2340A-ms98-a-0048,220.825625,221.075625,to,I,sd,u-76-3
sw2340A-ms98-a-0048,221.075625,221.205625,an,I,sd,u-76-3
sw2340A-ms98-a-0048,221.205625,221.525625,elderly,I,sd,u-76-3
sw2340A-ms98-a-0048,221.525625,221.655625,home,I,sd,u-76-3
sw2340A-ms98-a-0048,221.655625,221.835625,and,B,sv,u-76-4
sw2340A-ms98-a-0048,222.027500,222.195625,and,I,sv,u-76-4
sw2340A-ms98-a-0048,222.195625,222.395625,boy,I,sv,u-76-4
sw2340A-ms98-a-0048,222.395625,222.935625,that,I,sv,u-76-4
sw2340A-ms98-a-0048,222.935625,223.437125,really,I,sv,u-76-4
sw2340A-ms98-a-0048,223.670625,223.945625,pumps,I,sv,u-76-4
sw2340A-ms98-a-0048,223.945625,224.085625,them,I,sv,u-76-4
sw2340A-ms98-a-0048,224.085625,224.275625,up,I,sv,u-76-4
sw2340A-ms98-a-0048,224.275625,224.625625,that,B,sv,u-78-1
sw2340A-ms98-a-0048,224.625625,224.965625,uh,I,sv,u-78-1
sw2340A-ms98-a-0049,225.612875,225.802875,is,I,sv,u-78-1
sw2340A-ms98-a-0049,225.802875,226.082875,very,I,sv,u-78-1
sw2340A-ms98-a-0049,226.082875,226.412875,nice,I,sv,u-78-1
sw2340A-ms98-a-0049,226.412875,226.522875,to,I,sv,u-78-1
sw2340A-ms98-a-0049,226.522875,226.692875,see,I,sv,u-78-1
sw2340A-ms98-a-0049,226.692875,226.922875,young,I,sv,u-78-1
sw2340A-ms98-a-0049,226.922875,227.202875,people,I,sv,u-78-1
sw2340A-ms98-a-0049,227.202875,227.262875,i,B,sv,u-78-2
sw2340A-ms98-a-0049,227.262875,227.532875,think,I,sv,u-78-2
sw2340A-ms98-a-0049,227.532875,227.762875,that's,I,sv,u-78-2
sw2340A-ms98-a-0049,227.762875,227.912875,one,I,sv,u-78-2
sw2340A-ms98-a-0049,227.912875,228.002875,of,I,sv,u-78-2
sw2340A-ms98-a-0049,228.002875,228.072875,the,I,sv,u-78-2
sw2340A-ms98-a-0049,228.072875,228.452875,sad,I,sv,u-78-2
sw2340A-ms98-a-0049,228.452875,228.702875,things,I,sv,u-78-2
sw2340A-ms98-a-0049,228.702875,228.852875,is,I,sv,u-78-2
sw2340A-ms98-a-0049,228.852875,228.992875,when,I,sv,u-78-2
sw2340A-ms98-a-0049,228.992875,229.182875,you're,I,sv,u-78-2
sw2340A-ms98-a-0049,229.182875,229.252875,in,I,sv,u-78-2
sw2340A-ms98-a-0049,229.252875,229.372875,an,I,sv,u-78-2
sw2340A-ms98-a-0049,229.372875,229.822875,older,I,sv,u-78-2
sw2340A-ms98-a-0049,229.822875,230.182875,home,I,sv,u-78-2
sw2340A-ms98-a-0050,230.844500,231.014500,if,B,sv,u-80-1
sw2340A-ms98-a-0050,231.014500,231.114500,you,I,sv,u-80-1
sw2340A-ms98-a-0050,231.114500,231.314500,just,I,sv,u-80-1
sw2340A-ms98-a-0050,231.314500,231.454500,have,I,sv,u-80-1
sw2340A-ms98-a-0050,231.454500,231.764500,people,I,sv,u-80-1
sw2340A-ms98-a-0050,231.764500,231.914500,your,I,sv,u-80-1
sw2340A-ms98-a-0050,231.914500,232.104500,own,I,sv,u-80-1
sw2340A-ms98-a-0050,232.104500,232.284500,age,I,sv,u-80-1
sw2340A-ms98-a-0050,232.284500,232.364500,you,I,sv,u-80-1
sw2340A-ms98-a-0050,232.364500,232.514500,never,I,sv,u-80-1
sw2340A-ms98-a-0050,232.514500,232.634500,get,I,sv,u-80-1
sw2340A-ms98-a-0050,232.634500,232.684500,a,I,sv,u-80-1
sw2340A-ms98-a-0050,232.684500,232.974500,chance,I,sv,u-80-1
sw2340A-ms98-a-0050,232.974500,233.084500,to,I,sv,u-80-1
sw2340A-ms98-a-0050,233.084500,233.234500,see,I,sv,u-80-1
sw2340A-ms98-a-0050,233.234500,233.604500,kids,I,sv,u-80-1
sw2340A-ms98-a-0050,233.604500,233.754500,or,I,sv,u-80-1
sw2340A-ms98-a-0050,233.754500,234.184500,anything,I,sv,u-80-1
sw2340A-ms98-a-0050,234.184500,234.284500,or,B,+,u-82-1
sw2340A-ms98-a-0050,234.284500,234.734500,animals,I,+,u-82-1
sw2340A-ms98-a-0050,234.734500,234.834500,or,I,+,u-82-1
sw2340A-ms98-a-0050,234.834500,235.194500,anything,I,+,u-82-1
sw2340A-ms98-a-0050,235.194500,235.264500,you,I,+,u-82-1
sw2340A-ms98-a-0050,235.264500,235.374500,know,I,+,u-82-1
sw2340A-ms98-a-0050,235.374500,235.474500,you,B,sv,u-84-1
sw2340A-ms98-a-0050,235.474500,235.734500,can't,I,sv,u-84-1
sw2340A-ms98-a-0050,235.734500,235.894500,take,I,sv,u-84-1
sw2340A-ms98-a-0050,235.894500,236.154500,care,I,sv,u-84-1
sw2340A-ms98-a-0050,236.154500,236.244500,of,I,sv,u-84-1
sw2340A-ms98-a-0050,236.244500,236.494500,them,I,sv,u-84-1
sw2340A-ms98-a-0051,237.029375,237.326000,ob[vious]-,O,,
sw2340A-ms98-a-0051,237.326000,237.636000,obvious,B,sv,u-84-2
sw2340A-ms98-a-0051,237.636000,237.706000,you,I,sv,u-84-2
sw2340A-ms98-a-0051,237.706000,237.906000,can't,I,sv,u-84-2
sw2340A-ms98-a-0051,237.906000,238.036000,take,I,sv,u-84-2
sw2340A-ms98-a-0051,238.036000,238.176000,care,I,sv,u-84-2
sw2340A-ms98-a-0051,238.176000,238.246000,of,I,sv,u-84-2
sw2340A-ms98-a-0051,238.246000,238.636000,children,I,sv,u-84-2
sw2340A-ms98-a-0051,238.636000,238.826000,or,I,sv,u-84-2
sw2340A-ms98-a-0051,238.826000,239.226000,animals,I,sv,u-84-2
sw2340A-ms98-a-0051,239.226000,239.396000,in,B,+,u-86-1
sw2340A-ms98-a-0051,239.396000,239.456000,a,I,+,u-86-1
sw2340A-ms98-a-0051,239.456000,239.826000,nursing,I,+,u-86-1
sw2340A-ms98-a-0051,239.826000,239.976000,home,I,+,u-86-1
sw2340A-ms98-a-0051,239.976000,240.136000,but,B,sv,u-86-2
sw2340A-ms98-a-0051,240.636000,240.806000,it's,I,sv,u-86-2
sw2340A-ms98-a-0051,240.806000,241.076000,nice,I,sv,u-86-2
sw2340A-ms98-a-0051,241.076000,241.206000,to,I,sv,u-86-2
sw2340A-ms98-a-0051,241.206000,241.456000,have,I,sv,u-86-2
sw2340A-ms98-a-0051,241.456000,241.556000,them_1,I,sv,u-86-2
sw2340A-ms98-a-0051,241.556000,241.926000,visit,I,sv,u-86-2
sw2340A-ms98-a-0051,241.926000,242.016000,and,I,sv,u-86-2
sw2340A-ms98-a-0051,242.016000,242.549375,everything,I,sv,u-86-2
sw2340A-ms98-a-0052,244.046500,244.606500,yeah,B,b,u-88-1
sw2340A-ms98-a-0054,253.550250,254.150250,right,B,b,u-90-1
sw2340A-ms98-a-0056,272.346250,272.516250,yeah,B,aa,u-92-1
sw2340A-ms98-a-0056,272.516250,272.616250,i,B,sv,u-92-2
sw2340A-ms98-a-0056,272.616250,272.836250,think,I,sv,u-92-2
sw2340A-ms98-a-0056,272.836250,272.936250,you,I,sv,u-92-2
sw2340A-ms98-a-0056,272.936250,273.066250,do,I,sv,u-92-2
sw2340A-ms98-a-0056,273.066250,273.216250,get,I,sv,u-92-2
sw2340A-ms98-a-0056,273.216250,273.366250,more,I,sv,u-92-2
sw2340A-ms98-a-0056,273.366250,273.486250,by,I,sv,u-92-2
sw2340A-ms98-a-0056,273.486250,274.166250,stimul[ation]-,I,sv,u-92-2
sw2340A-ms98-a-0056,274.166250,274.796250,stimulation,I,sv,u-92-2
sw2340A-ms98-a-0056,274.796250,275.026250,my,B,sd,u-92-3
sw2340A-ms98-a-0056,275.026250,275.316250,in,I,sd,u-92-3
sw2340A-ms98-a-0056,275.316250,275.506250,fact,I,sd,u-92-3
sw2340A-ms98-a-0056,275.506250,275.566250,my,I,sd,u-92-3
sw2340A-ms98-a-0056,275.566250,275.876250,mother-in-law,I,sd,u-92-3
sw2340A-ms98-a-0056,275.876250,276.066250,just,I,sd,u-92-3
sw2340A-ms98-a-0056,276.066250,276.346250,visited,I,sd,u-92-3
sw2340A-ms98-a-0056,276.346250,276.586250,she's,B,sd,u-92-4
sw2340A-ms98-a-0056,276.586250,276.806250,just,I,sd,u-92-4
sw2340A-ms98-a-0056,276.806250,277.076250,about,I,sd,u-92-4
sw2340A-ms98-a-0056,277.076250,277.476250,seventy,I,sd,u-92-4
sw2340A-ms98-a-0056,277.476250,277.986250,five,I,sd,u-92-4
sw2340A-ms98-a-0056,278.236250,278.476250,again,I,sd,u-92-4
sw2340A-ms98-a-0056,278.476250,278.906250,perfectly,I,sd,u-92-4
sw2340A-ms98-a-0056,278.906250,279.336250,fine,I,sd,u-92-4
sw2340A-ms98-a-0057,279.940250,280.350250,but,B,sd,u-94-1
sw2340A-ms98-a-0057,280.350250,280.730250,one,I,sd,u-94-1
sw2340A-ms98-a-0057,280.730250,280.970250,and,I,sd,u-94-1
sw2340A-ms98-a-0057,280.970250,281.070250,and,I,sd,u-94-1
sw2340A-ms98-a-0057,281.070250,281.210250,she,I,sd,u-94-1
sw2340A-ms98-a-0057,281.210250,281.490250,visit,I,sd,u-94-1
sw2340A-ms98-a-0057,281.490250,281.600250,us,I,sd,u-94-1
sw2340A-ms98-a-0057,281.600250,281.886250,here,I,sd,u-94-1
sw2340A-ms98-a-0057,281.886250,282.319375,in,I,sd,u-94-1
sw2340A-ms98-a-0057,282.319375,282.510250,in,I,sd,u-94-1
sw2340A-ms98-a-0057,282.510250,283.023250,Dallas,I,sd,u-94-1
sw2340A-ms98-a-0058,283.903875,284.113875,when,B,sd,u-94-2
sw2340A-ms98-a-0058,284.113875,284.253875,she,I,sd,u-94-2
sw2340A-ms98-a-0058,284.253875,284.463875,went,I,sd,u-94-2
sw2340A-ms98-a-0058,284.463875,284.623875,back,I,sd,u-94-2
sw2340A-ms98-a-0058,284.773875,284.893875,every,I,sd,u-94-2
sw2340A-ms98-a-0058,284.893875,285.063875,time,I,sd,u-94-2
sw2340A-ms98-a-0058,285.063875,285.183875,she,I,sd,u-94-2
sw2340A-ms98-a-0058,285.183875,285.343875,goes,I,sd,u-94-2
sw2340A-ms98-a-0058,285.343875,285.643875,back,I,sd,u-94-2
sw2340A-ms98-a-0058,285.643875,285.914125,to,I,sd,u-94-2
sw2340A-ms98-a-0058,286.177750,286.673875,uh,I,sd,u-94-2
sw2340A-ms98-a-0058,286.673875,286.913875,San,I,sd,u-94-2
sw2340A-ms98-a-0058,286.913875,287.634625,Antonio,I,sd,u-94-2
sw2340A-ms98-a-0058,287.986250,288.184500,[vocalized-noise],I,sd,u-94-2
sw2340A-ms98-a-0058,288.184500,288.313875,my,I,sd,u-94-2
sw2340A-ms98-a-0058,288.313875,288.503875,wife,I,sd,u-94-2
sw2340A-ms98-a-0058,288.503875,288.663875,has,I,sd,u-94-2
sw2340A-ms98-a-0058,288.663875,288.823875,two,I,sd,u-94-2
sw2340A-ms98-a-0058,288.823875,289.223875,sisters,I,sd,u-94-2
sw2340A-ms98-a-0058,289.223875,289.383875,there,I,sd,u-94-2
sw2340A-ms98-a-0058,289.383875,289.641125,too,I,sd,u-94-2
sw2340A-ms98-a-0058,290.036625,290.273875,she,I,sd,u-94-2
sw2340A-ms98-a-0058,290.273875,290.543875,said,I,sd,u-94-2
sw2340A-ms98-a-0058,290.543875,290.743875,she's,I,sd,u-94-2
sw2340A-ms98-a-0058,290.743875,290.993875,much,I,sd,u-94-2
sw2340A-ms98-a-0058,290.993875,291.453875,better,I,sd,u-94-2
sw2340A-ms98-a-0058,291.453875,291.723875,she's,B,sd,u-94-3
sw2340A-ms98-a-0058,291.723875,291.943875,much,I,sd,u-94-3
sw2340A-ms98-a-0058,291.943875,292.103875,more,I,sd,u-94-3
sw2340A-ms98-a-0058,292.103875,292.703875,alive,I,sd,u-94-3
sw2340A-ms98-a-0058,292.703875,292.963875,and,I,sd,u-94-3
sw2340A-ms98-a-0058,292.963875,293.423875,and,I,sd,u-94-3
sw2340A-ms98-a-0058,293.423875,293.597625,uh,I,sd,u-94-3
sw2340A-ms98-a-0058,293.940375,294.323875,active,I,sd,u-94-3
