sw2598A-ms98-a-0003,2.334375,2.705000,yeah,B,aa,u-2-1
sw2598A-ms98-a-0033,159.501250,159.611250,s[aw]-,O,,
sw2598A-ms98-a-0035,161.558500,161.785875,that's,B,sd,u-50-1
sw2598A-ms98-a-0035,161.785875,161.985875,that's,I,sd,u-50-1
sw2598A-ms98-a-0035,161.985875,162.125875,on,I,sd,u-50-1
sw2598A-ms98-a-0035,162.125875,162.245875,our,I,sd,u-50-1
sw2598A-ms98-a-0035,162.245875,162.525875,list,I,sd,u-50-1
sw2598A-ms98-a-0035,162.525875,162.595875,of,I,sd,u-50-1
sw2598A-ms98-a-0035,162.595875,162.835875,things,I,sd,u-50-1
sw2598A-ms98-a-0035,162.835875,162.955875,to,I,sd,u-50-1
sw2598A-ms98-a-0035,162.955875,163.265875,see,I,sd,u-50-1
sw2598A-ms98-a-0035,163.265875,163.836125,[laughter],O,,
sw2598A-ms98-a-0037,168.274000,168.476875,n[o]-,O,,
sw2598A-ms98-a-0037,168.781875,168.965875,our,B,sd,u-52-2
sw2598A-ms98-a-0037,168.965875,169.155875,big,I,sd,u-52-2
sw2598A-ms98-a-0037,169.155875,169.345875,thing,I,sd,u-52-2
sw2598A-ms98-a-0037,169.345875,169.495875,is,I,sd,u-52-2
sw2598A-ms98-a-0037,169.495875,169.965000,um,I,sd,u-52-2
sw2598A-ms98-a-0037,170.187125,170.305875,you,B,sd,u-52-3
sw2598A-ms98-a-0037,170.305875,170.535875,know,I,sd,u-52-3
sw2598A-ms98-a-0037,170.535875,170.685875,mo[vie]-,I,sd,u-52-3
sw2598A-ms98-a-0037,170.685875,171.045875,movie,I,sd,u-52-3
sw2598A-ms98-a-0037,171.045875,171.455875,prices,I,sd,u-52-3
sw2598A-ms98-a-0037,171.455875,171.635875,up,I,sd,u-52-3
sw2598A-ms98-a-0037,171.635875,171.855875,here,I,sd,u-52-3
sw2598A-ms98-a-0037,171.855875,171.885875,i,B,sd,u-52-4
sw2598A-ms98-a-0037,171.885875,172.035875,think,I,sd,u-52-4
sw2598A-ms98-a-0037,172.035875,172.135875,it's,I,sd,u-52-4
sw2598A-ms98-a-0037,172.135875,172.255875,like,I,sd,u-52-4
sw2598A-ms98-a-0037,172.255875,172.525875,six,I,sd,u-52-4
sw2598A-ms98-a-0037,172.525875,172.815875,bucks,I,sd,u-52-4
sw2598A-ms98-a-0037,172.815875,173.294375,now,I,sd,u-52-4
sw2598A-ms98-a-0037,173.294375,173.455875,in,I,sd,u-52-4
sw2598A-ms98-a-0037,173.455875,173.525875,the,I,sd,u-52-4
sw2598A-ms98-a-0037,173.525875,174.256625,theaters,I,sd,u-52-4
sw2598A-ms98-a-0037,174.256625,174.765875,and,O,,
sw2598A-ms98-a-0037,174.765875,174.835875,you,B,%,u-54-1
sw2598A-ms98-a-0037,174.835875,175.200625,know,I,%,u-54-1
sw2598A-ms98-a-0037,175.200625,175.555875,so,I,%,u-54-1
sw2598A-ms98-a-0037,175.555875,175.705875,it's,I,%,u-54-1
sw2598A-ms98-a-0037,175.705875,176.047375,like,I,%,u-54-1
sw2598A-ms98-a-0037,176.461625,176.535875,you,B,sd,u-54-2
sw2598A-ms98-a-0037,176.535875,176.605875,know,I,sd,u-54-2
sw2598A-ms98-a-0037,176.605875,176.635875,a,I,sd,u-54-2
sw2598A-ms98-a-0037,176.635875,176.785875,lot,I,sd,u-54-2
sw2598A-ms98-a-0037,176.785875,176.855875,of,I,sd,u-54-2
sw2598A-ms98-a-0037,176.855875,177.065875,things,I,sd,u-54-2
sw2598A-ms98-a-0037,177.065875,177.145875,we,I,sd,u-54-2
sw2598A-ms98-a-0037,177.145875,177.305875,try,I,sd,u-54-2
sw2598A-ms98-a-0037,177.305875,177.385875,to,I,sd,u-54-2
sw2598A-ms98-a-0037,177.385875,177.705875,catch,I,sd,u-54-2
sw2598A-ms98-a-0037,177.705875,177.825875,like,I,sd,u-54-2
sw2598A-ms98-a-0037,177.825875,177.895875,at,I,sd,u-54-2
sw2598A-ms98-a-0037,177.895875,177.955875,the,I,sd,u-54-2
sw2598A-ms98-a-0037,177.955875,178.245875,dollar,I,sd,u-54-2
sw2598A-ms98-a-0037,178.245875,178.535875,theater,I,sd,u-54-2
sw2598A-ms98-a-0037,178.535875,178.615875,or,I,sd,u-54-2
sw2598A-ms98-a-0037,178.615875,179.495875,matinees,I,sd,u-54-2
sw2598A-ms98-a-0037,179.495875,179.735875,and,B,sd,u-54-3
sw2598A-ms98-a-0037,179.735875,179.845875,then,I,sd,u-54-3
sw2598A-ms98-a-0037,179.845875,179.925875,a,I,sd,u-54-3
sw2598A-ms98-a-0037,179.925875,180.065875,lot,I,sd,u-54-3
sw2598A-ms98-a-0037,180.065875,180.125875,of,I,sd,u-54-3
sw2598A-ms98-a-0037,180.125875,180.265875,other,I,sd,u-54-3
sw2598A-ms98-a-0037,180.265875,180.465875,stuff,I,sd,u-54-3
sw2598A-ms98-a-0037,180.465875,180.545875,we,I,sd,u-54-3
sw2598A-ms98-a-0037,180.545875,180.725875,just,I,sd,u-54-3
sw2598A-ms98-a-0037,180.725875,180.815875,wait,I,sd,u-54-3
sw2598A-ms98-a-0037,180.815875,181.005875,until,I,sd,u-54-3
sw2598A-ms98-a-0037,181.005875,181.075875,it,I,sd,u-54-3
sw2598A-ms98-a-0037,181.075875,181.355875,comes,I,sd,u-54-3
sw2598A-ms98-a-0037,181.355875,181.710500,out,I,sd,u-54-3
sw2598A-ms98-a-0037,181.710500,181.945875,on,I,sd,u-54-3
sw2598A-ms98-a-0037,181.945875,182.319750,tape,I,sd,u-54-3
sw2598A-ms98-a-0038,183.866500,184.121375,ye[ah]-,O,,
sw2598A-ms98-a-0040,187.416625,187.696625,one,B,sd,u-56-2
sw2598A-ms98-a-0040,187.696625,187.986625,movie,I,sd,u-56-2
sw2598A-ms98-a-0040,187.986625,188.126625,we,I,sd,u-56-2
sw2598A-ms98-a-0040,188.126625,188.782000,saw,I,sd,u-56-2
sw2598A-ms98-a-0040,189.015500,189.076625,in,I,sd,u-56-2
sw2598A-ms98-a-0040,189.076625,189.136625,the,I,sd,u-56-2
sw2598A-ms98-a-0040,189.136625,189.336625,last,I,sd,u-56-2
sw2598A-ms98-a-0040,189.336625,189.476625,couple,I,sd,u-56-2
sw2598A-ms98-a-0040,189.476625,189.536625,of,I,sd,u-56-2
sw2598A-ms98-a-0040,189.536625,189.686625,months,I,sd,u-56-2
sw2598A-ms98-a-0040,189.686625,189.776625,that,I,sd,u-56-2
sw2598A-ms98-a-0040,189.776625,189.836625,we,I,sd,u-56-2
sw2598A-ms98-a-0040,189.836625,190.056625,really,I,sd,u-56-2
sw2598A-ms98-a-0040,190.056625,190.366625,enjoyed,I,sd,u-56-2
sw2598A-ms98-a-0040,190.366625,190.556625,was,I,sd,u-56-2
sw2598A-ms98-a-0040,190.556625,190.686625,uh,I,sd,u-56-2
sw2598A-ms98-a-0040,190.686625,190.996625,Edward,I,sd,u-56-2
sw2598A-ms98-a-0040,190.996625,191.804875,Scissorhands,I,sd,u-56-2
sw2598A-ms98-a-0041,193.047125,193.184625,yeah,B,ny,u-58-1
sw2598A-ms98-a-0041,193.184625,193.284625,have,B,qy,u-58-2
sw2598A-ms98-a-0041,193.284625,193.374625,you,I,qy,u-58-2
sw2598A-ms98-a-0041,193.374625,193.584625,seen,I,qy,u-58-2
sw2598A-ms98-a-0041,193.584625,193.906250,that,I,qy,u-58-2
sw2598A-ms98-a-0041,194.618125,194.854625,oh,B,sv,u-60-1
sw2598A-ms98-a-0041,194.854625,194.954625,it,I,sv,u-60-1
sw2598A-ms98-a-0041,194.954625,195.184625,was,I,sv,u-60-1
sw2598A-ms98-a-0041,195.184625,195.864625,great,I,sv,u-60-1
sw2598A-ms98-a-0041,195.864625,196.319875,[laughter],O,,
sw2598A-ms98-a-0041,196.968625,197.574625,yeah,B,ny,u-62-1
sw2598A-ms98-a-0041,197.574625,197.714625,it,B,sv,u-62-2
sw2598A-ms98-a-0041,197.714625,198.037000,was,I,sv,u-62-2
sw2598A-ms98-a-0043,200.338625,201.008250,no,B,ar,u-64-1
sw2598A-ms98-a-0043,201.008250,201.451875,no,B,ar^r,u-64-2
sw2598A-ms98-a-0043,201.451875,202.347250,it's,B,sd,u-64-3
sw2598A-ms98-a-0043,202.634250,203.356000,um,I,sd,u-64-3
sw2598A-ms98-a-0044,204.444375,204.614375,it's,I,sd,u-64-3
sw2598A-ms98-a-0044,204.614375,204.764375,an,I,sd,u-64-3
sw2598A-ms98-a-0044,204.764375,205.014375,odd,I,sd,u-64-3
sw2598A-ms98-a-0044,205.014375,205.384375,film,I,sd,u-64-3
sw2598A-ms98-a-0044,205.384375,205.474375,and,B,sd,u-64-4
sw2598A-ms98-a-0044,205.474375,205.614375,it's,I,sd,u-64-4
sw2598A-ms98-a-0044,205.614375,205.964375,really,I,sd,u-64-4
sw2598A-ms98-a-0044,205.964375,206.434375,interesting,I,sd,u-64-4
sw2598A-ms98-a-0044,206.434375,206.734375,that,I,sd,u-64-4
sw2598A-ms98-a-0044,206.734375,206.794375,i,B,sd,u-64-5
sw2598A-ms98-a-0044,206.794375,207.054375,like,I,sd,u-64-5
sw2598A-ms98-a-0044,207.054375,207.134375,the,I,sd,u-64-5
sw2598A-ms98-a-0044,207.134375,207.949125,director,I,sd,u-64-5
sw2598A-ms98-a-0044,207.949125,208.084375,a,I,sd,u-64-5
sw2598A-ms98-a-0044,208.084375,208.567625,lot,I,sd,u-64-5
sw2598A-ms98-a-0044,208.567625,208.994375,um,I,sd,u-64-5
sw2598A-ms98-a-0044,208.994375,209.024375,a,I,sd,u-64-5
sw2598A-ms98-a-0044,209.024375,209.154375,guy,I,sd,u-64-5
sw2598A-ms98-a-0044,209.154375,209.324375,named,I,sd,u-64-5
sw2598A-ms98-a-0044,209.324375,209.554375,Tim,I,sd,u-64-5
sw2598A-ms98-a-0044,209.554375,210.004500,Burton,I,sd,u-64-5
sw2598A-ms98-a-0045,210.565750,210.685750,did,B,qy,u-66-1
sw2598A-ms98-a-0045,210.685750,210.765750,you,I,qy,u-66-1
sw2598A-ms98-a-0045,210.765750,210.905750,ever,I,qy,u-66-1
sw2598A-ms98-a-0045,210.905750,211.045750,see,I,qy,u-66-1
sw2598A-ms98-a-0045,211.045750,211.115750,the,I,qy,u-66-1
sw2598A-ms98-a-0045,211.115750,211.375750,movie,I,qy,u-66-1
sw2598A-ms98-a-0045,211.375750,212.090875,Beetlejuice,I,qy,u-66-1
sw2598A-ms98-a-0047,214.153750,214.550500,oh,B,bk,u-68-1
sw2598A-ms98-a-0047,214.550500,214.902375,okay,O,,
sw2598A-ms98-a-0049,216.630375,216.926000,oh,B,bk,u-70-1
sw2598A-ms98-a-0049,216.926000,217.356875,see,O,,
sw2598A-ms98-a-0049,217.356875,217.606000,yeah,B,b,u-70-2
sw2598A-ms98-a-0049,217.606000,217.955375,well,B,sv,u-70-3
sw2598A-ms98-a-0049,217.955375,218.156000,if,I,sv,u-70-3
sw2598A-ms98-a-0049,218.156000,218.236000,you,I,sv,u-70-3
sw2598A-ms98-a-0049,218.236000,218.396000,if,I,sv,u-70-3
sw2598A-ms98-a-0049,218.396000,218.476000,you,I,sv,u-70-3
sw2598A-ms98-a-0049,218.476000,218.676000,liked,I,sv,u-70-3
sw2598A-ms98-a-0049,218.676000,219.116000,Beetlejuice,I,sv,u-70-3
sw2598A-ms98-a-0049,219.116000,219.206000,you'll,I,sv,u-70-3
sw2598A-ms98-a-0049,219.206000,219.446000,probably,I,sv,u-70-3
sw2598A-ms98-a-0049,219.446000,219.566000,like,I,sv,u-70-3
sw2598A-ms98-a-0049,219.566000,219.786000,Edward,I,sv,u-70-3
sw2598A-ms98-a-0049,219.786000,220.266000,Scissorhands,I,sv,u-70-3
sw2598A-ms98-a-0049,220.266000,220.346000,if,B,sv,u-70-4
sw2598A-ms98-a-0049,220.346000,220.406000,you,I,sv,u-70-4
sw2598A-ms98-a-0049,220.406000,220.596000,didn't,I,sv,u-70-4
sw2598A-ms98-a-0049,220.596000,220.746000,like,I,sv,u-70-4
sw2598A-ms98-a-0049,220.746000,221.406000,Beetlejuice,I,sv,u-70-4
sw2598A-ms98-a-0049,221.406000,221.506000,you'll,I,sv,u-70-4
sw2598A-ms98-a-0049,221.506000,221.846000,probably,I,sv,u-70-4
sw2598A-ms98-a-0049,221.846000,222.036000,won't,I,sv,u-70-4
sw2598A-ms98-a-0049,222.036000,222.186000,like,I,sv,u-70-4
sw2598A-ms98-a-0049,222.186000,222.406000,Edward,I,sv,u-70-4
sw2598A-ms98-a-0049,222.406000,223.142000,Scissorhands,I,sv,u-70-4
sw2598A-ms98-a-0050,224.033875,224.408375,yeah,B,ny,u-72-1
sw2598A-ms98-a-0050,224.408375,224.741375,it's,B,%,u-72-2
sw2598A-ms98-a-0050,224.741375,225.220500,um,I,%,u-72-2
sw2598A-ms98-a-0050,225.857000,226.481375,Burton's,B,%,u-72-3
sw2598A-ms98-a-0050,226.481375,226.701375,kind,I,%,u-72-3
sw2598A-ms98-a-0050,226.701375,226.821375,of,I,%,u-72-3
sw2598A-ms98-a-0050,226.821375,227.202250,uh,I,%,u-72-3
sw2598A-ms98-a-0051,227.805000,228.008625,h[e]-,O,,
sw2598A-ms98-a-0051,228.008625,228.309625,h[e]-,O,,
sw2598A-ms98-a-0051,228.309625,228.669625,he's,B,sd,u-72-4
sw2598A-ms98-a-0051,228.669625,228.739625,a,I,sd,u-72-4
sw2598A-ms98-a-0051,228.739625,228.979625,very,I,sd,u-72-4
sw2598A-ms98-a-0051,228.979625,229.560500,odd,I,sd,u-72-4
sw2598A-ms98-a-0051,229.560500,230.069625,odd,I,sd,u-72-4
sw2598A-ms98-a-0051,230.069625,230.489625,man,I,sd,u-72-4
sw2598A-ms98-a-0051,230.489625,230.639625,but,B,%,u-72-5
sw2598A-ms98-a-0051,230.639625,230.899625,he's,I,%,u-72-5
sw2598A-ms98-a-0051,230.899625,230.999625,i,B,sd,u-72-6
sw2598A-ms98-a-0051,230.999625,231.179625,think,I,sd,u-72-6
sw2598A-ms98-a-0051,231.179625,231.309625,he's,I,sd,u-72-6
sw2598A-ms98-a-0051,231.309625,231.539625,very,I,sd,u-72-6
sw2598A-ms98-a-0051,231.539625,232.182875,interesting,I,sd,u-72-6
sw2598A-ms98-a-0051,232.182875,232.509625,and,B,sd,u-72-7
sw2598A-ms98-a-0051,232.509625,232.669625,uh,I,sd,u-72-7
sw2598A-ms98-a-0051,232.669625,232.829625,i,I,sd,u-72-7
sw2598A-ms98-a-0051,232.829625,233.149625,liked,I,sd,u-72-7
sw2598A-ms98-a-0051,233.149625,233.339625,those,I,sd,u-72-7
sw2598A-ms98-a-0051,233.339625,233.469625,two,I,sd,u-72-7
sw2598A-ms98-a-0051,233.469625,233.749625,movies,I,sd,u-72-7
sw2598A-ms98-a-0051,233.749625,233.859625,of,I,sd,u-72-7
sw2598A-ms98-a-0051,233.859625,234.069625,his,I,sd,u-72-7
sw2598A-ms98-a-0051,234.069625,234.139625,a,I,sd,u-72-7
sw2598A-ms98-a-0051,234.139625,234.566375,lot,I,sd,u-72-7
sw2598A-ms98-a-0051,235.007000,235.119625,he,B,sd,u-74-1
sw2598A-ms98-a-0051,235.119625,235.309625,did,I,sd,u-74-1
sw2598A-ms98-a-0051,235.309625,235.789625,Batman,I,sd,u-74-1
sw2598A-ms98-a-0051,235.789625,236.179625,also,I,sd,u-74-1
sw2598A-ms98-a-0051,236.179625,236.868000,which,I,sd,u-74-1
sw2598A-ms98-a-0051,236.868000,237.129625,you,I,sd,u-74-1
sw2598A-ms98-a-0051,237.129625,237.239625,know,I,sd,u-74-1
sw2598A-ms98-a-0051,237.239625,238.066750,[laughter],O,,
sw2598A-ms98-a-0052,239.282125,239.422125,it,B,aa,u-76-1
sw2598A-ms98-a-0052,239.422125,239.562125,was,I,aa,u-76-1
sw2598A-ms98-a-0052,239.562125,239.802125,good,I,aa,u-76-1
sw2598A-ms98-a-0052,239.802125,239.922125,but,B,%,u-76-2
sw2598A-ms98-a-0052,239.922125,239.962125,i,I,%,u-76-2
sw2598A-ms98-a-0052,239.962125,240.172125,mean,I,%,u-76-2
sw2598A-ms98-a-0052,240.172125,240.380875,he,I,%,u-76-2
sw2598A-ms98-a-0052,240.380875,241.169125,was,I,%,u-76-2
sw2598A-ms98-a-0053,242.406125,243.159875,um,I,%,u-76-2
sw2598A-ms98-a-0055,246.461750,246.836875,yeah,B,aa,u-78-1
sw2598A-ms98-a-0057,255.630875,255.822125,oh,B,aa,u-80-1
sw2598A-ms98-a-0057,255.822125,256.082125,yeah,I,aa,u-80-1
sw2598A-ms98-a-0057,256.082125,256.504250,oh,I,aa,u-80-1
sw2598A-ms98-a-0058,257.678875,258.157750,yeah,B,b,u-82-1
sw2598A-ms98-a-0060,261.654000,262.421250,um,B,sd,u-84-1
sw2598A-ms98-a-0060,262.720375,262.903875,don't,I,sd,u-84-1
sw2598A-ms98-a-0060,262.903875,263.123875,really,I,sd,u-84-1
sw2598A-ms98-a-0060,263.123875,263.293875,know,I,sd,u-84-1
sw2598A-ms98-a-0060,263.293875,263.323875,i,B,sd,u-84-2
sw2598A-ms98-a-0060,263.323875,263.523875,like,I,sd,u-84-2
sw2598A-ms98-a-0060,263.523875,263.993875,Costner,I,sd,u-84-2
sw2598A-ms98-a-0060,263.993875,264.073875,a,I,sd,u-84-2
sw2598A-ms98-a-0060,264.073875,264.377875,lot,I,sd,u-84-2
sw2598A-ms98-a-0060,264.618875,264.843875,but,B,sd,u-84-3
sw2598A-ms98-a-0060,264.843875,264.873875,uh,I,sd,u-84-3
sw2598A-ms98-a-0060,264.873875,264.973875,i'm,B,+,u-86-1
sw2598A-ms98-a-0060,264.973875,265.043875,a,I,+,u-86-1
sw2598A-ms98-a-0060,265.043875,265.315750,big,I,+,u-86-1
sw2598A-ms98-a-0060,265.315750,265.433875,i'm,I,+,u-86-1
sw2598A-ms98-a-0060,265.433875,265.523875,a,I,+,u-86-1
sw2598A-ms98-a-0060,265.523875,265.693875,big,I,+,u-86-1
sw2598A-ms98-a-0060,265.693875,266.113875,baseball,I,+,u-86-1
sw2598A-ms98-a-0060,266.113875,266.403875,fan,I,+,u-86-1
sw2598A-ms98-a-0060,266.403875,266.563875,so,B,sd,u-86-2
sw2598A-ms98-a-0060,266.563875,266.683875,you,I,sd,u-86-2
sw2598A-ms98-a-0060,266.683875,266.803875,know,I,sd,u-86-2
sw2598A-ms98-a-0060,266.803875,267.013875,after,I,sd,u-86-2
sw2598A-ms98-a-0060,267.013875,267.243875,Bull,I,sd,u-86-2
sw2598A-ms98-a-0060,267.243875,267.593875,Durham,I,sd,u-86-2
sw2598A-ms98-a-0060,267.593875,267.713875,and,I,sd,u-86-2
sw2598A-ms98-a-0060,267.713875,267.963875,Field,I,sd,u-86-2
sw2598A-ms98-a-0060,267.963875,268.023875,of,I,sd,u-86-2
sw2598A-ms98-a-0060,268.023875,268.403875,Dreams,I,sd,u-86-2
sw2598A-ms98-a-0060,268.403875,268.483875,you,I,sd,u-86-2
sw2598A-ms98-a-0060,268.483875,268.722750,know,I,sd,u-86-2
sw2598A-ms98-a-0060,269.479750,269.863875,um,B,%,u-88-1
sw2598A-ms98-a-0060,269.863875,270.123875,although,I,%,u-88-1
sw2598A-ms98-a-0060,270.123875,270.243875,you,I,%,u-88-1
sw2598A-ms98-a-0060,270.243875,270.480500,know,I,%,u-88-1
sw2598A-ms98-a-0062,272.581625,272.874375,which,B,qw,u-90-1
sw2598A-ms98-a-0062,272.874375,273.087250,one,I,qw,u-90-1
sw2598A-ms98-a-0063,273.816000,273.967000,yeah,B,aa,u-92-1
sw2598A-ms98-a-0063,273.967000,274.207000,Field,B,sv,u-92-2
sw2598A-ms98-a-0063,274.207000,274.267000,of,I,sv,u-92-2
sw2598A-ms98-a-0063,274.267000,274.517000,Dreams,I,sv,u-92-2
sw2598A-ms98-a-0063,274.517000,274.687000,was,I,sv,u-92-2
sw2598A-ms98-a-0063,274.687000,275.073500,good,I,sv,u-92-2
sw2598A-ms98-a-0063,275.284500,275.819000,um,B,sd,u-92-3
sw2598A-ms98-a-0063,276.320000,276.507000,and,I,sd,u-92-3
sw2598A-ms98-a-0063,276.507000,276.537000,i,I,sd,u-92-3
sw2598A-ms98-a-0063,276.537000,276.697000,i,I,sd,u-92-3
sw2598A-ms98-a-0063,276.697000,277.001500,think,I,sd,u-92-3
sw2598A-ms98-a-0063,277.001500,277.097000,i,I,sd,u-92-3
sw2598A-ms98-a-0063,277.097000,277.317000,liked,I,sd,u-92-3
sw2598A-ms98-a-0063,277.317000,277.397000,the,I,sd,u-92-3
sw2598A-ms98-a-0063,277.397000,277.537000,other,I,sd,u-92-3
sw2598A-ms98-a-0063,277.537000,277.817000,movies,I,sd,u-92-3
sw2598A-ms98-a-0063,277.817000,277.947000,he's,I,sd,u-92-3
sw2598A-ms98-a-0063,277.947000,278.117000,done,I,sd,u-92-3
sw2598A-ms98-a-0063,278.117000,278.277000,No,B,sd,u-92-4
sw2598A-ms98-a-0063,278.277000,278.487000,Way,I,sd,u-92-4
sw2598A-ms98-a-0063,278.487000,278.657000,Out,I,sd,u-92-4
sw2598A-ms98-a-0063,278.657000,278.807000,was,I,sd,u-92-4
sw2598A-ms98-a-0063,278.807000,279.047000,really,I,sd,u-92-4
sw2598A-ms98-a-0063,279.047000,279.456250,good,I,sd,u-92-4
sw2598A-ms98-a-0063,279.456250,280.063750,and,B,%,u-92-5
sw2598A-ms98-a-0063,280.063750,280.387000,did,B,qy,u-94-1
sw2598A-ms98-a-0063,280.387000,280.467000,you,I,qy,u-94-1
sw2598A-ms98-a-0063,280.467000,280.627000,ever,I,qy,u-94-1
sw2598A-ms98-a-0063,280.627000,280.797000,see,I,qy,u-94-1
sw2598A-ms98-a-0063,280.797000,281.577250,Silverado,I,qy,u-94-1
sw2598A-ms98-a-0065,286.717250,287.322625,um,B,^h,u-96-1
sw2598A-ms98-a-0065,287.322625,287.692625,let's,I,^h,u-96-1
sw2598A-ms98-a-0065,287.692625,288.428000,see,I,^h,u-96-1
sw2598A-ms98-a-0065,288.718000,288.992625,Danny,B,sd,u-96-2
sw2598A-ms98-a-0065,288.992625,289.755000,Glover,I,sd,u-96-2
sw2598A-ms98-a-0065,290.161750,290.662625,Scott,I,sd,u-96-2
sw2598A-ms98-a-0065,290.662625,291.242625,Glen,I,sd,u-96-2
sw2598A-ms98-a-0065,291.242625,291.592625,Kevin,I,sd,u-96-2
sw2598A-ms98-a-0065,291.592625,292.484625,Kline,I,sd,u-96-2
sw2598A-ms98-a-0065,293.152375,294.182625,um,I,sd,u-96-2
sw2598A-ms98-a-0065,294.182625,294.592625,Brian,I,sd,u-96-2
sw2598A-ms98-a-0065,294.592625,295.662625,Dennehe,I,sd,u-96-2
sw2598A-ms98-a-0065,295.662625,295.922625,Jeff,I,sd,u-96-2
sw2598A-ms98-a-0065,295.922625,296.502625,Goldblum's,I,sd,u-96-2
sw2598A-ms98-a-0065,296.502625,296.982250,in,I,sd,u-96-2
sw2598A-ms98-a-0065,297.498250,297.832625,uh,B,sd,u-96-3
sw2598A-ms98-a-0065,297.832625,298.072625,John,I,sd,u-96-3
sw2598A-ms98-a-0065,298.072625,298.342625,Clease,I,sd,u-96-3
sw2598A-ms98-a-0065,298.342625,298.432625,is,I,sd,u-96-3
sw2598A-ms98-a-0065,298.432625,298.562625,in,I,sd,u-96-3
sw2598A-ms98-a-0065,298.562625,298.662625,it,I,sd,u-96-3
sw2598A-ms98-a-0065,298.662625,298.812625,if,I,sd,u-96-3
sw2598A-ms98-a-0065,298.812625,298.882625,you,I,sd,u-96-3
sw2598A-ms98-a-0065,298.882625,299.062625,don't,I,sd,u-96-3
sw2598A-ms98-a-0065,299.062625,299.561375,blink,I,sd,u-96-3
sw2598A-ms98-a-0067,302.293750,302.413750,it,B,sd,u-98-1
sw2598A-ms98-a-0067,302.413750,302.713750,was,I,sd,u-98-1
sw2598A-ms98-a-0067,302.713750,302.773750,it,I,sd,u-98-1
sw2598A-ms98-a-0067,302.773750,302.893750,was,I,sd,u-98-1
sw2598A-ms98-a-0067,302.893750,302.973750,a,I,sd,u-98-1
sw2598A-ms98-a-0067,302.973750,303.303750,big,I,sd,u-98-1
sw2598A-ms98-a-0067,303.303750,304.152750,western,I,sd,u-98-1
sw2598A-ms98-a-0067,304.469125,304.624250,i,B,sd,u-98-2
sw2598A-ms98-a-0067,304.624250,304.843750,mean,I,sd,u-98-2
sw2598A-ms98-a-0067,304.843750,304.913750,i,I,sd,u-98-2
sw2598A-ms98-a-0067,304.913750,305.083750,think,I,sd,u-98-2
sw2598A-ms98-a-0067,305.083750,305.393750,Roseanne,I,sd,u-98-2
sw2598A-ms98-a-0067,305.393750,305.753750,Arquett,I,sd,u-98-2
sw2598A-ms98-a-0067,305.753750,305.893750,was,I,sd,u-98-2
sw2598A-ms98-a-0067,305.893750,306.013750,in,I,sd,u-98-2
sw2598A-ms98-a-0067,306.013750,306.133750,it,I,sd,u-98-2
sw2598A-ms98-a-0067,306.133750,306.343750,too,I,sd,u-98-2
sw2598A-ms98-a-0067,306.343750,306.613750,another,I,sd,u-98-2
sw2598A-ms98-a-0067,306.613750,306.773750,one,I,sd,u-98-2
sw2598A-ms98-a-0067,306.773750,306.933750,that,I,sd,u-98-2
sw2598A-ms98-a-0067,306.933750,307.043750,if,I,sd,u-98-2
sw2598A-ms98-a-0067,307.043750,307.133750,you,I,sd,u-98-2
sw2598A-ms98-a-0067,307.133750,307.453750,blink,I,sd,u-98-2
sw2598A-ms98-a-0067,307.453750,307.573750,you'd,I,sd,u-98-2
sw2598A-ms98-a-0067,307.573750,307.813750,miss,I,sd,u-98-2
sw2598A-ms98-a-0067,307.813750,308.003250,her,I,sd,u-98-2
sw2598A-ms98-a-0067,308.466500,309.238000,uh,B,%,u-98-3
sw2598A-ms98-a-0067,309.238000,309.753750,it,I,%,u-98-3
sw2598A-ms98-a-0067,309.753750,310.305625,was,I,%,u-98-3
sw2598A-ms98-a-0067,310.305625,310.503750,and,B,sd,u-98-4
sw2598A-ms98-a-0067,310.503750,310.553750,i,I,sd,u-98-4
sw2598A-ms98-a-0067,310.553750,310.743750,think,I,sd,u-98-4
sw2598A-ms98-a-0067,310.743750,310.803750,it,I,sd,u-98-4
sw2598A-ms98-a-0067,310.803750,310.893750,was,I,sd,u-98-4
sw2598A-ms98-a-0067,310.893750,311.023750,like,I,sd,u-98-4
sw2598A-ms98-a-0067,311.023750,311.063750,a,I,sd,u-98-4
sw2598A-ms98-a-0067,311.063750,311.343750,three,I,sd,u-98-4
sw2598A-ms98-a-0067,311.343750,311.583750,hour,I,sd,u-98-4
sw2598A-ms98-a-0067,311.583750,311.933750,movie,I,sd,u-98-4
sw2598A-ms98-a-0067,311.933750,312.043750,or,I,sd,u-98-4
sw2598A-ms98-a-0067,312.043750,312.193750,two,I,sd,u-98-4
sw2598A-ms98-a-0067,312.193750,312.283750,and,I,sd,u-98-4
sw2598A-ms98-a-0067,312.283750,312.313750,a,I,sd,u-98-4
sw2598A-ms98-a-0067,312.313750,312.513750,half,I,sd,u-98-4
sw2598A-ms98-a-0067,312.513750,312.943750,hours,I,sd,u-98-4
sw2598A-ms98-a-0067,312.943750,313.237625,and,B,sd,u-98-5
sw2598A-ms98-a-0067,313.603875,313.664125,and,I,sd,u-98-5
sw2598A-ms98-a-0067,313.664125,313.713750,it,I,sd,u-98-5
sw2598A-ms98-a-0067,313.713750,313.813750,was,I,sd,u-98-5
sw2598A-ms98-a-0067,313.813750,313.973750,one,I,sd,u-98-5
sw2598A-ms98-a-0067,313.973750,314.033750,of,I,sd,u-98-5
