sw3245A-ms98-a-0001,1.084875,1.714750,okay,B,bk,u-2-1
sw3245A-ms98-a-0050,177.942875,178.282875,tennis,I,sd,u-72-2
sw3245A-ms98-a-0050,178.282875,178.512875,shoes,I,sd,u-72-2
sw3245A-ms98-a-0050,178.512875,178.612875,if,I,sd,u-72-2
sw3245A-ms98-a-0050,178.612875,178.732875,you,I,sd,u-72-2
sw3245A-ms98-a-0050,178.732875,179.145750,want,I,sd,u-72-2
sw3245A-ms98-a-0050,179.823750,179.962875,so,B,sd,u-72-3
sw3245A-ms98-a-0050,179.962875,180.102875,they're,I,sd,u-72-3
sw3245A-ms98-a-0050,180.102875,180.352875,really,I,sd,u-72-3
sw3245A-ms98-a-0050,180.352875,180.914500,nice,I,sd,u-72-3
sw3245A-ms98-a-0050,181.703500,182.042875,and,B,sd,u-72-4
sw3245A-ms98-a-0050,182.042875,182.212875,i've,I,sd,u-72-4
sw3245A-ms98-a-0050,182.212875,182.562875,enjoyed,I,sd,u-72-4
sw3245A-ms98-a-0050,182.562875,182.812875,wearing,I,sd,u-72-4
sw3245A-ms98-a-0050,182.812875,183.335500,those,I,sd,u-72-4
sw3245A-ms98-a-0051,185.096500,185.251000,but,B,%,u-74-1
sw3245A-ms98-a-0051,185.251000,185.582375,i,I,%,u-74-1
sw3245A-ms98-a-0053,189.732875,190.188500,yeah,B,b,u-76-1
sw3245A-ms98-a-0053,190.188500,190.528500,well,B,sd,u-76-2
sw3245A-ms98-a-0053,190.528500,190.694375,i,I,sd,u-76-2
sw3245A-ms98-a-0053,190.694375,190.857000,don't,I,sd,u-76-2
sw3245A-ms98-a-0053,190.857000,191.217250,either,I,sd,u-76-2
sw3245A-ms98-a-0053,191.217250,191.446125,if,B,sd,u-76-3
sw3245A-ms98-a-0053,191.446125,191.544125,we,I,sd,u-76-3
sw3245A-ms98-a-0053,191.544125,191.731625,if,I,sd,u-76-3
sw3245A-ms98-a-0053,191.731625,191.828500,we,I,sd,u-76-3
sw3245A-ms98-a-0053,191.828500,192.008500,had,I,sd,u-76-3
sw3245A-ms98-a-0053,192.008500,192.708500,professional,I,sd,u-76-3
sw3245A-ms98-a-0053,192.708500,193.078500,jobs,I,sd,u-76-3
sw3245A-ms98-a-0053,193.078500,193.198500,where,I,sd,u-76-3
sw3245A-ms98-a-0053,193.198500,193.298500,we,I,sd,u-76-3
sw3245A-ms98-a-0053,193.298500,193.418500,go,I,sd,u-76-3
sw3245A-ms98-a-0053,193.418500,193.618500,into,I,sd,u-76-3
sw3245A-ms98-a-0053,193.618500,193.708500,an,I,sd,u-76-3
sw3245A-ms98-a-0053,193.708500,194.068500,office,I,sd,u-76-3
sw3245A-ms98-a-0053,194.068500,194.168500,and,I,sd,u-76-3
sw3245A-ms98-a-0053,194.168500,194.288500,have,I,sd,u-76-3
sw3245A-ms98-a-0053,194.288500,194.388500,to,I,sd,u-76-3
sw3245A-ms98-a-0053,194.388500,194.508500,wear,I,sd,u-76-3
sw3245A-ms98-a-0053,194.508500,194.578500,a,I,sd,u-76-3
sw3245A-ms98-a-0053,194.578500,194.998500,jacket,I,sd,u-76-3
sw3245A-ms98-a-0053,194.998500,195.078500,or,I,sd,u-76-3
sw3245A-ms98-a-0053,195.078500,195.578000,something,I,sd,u-76-3
sw3245A-ms98-a-0053,196.165500,196.338500,that,B,+,u-78-1
sw3245A-ms98-a-0053,196.338500,196.468500,would,I,+,u-78-1
sw3245A-ms98-a-0053,196.468500,196.668500,make,I,+,u-78-1
sw3245A-ms98-a-0053,196.668500,196.708500,a,I,+,u-78-1
sw3245A-ms98-a-0053,196.708500,196.888500,big,I,+,u-78-1
sw3245A-ms98-a-0053,196.888500,197.513625,difference,I,+,u-78-1
sw3245A-ms98-a-0054,198.110875,198.264125,i,B,sd,u-78-2
sw3245A-ms98-a-0054,198.264125,198.614125,worked,I,sd,u-78-2
sw3245A-ms98-a-0054,198.614125,198.904125,part,I,sd,u-78-2
sw3245A-ms98-a-0054,198.904125,199.284125,time,I,sd,u-78-2
sw3245A-ms98-a-0054,199.284125,199.464125,when,I,sd,u-78-2
sw3245A-ms98-a-0054,199.464125,199.762125,my,I,sd,u-78-2
sw3245A-ms98-a-0054,199.882625,200.314125,oldest,I,sd,u-78-2
sw3245A-ms98-a-0054,200.314125,200.444125,was,I,sd,u-78-2
sw3245A-ms98-a-0054,200.444125,200.494125,a,I,sd,u-78-2
sw3245A-ms98-a-0054,200.494125,200.966625,baby,I,sd,u-78-2
sw3245A-ms98-a-0055,201.554375,201.926625,and,B,sd,u-80-1
sw3245A-ms98-a-0055,201.926625,202.166625,um,I,sd,u-80-1
sw3245A-ms98-a-0055,202.166625,202.236625,i,I,sd,u-80-1
sw3245A-ms98-a-0055,202.236625,202.386625,had,I,sd,u-80-1
sw3245A-ms98-a-0055,202.386625,202.476625,to,I,sd,u-80-1
sw3245A-ms98-a-0055,202.476625,202.606625,wear,I,sd,u-80-1
sw3245A-ms98-a-0055,202.606625,202.646625,a,I,sd,u-80-1
sw3245A-ms98-a-0055,202.646625,203.006625,dress,I,sd,u-80-1
sw3245A-ms98-a-0055,203.006625,203.246625,every,I,sd,u-80-1
sw3245A-ms98-a-0055,203.246625,203.666625,day,I,sd,u-80-1
sw3245A-ms98-a-0055,203.666625,203.917500,and,B,sd,u-80-2
sw3245A-ms98-a-0057,206.598500,206.924625,and,B,+,u-82-1
sw3245A-ms98-a-0057,206.924625,207.014625,uh,I,+,u-82-1
sw3245A-ms98-a-0057,207.014625,207.204625,it,I,+,u-82-1
sw3245A-ms98-a-0057,207.204625,207.334625,was,I,+,u-82-1
sw3245A-ms98-a-0057,207.334625,207.404625,a,I,+,u-82-1
sw3245A-ms98-a-0057,207.404625,207.644625,little,I,+,u-82-1
sw3245A-ms98-a-0057,207.644625,207.844625,bit,I,+,u-82-1
sw3245A-ms98-a-0057,207.844625,208.174625,hard,I,+,u-82-1
sw3245A-ms98-a-0057,208.174625,208.454625,to,I,+,u-82-1
sw3245A-ms98-a-0057,208.454625,208.695625,uh,I,+,u-82-1
sw3245A-ms98-a-0058,209.899625,210.371000,wind,I,+,u-82-1
sw3245A-ms98-a-0058,210.371000,210.681000,down,I,+,u-82-1
sw3245A-ms98-a-0058,210.681000,210.791000,i,B,sd,u-82-2
sw3245A-ms98-a-0058,210.791000,210.921375,would,I,sd,u-82-2
sw3245A-ms98-a-0058,210.921375,211.081000,i,I,sd,u-82-2
sw3245A-ms98-a-0058,211.081000,211.189000,would,I,sd,u-82-2
sw3245A-ms98-a-0058,211.189000,211.411000,have,I,sd,u-82-2
sw3245A-ms98-a-0058,211.411000,211.541000,to,I,sd,u-82-2
sw3245A-ms98-a-0058,211.541000,211.891000,drive,I,sd,u-82-2
sw3245A-ms98-a-0058,211.891000,212.101000,six,I,sd,u-82-2
sw3245A-ms98-a-0058,212.101000,212.401000,thirty,I,sd,u-82-2
sw3245A-ms98-a-0058,212.401000,212.661000,five,I,sd,u-82-2
sw3245A-ms98-a-0058,212.661000,213.081000,home,I,sd,u-82-2
sw3245A-ms98-a-0058,213.081000,213.191000,and,B,sd,u-82-3
sw3245A-ms98-a-0058,213.191000,213.241000,i,I,sd,u-82-3
sw3245A-ms98-a-0058,213.241000,213.351000,would,I,sd,u-82-3
sw3245A-ms98-a-0058,213.351000,213.511000,be,I,sd,u-82-3
sw3245A-ms98-a-0058,213.511000,213.911000,burning,I,sd,u-82-3
sw3245A-ms98-a-0058,213.911000,214.151000,up,I,sd,u-82-3
sw3245A-ms98-a-0058,214.151000,214.341000,like,I,sd,u-82-3
sw3245A-ms98-a-0058,214.341000,214.411000,in,I,sd,u-82-3
sw3245A-ms98-a-0058,214.411000,214.511000,the,I,sd,u-82-3
sw3245A-ms98-a-0058,214.511000,214.789875,summer,I,sd,u-82-3
sw3245A-ms98-a-0058,214.789875,215.166500,time,I,sd,u-82-3
sw3245A-ms98-a-0058,215.497500,215.591000,by,B,sd,u-84-1
sw3245A-ms98-a-0058,215.591000,215.681000,the,I,sd,u-84-1
sw3245A-ms98-a-0058,215.681000,215.921000,time,I,sd,u-84-1
sw3245A-ms98-a-0058,215.921000,215.981000,i,I,sd,u-84-1
sw3245A-ms98-a-0058,215.981000,216.191000,got,I,sd,u-84-1
sw3245A-ms98-a-0058,216.191000,216.541000,home,I,sd,u-84-1
sw3245A-ms98-a-0058,216.541000,216.601000,i,I,sd,u-84-1
sw3245A-ms98-a-0058,216.601000,216.771000,was,I,sd,u-84-1
sw3245A-ms98-a-0058,216.771000,217.025375,like,I,sd,u-84-1
sw3245A-ms98-a-0058,217.025375,217.181000,oh,I,sd,u-84-1
sw3245A-ms98-a-0058,217.181000,217.271000,i,I,sd,u-84-1
sw3245A-ms98-a-0058,217.271000,217.401000,got,I,sd,u-84-1
sw3245A-ms98-a-0058,217.401000,217.461000,to,I,sd,u-84-1
sw3245A-ms98-a-0058,217.461000,217.571000,get,I,sd,u-84-1
sw3245A-ms98-a-0058,217.571000,217.641000,out,I,sd,u-84-1
sw3245A-ms98-a-0058,217.641000,217.701000,of,I,sd,u-84-1
sw3245A-ms98-a-0058,217.701000,217.841000,these,I,sd,u-84-1
sw3245A-ms98-a-0058,217.841000,218.451375,clothes,I,sd,u-84-1
sw3245A-ms98-a-0058,218.451375,218.818125,[laughter],O,,
sw3245A-ms98-a-0060,224.268625,224.633250,uh-huh,B,b,u-86-1
sw3245A-ms98-a-0062,227.513250,227.922375,uh-huh,O,,
sw3245A-ms98-a-0064,230.728375,231.134500,right,B,aa,u-88-1
sw3245A-ms98-a-0064,231.571375,232.149000,right,B,aa,u-90-1
sw3245A-ms98-a-0065,233.806625,234.305250,yeah,B,b,u-92-1
sw3245A-ms98-a-0066,235.504750,236.092875,yeah,B,b,u-94-1
sw3245A-ms98-a-0067,237.408000,237.556375,yeah,B,b,u-96-1
sw3245A-ms98-a-0067,237.556375,237.696375,and,B,sd,u-96-2
sw3245A-ms98-a-0067,237.696375,237.836375,then,I,sd,u-96-2
sw3245A-ms98-a-0067,237.836375,237.966375,when,I,sd,u-96-2
sw3245A-ms98-a-0067,237.966375,238.116375,you,I,sd,u-96-2
sw3245A-ms98-a-0067,238.116375,238.496375,drive,I,sd,u-96-2
sw3245A-ms98-a-0067,238.496375,238.896375,home,I,sd,u-96-2
sw3245A-ms98-a-0067,238.896375,239.086375,like,I,sd,u-96-2
sw3245A-ms98-a-0067,239.086375,239.586375,especially,I,sd,u-96-2
sw3245A-ms98-a-0067,239.586375,239.676375,if,I,sd,u-96-2
sw3245A-ms98-a-0067,239.676375,239.766375,you're,I,sd,u-96-2
sw3245A-ms98-a-0067,239.766375,239.856375,in,I,sd,u-96-2
sw3245A-ms98-a-0067,239.856375,239.896375,a,I,sd,u-96-2
sw3245A-ms98-a-0067,239.896375,240.106375,lot,I,sd,u-96-2
sw3245A-ms98-a-0067,240.106375,240.186375,of,I,sd,u-96-2
sw3245A-ms98-a-0067,240.186375,240.666375,traffic,I,sd,u-96-2
sw3245A-ms98-a-0067,240.666375,240.836375,which,B,+,u-98-1
sw3245A-ms98-a-0067,240.836375,240.966375,you,I,+,u-98-1
sw3245A-ms98-a-0067,240.966375,241.156375,are,I,+,u-98-1
sw3245A-ms98-a-0067,241.156375,241.236375,in,I,+,u-98-1
sw3245A-ms98-a-0067,241.236375,241.756375,Dallas,I,+,u-98-1
sw3245A-ms98-a-0067,241.756375,242.135875,uh-huh,B,b,u-98-2
sw3245A-ms98-a-0067,242.512500,242.796375,because,B,sd,u-100-1
sw3245A-ms98-a-0067,242.796375,242.876375,i,I,sd,u-100-1
sw3245A-ms98-a-0067,242.876375,243.116375,always,I,sd,u-100-1
sw3245A-ms98-a-0067,243.116375,243.406375,hated,I,sd,u-100-1
sw3245A-ms98-a-0067,243.406375,243.506375,to,I,sd,u-100-1
sw3245A-ms98-a-0067,243.506375,243.646375,run,I,sd,u-100-1
sw3245A-ms98-a-0067,243.646375,243.726375,my,I,sd,u-100-1
sw3245A-ms98-a-0067,243.726375,243.896375,air,I,sd,u-100-1
sw3245A-ms98-a-0067,243.896375,244.396375,conditioner,I,sd,u-100-1
sw3245A-ms98-a-0067,244.396375,244.646375,just,I,sd,u-100-1
sw3245A-ms98-a-0067,244.646375,244.886375,sitting,I,sd,u-100-1
sw3245A-ms98-a-0067,244.886375,245.316375,still,I,sd,u-100-1
sw3245A-ms98-a-0067,245.316375,245.456375,all,I,sd,u-100-1
sw3245A-ms98-a-0067,245.456375,245.526375,the,I,sd,u-100-1
sw3245A-ms98-a-0067,245.526375,245.856375,time,I,sd,u-100-1
sw3245A-ms98-a-0067,245.856375,245.916375,i,B,sd,u-102-1
sw3245A-ms98-a-0067,245.916375,246.006375,was,I,sd,u-102-1
sw3245A-ms98-a-0067,246.006375,246.396375,afraid,I,sd,u-102-1
sw3245A-ms98-a-0067,246.396375,246.636375,i'd,I,sd,u-102-1
sw3245A-ms98-a-0067,246.636375,246.806375,make,I,sd,u-102-1
sw3245A-ms98-a-0067,246.806375,246.866375,the,I,sd,u-102-1
sw3245A-ms98-a-0067,246.866375,247.136375,car,I,sd,u-102-1
sw3245A-ms98-a-0067,247.136375,247.590375,overheat,I,sd,u-102-1
sw3245A-ms98-a-0068,248.720250,249.294250,yeah,B,b,u-104-1
sw3245A-ms98-a-0068,249.294250,249.417125,so,B,sd,u-104-2
sw3245A-ms98-a-0068,249.417125,249.527125,i,I,sd,u-104-2
sw3245A-ms98-a-0068,249.527125,249.677125,would,I,sd,u-104-2
sw3245A-ms98-a-0068,249.677125,249.817125,roll,I,sd,u-104-2
sw3245A-ms98-a-0068,249.817125,249.927125,my,I,sd,u-104-2
sw3245A-ms98-a-0068,249.927125,250.267125,windows,I,sd,u-104-2
sw3245A-ms98-a-0068,250.267125,250.707125,down,I,sd,u-104-2
sw3245A-ms98-a-0068,250.707125,250.827125,it,B,sd,u-104-3
sw3245A-ms98-a-0068,250.827125,250.947125,was,I,sd,u-104-3
sw3245A-ms98-a-0068,250.947125,251.177125,still,I,sd,u-104-3
sw3245A-ms98-a-0068,251.177125,251.277125,a,I,sd,u-104-3
sw3245A-ms98-a-0068,251.277125,251.537125,hundred,I,sd,u-104-3
sw3245A-ms98-a-0068,251.537125,251.862375,degrees,I,sd,u-104-3
sw3245A-ms98-a-0068,251.862375,252.822875,[laughter],O,,
sw3245A-ms98-a-0068,252.822875,253.037125,and,B,sd,u-106-1
sw3245A-ms98-a-0068,253.037125,253.147125,i,I,sd,u-106-1
sw3245A-ms98-a-0068,253.147125,253.357125,would,I,sd,u-106-1
sw3245A-ms98-a-0068,253.357125,253.637125,just,I,sd,u-106-1
sw3245A-ms98-a-0068,253.637125,253.885250,be,I,sd,u-106-1
sw3245A-ms98-a-0068,253.885250,254.607125,sweltering,I,sd,u-106-1
sw3245A-ms98-a-0068,254.607125,254.827125,hot,I,sd,u-106-1
sw3245A-ms98-a-0068,254.827125,254.907125,by,I,sd,u-106-1
sw3245A-ms98-a-0068,254.907125,254.987125,the,I,sd,u-106-1
sw3245A-ms98-a-0068,254.987125,255.217125,time,I,sd,u-106-1
sw3245A-ms98-a-0068,255.217125,255.277125,i,I,sd,u-106-1
sw3245A-ms98-a-0068,255.277125,255.497125,picked,I,sd,u-106-1
sw3245A-ms98-a-0068,255.497125,255.666750,my,I,sd,u-106-1
sw3245A-ms98-a-0068,255.666750,255.977125,daughter,I,sd,u-106-1
sw3245A-ms98-a-0068,255.977125,256.317125,up,I,sd,u-106-1
sw3245A-ms98-a-0068,256.317125,256.466000,and,B,sd,u-106-2
sw3245A-ms98-a-0069,257.166250,257.448500,um,B,+,u-108-1
sw3245A-ms98-a-0069,257.730500,257.840500,i,I,+,u-108-1
sw3245A-ms98-a-0069,257.840500,258.000500,had,I,+,u-108-1
sw3245A-ms98-a-0069,258.000500,258.050500,a,I,+,u-108-1
sw3245A-ms98-a-0069,258.050500,258.360500,friend,I,+,u-108-1
sw3245A-ms98-a-0069,258.360500,258.420500,who,I,+,u-108-1
sw3245A-ms98-a-0069,258.420500,258.630500,used,I,+,u-108-1
sw3245A-ms98-a-0069,258.630500,258.710500,to,I,+,u-108-1
sw3245A-ms98-a-0069,258.710500,258.967000,take,I,+,u-108-1
sw3245A-ms98-a-0069,258.967000,259.500500,shorts,I,+,u-108-1
sw3245A-ms98-a-0069,259.500500,259.630500,to,I,+,u-108-1
sw3245A-ms98-a-0069,259.630500,260.078625,work,I,+,u-108-1
sw3245A-ms98-a-0069,260.078625,260.400500,and,B,sd,u-108-2
sw3245A-ms98-a-0069,260.400500,260.710500,after,I,sd,u-108-2
sw3245A-ms98-a-0069,260.710500,261.010500,work,I,sd,u-108-2
sw3245A-ms98-a-0069,261.010500,261.190500,she'd,I,sd,u-108-2
sw3245A-ms98-a-0069,261.190500,261.310500,go,I,sd,u-108-2
sw3245A-ms98-a-0069,261.310500,261.370500,in,I,sd,u-108-2
sw3245A-ms98-a-0069,261.370500,261.430500,the,I,sd,u-108-2
sw3245A-ms98-a-0069,261.430500,261.777750,bathroom,I,sd,u-108-2
sw3245A-ms98-a-0069,261.777750,261.954750,[laughter],I,sd,u-108-2
sw3245A-ms98-a-0069,261.954750,262.130500,and,I,sd,u-108-2
sw3245A-ms98-a-0069,262.130500,262.380500,change,I,sd,u-108-2
sw3245A-ms98-a-0069,262.380500,262.500125,her,I,sd,u-108-2
sw3245A-ms98-a-0069,262.500125,263.101000,clothes,I,sd,u-108-2
sw3245A-ms98-a-0069,263.726250,263.890500,and,B,sd(^q),u-110-1
sw3245A-ms98-a-0069,263.890500,263.970500,i,I,sd(^q),u-110-1
sw3245A-ms98-a-0069,263.970500,264.170500,thought,I,sd(^q),u-110-1
sw3245A-ms98-a-0069,264.170500,264.350500,that's,I,sd(^q),u-110-1
sw3245A-ms98-a-0069,264.350500,264.650500,probably,I,sd(^q),u-110-1
sw3245A-ms98-a-0069,264.650500,264.700500,a,I,sd(^q),u-110-1
sw3245A-ms98-a-0069,264.700500,264.870500,good,I,sd(^q),u-110-1
sw3245A-ms98-a-0069,264.870500,265.403375,idea,I,sd(^q),u-110-1
sw3245A-ms98-a-0069,265.403375,266.823000,[laughter],O,,
sw3245A-ms98-a-0070,267.041500,267.319375,because_1,O,,
sw3245A-ms98-a-0070,267.319375,267.509125,you,B,+,u-112-1
sw3245A-ms98-a-0070,267.509125,267.889125,really,I,+,u-112-1
sw3245A-ms98-a-0070,267.889125,267.976375,i[t]-,O,,
sw3245A-ms98-a-0071,268.737375,268.953875,yeah,B,aa,u-114-1
sw3245A-ms98-a-0071,268.953875,269.143875,because_1,O,,
sw3245A-ms98-a-0071,269.143875,269.233875,you,B,sv,u-114-2
sw3245A-ms98-a-0071,269.233875,269.403875,can,I,sv,u-114-2
sw3245A-ms98-a-0071,269.403875,269.623875,ruin,I,sv,u-114-2
sw3245A-ms98-a-0071,269.623875,269.723875,your,I,sv,u-114-2
sw3245A-ms98-a-0071,269.723875,269.893875,good,I,sv,u-114-2
sw3245A-ms98-a-0071,269.893875,270.293875,clothes,I,sv,u-114-2
sw3245A-ms98-a-0071,270.293875,270.533875,getting,I,sv,u-114-2
sw3245A-ms98-a-0071,270.533875,270.673875,so,I,sv,u-114-2
sw3245A-ms98-a-0071,270.673875,270.943875,hot,I,sv,u-114-2
sw3245A-ms98-a-0071,270.943875,271.063875,in,I,sv,u-114-2
sw3245A-ms98-a-0071,271.063875,271.203875,them_1,I,sv,u-114-2
sw3245A-ms98-a-0071,271.203875,271.343875,if,I,sv,u-114-2
sw3245A-ms98-a-0071,271.343875,271.506875,you,I,sv,u-114-2
sw3245A-ms98-a-0072,272.053625,272.350125,especially,B,+,u-116-1
sw3245A-ms98-a-0072,272.350125,272.470125,if,I,+,u-116-1
sw3245A-ms98-a-0072,272.470125,272.590125,it's,I,+,u-116-1
sw3245A-ms98-a-0072,272.590125,272.800125,something,I,+,u-116-1
sw3245A-ms98-a-0072,272.800125,272.890125,that,I,+,u-116-1
sw3245A-ms98-a-0072,272.890125,272.980125,has,I,+,u-116-1
sw3245A-ms98-a-0072,272.980125,273.040125,to,I,+,u-116-1
sw3245A-ms98-a-0072,273.040125,273.150125,be,I,+,u-116-1
sw3245A-ms98-a-0072,273.150125,273.411750,dry,I,+,u-116-1
sw3245A-ms98-a-0072,273.411750,273.879000,cleaned,I,+,u-116-1
sw3245A-ms98-a-0072,274.199125,274.320125,which,I,+,u-116-1
sw3245A-ms98-a-0072,274.320125,274.450125,i,I,+,u-116-1
sw3245A-ms98-a-0072,274.450125,274.670125,don't,I,+,u-116-1
sw3245A-ms98-a-0072,274.670125,274.880125,have,I,+,u-116-1
sw3245A-ms98-a-0072,274.880125,275.087125,any,I,+,u-116-1
sw3245A-ms98-a-0072,275.087125,276.160125,[laughter-of],O,,
sw3245A-ms98-a-0073,277.711500,278.136375,no,B,aa,u-118-1
sw3245A-ms98-a-0073,278.136375,278.246375,when,B,sd,u-118-2
sw3245A-ms98-a-0073,278.246375,278.366375,you,I,sd,u-118-2
sw3245A-ms98-a-0073,278.366375,278.526375,have,I,sd,u-118-2
sw3245A-ms98-a-0073,278.526375,278.976375,children,I,sd,u-118-2
sw3245A-ms98-a-0073,278.976375,279.066375,you,I,sd,u-118-2
sw3245A-ms98-a-0073,279.066375,279.446375,don't,I,sd,u-118-2
sw3245A-ms98-a-0073,279.446375,279.794875,um,B,sd,u-118-3
sw3245A-ms98-a-0073,280.118875,280.356375,even,I,sd,u-118-3
sw3245A-ms98-a-0073,280.356375,280.486375,when,I,sd,u-118-3
sw3245A-ms98-a-0073,280.486375,280.556375,i,I,sd,u-118-3
sw3245A-ms98-a-0073,280.556375,280.676375,go,I,sd,u-118-3
sw3245A-ms98-a-0073,280.676375,280.796375,to,I,sd,u-118-3
sw3245A-ms98-a-0073,280.796375,281.096375,church,I,sd,u-118-3
sw3245A-ms98-a-0073,281.096375,281.156375,i,I,sd,u-118-3
sw3245A-ms98-a-0073,281.156375,281.266375,have,I,sd,u-118-3
sw3245A-ms98-a-0073,281.266375,281.346375,to,I,sd,u-118-3
sw3245A-ms98-a-0073,281.346375,281.446375,have,I,sd,u-118-3
sw3245A-ms98-a-0073,281.446375,281.686375,something,I,sd,u-118-3
sw3245A-ms98-a-0073,281.686375,281.736375,i,I,sd,u-118-3
sw3245A-ms98-a-0073,281.736375,281.856375,can,I,sd,u-118-3
sw3245A-ms98-a-0073,281.856375,282.026375,just,I,sd,u-118-3
sw3245A-ms98-a-0073,282.026375,282.156375,throw,I,sd,u-118-3
sw3245A-ms98-a-0073,282.156375,282.256375,in,I,sd,u-118-3
sw3245A-ms98-a-0073,282.256375,282.336375,the,I,sd,u-118-3
sw3245A-ms98-a-0073,282.336375,282.716375,washer,I,sd,u-118-3
sw3245A-ms98-a-0073,282.716375,282.866375,when,I,sd,u-118-3
sw3245A-ms98-a-0073,282.866375,282.986375,i'm,I,sd,u-118-3
sw3245A-ms98-a-0073,282.986375,283.517875,through,I,sd,u-118-3
sw3245A-ms98-a-0075,286.213125,286.527125,that's,B,aa@,u-120-1
sw3245A-ms98-a-0075,286.527125,287.095875,right,I,aa@,u-120-1
sw3245A-ms98-a-0075,287.336000,287.417125,or,I,aa@,u-120-1
sw3245A-ms98-a-0075,287.417125,287.547125,if,I,aa@,u-120-1
sw3245A-ms98-a-0075,287.547125,287.677125,you,I,aa@,u-120-1
sw3245A-ms98-a-0075,287.677125,287.847125,get,I,aa@,u-120-1
sw3245A-ms98-a-0075,287.847125,288.007125,it,I,aa@,u-120-1
sw3245A-ms98-a-0075,288.007125,288.437125,dirty,I,aa@,u-120-1
sw3245A-ms98-a-0075,288.437125,288.567125,or,I,aa@,u-120-1
sw3245A-ms98-a-0075,288.567125,289.157125,whatever,I,aa@,u-120-1
sw3245A-ms98-a-0075,289.157125,289.237125,i,B,aa,u-120-2
sw3245A-ms98-a-0075,289.237125,289.507125,know,I,aa,u-120-2
sw3245A-ms98-a-0075,289.507125,289.643375,it,I,aa,u-120-2
sw3245A-ms98-a-0077,291.980000,292.193750,me,B,aa,u-122-1
sw3245A-ms98-a-0077,292.193750,292.607750,too,I,aa,u-122-1
sw3245A-ms98-a-0078,293.801500,294.012000,i,B,aa,u-124-1
sw3245A-ms98-a-0078,294.012000,294.506500,know,I,aa,u-124-1
sw3245A-ms98-a-0078,294.506500,294.792000,that's,B,sd,u-124-2
sw3245A-ms98-a-0078,294.792000,294.962000,how,I,sd,u-124-2
sw3245A-ms98-a-0078,294.962000,295.112000,i,I,sd,u-124-2
sw3245A-ms98-a-0078,295.112000,295.372000,am,I,sd,u-124-2
sw3245A-ms98-a-0078,295.372000,295.802125,too,I,sd,u-124-2
sw3245A-ms98-a-0079,297.114125,297.543500,right,B,aa,u-126-1
sw3245A-ms98-a-0079,297.543500,297.839875,me,B,aa,u-126-2
sw3245A-ms98-a-0079,297.839875,298.235500,neither,I,aa,u-126-2
sw3245A-ms98-a-0079,298.235500,298.315500,i,B,%,u-126-3
sw3245A-ms98-a-0079,298.315500,298.514500,have,I,%,u-126-3
