sw3651B-ms98-a-0003,3.562125,3.702125,what,B,qw,u-2-1
sw3651B-ms98-a-0029,189.526500,189.756500,set,I,sd,u-48-1
sw3651B-ms98-a-0029,189.756500,189.836500,the,I,sd,u-48-1
sw3651B-ms98-a-0029,189.836500,190.016500,wood,I,sd,u-48-1
sw3651B-ms98-a-0029,190.016500,190.226500,down,I,sd,u-48-1
sw3651B-ms98-a-0029,190.226500,190.346500,and,B,sd,u-48-2
sw3651B-ms98-a-0029,190.346500,190.426500,you,I,sd,u-48-2
sw3651B-ms98-a-0029,190.426500,190.606500,move,I,sd,u-48-2
sw3651B-ms98-a-0029,190.606500,190.686500,the,I,sd,u-48-2
sw3651B-ms98-a-0029,190.686500,191.196500,saw,I,sd,u-48-2
sw3651B-ms98-a-0029,191.196500,191.536500,whereas,B,sv,u-50-1
sw3651B-ms98-a-0029,191.536500,191.676500,if,I,sv,u-50-1
sw3651B-ms98-a-0029,191.676500,191.866500,you're,I,sv,u-50-1
sw3651B-ms98-a-0029,191.866500,192.256500,ripping,I,sv,u-50-1
sw3651B-ms98-a-0029,192.256500,192.610250,wood,I,sv,u-50-1
sw3651B-ms98-a-0029,193.013250,193.126500,you're,I,sv,u-50-1
sw3651B-ms98-a-0029,193.126500,193.666250,probably,I,sv,u-50-1
sw3651B-ms98-a-0029,193.835750,194.136500,better,I,sv,u-50-1
sw3651B-ms98-a-0029,194.136500,194.476500,off,I,sv,u-50-1
sw3651B-ms98-a-0029,194.476500,194.733625,with,I,sv,u-50-1
sw3651B-ms98-a-0029,194.733625,195.060875,a,I,sv,u-50-1
sw3651B-ms98-a-0029,195.060875,195.306500,a,I,sv,u-50-1
sw3651B-ms98-a-0029,195.306500,195.726500,table,I,sv,u-50-1
sw3651B-ms98-a-0029,195.726500,196.120500,saw,I,sv,u-50-1
sw3651B-ms98-a-0031,211.337625,211.671750,yeah,B,aa,u-52-1
sw3651B-ms98-a-0031,211.870625,212.017625,uh,B,sd,u-54-1
sw3651B-ms98-a-0031,212.017625,212.267625,that,I,sd,u-54-1
sw3651B-ms98-a-0031,212.267625,212.437625,that's,I,sd,u-54-1
sw3651B-ms98-a-0031,212.437625,212.797625,partly,I,sd,u-54-1
sw3651B-ms98-a-0031,212.797625,212.927625,my,I,sd,u-54-1
sw3651B-ms98-a-0031,212.927625,213.337625,problem,I,sd,u-54-1
sw3651B-ms98-a-0031,213.337625,213.487625,now,I,sd,u-54-1
sw3651B-ms98-a-0031,213.487625,213.577625,is,O,,
sw3651B-ms98-a-0031,213.577625,213.657625,i,B,sd,u-54-2
sw3651B-ms98-a-0031,213.657625,213.827625,don't,I,sd,u-54-2
sw3651B-ms98-a-0031,213.827625,213.997625,have,I,sd,u-54-2
sw3651B-ms98-a-0031,213.997625,214.247625,room,I,sd,u-54-2
sw3651B-ms98-a-0031,214.247625,214.387625,for,I,sd,u-54-2
sw3651B-ms98-a-0031,214.387625,214.786125,this,I,sd,u-54-2
sw3651B-ms98-a-0031,215.603500,215.802875,i,B,%,u-54-3
sw3651B-ms98-a-0031,215.802875,216.048500,uh,I,%,u-54-3
sw3651B-ms98-a-0032,217.198625,217.308625,a,O,,
sw3651B-ms98-a-0032,217.308625,217.728625,we're,O,,
sw3651B-ms98-a-0032,217.728625,218.163375,uh,B,sd,u-54-4
sw3651B-ms98-a-0032,218.453375,218.628625,where,I,sd,u-54-4
sw3651B-ms98-a-0032,218.628625,218.728625,we,I,sd,u-54-4
sw3651B-ms98-a-0032,218.728625,218.928625,lived,I,sd,u-54-4
sw3651B-ms98-a-0032,218.928625,219.358625,before,I,sd,u-54-4
sw3651B-ms98-a-0032,219.358625,219.509125,up,I,sd,u-54-4
sw3651B-ms98-a-0032,219.509125,220.018625,north,I,sd,u-54-4
sw3651B-ms98-a-0032,220.018625,220.285125,uh,I,sd,u-54-4
sw3651B-ms98-a-0032,220.526250,221.068625,basements,B,+,u-56-1
sw3651B-ms98-a-0032,221.068625,221.371250,were,I,+,u-56-1
sw3651B-ms98-a-0032,221.371250,221.538625,were,I,+,u-56-1
sw3651B-ms98-a-0032,221.538625,222.018625,common,I,+,u-56-1
sw3651B-ms98-a-0032,222.018625,222.168625,and,B,sd,u-56-2
sw3651B-ms98-a-0032,222.168625,222.228625,i,B,+,u-58-1
sw3651B-ms98-a-0032,222.228625,222.508625,could've,I,+,u-58-1
sw3651B-ms98-a-0032,222.508625,222.658625,put,I,+,u-58-1
sw3651B-ms98-a-0032,222.658625,222.798625,all,I,+,u-58-1
sw3651B-ms98-a-0032,222.798625,222.928625,this,I,+,u-58-1
sw3651B-ms98-a-0032,222.928625,223.168625,stuff,I,+,u-58-1
sw3651B-ms98-a-0032,223.168625,223.238625,in,I,+,u-58-1
sw3651B-ms98-a-0032,223.238625,223.368625,my,I,+,u-58-1
sw3651B-ms98-a-0032,223.368625,223.888625,basement,I,+,u-58-1
sw3651B-ms98-a-0032,223.888625,224.075875,but,B,sd,u-58-2
sw3651B-ms98-a-0032,225.010000,225.268625,not,B,+,u-60-1
sw3651B-ms98-a-0032,225.268625,225.448625,so,I,+,u-60-1
sw3651B-ms98-a-0032,225.448625,225.688625,here,I,+,u-60-1
sw3651B-ms98-a-0032,225.688625,225.748625,in,I,+,u-60-1
sw3651B-ms98-a-0032,225.748625,226.360500,Texas,I,+,u-60-1
sw3651B-ms98-a-0034,238.047750,238.357750,yeah,B,b,u-62-1
sw3651B-ms98-a-0034,238.357750,238.651250,[vocalized-noise],O,,
sw3651B-ms98-a-0036,272.952625,273.220625,um-hum,B,b,u-64-1
sw3651B-ms98-a-0038,285.730500,285.850500,have,B,qy,u-66-1
sw3651B-ms98-a-0038,285.850500,285.970500,you,I,qy,u-66-1
sw3651B-ms98-a-0038,285.970500,286.130500,ever,I,qy,u-66-1
sw3651B-ms98-a-0038,286.130500,286.410500,used,I,qy,u-66-1
sw3651B-ms98-a-0038,286.410500,286.460500,a,I,qy,u-66-1
sw3651B-ms98-a-0038,286.460500,286.832500,lathe,I,qy,u-66-1
