sw2676A-ms98-a-0003,3.186500,3.671250,both,B,sd,u-2-1
sw2676A-ms98-a-0069,259.501500,259.941500,cats,I,sd(^q),u-98-4
sw2676A-ms98-a-0069,259.941500,260.141500,and,I,sd(^q),u-98-4
sw2676A-ms98-a-0069,260.141500,260.566375,dogs,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,260.974500,261.375625,said,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,261.375625,261.785625,something,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,261.785625,261.915625,to,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,261.915625,262.005625,the,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,262.005625,262.385625,effect,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,262.385625,262.536250,of,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,262.607750,262.970125,now,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,262.970125,263.235625,we've,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,263.235625,263.695625,made,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,263.695625,263.775625,the,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,263.775625,264.385625,national,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,264.385625,264.785625,news,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,264.785625,265.055625,don't,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,265.055625,265.175625,get,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,265.175625,265.827875,upset,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,266.291125,266.455625,and,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,266.455625,266.665625,don't,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,266.665625,266.925625,worry,I,sd(^q),u-98-4
sw2676A-ms98-a-0070,266.925625,267.085625,it's,B,sd,u-98-5
sw2676A-ms98-a-0070,267.085625,267.275625,in,I,sd,u-98-5
sw2676A-ms98-a-0070,267.275625,267.872875,Garland,I,sd,u-98-5
sw2676A-ms98-a-0070,268.129000,268.355625,where,I,sd,u-98-5
sw2676A-ms98-a-0070,268.355625,268.495625,all,I,sd,u-98-5
sw2676A-ms98-a-0070,268.495625,268.565625,the,I,sd,u-98-5
sw2676A-ms98-a-0070,268.565625,268.845625,bad,I,sd,u-98-5
sw2676A-ms98-a-0070,268.845625,269.135625,weather,I,sd,u-98-5
sw2676A-ms98-a-0070,269.135625,269.409375,is,I,sd,u-98-5
sw2676A-ms98-a-0070,269.409375,269.505625,i,B,sd(^q),u-98-6
sw2676A-ms98-a-0070,269.505625,269.705625,said,I,sd(^q),u-98-6
sw2676A-ms98-a-0070,269.705625,270.126250,okay,I,sd(^q),u-98-6
sw2676A-ms98-a-0071,270.566125,270.664750,you,I,sd(^q),u-98-6
sw2676A-ms98-a-0071,270.664750,270.814750,know,I,sd(^q),u-98-6
sw2676A-ms98-a-0071,270.814750,271.574750,and,B,sd,u-100-1
sw2676A-ms98-a-0071,271.574750,271.704750,i,I,sd,u-100-1
sw2676A-ms98-a-0071,271.704750,272.154750,watched,I,sd,u-100-1
sw2676A-ms98-a-0071,272.154750,272.224750,the,I,sd,u-100-1
sw2676A-ms98-a-0071,272.224750,272.694750,news,I,sd,u-100-1
sw2676A-ms98-a-0071,272.694750,272.814750,and,B,sd,u-100-2
sw2676A-ms98-a-0071,272.814750,272.984750,i,I,sd,u-100-2
sw2676A-ms98-a-0071,272.984750,273.224750,thought,I,sd,u-100-2
sw2676A-ms98-a-0071,273.224750,273.374750,ha,I,sd,u-100-2
sw2676A-ms98-a-0071,273.374750,273.694750,ha,I,sd,u-100-2
sw2676A-ms98-a-0071,273.694750,273.944750,that's,I,sd,u-100-2
sw2676A-ms98-a-0071,273.944750,274.394750,Garland,I,sd,u-100-2
sw2676A-ms98-a-0071,274.394750,274.584750,that's,I,sd,u-100-2
sw2676A-ms98-a-0071,274.584750,274.804750,not,I,sd,u-100-2
sw2676A-ms98-a-0071,274.804750,275.224750,Plano,I,sd,u-100-2
sw2676A-ms98-a-0071,275.224750,275.334750,i,B,sd,u-100-3
sw2676A-ms98-a-0071,275.334750,275.524750,don't,I,sd,u-100-3
sw2676A-ms98-a-0071,275.524750,275.614750,have,I,sd,u-100-3
sw2676A-ms98-a-0071,275.614750,276.014750,anything,I,sd,u-100-3
sw2676A-ms98-a-0071,276.014750,276.094750,to,I,sd,u-100-3
sw2676A-ms98-a-0071,276.094750,276.344750,worry,I,sd,u-100-3
sw2676A-ms98-a-0071,276.344750,276.538250,about,I,sd,u-100-3
sw2676A-ms98-a-0071,276.865875,277.020250,i,B,sd,u-100-4
sw2676A-ms98-a-0071,277.020250,277.144750,was,I,sd,u-100-4
sw2676A-ms98-a-0071,277.144750,277.274750,on,I,sd,u-100-4
sw2676A-ms98-a-0071,277.274750,277.334750,the,I,sd,u-100-4
sw2676A-ms98-a-0071,277.334750,277.684750,plane,I,sd,u-100-4
sw2676A-ms98-a-0071,277.684750,278.024750,heading,I,sd,u-100-4
sw2676A-ms98-a-0071,278.024750,278.244750,back,I,sd,u-100-4
sw2676A-ms98-a-0071,278.244750,278.374750,to,I,sd,u-100-4
sw2676A-ms98-a-0071,278.374750,278.754750,Dallas,I,sd,u-100-4
sw2676A-ms98-a-0071,278.754750,278.974750,before,I,sd,u-100-4
sw2676A-ms98-a-0071,278.974750,279.074750,it,I,sd,u-100-4
sw2676A-ms98-a-0071,279.074750,279.304750,dawned,I,sd,u-100-4
sw2676A-ms98-a-0071,279.304750,279.364750,on,I,sd,u-100-4
sw2676A-ms98-a-0071,279.364750,279.454750,me,I,sd,u-100-4
sw2676A-ms98-a-0071,279.454750,279.999625,stupid,I,sd,u-100-4
sw2676A-ms98-a-0071,280.391375,280.534750,you,I,sd,u-100-4
sw2676A-ms98-a-0071,280.534750,280.774750,own,I,sd,u-100-4
sw2676A-ms98-a-0071,280.774750,281.435500,property,I,sd,u-100-4
sw2676A-ms98-a-0071,281.435500,281.644750,in,I,sd,u-100-4
sw2676A-ms98-a-0071,281.644750,282.154750,Garland,I,sd,u-100-4
sw2676A-ms98-a-0071,282.154750,282.580500,[laughter],O,,
sw2676A-ms98-a-0072,282.660000,283.891875,[laughter],O,,
sw2676A-ms98-a-0072,283.891875,284.160000,felt,B,sd,u-102-1
sw2676A-ms98-a-0072,284.160000,284.885500,so,I,sd,u-102-1
sw2676A-ms98-a-0072,285.468875,286.190750,dumb,I,sd,u-102-1
sw2676A-ms98-a-0072,286.533500,286.958000,finally,B,sd,u-104-1
sw2676A-ms98-a-0072,286.958000,287.157625,i,I,sd,u-104-1
sw2676A-ms98-a-0072,287.157625,287.310000,got,I,sd,u-104-1
sw2676A-ms98-a-0072,287.310000,287.500000,home,I,sd,u-104-1
sw2676A-ms98-a-0072,287.500000,287.740000,found,I,sd,u-104-1
sw2676A-ms98-a-0072,287.740000,287.810000,out,I,sd,u-104-1
sw2676A-ms98-a-0072,287.810000,287.910000,my,I,sd,u-104-1
sw2676A-ms98-a-0072,287.910000,288.310000,property,I,sd,u-104-1
sw2676A-ms98-a-0072,288.310000,288.510000,was,I,sd,u-104-1
sw2676A-ms98-a-0072,288.510000,288.810000,okay,I,sd,u-104-1
sw2676A-ms98-a-0072,288.810000,288.930000,there,B,sd,u-106-1
sw2676A-ms98-a-0072,288.930000,289.130000,was,I,sd,u-106-1
sw2676A-ms98-a-0072,289.130000,289.230000,no,I,sd,u-106-1
sw2676A-ms98-a-0072,289.230000,289.780000,problem,I,sd,u-106-1
sw2676A-ms98-a-0072,289.780000,289.950500,with,I,sd,u-106-1
sw2676A-ms98-a-0072,289.950500,290.097125,it,I,sd,u-106-1
sw2676A-ms98-a-0072,290.549125,290.694750,but,B,sv,u-106-2
sw2676A-ms98-a-0072,290.694750,290.879250,i,I,sv,u-106-2
sw2676A-ms98-a-0072,290.879250,291.120000,guess,I,sv,u-106-2
sw2676A-ms98-a-0072,291.120000,291.220000,you,I,sv,u-106-2
sw2676A-ms98-a-0072,291.220000,291.430000,just,I,sv,u-106-2
sw2676A-ms98-a-0072,291.430000,291.630000,tend,I,sv,u-106-2
sw2676A-ms98-a-0072,291.630000,291.760000,to,I,sv,u-106-2
sw2676A-ms98-a-0072,291.760000,291.990000,think,I,sv,u-106-2
sw2676A-ms98-a-0072,291.990000,292.228250,of,I,sv,u-106-2
sw2676A-ms98-a-0072,292.228250,292.500000,of,I,sv,u-106-2
sw2676A-ms98-a-0072,292.500000,292.680000,where,I,sv,u-106-2
sw2676A-ms98-a-0072,292.680000,292.900000,your,I,sv,u-106-2
sw2676A-ms98-a-0072,292.900000,293.330000,house,I,sv,u-106-2
sw2676A-ms98-a-0072,293.330000,293.670000,is,I,sv,u-106-2
sw2676A-ms98-a-0072,293.670000,293.780000,you,B,+,u-108-1
sw2676A-ms98-a-0072,293.780000,293.990000,know,I,+,u-108-1
sw2676A-ms98-a-0072,293.990000,294.120000,and,I,+,u-108-1
sw2676A-ms98-a-0072,294.120000,294.490000,nothing,I,+,u-108-1
sw2676A-ms98-a-0072,294.490000,294.961875,else,I,+,u-108-1
sw2676A-ms98-a-0074,303.189375,303.788875,oh,B,b,u-110-1
sw2676A-ms98-a-0075,305.156625,305.514500,oh,I,b,u-110-1
sw2676A-ms98-a-0075,305.514500,305.803625,i,I,b,u-110-1
sw2676A-ms98-a-0075,305.803625,306.385125,see,I,b,u-110-1
sw2676A-ms98-a-0077,310.056625,310.541750,oh,B,b,u-112-1
sw2676A-ms98-a-0077,310.541750,311.192000,okay,I,b,u-112-1
sw2676A-ms98-a-0079,312.819125,312.910000,the,B,sd,u-114-1
sw2676A-ms98-a-0079,312.910000,313.534125,house,I,sd,u-114-1
sw2676A-ms98-a-0079,313.666000,313.770000,that,I,sd,u-114-1
sw2676A-ms98-a-0079,313.770000,314.120000,house,I,sd,u-114-1
sw2676A-ms98-a-0079,314.120000,314.240000,that,B,+,u-116-1
sw2676A-ms98-a-0079,314.240000,314.445500,i,I,+,u-116-1
sw2676A-ms98-a-0079,314.539625,314.971000,bought,I,+,u-116-1
sw2676A-ms98-a-0079,315.438000,315.590000,is,I,+,u-116-1
sw2676A-ms98-a-0079,315.590000,316.054375,close,I,+,u-116-1
sw2676A-ms98-a-0079,316.054375,316.336625,to,I,+,u-116-1
sw2676A-ms98-a-0079,316.336625,316.530000,a,I,+,u-116-1
sw2676A-ms98-a-0079,316.530000,316.738625,F[irewheel]-,I,+,u-116-1
sw2676A-ms98-a-0079,316.738625,316.910000,F[irewheel]-,I,+,u-116-1
sw2676A-ms98-a-0080,317.268250,317.986500,Firewheel,I,+,u-116-1
sw2676A-ms98-a-0080,317.986500,318.306500,golf,I,+,u-116-1
sw2676A-ms98-a-0080,318.306500,318.951625,course,I,+,u-116-1
sw2676A-ms98-a-0081,320.278250,320.567750,it's,O,,
sw2676A-ms98-a-0081,320.567750,320.786250,just,B,sd,u-118-1
sw2676A-ms98-a-0081,320.786250,320.986500,going,I,sd,u-118-1
sw2676A-ms98-a-0081,320.986500,321.086500,to,I,sd,u-118-1
sw2676A-ms98-a-0081,321.086500,321.249500,be,I,sd,u-118-1
sw2676A-ms98-a-0081,321.901125,322.400875,blocks,I,sd,u-118-1
sw2676A-ms98-a-0081,322.400875,322.776500,off,I,sd,u-118-1
sw2676A-ms98-a-0081,322.776500,322.886500,of,I,sd,u-118-1
sw2676A-ms98-a-0081,322.886500,323.096500,that,I,sd,u-118-1
sw2676A-ms98-a-0081,323.096500,323.356500,new,I,sd,u-118-1
sw2676A-ms98-a-0081,323.356500,323.776500,highway,I,sd,u-118-1
sw2676A-ms98-a-0081,323.776500,324.056500,one,I,sd,u-118-1
sw2676A-ms98-a-0081,324.056500,324.386500,ninety,I,sd,u-118-1
sw2676A-ms98-a-0081,324.386500,324.586500,that's,I,sd,u-118-1
sw2676A-ms98-a-0081,324.586500,324.886500,going,I,sd,u-118-1
sw2676A-ms98-a-0081,324.886500,325.313750,through,I,sd,u-118-1
sw2676A-ms98-a-0083,327.696750,327.877875,oh,B,b,u-120-1
sw2676A-ms98-a-0083,327.877875,328.284625,really,I,b,u-120-1
sw2676A-ms98-a-0085,334.226500,334.345000,is,B,qy,u-122-1
sw2676A-ms98-a-0085,334.345000,334.545000,that,I,qy,u-122-1
sw2676A-ms98-a-0085,334.545000,334.605000,a,I,qy,u-122-1
sw2676A-ms98-a-0085,334.605000,335.005000,nice,I,qy,u-122-1
sw2676A-ms98-a-0085,335.005000,335.536000,area,I,qy,u-122-1
sw2676A-ms98-a-0087,355.273625,355.433250,well,B,%,u-124-1
sw2676A-ms98-a-0089,357.624625,357.698000,the,B,sd,u-126-1
sw2676A-ms98-a-0089,357.698000,358.097250,house,I,sd,u-126-1
sw2676A-ms98-a-0089,358.097250,358.219500,that,I,sd,u-126-1
sw2676A-ms98-a-0089,358.539750,358.658000,the,B,+,u-128-1
sw2676A-ms98-a-0089,358.658000,358.998000,house,I,+,u-128-1
sw2676A-ms98-a-0089,358.998000,359.098000,that,I,+,u-128-1
sw2676A-ms98-a-0089,359.098000,359.218000,i,I,+,u-128-1
sw2676A-ms98-a-0089,359.218000,359.538000,bought,I,+,u-128-1
sw2676A-ms98-a-0089,359.538000,359.788000,was,I,+,u-128-1
sw2676A-ms98-a-0089,359.788000,360.247000,really,I,+,u-128-1
sw2676A-ms98-a-0089,360.457875,361.018000,really,I,+,u-128-1
sw2676A-ms98-a-0089,361.018000,361.627125,nice,I,+,u-128-1
sw2676A-ms98-a-0090,362.404375,362.736375,uh,O,,
sw2676A-ms98-a-0091,363.710125,364.236750,yes,B,ny,u-130-1
sw2676A-ms98-a-0091,364.432625,364.858875,yes,B,ny^r,u-130-2
sw2676A-ms98-a-0091,365.288250,366.022250,really,B,sd,u-132-1
sw2676A-ms98-a-0091,366.022250,366.644625,really,I,sd,u-132-1
sw2676A-ms98-a-0091,366.644625,367.260125,nice,I,sd,u-132-1
sw2676A-ms98-a-0091,367.260125,367.580625,home,I,sd,u-132-1
sw2676A-ms98-a-0091,367.580625,368.091000,very,I,sd,u-132-1
sw2676A-ms98-a-0091,368.091000,368.552375,pretty,I,sd,u-132-1
sw2676A-ms98-a-0091,369.202000,369.578875,uh,I,sd,u-132-1
sw2676A-ms98-a-0092,370.722125,370.966625,no,B,nn,u-134-1
sw2676A-ms98-a-0092,370.966625,371.146625,i'm,B,sd^e,u-134-2
sw2676A-ms98-a-0092,371.146625,371.346625,going,I,sd^e,u-134-2
sw2676A-ms98-a-0092,371.346625,371.456625,to,I,sd^e,u-134-2
sw2676A-ms98-a-0092,371.456625,371.756625,lease,I,sd^e,u-134-2
sw2676A-ms98-a-0092,371.756625,372.022750,it,I,sd^e,u-134-2
sw2676A-ms98-a-0092,372.470875,372.686625,it's,B,sd,u-136-1
sw2676A-ms98-a-0092,372.686625,372.856625,it's,I,sd,u-136-1
sw2676A-ms98-a-0092,372.856625,373.366625,investment,I,sd,u-136-1
sw2676A-ms98-a-0092,373.366625,373.856250,property,I,sd,u-136-1
sw2676A-ms98-a-0093,374.832625,374.955625,but,B,sd,u-138-1
sw2676A-ms98-a-0093,374.955625,375.155625,it,I,sd,u-138-1
sw2676A-ms98-a-0093,375.155625,375.495625,is,I,sd,u-138-1
sw2676A-ms98-a-0093,375.495625,375.935625,really,I,sd,u-138-1
sw2676A-ms98-a-0093,375.935625,376.065625,it's,I,sd,u-138-1
sw2676A-ms98-a-0093,376.065625,376.115625,a,I,sd,u-138-1
sw2676A-ms98-a-0093,376.115625,376.445625,very,I,sd,u-138-1
sw2676A-ms98-a-0093,376.445625,376.955625,nice,I,sd,u-138-1
sw2676A-ms98-a-0093,376.955625,377.412125,place,I,sd,u-138-1
sw2676A-ms98-a-0093,377.841500,378.210500,uh,B,sd,u-138-2
sw2676A-ms98-a-0093,378.617375,378.881375,i,I,sd,u-138-2
sw2676A-ms98-a-0093,378.881375,379.175125,i,I,sd,u-138-2
sw2676A-ms98-a-0093,379.175125,379.395625,would,I,sd,u-138-2
sw2676A-ms98-a-0093,379.395625,379.895625,cheerfully,I,sd,u-138-2
sw2676A-ms98-a-0093,379.895625,380.155625,live,I,sd,u-138-2
sw2676A-ms98-a-0093,380.155625,380.305625,there,I,sd,u-138-2
sw2676A-ms98-a-0093,380.305625,380.415625,at,O,,
sw2676A-ms98-a-0093,380.415625,380.525625,you,O,,
sw2676A-ms98-a-0093,380.525625,380.595625,know,O,,
sw2676A-ms98-a-0093,380.595625,380.655625,of,B,sd,u-138-3
sw2676A-ms98-a-0093,380.655625,380.875625,course,I,sd,u-138-3
sw2676A-ms98-a-0093,380.875625,381.005625,it's,I,sd,u-138-3
sw2676A-ms98-a-0093,381.005625,381.205625,not,I,sd,u-138-3
sw2676A-ms98-a-0093,381.205625,381.415625,my,I,sd,u-138-3
sw2676A-ms98-a-0093,381.415625,381.739375,home,I,sd,u-138-3
sw2676A-ms98-a-0093,381.739375,381.916750,and,B,sd,u-138-4
sw2676A-ms98-a-0094,382.322125,382.566750,and,I,sd,u-138-4
sw2676A-ms98-a-0094,382.566750,382.778625,i've,I,sd,u-138-4
sw2676A-ms98-a-0094,382.778625,383.061750,lived,I,sd,u-138-4
sw2676A-ms98-a-0094,383.061750,383.161750,in,I,sd,u-138-4
sw2676A-ms98-a-0094,383.161750,383.341750,my,I,sd,u-138-4
sw2676A-ms98-a-0094,383.341750,383.818500,home,I,sd,u-138-4
sw2676A-ms98-a-0094,384.112375,384.428000,in,I,sd,u-138-4
sw2676A-ms98-a-0094,384.428000,384.794375,well,I,sd,u-138-4
sw2676A-ms98-a-0094,384.997750,385.451750,almost,I,sd,u-138-4
sw2676A-ms98-a-0094,385.451750,385.701750,ten,I,sd,u-138-4
sw2676A-ms98-a-0094,385.701750,386.151750,years,I,sd,u-138-4
sw2676A-ms98-a-0094,386.151750,386.289125,and,B,sd,u-138-5
sw2676A-ms98-a-0094,386.613000,386.691750,you,I,sd,u-138-5
sw2676A-ms98-a-0094,386.691750,386.811750,know,I,sd,u-138-5
sw2676A-ms98-a-0094,386.811750,386.941750,i've,I,sd,u-138-5
sw2676A-ms98-a-0094,386.941750,387.261750,got,I,sd,u-138-5
sw2676A-ms98-a-0094,387.261750,387.661750,everything,I,sd,u-138-5
sw2676A-ms98-a-0094,387.661750,387.861750,just,I,sd,u-138-5
sw2676A-ms98-a-0094,387.861750,388.361750,exactly,I,sd,u-138-5
sw2676A-ms98-a-0094,388.361750,388.671750,like,I,sd,u-138-5
sw2676A-ms98-a-0094,388.671750,388.920125,i,I,sd,u-138-5
sw2676A-ms98-a-0094,388.920125,389.201750,want,I,sd,u-138-5
sw2676A-ms98-a-0094,389.201750,389.433000,it,I,sd,u-138-5
sw2676A-ms98-a-0094,389.828500,389.991750,but,B,sd,u-140-1
sw2676A-ms98-a-0094,389.991750,390.141750,if,I,sd,u-140-1
sw2676A-ms98-a-0094,390.141750,390.281750,i,I,sd,u-140-1
sw2676A-ms98-a-0094,390.281750,390.461750,were,I,sd,u-140-1
sw2676A-ms98-a-0094,390.461750,390.707250,to,I,sd,u-140-1
sw2676A-ms98-a-0094,390.707250,391.021750,live,I,sd,u-140-1
sw2676A-ms98-a-0094,391.021750,391.251750,some,I,sd,u-140-1
sw2676A-ms98-a-0094,391.251750,391.541750,place,I,sd,u-140-1
sw2676A-ms98-a-0094,391.541750,391.741750,else,I,sd,u-140-1
sw2676A-ms98-a-0094,391.741750,391.861750,it,I,sd,u-140-1
sw2676A-ms98-a-0094,391.861750,392.211750,certainly,I,sd,u-140-1
sw2676A-ms98-a-0094,392.211750,392.501750,meets,I,sd,u-140-1
sw2676A-ms98-a-0094,392.501750,392.651750,my,I,sd,u-140-1
sw2676A-ms98-a-0094,392.651750,393.231750,standards,I,sd,u-140-1
sw2676A-ms98-a-0094,393.231750,393.411750,it's,B,sd,u-140-2
sw2676A-ms98-a-0094,393.411750,393.471750,a,I,sd,u-140-2
sw2676A-ms98-a-0094,393.471750,393.831750,nice,I,sd,u-140-2
sw2676A-ms98-a-0094,393.831750,394.346000,house,I,sd,u-140-2
sw2676A-ms98-a-0094,394.504125,394.883250,i,O,,
sw2676A-ms98-a-0094,394.883250,395.122125,like,O,,
sw2676A-ms98-a-0094,395.122125,395.268750,it,O,,
sw2676A-ms98-a-0096,398.332125,398.602750,no,B,nn,u-142-1
sw2676A-ms98-a-0096,398.602750,398.832750,it's,B,sd^e,u-142-2
sw2676A-ms98-a-0096,398.832750,399.062750,not,I,sd^e,u-142-2
sw2676A-ms98-a-0096,399.062750,399.252750,it's,B,sd,u-142-3
sw2676A-ms98-a-0096,399.252750,399.462750,off,I,sd,u-142-3
sw2676A-ms98-a-0096,399.462750,399.542750,the,I,sd,u-142-3
sw2676A-ms98-a-0096,399.542750,399.852750,golf,I,sd,u-142-3
sw2676A-ms98-a-0096,399.852750,400.132750,course,I,sd,u-142-3
sw2676A-ms98-a-0096,400.132750,400.342750,and,B,sd,u-142-4
sw2676A-ms98-a-0096,400.342750,400.422750,i'll,I,sd,u-142-4
sw2676A-ms98-a-0096,400.422750,400.582750,be,I,sd,u-142-4
sw2676A-ms98-a-0096,400.582750,400.832750,honest,I,sd,u-142-4
sw2676A-ms98-a-0096,400.832750,400.978375,with,I,sd,u-142-4
sw2676A-ms98-a-0096,400.978375,401.116500,you,I,sd,u-142-4
sw2676A-ms98-a-0096,401.617375,401.802750,i,O,,
sw2676A-ms98-a-0096,401.802750,401.984625,ha[ve]-,O,,
sw2676A-ms98-a-0096,401.984625,402.102750,i'm,B,sd,u-142-5
sw2676A-ms98-a-0096,402.102750,402.222750,going,I,sd,u-142-5
sw2676A-ms98-a-0096,402.222750,402.282750,to,I,sd,u-142-5
sw2676A-ms98-a-0096,402.282750,402.372750,have,I,sd,u-142-5
sw2676A-ms98-a-0096,402.372750,402.432750,to,I,sd,u-142-5
sw2676A-ms98-a-0096,402.432750,402.572750,get,I,sd,u-142-5
sw2676A-ms98-a-0096,402.572750,402.612750,a,I,sd,u-142-5
sw2676A-ms98-a-0096,402.612750,402.852750,map,I,sd,u-142-5
sw2676A-ms98-a-0096,402.852750,402.982750,to,I,sd,u-142-5
sw2676A-ms98-a-0096,402.982750,403.212750,figure,I,sd,u-142-5
sw2676A-ms98-a-0096,403.212750,403.342750,out,I,sd,u-142-5
sw2676A-ms98-a-0096,403.342750,403.722750,exactly,I,sd,u-142-5
sw2676A-ms98-a-0096,403.722750,403.882750,where,I,sd,u-142-5
sw2676A-ms98-a-0096,403.882750,404.042750,is,I,sd,u-142-5
sw2676A-ms98-a-0096,404.042750,404.102750,the,I,sd,u-142-5
sw2676A-ms98-a-0096,404.102750,404.342750,golf,I,sd,u-142-5
sw2676A-ms98-a-0096,404.342750,404.632750,course,I,sd,u-142-5
sw2676A-ms98-a-0096,404.632750,405.012750,versus,I,sd,u-142-5
sw2676A-ms98-a-0096,405.012750,405.142750,where,I,sd,u-142-5
sw2676A-ms98-a-0096,405.142750,405.292750,my,I,sd,u-142-5
sw2676A-ms98-a-0096,405.292750,405.702750,house,I,sd,u-142-5
sw2676A-ms98-a-0096,405.702750,406.094000,is,I,sd,u-142-5
sw2676A-ms98-a-0097,406.943250,407.070625,it's,O,,
sw2676A-ms98-a-0097,407.070625,407.200625,but,B,sd,u-144-1
sw2676A-ms98-a-0097,407.200625,407.340625,it's,I,sd,u-144-1
sw2676A-ms98-a-0097,407.340625,407.428250,in,I,sd,u-144-1
sw2676A-ms98-a-0097,407.428250,407.690625,the,I,sd,u-144-1
sw2676A-ms98-a-0097,407.690625,408.170625,estates,I,sd,u-144-1
sw2676A-ms98-a-0097,408.170625,408.300625,that,I,sd,u-144-1
sw2676A-ms98-a-0097,408.300625,408.730625,adjoin,I,sd,u-144-1
sw2676A-ms98-a-0097,408.730625,408.931375,it,I,sd,u-144-1
sw2676A-ms98-a-0099,411.037750,411.236625,yes,B,aa,u-146-1
sw2676A-ms98-a-0099,411.236625,411.326625,it,B,sd,u-146-2
sw2676A-ms98-a-0099,411.326625,411.719000,is,I,sd,u-146-2
sw2676A-ms98-a-0101,416.795875,417.029250,yeah,B,b,u-148-1
sw2676A-ms98-a-0101,417.029250,417.119250,that,B,sd,u-148-2
sw2676A-ms98-a-0101,417.119250,417.299250,one,I,sd,u-148-2
sw2676A-ms98-a-0101,417.299250,417.674125,nine[ty]-,O,,
sw2676A-ms98-a-0101,418.141250,418.319250,that,B,+,u-150-1
sw2676A-ms98-a-0101,418.319250,418.529250,one,I,+,u-150-1
sw2676A-ms98-a-0101,418.529250,418.869250,ninety,I,+,u-150-1
sw2676A-ms98-a-0101,418.869250,418.989250,is,I,+,u-150-1
sw2676A-ms98-a-0101,418.989250,419.199250,just,I,+,u-150-1
sw2676A-ms98-a-0101,419.199250,419.429250,going,I,+,u-150-1
sw2676A-ms98-a-0101,419.429250,419.529250,to,I,+,u-150-1
sw2676A-ms98-a-0101,419.529250,419.909250,be,I,+,u-150-1
sw2676A-ms98-a-0101,419.909250,420.029250,the,I,+,u-150-1
sw2676A-ms98-a-0101,420.029250,420.282375,mo[st]-,I,+,u-150-1
sw2676A-ms98-a-0101,420.282375,420.639250,outer[most]-,I,+,u-150-1
sw2676A-ms98-a-0101,420.639250,421.239250,outermost,I,+,u-150-1
sw2676A-ms98-a-0101,421.239250,421.559250,loop,I,+,u-150-1
sw2676A-ms98-a-0101,421.559250,422.346375,around,I,+,u-150-1
sw2676A-ms98-a-0103,424.908000,425.382625,right,B,b,u-152-1
sw2676A-ms98-a-0103,425.382625,425.557750,just,B,sd,u-152-2
sw2676A-ms98-a-0103,425.557750,426.027750,continue,I,sd,u-152-2
sw2676A-ms98-a-0103,426.027750,426.117750,to,I,sd,u-152-2
sw2676A-ms98-a-0103,426.117750,426.350500,do,I,sd,u-152-2
sw2676A-ms98-a-0103,426.350500,426.851125,that,I,sd,u-152-2
sw2676A-ms98-a-0105,428.721500,428.866375,where,B,qw,u-154-1
sw2676A-ms98-a-0105,428.866375,428.976375,are,I,qw,u-154-1
sw2676A-ms98-a-0105,428.976375,429.156375,you,I,qw,u-154-1
sw2676A-ms98-a-0105,429.156375,429.336375,from,I,qw,u-154-1
sw2676A-ms98-a-0105,429.336375,429.440000,in,I,qw,u-154-1
sw2676A-ms98-a-0105,429.440000,430.062375,California,I,qw,u-154-1
sw2676A-ms98-a-0107,432.664250,432.985750,San,B,qy^d,u-156-1
sw2676A-ms98-a-0107,432.985750,433.448250,Diego,I,qy^d,u-156-1
sw2676A-ms98-a-0109,449.273000,449.453000,i've,B,sd,u-158-1
sw2676A-ms98-a-0109,449.453000,449.683000,been,I,sd,u-158-1
sw2676A-ms98-a-0109,449.683000,449.903000,through,I,sd,u-158-1
sw2676A-ms98-a-0109,449.903000,450.123000,all,I,sd,u-158-1
sw2676A-ms98-a-0109,450.123000,450.233000,of,I,sd,u-158-1
sw2676A-ms98-a-0109,450.233000,450.611000,that,I,sd,u-158-1
sw2676A-ms98-a-0109,450.611000,450.991875,uh,B,sd,u-160-1
sw2676A-ms98-a-0109,451.327000,451.513000,there,I,sd,u-160-1
sw2676A-ms98-a-0109,451.513000,451.633000,is,I,sd,u-160-1
sw2676A-ms98-a-0109,451.633000,451.733000,an,I,sd,u-160-1
sw2676A-ms98-a-0109,451.733000,452.173000,area,I,sd,u-160-1
sw2676A-ms98-a-0109,452.173000,452.623000,beyond,I,sd,u-160-1
sw2676A-ms98-a-0109,452.623000,453.063000,Thousand,I,sd,u-160-1
sw2676A-ms98-a-0109,453.063000,453.383000,Oaks,I,sd,u-160-1
sw2676A-ms98-a-0109,453.383000,453.971250,north,I,sd,u-160-1
sw2676A-ms98-a-0109,453.971250,454.183000,of,I,sd,u-160-1
