sw3533B-ms98-a-0003,2.913125,3.403000,good,B,bk,u-2-1
sw3533B-ms98-a-0043,201.919375,202.079375,well,B,na,u-70-1
sw3533B-ms98-a-0043,202.079375,202.209375,it,I,na,u-70-1
sw3533B-ms98-a-0043,202.209375,202.399375,does,I,na,u-70-1
sw3533B-ms98-a-0043,202.399375,204.409375,[laughter],O,,
sw3533B-ms98-a-0043,204.409375,204.569375,i'm,B,sd,u-72-1
sw3533B-ms98-a-0043,204.569375,204.749375,worried,I,sd,u-72-1
sw3533B-ms98-a-0043,204.749375,205.039375,about,I,sd,u-72-1
sw3533B-ms98-a-0043,205.039375,205.379375,Christmas,I,sd,u-72-1
sw3533B-ms98-a-0043,205.379375,205.869375,Christmas,B,sd,u-72-2
sw3533B-ms98-a-0043,205.869375,206.195250,Eve,I,sd,u-72-2
sw3533B-ms98-a-0044,206.595250,206.735250,they,I,sd,u-72-2
sw3533B-ms98-a-0044,206.735250,206.955250,all,I,sd,u-72-2
sw3533B-ms98-a-0044,206.955250,207.375250,pass,I,sd,u-72-2
sw3533B-ms98-a-0044,207.375250,207.795250,through,I,sd,u-72-2
sw3533B-ms98-a-0044,207.795250,208.045250,and,B,sd,u-72-3
sw3533B-ms98-a-0044,208.045250,208.155250,then,I,sd,u-72-3
sw3533B-ms98-a-0044,208.155250,208.315250,they,I,sd,u-72-3
sw3533B-ms98-a-0044,208.315250,208.485250,all,I,sd,u-72-3
sw3533B-ms98-a-0044,208.485250,208.665250,end,I,sd,u-72-3
sw3533B-ms98-a-0044,208.665250,208.815250,up,I,sd,u-72-3
sw3533B-ms98-a-0044,208.815250,209.235250,spending,I,sd,u-72-3
sw3533B-ms98-a-0044,209.235250,209.305250,the,I,sd,u-72-3
sw3533B-ms98-a-0044,209.305250,209.765250,night,I,sd,u-72-3
sw3533B-ms98-a-0044,209.765250,210.135250,Christmas,I,sd,u-72-3
sw3533B-ms98-a-0044,210.135250,210.295250,Eve,I,sd,u-72-3
sw3533B-ms98-a-0044,210.295250,210.625250,night,I,sd,u-72-3
sw3533B-ms98-a-0044,210.625250,210.735250,so,I,sd,u-72-3
sw3533B-ms98-a-0044,210.735250,210.845250,that,I,sd,u-72-3
sw3533B-ms98-a-0044,210.845250,210.975250,we,B,+,u-74-1
sw3533B-ms98-a-0044,210.975250,211.195250,open,I,+,u-74-1
sw3533B-ms98-a-0044,211.195250,211.305250,our,I,+,u-74-1
sw3533B-ms98-a-0044,211.305250,211.735250,presents,I,+,u-74-1
sw3533B-ms98-a-0044,211.735250,211.855250,on,I,+,u-74-1
sw3533B-ms98-a-0044,211.855250,212.255250,Christmas,I,+,u-74-1
sw3533B-ms98-a-0044,212.255250,212.518875,day,I,+,u-74-1
sw3533B-ms98-a-0044,212.872875,213.045250,and,B,sd,u-76-1
sw3533B-ms98-a-0044,213.045250,213.155250,they,I,sd,u-76-1
sw3533B-ms98-a-0044,213.155250,213.325250,go,I,sd,u-76-1
sw3533B-ms98-a-0044,213.325250,213.525250,out,I,sd,u-76-1
sw3533B-ms98-a-0044,213.525250,213.655250,to,I,sd,u-76-1
sw3533B-ms98-a-0044,213.655250,213.785250,the,I,sd,u-76-1
sw3533B-ms98-a-0044,213.785250,214.075250,other,I,sd,u-76-1
sw3533B-ms98-a-0044,214.235250,214.355250,you,I,sd,u-76-1
sw3533B-ms98-a-0044,214.355250,214.475250,know,I,sd,u-76-1
sw3533B-ms98-a-0044,214.475250,214.565250,the,I,sd,u-76-1
sw3533B-ms98-a-0044,214.565250,215.015250,in-laws,I,sd,u-76-1
sw3533B-ms98-a-0044,215.015250,215.155250,in,I,sd,u-76-1
sw3533B-ms98-a-0044,215.155250,215.535250,between,I,sd,u-76-1
sw3533B-ms98-a-0044,215.535250,215.715250,some,I,sd,u-76-1
sw3533B-ms98-a-0044,215.715250,215.795250,of,I,sd,u-76-1
sw3533B-ms98-a-0044,215.795250,216.005250,this,I,sd,u-76-1
sw3533B-ms98-a-0044,216.005250,216.155250,but,B,sd,u-76-2
sw3533B-ms98-a-0044,216.155250,216.305250,they're,I,sd,u-76-2
sw3533B-ms98-a-0044,216.305250,216.545250,all,I,sd,u-76-2
sw3533B-ms98-a-0045,216.994625,217.264625,with,B,+,u-78-1
sw3533B-ms98-a-0045,217.264625,217.484625,us,I,+,u-78-1
sw3533B-ms98-a-0045,217.484625,217.814625,and,B,sd,u-78-2
sw3533B-ms98-a-0045,217.814625,217.984625,uh,I,sd,u-78-2
sw3533B-ms98-a-0045,217.984625,218.174625,then,I,sd,u-78-2
sw3533B-ms98-a-0045,218.174625,218.334625,have,I,sd,u-78-2
sw3533B-ms98-a-0045,218.334625,218.704625,Christmas,I,sd,u-78-2
sw3533B-ms98-a-0045,218.704625,218.944625,dinner,I,sd,u-78-2
sw3533B-ms98-a-0045,218.944625,219.154625,with,I,sd,u-78-2
sw3533B-ms98-a-0045,219.154625,219.254625,us,I,sd,u-78-2
sw3533B-ms98-a-0045,219.254625,219.344625,and,I,sd,u-78-2
sw3533B-ms98-a-0045,219.344625,219.484625,then,I,sd,u-78-2
sw3533B-ms98-a-0045,219.484625,219.614625,go,I,sd,u-78-2
sw3533B-ms98-a-0045,219.614625,219.744625,to,I,sd,u-78-2
sw3533B-ms98-a-0045,219.744625,220.014625,other,I,sd,u-78-2
sw3533B-ms98-a-0045,220.014625,220.594625,in-laws,I,sd,u-78-2
sw3533B-ms98-a-0045,220.594625,220.784625,and,I,sd,u-78-2
sw3533B-ms98-a-0045,220.784625,220.985375,in,I,sd,u-78-2
sw3533B-ms98-a-0045,220.985375,221.320500,things,I,sd,u-78-2
sw3533B-ms98-a-0045,221.320500,221.536125,so,B,sd,u-78-3
sw3533B-ms98-a-0045,221.931625,222.034625,we,I,sd,u-78-3
sw3533B-ms98-a-0045,222.034625,222.194625,see,I,sd,u-78-3
sw3533B-ms98-a-0045,222.194625,222.254625,a,I,sd,u-78-3
sw3533B-ms98-a-0045,222.254625,222.434625,lot,I,sd,u-78-3
sw3533B-ms98-a-0045,222.434625,222.494625,of,I,sd,u-78-3
sw3533B-ms98-a-0045,222.494625,222.644625,them_1,O,,
sw3533B-ms98-a-0045,222.644625,222.784625,but,B,sd,u-78-4
sw3533B-ms98-a-0045,222.784625,222.974625,we,I,sd,u-78-4
sw3533B-ms98-a-0045,222.974625,223.304625,enjoy,I,sd,u-78-4
sw3533B-ms98-a-0045,223.304625,223.804625,Christmas,I,sd,u-78-4
sw3533B-ms98-a-0045,223.804625,223.944625,Eve,I,sd,u-78-4
sw3533B-ms98-a-0045,223.944625,224.214625,night,I,sd,u-78-4
sw3533B-ms98-a-0045,224.214625,224.554625,because,I,sd,u-78-4
sw3533B-ms98-a-0046,224.916750,225.066750,they,I,sd,u-78-4
sw3533B-ms98-a-0046,225.066750,225.216750,all,I,sd,u-78-4
sw3533B-ms98-a-0046,225.216750,225.466750,start,I,sd,u-78-4
sw3533B-ms98-a-0046,225.466750,225.956750,arriving,I,sd,u-78-4
sw3533B-ms98-a-0046,225.956750,226.126750,by,I,sd,u-78-4
sw3533B-ms98-a-0046,226.126750,226.346750,about,I,sd,u-78-4
sw3533B-ms98-a-0046,226.346750,226.666750,eleven,I,sd,u-78-4
sw3533B-ms98-a-0046,226.666750,227.236750,o'clock,I,sd,u-78-4
sw3533B-ms98-a-0046,227.236750,227.386750,and,B,sd,u-78-5
sw3533B-ms98-a-0046,227.386750,227.526750,we,I,sd,u-78-5
sw3533B-ms98-a-0046,227.526750,227.776750,open,I,sd,u-78-5
sw3533B-ms98-a-0046,227.776750,228.186750,presents,I,sd,u-78-5
sw3533B-ms98-a-0046,228.186750,228.436750,about,I,sd,u-78-5
sw3533B-ms98-a-0046,228.436750,228.706750,five,I,sd,u-78-5
sw3533B-ms98-a-0046,228.706750,229.026750,o'clock,I,sd,u-78-5
sw3533B-ms98-a-0046,229.026750,229.536750,Christmas,I,sd,u-78-5
sw3533B-ms98-a-0046,229.536750,229.976750,morning,B,+,u-80-1
sw3533B-ms98-a-0046,229.976750,230.126750,and,B,sd,u-80-2
sw3533B-ms98-a-0046,230.746750,230.886750,you,I,sd,u-80-2
sw3533B-ms98-a-0046,230.886750,231.196750,know,I,sd,u-80-2
sw3533B-ms98-a-0046,231.196750,231.626750,and,I,sd,u-80-2
sw3533B-ms98-a-0046,231.626750,231.787250,uh,I,sd,u-80-2
sw3533B-ms98-a-0046,231.942375,232.286750,then,I,sd,u-80-2
sw3533B-ms98-a-0047,232.652875,232.802875,i,B,+,u-82-1
sw3533B-ms98-a-0047,232.802875,232.942875,go,I,+,u-82-1
sw3533B-ms98-a-0047,232.942875,233.102875,to,I,+,u-82-1
sw3533B-ms98-a-0047,233.102875,233.162875,the,I,+,u-82-1
sw3533B-ms98-a-0047,233.162875,233.532875,kitchen,I,+,u-82-1
sw3533B-ms98-a-0047,233.532875,233.692875,and,I,+,u-82-1
sw3533B-ms98-a-0047,233.692875,234.102875,cook,I,+,u-82-1
sw3533B-ms98-a-0047,234.423000,234.582875,and,B,sd,u-82-2
sw3533B-ms98-a-0047,234.582875,234.702875,my,I,sd,u-82-2
sw3533B-ms98-a-0047,234.702875,235.072875,sister,I,sd,u-82-2
sw3533B-ms98-a-0047,235.072875,235.302875,and,I,sd,u-82-2
sw3533B-ms98-a-0047,235.302875,235.492875,and,I,sd,u-82-2
sw3533B-ms98-a-0047,235.492875,235.662875,her,I,sd,u-82-2
sw3533B-ms98-a-0047,235.662875,236.002875,husband,I,sd,u-82-2
sw3533B-ms98-a-0047,236.002875,236.072875,are,I,sd,u-82-2
sw3533B-ms98-a-0047,236.072875,236.392875,coming,I,sd,u-82-2
sw3533B-ms98-a-0047,236.392875,236.652875,down,I,sd,u-82-2
sw3533B-ms98-a-0047,236.652875,236.762875,so,B,sd,u-82-3
sw3533B-ms98-a-0047,236.762875,236.892875,there's,I,sd,u-82-3
sw3533B-ms98-a-0047,236.892875,237.042875,gonna,I,sd,u-82-3
sw3533B-ms98-a-0047,237.042875,237.122875,be,I,sd,u-82-3
sw3533B-ms98-a-0047,237.122875,237.562875,eleven,I,sd,u-82-3
sw3533B-ms98-a-0047,237.562875,237.742875,of,I,sd,u-82-3
sw3533B-ms98-a-0047,237.742875,238.072875,us,I,sd,u-82-3
sw3533B-ms98-a-0048,238.674125,238.834125,for,I,sd,u-82-3
sw3533B-ms98-a-0048,238.834125,239.561250,Christmas,I,sd,u-82-3
sw3533B-ms98-a-0050,245.227250,245.377250,yeah,B,aa,u-84-1
sw3533B-ms98-a-0050,245.377250,245.787250,sometimes,B,sd,u-84-2
sw3533B-ms98-a-0050,245.787250,245.917250,i'm,I,sd,u-84-2
sw3533B-ms98-a-0050,245.917250,245.997250,a,I,sd,u-84-2
sw3533B-ms98-a-0050,245.997250,246.157250,little,I,sd,u-84-2
sw3533B-ms98-a-0050,246.157250,246.830375,exhausted,I,sd,u-84-2
sw3533B-ms98-a-0050,246.830375,248.309000,[laughter],O,,
sw3533B-ms98-a-0050,248.309000,249.800250,[laughter-but],O,,
sw3533B-ms98-a-0052,254.250250,254.460250,oh,B,sv,u-86-1
sw3533B-ms98-a-0052,254.460250,254.642750,i,I,sv,u-86-1
sw3533B-ms98-a-0052,254.642750,254.823625,th[ink]-,I,sv,u-86-1
sw3533B-ms98-a-0052,254.823625,254.940250,i,I,sv,u-86-1
sw3533B-ms98-a-0052,254.940250,255.260250,think,I,sv,u-86-1
sw3533B-ms98-a-0052,255.260250,255.450250,the,I,sv,u-86-1
sw3533B-ms98-a-0052,255.550250,255.970250,trends,I,sv,u-86-1
sw3533B-ms98-a-0052,255.970250,256.030250,are,I,sv,u-86-1
sw3533B-ms98-a-0052,256.030250,256.360250,going,I,sv,u-86-1
sw3533B-ms98-a-0052,256.360250,256.590250,back,I,sv,u-86-1
sw3533B-ms98-a-0052,256.590250,256.700250,to,I,sv,u-86-1
sw3533B-ms98-a-0052,256.700250,257.090250,spending,I,sv,u-86-1
sw3533B-ms98-a-0052,257.090250,257.220250,more,I,sv,u-86-1
sw3533B-ms98-a-0052,257.220250,257.480250,time,I,sv,u-86-1
sw3533B-ms98-a-0052,257.480250,257.590250,with,I,sv,u-86-1
sw3533B-ms98-a-0052,257.590250,258.163625,families,I,sv,u-86-1
sw3533B-ms98-a-0052,258.619375,258.760250,i,B,sv,u-88-1
sw3533B-ms98-a-0052,258.760250,259.020250,think,I,sv,u-88-1
sw3533B-ms98-a-0052,259.020250,259.350250,parents,I,sv,u-88-1
sw3533B-ms98-a-0052,259.350250,259.430250,are,I,sv,u-88-1
sw3533B-ms98-a-0052,259.430250,260.150250,definitely,I,sv,u-88-1
sw3533B-ms98-a-0052,260.150250,260.310250,uh,I,sv,u-88-1
sw3533B-ms98-a-0052,260.510250,260.950250,spending,I,sv,u-88-1
sw3533B-ms98-a-0052,260.950250,261.110250,more,I,sv,u-88-1
sw3533B-ms98-a-0052,261.110250,261.200250,and,I,sv,u-88-1
sw3533B-ms98-a-0052,261.200250,261.350250,more,I,sv,u-88-1
sw3533B-ms98-a-0052,261.350250,261.710250,time,I,sv,u-88-1
sw3533B-ms98-a-0052,262.150250,262.190250,i,B,sv,u-88-2
sw3533B-ms98-a-0052,262.190250,262.340250,don't,I,sv,u-88-2
sw3533B-ms98-a-0052,262.340250,262.500250,think,I,sv,u-88-2
sw3533B-ms98-a-0052,262.500250,262.600250,they're,I,sv,u-88-2
sw3533B-ms98-a-0052,262.600250,262.910250,leaving,I,sv,u-88-2
sw3533B-ms98-a-0052,262.910250,263.040250,them,I,sv,u-88-2
sw3533B-ms98-a-0052,263.040250,263.212750,with,I,sv,u-88-2
sw3533B-ms98-a-0052,263.212750,263.996125,babysitters,I,sv,u-88-2
sw3533B-ms98-a-0052,263.996125,264.185000,uh,I,sv,u-88-2
sw3533B-ms98-a-0052,264.185000,264.301125,you,I,sv,u-88-2
sw3533B-ms98-a-0052,264.301125,264.493125,know,I,sv,u-88-2
sw3533B-ms98-a-0053,265.037750,265.182500,i,B,sv,u-88-3
sw3533B-ms98-a-0053,265.182500,265.414750,think,I,sv,u-88-3
sw3533B-ms98-a-0053,265.548625,265.677750,i,I,sv,u-88-3
sw3533B-ms98-a-0053,265.677750,265.887750,think,I,sv,u-88-3
sw3533B-ms98-a-0053,265.887750,266.369125,family,I,sv,u-88-3
sw3533B-ms98-a-0053,266.636500,267.047750,quality,I,sv,u-88-3
sw3533B-ms98-a-0053,267.047750,267.437750,time,I,sv,u-88-3
sw3533B-ms98-a-0053,267.437750,267.647750,is,I,sv,u-88-3
sw3533B-ms98-a-0053,267.647750,268.087750,becoming,I,sv,u-88-3
sw3533B-ms98-a-0053,268.087750,268.347750,much,I,sv,u-88-3
sw3533B-ms98-a-0053,268.347750,268.582625,more,I,sv,u-88-3
sw3533B-ms98-a-0053,268.884000,269.387750,important,I,sv,u-88-3
sw3533B-ms98-a-0053,269.387750,269.487750,than,I,sv,u-88-3
sw3533B-ms98-a-0053,269.487750,269.617750,it,I,sv,u-88-3
sw3533B-ms98-a-0053,269.617750,269.877750,was,I,sv,u-88-3
sw3533B-ms98-a-0053,269.877750,270.057750,there,I,sv,u-88-3
sw3533B-ms98-a-0053,270.057750,270.357750,for,B,+,u-90-1
sw3533B-ms98-a-0053,270.357750,270.656750,about,I,+,u-90-1
sw3533B-ms98-a-0053,270.773500,270.990250,uh,I,+,u-90-1
sw3533B-ms98-a-0053,271.318000,271.427750,i,I,+,u-90-1
sw3533B-ms98-a-0053,271.427750,271.577750,don't,I,+,u-90-1
sw3533B-ms98-a-0053,271.577750,271.817750,know,I,+,u-90-1
sw3533B-ms98-a-0053,271.817750,272.027750,eight,I,+,u-90-1
sw3533B-ms98-a-0053,272.027750,272.087750,or,I,+,u-90-1
sw3533B-ms98-a-0053,272.087750,272.357750,nine,I,+,u-90-1
sw3533B-ms98-a-0053,272.357750,272.913875,years,I,+,u-90-1
sw3533B-ms98-a-0054,273.518750,273.778750,seems,B,sv,u-92-1
sw3533B-ms98-a-0054,273.778750,273.958750,like,I,sv,u-92-1
sw3533B-ms98-a-0054,273.958750,274.088750,it,I,sv,u-92-1
sw3533B-ms98-a-0054,274.088750,274.298750,went,I,sv,u-92-1
sw3533B-ms98-a-0054,274.298750,274.478750,through,I,sv,u-92-1
sw3533B-ms98-a-0054,274.478750,274.528750,a,I,sv,u-92-1
sw3533B-ms98-a-0054,274.528750,274.948750,spell,I,sv,u-92-1
sw3533B-ms98-a-0054,274.948750,275.278750,there,I,sv,u-92-1
sw3533B-ms98-a-0054,275.278750,275.528750,where,I,sv,u-92-1
sw3533B-ms98-a-0054,275.638750,276.118750,families,I,sv,u-92-1
sw3533B-ms98-a-0054,276.118750,276.288750,weren't,I,sv,u-92-1
sw3533B-ms98-a-0054,276.288750,276.428750,that,I,sv,u-92-1
sw3533B-ms98-a-0054,276.428750,276.588750,big,I,sv,u-92-1
sw3533B-ms98-a-0054,276.588750,276.628750,a,I,sv,u-92-1
sw3533B-ms98-a-0054,276.628750,276.868750,deal,I,sv,u-92-1
sw3533B-ms98-a-0054,276.868750,277.208750,parents,B,sv,u-92-2
sw3533B-ms98-a-0054,277.208750,277.358750,kind,I,sv,u-92-2
sw3533B-ms98-a-0054,277.358750,277.418750,of,I,sv,u-92-2
sw3533B-ms98-a-0054,277.418750,277.538750,went,I,sv,u-92-2
sw3533B-ms98-a-0054,277.538750,277.628750,and,I,sv,u-92-2
sw3533B-ms98-a-0054,277.628750,277.778750,did,I,sv,u-92-2
sw3533B-ms98-a-0054,277.778750,277.918750,their,I,sv,u-92-2
sw3533B-ms98-a-0054,277.918750,278.273750,thing,I,sv,u-92-2
sw3533B-ms98-a-0054,278.552500,278.778750,kids,B,sv,u-92-3
sw3533B-ms98-a-0054,278.778750,278.998750,did,I,sv,u-92-3
sw3533B-ms98-a-0054,278.998750,279.158750,their,I,sv,u-92-3
sw3533B-ms98-a-0054,279.158750,279.621000,thing,I,sv,u-92-3
sw3533B-ms98-a-0054,280.050375,280.388750,and,B,%@,u-94-1
sw3533B-ms98-a-0054,280.388750,280.571125,uh,I,%@,u-94-1
sw3533B-ms98-a-0056,285.696500,286.155000,yes,B,+,u-96-1
sw3533B-ms98-a-0056,286.569250,286.956500,um-hum,B,b,u-96-2
