sw3439A-ms98-a-0002,0.860250,1.214000,Laurie,B,qy,u-1-1
sw3439A-ms98-a-0040,138.303125,138.593125,paying,I,sd,u-53-3
sw3439A-ms98-a-0040,138.593125,139.018125,interest,I,sd,u-53-3
sw3439A-ms98-a-0041,140.004000,140.317625,and,B,%,u-55-1
sw3439A-ms98-a-0041,140.317625,140.623500,uh,I,%,u-55-1
sw3439A-ms98-a-0041,140.954875,141.078125,like,B,sd,u-57-1
sw3439A-ms98-a-0041,141.443500,141.714750,years,I,sd,u-57-1
sw3439A-ms98-a-0041,141.714750,141.975875,ago,I,sd,u-57-1
sw3439A-ms98-a-0041,141.975875,142.145875,my,I,sd,u-57-1
sw3439A-ms98-a-0041,142.145875,142.475875,wife,I,sd,u-57-1
sw3439A-ms98-a-0041,142.475875,142.575875,and,I,sd,u-57-1
sw3439A-ms98-a-0041,142.575875,142.665875,i,I,sd,u-57-1
sw3439A-ms98-a-0041,142.665875,142.825875,got,I,sd,u-57-1
sw3439A-ms98-a-0041,142.825875,143.374250,married,I,sd,u-57-1
sw3439A-ms98-a-0043,144.913250,145.073250,she,B,sd,u-59-1
sw3439A-ms98-a-0043,145.073250,145.213250,was,I,sd,u-59-1
sw3439A-ms98-a-0043,145.213250,145.273250,the,I,sd,u-59-1
sw3439A-ms98-a-0043,145.273250,145.454250,one,I,sd,u-59-1
sw3439A-ms98-a-0043,145.454250,145.522375,with,I,sd,u-59-1
sw3439A-ms98-a-0043,145.522375,145.583250,a,I,sd,u-59-1
sw3439A-ms98-a-0043,145.583250,145.753250,little,I,sd,u-59-1
sw3439A-ms98-a-0043,145.753250,145.983250,better,I,sd,u-59-1
sw3439A-ms98-a-0043,145.983250,146.193250,heel,I,sd,u-59-1
sw3439A-ms98-a-0043,146.193250,146.313250,than,I,sd,u-59-1
sw3439A-ms98-a-0043,146.313250,146.423250,i,I,sd,u-59-1
sw3439A-ms98-a-0043,146.423250,146.753250,was,I,sd,u-59-1
sw3439A-ms98-a-0043,146.753250,147.033250,because,I,sd,u-59-1
sw3439A-ms98-a-0043,147.033250,147.153250,i,I,sd,u-59-1
sw3439A-ms98-a-0043,147.153250,147.283250,had,I,sd,u-59-1
sw3439A-ms98-a-0043,147.283250,147.403250,my,I,sd,u-59-1
sw3439A-ms98-a-0043,147.403250,147.693250,credit,I,sd,u-59-1
sw3439A-ms98-a-0043,147.693250,147.933250,cards,I,sd,u-59-1
sw3439A-ms98-a-0043,147.933250,147.973250,i,I,sd,u-59-1
sw3439A-ms98-a-0043,147.973250,148.163250,think,I,sd,u-59-1
sw3439A-ms98-a-0043,148.163250,148.253250,up,I,sd,u-59-1
sw3439A-ms98-a-0043,148.253250,148.313250,to,I,sd,u-59-1
sw3439A-ms98-a-0043,148.313250,148.403250,the,I,sd,u-59-1
sw3439A-ms98-a-0043,148.403250,148.673250,limit,I,sd,u-59-1
sw3439A-ms98-a-0043,148.673250,148.763250,and,B,sd,u-59-2
sw3439A-ms98-a-0043,148.763250,148.803250,i,I,sd,u-59-2
sw3439A-ms98-a-0043,148.803250,148.893250,was,I,sd,u-59-2
sw3439A-ms98-a-0043,148.893250,149.073250,giving,I,sd,u-59-2
sw3439A-ms98-a-0043,149.073250,149.443250,[laughter-everyone],I,sd,u-59-2
sw3439A-ms98-a-0043,149.443250,149.663250,ten,I,sd,u-59-2
sw3439A-ms98-a-0043,149.663250,149.973250,dollars,I,sd,u-59-2
sw3439A-ms98-a-0043,149.973250,150.023250,a,I,sd,u-59-2
sw3439A-ms98-a-0043,150.023250,150.343250,month,I,sd,u-59-2
sw3439A-ms98-a-0043,150.343250,150.433250,and,I,sd,u-59-2
sw3439A-ms98-a-0043,150.433250,150.813250,everything,I,sd,u-59-2
sw3439A-ms98-a-0043,150.813250,151.013250,like,I,sd,u-59-2
sw3439A-ms98-a-0043,151.013250,151.293250,that,I,sd,u-59-2
sw3439A-ms98-a-0043,151.293250,151.418875,but,O,,
sw3439A-ms98-a-0045,153.270000,153.380000,that,B,sd,u-61-1
sw3439A-ms98-a-0045,153.380000,153.490000,was,I,sd,u-61-1
sw3439A-ms98-a-0045,153.490000,153.638250,like,I,sd,u-61-1
sw3439A-ms98-a-0045,153.753125,153.990000,thirty,I,sd,u-61-1
sw3439A-ms98-a-0045,153.990000,154.230000,years,I,sd,u-61-1
sw3439A-ms98-a-0045,154.230000,154.560000,ago,I,sd,u-61-1
sw3439A-ms98-a-0045,154.560000,154.730000,so,B,sd,u-61-2
sw3439A-ms98-a-0045,154.730000,154.960000,now,I,sd,u-61-2
sw3439A-ms98-a-0045,154.960000,155.080000,it's,I,sd,u-61-2
sw3439A-ms98-a-0045,155.080000,155.110000,a,I,sd,u-61-2
sw3439A-ms98-a-0045,155.110000,155.280000,little,I,sd,u-61-2
sw3439A-ms98-a-0045,155.280000,155.626250,different,I,sd,u-61-2
sw3439A-ms98-a-0045,155.626250,155.819750,[laughter-we],O,,
sw3439A-ms98-a-0045,156.018875,156.158250,i,B,sd,u-61-4
sw3439A-ms98-a-0045,156.158250,156.310000,get,I,sd,u-61-4
sw3439A-ms98-a-0045,156.310000,156.370000,a,I,sd,u-61-4
sw3439A-ms98-a-0045,156.370000,156.580000,bill,I,sd,u-61-4
sw3439A-ms98-a-0045,156.580000,156.670000,and,B,sd,u-61-5
sw3439A-ms98-a-0045,156.670000,156.710000,i,I,sd,u-61-5
sw3439A-ms98-a-0045,156.710000,156.890000,pay,I,sd,u-61-5
sw3439A-ms98-a-0045,156.890000,156.980000,it,I,sd,u-61-5
sw3439A-ms98-a-0045,156.980000,157.050000,the,I,sd,u-61-5
sw3439A-ms98-a-0045,157.050000,157.300000,same,I,sd,u-61-5
sw3439A-ms98-a-0045,157.300000,157.410000,day,I,sd,u-61-5
sw3439A-ms98-a-0045,157.410000,157.510000,it,I,sd,u-61-5
sw3439A-ms98-a-0045,157.510000,157.790000,comes,I,sd,u-61-5
sw3439A-ms98-a-0045,157.790000,158.110500,in,B,o@,u-61-6
sw3439A-ms98-a-0046,158.913125,159.005375,or,B,+@,u-63-1
sw3439A-ms98-a-0046,159.005375,159.074500,at,I,+@,u-63-1
sw3439A-ms98-a-0046,159.074500,159.304500,least,I,+@,u-63-1
sw3439A-ms98-a-0046,159.304500,159.384500,i,I,+@,u-63-1
sw3439A-ms98-a-0046,159.384500,159.644500,try,I,+@,u-63-1
sw3439A-ms98-a-0046,159.644500,159.824500,to,I,+@,u-63-1
sw3439A-ms98-a-0046,159.824500,159.934500,and,B,sd,u-63-2
sw3439A-ms98-a-0046,159.934500,160.057250,i,I,sd,u-63-2
sw3439A-ms98-a-0046,160.057250,160.196625,just,I,sd,u-63-2
sw3439A-ms98-a-0046,160.674500,160.835875,try,I,sd,u-63-2
sw3439A-ms98-a-0046,160.835875,160.960250,to,I,sd,u-63-2
sw3439A-ms98-a-0046,161.522750,161.654500,tell,I,sd,u-63-2
sw3439A-ms98-a-0046,161.654500,161.774500,my,I,sd,u-63-2
sw3439A-ms98-a-0046,161.774500,162.144500,kids,I,sd,u-63-2
sw3439A-ms98-a-0046,162.144500,162.274500,how,I,sd,u-63-2
sw3439A-ms98-a-0046,162.274500,162.584500,much,I,sd,u-63-2
sw3439A-ms98-a-0047,163.299500,163.389500,i,I,sd,u-63-2
sw3439A-ms98-a-0047,163.389500,163.589500,hate,I,sd,u-63-2
sw3439A-ms98-a-0047,163.589500,163.869500,paying,I,sd,u-63-2
sw3439A-ms98-a-0047,163.869500,164.229500,interest,I,sd,u-63-2
sw3439A-ms98-a-0047,164.229500,164.379500,so,B,sd,u-63-3
sw3439A-ms98-a-0047,164.379500,164.489500,they,I,sd,u-63-3
sw3439A-ms98-a-0047,164.489500,164.669500,should,I,sd,u-63-3
sw3439A-ms98-a-0047,164.669500,164.929500,follow,I,sd,u-63-3
sw3439A-ms98-a-0047,164.929500,165.019500,the,I,sd,u-63-3
sw3439A-ms98-a-0047,165.019500,165.359500,same,I,sd,u-63-3
sw3439A-ms98-a-0047,165.359500,165.653250,rule,I,sd,u-63-3
sw3439A-ms98-a-0049,169.953375,170.125000,oh,B,ba,u-65-1
sw3439A-ms98-a-0049,170.125000,170.232000,you,I,ba,u-65-1
sw3439A-ms98-a-0049,170.232000,170.532000,bet,I,ba,u-65-1
sw3439A-ms98-a-0049,170.532000,170.692000,it's,I,ba,u-65-1
sw3439A-ms98-a-0049,170.692000,170.811875,a,O,,
sw3439A-ms98-a-0050,171.316250,171.502625,it's,B,sd,u-67-1
sw3439A-ms98-a-0050,171.502625,171.599125,an,I,sd,u-67-1
sw3439A-ms98-a-0050,171.599125,172.019125,absolute,I,sd,u-67-1
sw3439A-ms98-a-0050,172.019125,172.512625,savings,I,sd,u-67-1
sw3439A-ms98-a-0052,175.881250,176.029000,you,B,ba,u-69-1
sw3439A-ms98-a-0052,176.029000,176.424375,bet,I,ba,u-69-1
sw3439A-ms98-a-0053,177.083125,177.238625,that's,B,sd,u-71-1
sw3439A-ms98-a-0053,177.238625,177.503500,that's,I,sd,u-71-1
sw3439A-ms98-a-0053,177.503500,177.743500,very,I,sd,u-71-1
sw3439A-ms98-a-0053,177.743500,178.219875,handy,I,sd,u-71-1
sw3439A-ms98-a-0055,180.925750,181.151000,well,B,sd,u-73-1
sw3439A-ms98-a-0056,181.485250,181.643375,i,I,sd,u-73-1
sw3439A-ms98-a-0056,181.643375,181.822500,think,I,sd,u-73-1
sw3439A-ms98-a-0056,181.822500,182.022500,that's,I,sd,u-73-1
sw3439A-ms98-a-0056,182.022500,182.232500,all,I,sd,u-73-1
sw3439A-ms98-a-0056,182.232500,182.322750,i,I,sd,u-73-1
sw3439A-ms98-a-0056,182.322750,182.722625,have,I,sd,u-73-1
sw3439A-ms98-a-0058,184.580000,184.777375,nice,B,fc^m,u-75-1
sw3439A-ms98-a-0058,184.777375,184.877375,to,I,fc^m,u-75-1
sw3439A-ms98-a-0058,184.877375,185.147375,meet,I,fc^m,u-75-1
sw3439A-ms98-a-0058,185.147375,185.367375,you,I,fc^m,u-75-1
sw3439A-ms98-a-0058,185.367375,185.557375,and,B,fc,u-75-2
sw3439A-ms98-a-0058,185.557375,185.657375,uh,I,fc,u-75-2
sw3439A-ms98-a-0058,185.657375,185.847375,give,I,fc,u-75-2
sw3439A-ms98-a-0058,185.847375,185.907375,it,I,fc,u-75-2
sw3439A-ms98-a-0058,185.907375,185.947375,a,I,fc,u-75-2
sw3439A-ms98-a-0058,185.947375,186.147375,try,I,fc,u-75-2
sw3439A-ms98-a-0058,186.147375,186.187375,i,B,fc,u-75-3
sw3439A-ms98-a-0058,186.187375,186.327375,think,I,fc,u-75-3
sw3439A-ms98-a-0058,186.327375,186.457375,you'll,I,fc,u-75-3
sw3439A-ms98-a-0058,186.457375,186.717375,enjoy,I,fc,u-75-3
sw3439A-ms98-a-0058,186.717375,186.821125,it,I,fc,u-75-3
sw3439A-ms98-a-0059,187.353875,187.869375,okay,B,fc,u-77-1
sw3439A-ms98-a-0059,188.145750,188.352000,thank,B,fc^m,u-79-1
sw3439A-ms98-a-0059,188.352000,188.686250,you,I,fc^m,u-79-1
sw3439A-ms98-a-0059,188.790625,188.993250,bye,B,fc^m,u-81-1
