sw3175B-ms98-a-0001,0.007750,0.406500,-[h]ello,O,,
sw3175B-ms98-a-0033,251.716625,251.776625,a,I,sd,u-41-1
sw3175B-ms98-a-0033,251.776625,252.246625,problem,I,sd,u-41-1
sw3175B-ms98-a-0033,252.246625,252.716625,when,I,sd,u-41-1
sw3175B-ms98-a-0033,252.716625,253.036625,when,I,sd,u-41-1
sw3175B-ms98-a-0033,253.036625,253.116625,i,I,sd,u-41-1
sw3175B-ms98-a-0033,253.116625,253.236625,was,I,sd,u-41-1
sw3175B-ms98-a-0033,253.236625,253.506625,working,I,sd,u-41-1
sw3175B-ms98-a-0033,253.506625,253.586625,in,I,sd,u-41-1
sw3175B-ms98-a-0033,253.586625,253.636625,a,I,sd,u-41-1
sw3175B-ms98-a-0033,253.636625,254.066625,restaurant,I,sd,u-41-1
sw3175B-ms98-a-0033,254.066625,254.226625,while,I,sd,u-41-1
sw3175B-ms98-a-0033,254.226625,254.326625,i,I,sd,u-41-1
sw3175B-ms98-a-0033,254.326625,254.486625,was,I,sd,u-41-1
sw3175B-ms98-a-0033,254.486625,254.616625,in,I,sd,u-41-1
sw3175B-ms98-a-0033,254.616625,254.996625,college,I,sd,u-41-1
sw3175B-ms98-a-0033,254.996625,255.106625,and,B,+,u-43-1
sw3175B-ms98-a-0033,255.106625,255.256625,had,I,+,u-43-1
sw3175B-ms98-a-0033,255.256625,255.326625,to,I,+,u-43-1
sw3175B-ms98-a-0033,255.326625,255.616625,dress,I,+,u-43-1
sw3175B-ms98-a-0033,255.616625,255.906625,up,I,+,u-43-1
sw3175B-ms98-a-0033,255.906625,256.112750,and,I,+,u-43-1
sw3175B-ms98-a-0033,256.496875,256.986625,nylons,I,+,u-43-1
sw3175B-ms98-a-0033,256.986625,257.116625,and,I,+,u-43-1
sw3175B-ms98-a-0033,257.116625,257.326625,things,I,+,u-43-1
sw3175B-ms98-a-0033,257.326625,257.516625,like,I,+,u-43-1
sw3175B-ms98-a-0033,257.516625,257.726625,that,I,+,u-43-1
sw3175B-ms98-a-0033,257.726625,257.846625,would,I,+,u-43-1
sw3175B-ms98-a-0033,257.846625,258.006625,just,I,+,u-43-1
sw3175B-ms98-a-0033,258.006625,258.126625,give,I,+,u-43-1
sw3175B-ms98-a-0033,258.126625,258.226625,me,I,+,u-43-1
sw3175B-ms98-a-0033,258.226625,258.276625,a,I,+,u-43-1
sw3175B-ms98-a-0033,258.276625,258.716625,terrible,I,+,u-43-1
sw3175B-ms98-a-0033,258.716625,259.275250,rash,I,+,u-43-1
sw3175B-ms98-a-0034,260.115375,260.661250,[laughter],O,,
sw3175B-ms98-a-0034,260.661250,261.159625,so,B,o@,u-45-1
sw3175B-ms98-a-0034,261.159625,261.939500,[laughter],O,,
sw3175B-ms98-a-0035,262.924500,263.398625,[laughter],O,,
sw3175B-ms98-a-0035,263.398625,263.792375,right,B,+@,u-47-1
sw3175B-ms98-a-0035,263.792375,264.112000,right,B,aa^r,u-47-2
sw3175B-ms98-a-0035,264.623750,264.716125,but,B,sv,u-47-3
sw3175B-ms98-a-0035,264.716125,265.237750,otherwise,I,sv,u-47-3
sw3175B-ms98-a-0035,265.237750,265.487750,now,I,sv,u-47-3
sw3175B-ms98-a-0035,265.487750,265.747750,i'm,I,sv,u-47-3
sw3175B-ms98-a-0035,265.747750,266.125500,i,I,sv,u-47-3
sw3175B-ms98-a-0035,266.374125,266.487750,i,I,sv,u-47-3
sw3175B-ms98-a-0035,266.487750,266.717750,guess,I,sv,u-47-3
sw3175B-ms98-a-0035,266.717750,266.817750,we're,I,sv,u-47-3
sw3175B-ms98-a-0035,266.817750,267.037750,both,I,sv,u-47-3
sw3175B-ms98-a-0035,267.037750,267.247750,pretty,I,sv,u-47-3
sw3175B-ms98-a-0035,267.247750,267.971875,practical,I,sv,u-47-3
sw3175B-ms98-a-0035,267.971875,269.927000,[laughter],O,,
sw3175B-ms98-a-0036,271.494625,272.078500,okay,B,fc,u-49-1
sw3175B-ms98-a-0036,272.078500,272.228500,well,B,fc,u-51-1
sw3175B-ms98-a-0036,272.228500,272.368500,have,I,fc,u-51-1
sw3175B-ms98-a-0036,272.368500,272.428500,a,I,fc,u-51-1
sw3175B-ms98-a-0036,272.428500,272.588500,good,I,fc,u-51-1
sw3175B-ms98-a-0036,272.588500,272.783875,day,I,fc,u-51-1
sw3175B-ms98-a-0036,273.566500,273.957250,bye-bye,O,,
