sw3332B-ms98-a-0003,2.573125,3.494625,sure,B,aa,u-2-1
sw3332B-ms98-a-0050,187.427625,187.547625,a,I,sv,u-74-2
sw3332B-ms98-a-0050,187.547625,187.937625,credit,I,sv,u-74-2
sw3332B-ms98-a-0050,187.937625,188.187625,card,I,sv,u-74-2
sw3332B-ms98-a-0050,188.187625,188.709000,also,I,sv,u-74-2
sw3332B-ms98-a-0051,189.524625,189.664625,that,B,sv,u-76-1
sw3332B-ms98-a-0051,189.664625,189.844625,you,I,sv,u-76-1
sw3332B-ms98-a-0051,189.844625,190.564625,can,I,sv,u-76-1
sw3332B-ms98-a-0052,191.185750,191.535750,can,B,+,u-78-1
sw3332B-ms98-a-0052,191.535750,191.705750,find,I,+,u-78-1
sw3332B-ms98-a-0052,191.705750,192.065750,yourselves,I,+,u-78-1
sw3332B-ms98-a-0052,192.065750,192.185750,in,I,+,u-78-1
sw3332B-ms98-a-0052,192.185750,192.375750,those,I,+,u-78-1
sw3332B-ms98-a-0052,192.375750,193.185750,situations,I,+,u-78-1
sw3332B-ms98-a-0052,193.185750,193.415750,and,I,+,u-78-1
sw3332B-ms98-a-0052,193.415750,193.585750,use,I,+,u-78-1
sw3332B-ms98-a-0052,193.585750,193.665750,a,I,+,u-78-1
sw3332B-ms98-a-0052,193.665750,193.985750,credit,I,+,u-78-1
sw3332B-ms98-a-0052,193.985750,194.295750,card,I,+,u-78-1
sw3332B-ms98-a-0052,194.295750,194.558375,to,I,+,u-78-1
sw3332B-ms98-a-0052,194.863375,194.985750,to,B,+,u-80-1
sw3332B-ms98-a-0052,194.985750,195.235750,help,I,+,u-80-1
sw3332B-ms98-a-0052,195.235750,195.685750,yourself,I,+,u-80-1
sw3332B-ms98-a-0052,195.685750,195.915750,so,B,sv,u-82-1
sw3332B-ms98-a-0052,195.915750,195.995750,i,I,sv,u-82-1
sw3332B-ms98-a-0052,195.995750,196.355750,think,I,sv,u-82-1
sw3332B-ms98-a-0052,196.355750,196.515750,that,I,sv,u-82-1
sw3332B-ms98-a-0052,196.515750,196.755750,there's,I,sv,u-82-1
sw3332B-ms98-a-0052,196.755750,196.805750,a,I,sv,u-82-1
sw3332B-ms98-a-0052,196.805750,197.045750,great,I,sv,u-82-1
sw3332B-ms98-a-0052,197.045750,197.535750,advantage,I,sv,u-82-1
sw3332B-ms98-a-0052,197.535750,197.615750,to,I,sv,u-82-1
sw3332B-ms98-a-0052,197.615750,197.665750,a,I,sv,u-82-1
sw3332B-ms98-a-0052,197.665750,198.005750,credit,I,sv,u-82-1
sw3332B-ms98-a-0052,198.005750,198.285750,card,I,sv,u-82-1
sw3332B-ms98-a-0052,198.285750,198.345750,in,I,sv,u-82-1
sw3332B-ms98-a-0052,198.345750,198.525750,those,I,sv,u-82-1
sw3332B-ms98-a-0052,198.525750,199.235750,situations,I,sv,u-82-1
sw3332B-ms98-a-0054,204.700750,205.119875,um-hum,B,b,u-84-1
sw3332B-ms98-a-0056,206.848875,207.222125,um-hum,B,b,u-86-1
sw3332B-ms98-a-0056,207.529250,207.707375,um,B,b^r,u-86-2
sw3332B-ms98-a-0057,207.800625,208.020625,um-hum,O,,
sw3332B-ms98-a-0058,209.705750,210.277250,um,B,qy,u-86-3
sw3332B-ms98-a-0059,211.013625,211.318750,do,I,qy,u-86-3
sw3332B-ms98-a-0059,211.318750,211.418750,you,I,qy,u-86-3
sw3332B-ms98-a-0059,211.418750,211.868750,have,I,qy,u-86-3
sw3332B-ms98-a-0059,211.868750,212.128750,uh,I,qy,u-86-3
sw3332B-ms98-a-0059,212.128750,212.778750,multiple,I,qy,u-86-3
sw3332B-ms98-a-0059,212.778750,213.148750,credit,I,qy,u-86-3
sw3332B-ms98-a-0059,213.148750,213.823375,cards,I,qy,u-86-3
sw3332B-ms98-a-0060,214.381250,214.567875,and,B,qy,u-88-1
sw3332B-ms98-a-0060,214.567875,214.637875,do,I,qy,u-88-1
sw3332B-ms98-a-0060,214.637875,214.757875,you,I,qy,u-88-1
sw3332B-ms98-a-0060,214.757875,215.057875,find,I,qy,u-88-1
sw3332B-ms98-a-0060,215.057875,215.257875,that,I,qy,u-88-1
sw3332B-ms98-a-0060,215.257875,216.430625,advantageous,I,qy,u-88-1
sw3332B-ms98-a-0060,216.430625,216.866875,or,B,qr,u-88-2
sw3332B-ms98-a-0062,230.134625,230.594625,um-hum,B,b,u-90-1
sw3332B-ms98-a-0063,231.482125,231.892250,right,B,b,u-92-1
sw3332B-ms98-a-0064,232.422000,232.865125,we're,B,sd,u-92-2
sw3332B-ms98-a-0064,233.283250,233.429250,we're,I,sd,u-92-2
sw3332B-ms98-a-0064,233.429250,233.799250,actually,I,sd,u-92-2
sw3332B-ms98-a-0064,233.799250,233.879250,in,I,sd,u-92-2
sw3332B-ms98-a-0064,233.879250,233.939250,the,I,sd,u-92-2
sw3332B-ms98-a-0064,233.939250,234.429250,same,I,sd,u-92-2
sw3332B-ms98-a-0064,234.753125,235.309250,boat,I,sd,u-92-2
sw3332B-ms98-a-0064,235.309250,235.529250,we,B,sd,u-94-1
sw3332B-ms98-a-0064,235.529250,235.799250,like,I,sd,u-94-1
sw3332B-ms98-a-0064,235.799250,236.370750,to,I,sd,u-94-1
sw3332B-ms98-a-0064,236.856625,237.159250,use,I,sd,u-94-1
sw3332B-ms98-a-0064,237.159250,238.073375,three,I,sd,u-94-1
sw3332B-ms98-a-0064,238.073375,238.716125,uh,I,sd,u-94-1
sw3332B-ms98-a-0065,238.986000,239.574375,basic,I,sd,u-94-1
sw3332B-ms98-a-0065,239.574375,239.954375,credit,I,sd,u-94-1
sw3332B-ms98-a-0065,239.954375,240.484375,cards,I,sd,u-94-1
sw3332B-ms98-a-0065,240.874375,241.104375,that,B,sd,u-96-1
sw3332B-ms98-a-0065,241.104375,241.394375,way,I,sd,u-96-1
sw3332B-ms98-a-0065,241.394375,241.574375,we're,I,sd,u-96-1
sw3332B-ms98-a-0065,241.574375,241.814375,not,I,sd,u-96-1
sw3332B-ms98-a-0065,241.814375,242.444375,confused,I,sd,u-96-1
sw3332B-ms98-a-0065,242.444375,242.544375,and,B,sd,u-96-2
sw3332B-ms98-a-0065,242.544375,242.654375,we,I,sd,u-96-2
sw3332B-ms98-a-0065,242.654375,242.884375,don't,I,sd,u-96-2
sw3332B-ms98-a-0065,242.884375,243.509625,have,I,sd,u-96-2
sw3332B-ms98-a-0065,243.750625,243.934375,an,I,sd,u-96-2
sw3332B-ms98-a-0065,243.934375,244.214375,awful,I,sd,u-96-2
sw3332B-ms98-a-0065,244.214375,244.374375,lot,I,sd,u-96-2
sw3332B-ms98-a-0065,244.374375,244.484375,of,I,sd,u-96-2
sw3332B-ms98-a-0065,244.484375,245.104375,expenses,I,sd,u-96-2
sw3332B-ms98-a-0065,245.104375,245.254375,or,I,sd,u-96-2
sw3332B-ms98-a-0065,245.254375,245.924375,surprises,I,sd,u-96-2
sw3332B-ms98-a-0065,245.924375,246.084375,when,I,sd,u-96-2
sw3332B-ms98-a-0065,246.084375,246.164375,it,I,sd,u-96-2
sw3332B-ms98-a-0065,246.164375,246.414375,comes,I,sd,u-96-2
sw3332B-ms98-a-0065,246.414375,246.494375,to,O,,
sw3332B-ms98-a-0065,246.494375,246.554375,the,B,+,u-98-1
sw3332B-ms98-a-0065,246.554375,246.724375,end,I,+,u-98-1
sw3332B-ms98-a-0065,246.724375,246.794375,of,I,+,u-98-1
sw3332B-ms98-a-0065,246.794375,246.904375,the,I,+,u-98-1
sw3332B-ms98-a-0065,246.904375,247.243125,month,I,+,u-98-1
sw3332B-ms98-a-0066,247.951000,248.591000,and,B,qy,u-98-2
sw3332B-ms98-a-0067,249.444875,250.007125,do,I,qy,u-98-2
sw3332B-ms98-a-0067,250.007125,250.637125,you,I,qy,u-98-2
sw3332B-ms98-a-0067,250.637125,251.835750,find,I,qy,u-98-2
sw3332B-ms98-a-0068,252.786500,253.046500,that,I,qy,u-98-2
sw3332B-ms98-a-0068,253.046500,253.206500,you,I,qy,u-98-2
sw3332B-ms98-a-0068,253.206500,253.386500,get,I,qy,u-98-2
sw3332B-ms98-a-0068,253.386500,253.516500,an,I,qy,u-98-2
sw3332B-ms98-a-0068,253.516500,253.836500,awful,I,qy,u-98-2
sw3332B-ms98-a-0068,253.836500,254.046500,lot,I,qy,u-98-2
sw3332B-ms98-a-0068,254.046500,254.156500,of,I,qy,u-98-2
sw3332B-ms98-a-0068,254.156500,254.506500,credit,I,qy,u-98-2
sw3332B-ms98-a-0068,254.506500,254.726500,card,I,qy,u-98-2
sw3332B-ms98-a-0068,254.726500,255.526500,applications,I,qy,u-98-2
sw3332B-ms98-a-0068,255.526500,255.806500,through,I,qy,u-98-2
sw3332B-ms98-a-0068,255.806500,255.916500,the,I,qy,u-98-2
sw3332B-ms98-a-0068,255.916500,256.396500,mail,I,qy,u-98-2
sw3332B-ms98-a-0069,257.148250,257.488250,once,B,sd,u-100-1
sw3332B-ms98-a-0069,257.488250,257.578250,a,I,sd,u-100-1
sw3332B-ms98-a-0069,257.578250,257.878250,week,I,sd,u-100-1
sw3332B-ms98-a-0069,257.878250,258.268250,twice,B,sd,u-100-2
sw3332B-ms98-a-0069,258.268250,258.458250,[laughter-a],O,,
sw3332B-ms98-a-0069,258.458250,258.728250,[laughter-week],O,,
sw3332B-ms98-a-0069,258.728250,258.858250,or,B,sd,u-100-3
sw3332B-ms98-a-0069,258.858250,259.118250,three,I,sd,u-100-3
sw3332B-ms98-a-0069,259.118250,259.508250,times,I,sd,u-100-3
sw3332B-ms98-a-0069,259.508250,259.568250,a,I,sd,u-100-3
sw3332B-ms98-a-0069,259.568250,259.798250,week,I,sd,u-100-3
sw3332B-ms98-a-0071,262.440625,262.843250,um-hum,O,,
sw3332B-ms98-a-0073,266.022500,266.501625,yes,O,,
sw3332B-ms98-a-0075,277.243500,277.713500,right,B,b,u-104-1
sw3332B-ms98-a-0075,277.713500,277.873500,so,B,bf,u-104-2
sw3332B-ms98-a-0075,277.873500,277.963500,the,I,bf,u-104-2
sw3332B-ms98-a-0075,277.963500,278.443500,annual,I,bf,u-104-2
sw3332B-ms98-a-0075,278.443500,278.980000,fee,I,bf,u-104-2
sw3332B-ms98-a-0076,280.102875,280.492875,right,B,b,u-106-1
sw3332B-ms98-a-0076,280.782875,281.055625,right,B,b^r,u-106-2
sw3332B-ms98-a-0078,287.353750,287.913750,yes,B,b,u-108-1
sw3332B-ms98-a-0078,287.913750,288.093750,so,B,sd,u-108-2
sw3332B-ms98-a-0078,288.093750,288.363750,there,I,sd,u-108-2
sw3332B-ms98-a-0078,288.363750,288.553750,is,I,sd,u-108-2
sw3332B-ms98-a-0078,288.553750,288.623750,the,I,sd,u-108-2
sw3332B-ms98-a-0078,288.623750,289.113750,basic,I,sd,u-108-2
sw3332B-ms98-a-0078,289.113750,289.533750,annual,I,sd,u-108-2
sw3332B-ms98-a-0078,289.533750,290.033750,fee,I,sd,u-108-2
sw3332B-ms98-a-0078,290.033750,290.353750,for,I,sd,u-108-2
sw3332B-ms98-a-0078,290.353750,290.443750,the,I,sd,u-108-2
sw3332B-ms98-a-0078,290.443750,290.863750,credit,I,sd,u-108-2
sw3332B-ms98-a-0078,290.863750,291.263750,card,I,sd,u-108-2
sw3332B-ms98-a-0079,291.864375,292.119125,plus,B,+,u-110-1
sw3332B-ms98-a-0079,292.119125,292.229125,they,I,+,u-110-1
sw3332B-ms98-a-0079,292.229125,292.599125,charge,I,+,u-110-1
sw3332B-ms98-a-0079,292.599125,292.789125,any,I,+,u-110-1
sw3332B-ms98-a-0079,292.789125,293.059125,where,I,+,u-110-1
sw3332B-ms98-a-0079,293.059125,293.629125,from,I,+,u-110-1
sw3332B-ms98-a-0079,293.629125,294.329125,seventeen,I,+,u-110-1
sw3332B-ms98-a-0079,294.329125,294.419125,to,I,+,u-110-1
sw3332B-ms98-a-0079,294.419125,294.769125,twenty,I,+,u-110-1
sw3332B-ms98-a-0079,294.769125,295.049125,three,I,+,u-110-1
sw3332B-ms98-a-0079,295.049125,295.639125,percent,I,+,u-110-1
sw3332B-ms98-a-0080,296.521000,296.897000,uh,B,+,u-112-1
sw3332B-ms98-a-0080,296.897000,297.273375,based,I,+,u-112-1
sw3332B-ms98-a-0080,297.273375,297.483375,upon,I,+,u-112-1
sw3332B-ms98-a-0080,297.483375,297.653375,what,I,+,u-112-1
sw3332B-ms98-a-0080,297.653375,297.733375,the,I,+,u-112-1
sw3332B-ms98-a-0080,297.733375,298.093375,state,I,+,u-112-1
sw3332B-ms98-a-0080,298.093375,298.323375,will,I,+,u-112-1
sw3332B-ms98-a-0080,298.323375,298.843375,allow,I,+,u-112-1
