sw3313A-ms98-a-0002,2.474500,2.939250,Jeri,B,o,u-1-1
sw3313A-ms98-a-0041,279.424375,279.674375,he,B,qy^g,u-53-3
sw3313A-ms98-a-0041,279.674375,279.874375,didn't,I,qy^g,u-53-3
sw3313A-ms98-a-0041,279.874375,279.994375,have,I,qy^g,u-53-3
sw3313A-ms98-a-0041,279.994375,280.044375,a,I,qy^g,u-53-3
sw3313A-ms98-a-0041,280.044375,280.474375,license,I,qy^g,u-53-3
sw3313A-ms98-a-0041,280.474375,280.584375,for,I,qy^g,u-53-3
sw3313A-ms98-a-0041,280.584375,280.644375,the,I,qy^g,u-53-3
sw3313A-ms98-a-0041,280.644375,280.954375,gun,I,qy^g,u-53-3
sw3313A-ms98-a-0041,280.954375,281.664250,correct,I,qy^g,u-53-3
sw3313A-ms98-a-0043,293.525625,294.251875,uh-huh,B,b,u-55-1
