sw3367A-ms98-a-0003,1.534500,1.764500,what,B,br,u-1-1
sw3367A-ms98-a-0055,249.763500,250.008375,i-,O,,
sw3367A-ms98-a-0055,250.008375,250.157250,i,B,+,u-57-1
sw3367A-ms98-a-0055,250.157250,250.303500,guess,I,+,u-57-1
sw3367A-ms98-a-0055,250.303500,250.413500,you,I,+,u-57-1
sw3367A-ms98-a-0055,250.413500,250.533500,got,I,+,u-57-1
sw3367A-ms98-a-0055,250.533500,250.593500,to,I,+,u-57-1
sw3367A-ms98-a-0055,250.593500,250.773500,look,I,+,u-57-1
sw3367A-ms98-a-0055,250.773500,250.913500,at,I,+,u-57-1
sw3367A-ms98-a-0055,250.913500,251.193500,something,I,+,u-57-1
sw3367A-ms98-a-0055,251.193500,251.413500,like,I,+,u-57-1
sw3367A-ms98-a-0055,251.413500,251.723500,that,I,+,u-57-1
sw3367A-ms98-a-0055,251.723500,251.823500,do,B,bh,u-57-2
sw3367A-ms98-a-0055,251.823500,252.067000,they,I,bh,u-57-2
sw3367A-ms98-a-0055,252.067000,252.511500,deserve,I,bh,u-57-2
sw3367A-ms98-a-0055,252.511500,253.243000,to,I,bh,u-57-2
sw3367A-ms98-a-0055,253.600750,254.104375,uh,I,bh,u-57-2
sw3367A-ms98-a-0055,254.104375,254.513500,remain,I,bh,u-57-2
sw3367A-ms98-a-0055,254.513500,254.623500,on,I,bh,u-57-2
sw3367A-ms98-a-0055,254.623500,254.803500,this,I,bh,u-57-2
sw3367A-ms98-a-0055,254.803500,255.093500,earth,I,bh,u-57-2
sw3367A-ms98-a-0055,255.093500,255.453250,too,I,bh,u-57-2
sw3367A-ms98-a-0057,279.358625,279.706250,right,B,b,u-59-1
sw3367A-ms98-a-0059,287.009250,287.411875,right,B,b,u-61-1
sw3367A-ms98-a-0061,294.892750,295.151125,yeah,B,b,u-63-1
sw3367A-ms98-a-0061,295.550750,295.920750,um-hum,B,b,u-63-2
