sw2025B-ms98-a-0002,1.861375,2.461875,fine,B,fp,u-2-1
sw2025B-ms98-a-0041,204.930375,205.389250,yeah,B,aa^r,u-50-3
sw2025B-ms98-a-0043,211.000375,211.425625,yeah,B,aa,u-52-1
sw2025B-ms98-a-0043,211.651500,212.000375,yeah,B,aa^r,u-52-2
sw2025B-ms98-a-0045,219.840500,220.289125,yeah,B,aa,u-54-1
sw2025B-ms98-a-0045,220.509125,220.879125,yeah,B,aa^r,u-54-2
sw2025B-ms98-a-0046,222.309375,222.570625,well,B,%,u-56-1
sw2025B-ms98-a-0046,222.570625,222.874875,if,I,%,u-56-1
sw2025B-ms98-a-0046,222.874875,223.034875,i,I,%,u-56-1
sw2025B-ms98-a-0046,223.034875,223.340125,i,B,sd,u-56-2
sw2025B-ms98-a-0046,223.513375,223.854875,saw,I,sd,u-56-2
sw2025B-ms98-a-0046,223.854875,224.014875,on,I,sd,u-56-2
sw2025B-ms98-a-0046,224.014875,224.114875,one,I,sd,u-56-2
sw2025B-ms98-a-0046,224.114875,224.184875,of,I,sd,u-56-2
sw2025B-ms98-a-0046,224.184875,224.254875,the,I,sd,u-56-2
sw2025B-ms98-a-0046,224.254875,224.604875,talk,I,sd,u-56-2
sw2025B-ms98-a-0046,224.604875,224.874875,shows,I,sd,u-56-2
sw2025B-ms98-a-0046,224.874875,225.024875,this,I,sd,u-56-2
sw2025B-ms98-a-0046,225.024875,225.334875,woman,I,sd,u-56-2
sw2025B-ms98-a-0046,225.334875,225.624875,judge,I,sd,u-56-2
sw2025B-ms98-a-0046,225.624875,225.654875,i,I,sd,u-56-2
sw2025B-ms98-a-0046,225.654875,225.854875,believe,I,sd,u-56-2
sw2025B-ms98-a-0046,225.854875,226.014875,from,I,sd,u-56-2
sw2025B-ms98-a-0046,226.014875,226.604875,Florida,I,sd,u-56-2
sw2025B-ms98-a-0046,226.604875,226.744875,and,B,sd,u-56-3
sw2025B-ms98-a-0046,226.744875,226.964875,she,I,sd,u-56-3
sw2025B-ms98-a-0046,226.964875,227.274875,just,I,sd,u-56-3
sw2025B-ms98-a-0046,227.274875,227.541375,has,I,sd,u-56-3
sw2025B-ms98-a-0046,227.756000,227.974875,just,I,sd,u-56-3
sw2025B-ms98-a-0046,227.974875,228.364875,really,I,sd,u-56-3
sw2025B-ms98-a-0046,228.364875,228.604875,stiff,I,sd,u-56-3
sw2025B-ms98-a-0046,228.604875,229.174875,penalties,I,sd,u-56-3
sw2025B-ms98-a-0046,229.174875,229.304875,and,B,sd,u-56-4
sw2025B-ms98-a-0046,229.304875,229.444875,i,I,sd,u-56-4
sw2025B-ms98-a-0046,229.444875,229.714875,saw,I,sd,u-56-4
sw2025B-ms98-a-0046,229.714875,229.904875,that,I,sd,u-56-4
sw2025B-ms98-a-0046,229.904875,230.096375,in,I,sd,u-56-4
sw2025B-ms98-a-0046,230.277125,230.444875,in,I,sd,u-56-4
sw2025B-ms98-a-0046,230.444875,230.614875,the,I,sd,u-56-4
sw2025B-ms98-a-0046,230.614875,230.954875,hands,I,sd,u-56-4
sw2025B-ms98-a-0046,230.954875,231.064875,of,I,sd,u-56-4
sw2025B-ms98-a-0046,231.064875,231.194875,a,I,sd,u-56-4
sw2025B-ms98-a-0046,231.194875,231.504875,judge,I,sd,u-56-4
sw2025B-ms98-a-0046,231.504875,231.664875,that,I,sd,u-56-4
sw2025B-ms98-a-0046,231.664875,232.113375,really,I,sd,u-56-4
sw2025B-ms98-a-0046,232.542875,232.674875,was,I,sd,u-56-4
sw2025B-ms98-a-0046,232.674875,233.454875,conscientious,I,sd,u-56-4
sw2025B-ms98-a-0046,233.454875,233.644875,and,I,sd,u-56-4
sw2025B-ms98-a-0046,233.644875,234.044875,really,I,sd,u-56-4
sw2025B-ms98-a-0047,234.413750,234.491250,you,I,sd,u-56-4
sw2025B-ms98-a-0047,234.491250,234.591250,know,I,sd,u-56-4
sw2025B-ms98-a-0047,234.591250,234.841250,took,I,sd,u-56-4
sw2025B-ms98-a-0047,234.841250,234.911250,the,I,sd,u-56-4
sw2025B-ms98-a-0047,234.911250,235.451250,pains,I,sd,u-56-4
sw2025B-ms98-a-0047,235.451250,235.561250,to,I,sd,u-56-4
sw2025B-ms98-a-0047,235.561250,235.751250,give,I,sd,u-56-4
sw2025B-ms98-a-0047,235.751250,235.831250,a,I,sd,u-56-4
sw2025B-ms98-a-0047,235.831250,236.271250,sentence,I,sd,u-56-4
sw2025B-ms98-a-0047,236.271250,236.391250,for,I,sd,u-56-4
sw2025B-ms98-a-0047,236.391250,236.581250,what,I,sd,u-56-4
sw2025B-ms98-a-0047,236.581250,236.721250,was,I,sd,u-56-4
sw2025B-ms98-a-0047,236.721250,237.421250,deserved,I,sd,u-56-4
sw2025B-ms98-a-0047,237.421250,237.591250,it,I,sd,u-56-4
sw2025B-ms98-a-0047,237.591250,237.711250,could,I,sd,u-56-4
sw2025B-ms98-a-0047,237.711250,237.855250,you,I,sd,u-56-4
sw2025B-ms98-a-0047,237.855250,237.998375,could,I,sd,u-56-4
sw2025B-ms98-a-0047,237.998375,238.228875,have,I,sd,u-56-4
sw2025B-ms98-a-0047,238.228875,238.387125,a,I,sd,u-56-4
sw2025B-ms98-a-0047,238.387125,238.485250,a,I,sd,u-56-4
sw2025B-ms98-a-0047,238.673625,238.901250,judge,I,sd,u-56-4
sw2025B-ms98-a-0047,238.901250,239.041250,that,I,sd,u-56-4
sw2025B-ms98-a-0047,239.041250,239.231250,would,I,sd,u-56-4
sw2025B-ms98-a-0047,239.231250,239.431250,really,I,sd,u-56-4
sw2025B-ms98-a-0047,239.431250,239.591250,make,I,sd,u-56-4
sw2025B-ms98-a-0047,239.591250,239.661250,a,I,sd,u-56-4
sw2025B-ms98-a-0047,239.661250,239.831250,good,I,sd,u-56-4
sw2025B-ms98-a-0047,239.831250,240.381250,impact,I,sd,u-56-4
sw2025B-ms98-a-0047,240.381250,240.501250,but,B,sv,u-56-5
sw2025B-ms98-a-0047,240.501250,241.011250,likewise,I,sv,u-56-5
sw2025B-ms98-a-0047,241.011250,241.101250,you,I,sv,u-56-5
sw2025B-ms98-a-0047,241.101250,241.191250,could,I,sv,u-56-5
sw2025B-ms98-a-0047,241.191250,241.311250,have,I,sv,u-56-5
sw2025B-ms98-a-0047,241.311250,241.371250,the,I,sv,u-56-5
sw2025B-ms98-a-0047,241.371250,241.641250,flip,I,sv,u-56-5
sw2025B-ms98-a-0047,241.641250,242.113500,side,I,sv,u-56-5
sw2025B-ms98-a-0048,242.420250,242.530250,and,I,sv,u-56-5
sw2025B-ms98-a-0048,242.530250,242.720250,have,I,sv,u-56-5
sw2025B-ms98-a-0048,242.720250,242.910250,some,I,sv,u-56-5
sw2025B-ms98-a-0048,242.910250,243.290250,judge,I,sv,u-56-5
sw2025B-ms98-a-0048,243.290250,243.430250,that,I,sv,u-56-5
sw2025B-ms98-a-0048,243.430250,243.590250,was,I,sv,u-56-5
sw2025B-ms98-a-0048,243.590250,243.920250,paid,I,sv,u-56-5
sw2025B-ms98-a-0048,243.920250,244.350250,off,I,sv,u-56-5
sw2025B-ms98-a-0048,244.350250,244.605125,or,I,sv,u-56-5
sw2025B-ms98-a-0048,244.970500,245.040250,you,I,sv,u-56-5
sw2025B-ms98-a-0048,245.040250,245.120250,know,I,sv,u-56-5
sw2025B-ms98-a-0048,245.120250,245.331750,had,I,sv,u-56-5
sw2025B-ms98-a-0048,245.467375,245.520250,goo[d]-,I,sv,u-56-5
sw2025B-ms98-a-0048,245.520250,245.620250,a,I,sv,u-56-5
sw2025B-ms98-a-0048,245.620250,245.770250,good,I,sv,u-56-5
sw2025B-ms98-a-0048,245.770250,245.990250,old,I,sv,u-56-5
sw2025B-ms98-a-0048,245.990250,246.150250,boy,I,sv,u-56-5
sw2025B-ms98-a-0048,246.150250,246.650250,network,I,sv,u-56-5
sw2025B-ms98-a-0048,246.650250,246.740250,or,B,sv,u-56-6
sw2025B-ms98-a-0048,246.740250,246.870250,for,I,sv,u-56-6
sw2025B-ms98-a-0048,246.870250,247.250250,whatever,I,sv,u-56-6
sw2025B-ms98-a-0048,247.250250,247.680250,reasons,I,sv,u-56-6
sw2025B-ms98-a-0048,247.680250,247.740250,you,I,sv,u-56-6
sw2025B-ms98-a-0048,247.740250,247.860250,know,I,sv,u-56-6
sw2025B-ms98-a-0048,247.860250,248.990250,politics,I,sv,u-56-6
sw2025B-ms98-a-0048,248.990250,249.300250,just,I,sv,u-56-6
sw2025B-ms98-a-0048,249.300250,249.520250,let,I,sv,u-56-6
sw2025B-ms98-a-0048,249.520250,249.680250,all,I,sv,u-56-6
sw2025B-ms98-a-0048,249.680250,249.880250,kinds,I,sv,u-56-6
sw2025B-ms98-a-0048,249.880250,249.950250,of,I,sv,u-56-6
sw2025B-ms98-a-0048,249.950250,250.240250,people,I,sv,u-56-6
sw2025B-ms98-a-0048,250.240250,250.670250,through,I,sv,u-56-6
sw2025B-ms98-a-0048,250.670250,250.860250,so,B,sv,u-56-7
sw2025B-ms98-a-0048,250.860250,251.140250,he,I,sv,u-56-7
sw2025B-ms98-a-0048,251.140250,251.250250,he,I,sv,u-56-7
sw2025B-ms98-a-0048,251.250250,251.350250,would,I,sv,u-56-7
sw2025B-ms98-a-0048,251.350250,251.520250,have,I,sv,u-56-7
sw2025B-ms98-a-0048,251.520250,251.580250,a,I,sv,u-56-7
sw2025B-ms98-a-0048,251.580250,251.810250,heck,I,sv,u-56-7
sw2025B-ms98-a-0048,251.810250,251.960250,or,I,sv,u-56-7
sw2025B-ms98-a-0048,251.960250,252.260250,she,I,sv,u-56-7
sw2025B-ms98-a-0048,252.260250,252.350250,would,I,sv,u-56-7
sw2025B-ms98-a-0048,252.350250,252.500250,have,I,sv,u-56-7
sw2025B-ms98-a-0048,252.500250,252.550250,a,I,sv,u-56-7
sw2025B-ms98-a-0048,252.550250,252.690250,heck,I,sv,u-56-7
sw2025B-ms98-a-0048,252.690250,252.770250,of,I,sv,u-56-7
sw2025B-ms98-a-0048,252.770250,252.810250,a,I,sv,u-56-7
sw2025B-ms98-a-0048,252.810250,252.960250,lot,I,sv,u-56-7
sw2025B-ms98-a-0048,252.960250,253.040250,of,I,sv,u-56-7
sw2025B-ms98-a-0048,253.040250,253.590250,power,I,sv,u-56-7
sw2025B-ms98-a-0049,253.965250,254.026125,you,I,sv,u-56-7
sw2025B-ms98-a-0049,254.026125,254.126125,know,I,sv,u-56-7
sw2025B-ms98-a-0049,254.126125,254.226125,if,I,sv,u-56-7
sw2025B-ms98-a-0049,254.226125,254.536125,used,I,sv,u-56-7
sw2025B-ms98-a-0049,254.536125,255.096125,wrongly,I,sv,u-56-7
sw2025B-ms98-a-0049,255.096125,255.296125,so,B,sv,u-56-8
sw2025B-ms98-a-0049,255.296125,255.446125,at,I,sv,u-56-8
sw2025B-ms98-a-0049,255.446125,255.666125,least,I,sv,u-56-8
sw2025B-ms98-a-0049,255.666125,255.726125,the,I,sv,u-56-8
sw2025B-ms98-a-0049,255.726125,256.066125,jury,I,sv,u-56-8
sw2025B-ms98-a-0049,256.066125,256.547000,system,I,sv,u-56-8
sw2025B-ms98-a-0049,257.096875,257.296125,does,I,sv,u-56-8
sw2025B-ms98-a-0049,257.296125,257.756125,something,I,sv,u-56-8
sw2025B-ms98-a-0049,257.756125,257.846125,to,I,sv,u-56-8
sw2025B-ms98-a-0049,257.846125,258.236125,prevent,I,sv,u-56-8
sw2025B-ms98-a-0049,258.236125,258.651625,that,I,sv,u-56-8
sw2025B-ms98-a-0049,258.794750,258.896125,you,I,sv,u-56-8
sw2025B-ms98-a-0049,258.896125,259.236125,know,I,sv,u-56-8
sw2025B-ms98-a-0049,259.236125,259.376125,or,I,sv,u-56-8
sw2025B-ms98-a-0049,259.376125,259.706125,help,I,sv,u-56-8
sw2025B-ms98-a-0049,259.706125,259.806125,it,I,sv,u-56-8
sw2025B-ms98-a-0049,259.806125,259.986125,with,I,sv,u-56-8
sw2025B-ms98-a-0049,259.986125,260.046125,it,I,sv,u-56-8
sw2025B-ms98-a-0049,260.046125,260.346125,anyway,I,sv,u-56-8
sw2025B-ms98-a-0049,260.346125,260.376125,i,B,sd,u-56-9
sw2025B-ms98-a-0049,260.376125,260.506125,don't,I,sd,u-56-9
sw2025B-ms98-a-0049,260.506125,260.566125,know,I,sd,u-56-9
sw2025B-ms98-a-0049,260.566125,260.636125,if,I,sd,u-56-9
sw2025B-ms98-a-0049,260.636125,260.746125,it,I,sd,u-56-9
sw2025B-ms98-a-0049,260.746125,261.196125,prevents,I,sd,u-56-9
sw2025B-ms98-a-0049,261.196125,261.396125,it,I,sd,u-56-9
sw2025B-ms98-a-0049,261.396125,261.616375,but,B,sv,u-56-10
sw2025B-ms98-a-0049,262.350875,262.566125,seems,I,sv,u-56-10
sw2025B-ms98-a-0049,262.566125,262.716125,like,I,sv,u-56-10
sw2025B-ms98-a-0049,262.716125,262.786125,the,I,sv,u-56-10
sw2025B-ms98-a-0049,262.786125,263.046125,jury,I,sv,u-56-10
sw2025B-ms98-a-0049,263.046125,263.477500,system,I,sv,u-56-10
sw2025B-ms98-a-0049,263.477500,263.665875,does,I,sv,u-56-10
sw2025B-ms98-a-0049,263.665875,263.826125,have,I,sv,u-56-10
sw2025B-ms98-a-0049,263.826125,263.966125,it's,I,sv,u-56-10
sw2025B-ms98-a-0049,263.966125,264.702500,advantages,I,sv,u-56-10
sw2025B-ms98-a-0050,265.599625,265.815625,but,B,sd,u-56-11
sw2025B-ms98-a-0050,265.815625,265.955625,i,I,sd,u-56-11
sw2025B-ms98-a-0050,265.955625,266.205625,also,I,sd,u-56-11
sw2025B-ms98-a-0050,266.205625,266.325625,i've,I,sd,u-56-11
sw2025B-ms98-a-0050,266.325625,266.665625,also,I,sd,u-56-11
sw2025B-ms98-a-0050,266.665625,266.915625,heard,I,sd,u-56-11
sw2025B-ms98-a-0050,266.915625,267.045625,on,I,sd,u-56-11
sw2025B-ms98-a-0050,267.045625,267.615625,trials,I,sd,u-56-11
sw2025B-ms98-a-0050,267.615625,267.885625,that,I,sd,u-56-11
sw2025B-ms98-a-0050,267.885625,268.355625,sometimes,I,sd,u-56-11
sw2025B-ms98-a-0050,268.355625,268.515625,they,I,sd,u-56-11
sw2025B-ms98-a-0050,268.515625,268.695625,go,I,sd,u-56-11
sw2025B-ms98-a-0050,268.695625,268.985625,through,I,sd,u-56-11
sw2025B-ms98-a-0050,268.985625,269.275625,like,I,sd,u-56-11
sw2025B-ms98-a-0050,269.275625,269.465625,three,I,sd,u-56-11
sw2025B-ms98-a-0050,269.465625,269.785625,hundred,I,sd,u-56-11
sw2025B-ms98-a-0050,269.785625,270.225625,jurors,I,sd,u-56-11
sw2025B-ms98-a-0050,270.225625,270.545625,before,I,sd,u-56-11
sw2025B-ms98-a-0050,270.545625,270.765625,they,I,sd,u-56-11
sw2025B-ms98-a-0050,270.765625,271.085625,hand,I,sd,u-56-11
sw2025B-ms98-a-0050,271.085625,271.375625,pick,I,sd,u-56-11
sw2025B-ms98-a-0050,271.375625,271.595625,these,I,sd,u-56-11
sw2025B-ms98-a-0050,271.595625,271.945625,jurors,I,sd,u-56-11
sw2025B-ms98-a-0050,271.945625,272.085625,that,I,sd,u-56-11
sw2025B-ms98-a-0050,272.085625,272.205625,they,I,sd,u-56-11
sw2025B-ms98-a-0050,272.205625,272.415625,think,I,sd,u-56-11
sw2025B-ms98-a-0050,272.415625,272.485625,are,I,sd,u-56-11
sw2025B-ms98-a-0050,272.485625,272.605625,going,I,sd,u-56-11
sw2025B-ms98-a-0050,272.605625,272.665625,to,I,sd,u-56-11
sw2025B-ms98-a-0050,272.665625,272.755625,be,I,sd,u-56-11
sw2025B-ms98-a-0050,272.755625,272.835625,the,I,sd,u-56-11
sw2025B-ms98-a-0050,272.835625,273.055625,ones,I,sd,u-56-11
sw2025B-ms98-a-0050,273.055625,273.145625,that,I,sd,u-56-11
sw2025B-ms98-a-0050,273.145625,273.205625,are,I,sd,u-56-11
sw2025B-ms98-a-0050,273.205625,273.325625,going,I,sd,u-56-11
sw2025B-ms98-a-0050,273.325625,273.385625,to,I,sd,u-56-11
sw2025B-ms98-a-0050,273.385625,273.445625,be,I,sd,u-56-11
sw2025B-ms98-a-0050,273.445625,273.505625,the,I,sd,u-56-11
sw2025B-ms98-a-0050,273.505625,273.715625,most,I,sd,u-56-11
sw2025B-ms98-a-0050,273.715625,274.245625,lenient,I,sd,u-56-11
sw2025B-ms98-a-0050,274.245625,274.375625,you,I,sd,u-56-11
sw2025B-ms98-a-0050,274.375625,274.675625,know,I,sd,u-56-11
sw2025B-ms98-a-0051,275.858625,276.038625,and,B,sd,u-56-12
sw2025B-ms98-a-0051,276.038625,276.118625,i,I,sd,u-56-12
sw2025B-ms98-a-0051,276.118625,276.238625,don't,I,sd,u-56-12
sw2025B-ms98-a-0051,276.238625,276.298625,know,I,sd,u-56-12
sw2025B-ms98-a-0051,276.298625,276.458625,how,I,sd,u-56-12
sw2025B-ms98-a-0051,276.458625,276.698625,much,I,sd,u-56-12
sw2025B-ms98-a-0051,276.698625,276.818625,they're,I,sd,u-56-12
sw2025B-ms98-a-0051,276.818625,277.353875,getting,I,sd,u-56-12
sw2025B-ms98-a-0051,277.523250,277.832000,just,I,sd,u-56-12
sw2025B-ms98-a-0051,277.832000,278.068625,a,I,sd,u-56-12
sw2025B-ms98-a-0051,278.068625,278.358625,jury,I,sd,u-56-12
sw2025B-ms98-a-0051,278.358625,278.448625,of,I,sd,u-56-12
sw2025B-ms98-a-0051,278.448625,278.578625,their,I,sd,u-56-12
sw2025B-ms98-a-0051,278.578625,278.928625,peers,I,sd,u-56-12
sw2025B-ms98-a-0051,278.928625,279.028625,at,I,sd,u-56-12
sw2025B-ms98-a-0051,279.028625,279.228625,that,I,sd,u-56-12
sw2025B-ms98-a-0051,279.228625,279.448625,point,I,sd,u-56-12
sw2025B-ms98-a-0051,279.448625,279.568625,they're,I,sd,u-56-12
sw2025B-ms98-a-0051,279.568625,279.758625,really,I,sd,u-56-12
sw2025B-ms98-a-0051,279.758625,280.048625,getting,I,sd,u-56-12
sw2025B-ms98-a-0051,280.048625,280.088625,a,I,sd,u-56-12
sw2025B-ms98-a-0051,280.088625,280.648625,select,I,sd,u-56-12
sw2025B-ms98-a-0051,280.648625,281.088625,group,I,sd,u-56-12
sw2025B-ms98-a-0051,281.088625,281.228625,it's,B,sd,u-56-13
sw2025B-ms98-a-0051,281.228625,281.431000,not,I,sd,u-56-13
sw2025B-ms98-a-0051,281.431000,281.634375,just,I,sd,u-56-13
sw2025B-ms98-a-0051,281.634375,282.138625,random,I,sd,u-56-13
sw2025B-ms98-a-0051,282.138625,282.651500,people,I,sd,u-56-13
sw2025B-ms98-a-0052,283.158000,283.252250,it,B,sv,u-58-1
sw2025B-ms98-a-0052,283.252250,283.522250,almost,I,sv,u-58-1
sw2025B-ms98-a-0052,283.522250,283.652250,should,I,sv,u-58-1
sw2025B-ms98-a-0052,283.652250,283.782250,be,I,sv,u-58-1
sw2025B-ms98-a-0052,283.782250,283.922250,the,I,sv,u-58-1
sw2025B-ms98-a-0052,283.922250,284.152250,first,I,sv,u-58-1
sw2025B-ms98-a-0052,284.152250,284.442250,twelve,I,sv,u-58-1
sw2025B-ms98-a-0052,284.442250,284.772250,people,I,sv,u-58-1
sw2025B-ms98-a-0052,284.772250,284.922250,that,I,sv,u-58-1
sw2025B-ms98-a-0052,284.922250,284.992250,they,I,sv,u-58-1
sw2025B-ms98-a-0052,284.992250,285.052250,[laughter-you],I,sv,u-58-1
sw2025B-ms98-a-0052,285.052250,285.222250,[laughter-know],I,sv,u-58-1
sw2025B-ms98-a-0052,285.222250,285.402250,[laughter-that],I,sv,u-58-1
sw2025B-ms98-a-0052,285.402250,285.572250,[laughter-have],I,sv,u-58-1
sw2025B-ms98-a-0052,285.572250,285.672250,[laughter-on],I,sv,u-58-1
sw2025B-ms98-a-0052,285.672250,285.742250,[laughter-a],I,sv,u-58-1
sw2025B-ms98-a-0052,285.742250,285.902250,[laughter-list],I,sv,u-58-1
sw2025B-ms98-a-0052,285.902250,285.962250,are,I,sv,u-58-1
sw2025B-ms98-a-0052,285.962250,286.092250,the,I,sv,u-58-1
sw2025B-ms98-a-0052,286.092250,286.272250,ones,I,sv,u-58-1
sw2025B-ms98-a-0052,286.272250,286.492250,that,I,sv,u-58-1
sw2025B-ms98-a-0052,286.492250,286.582250,are,I,sv,u-58-1
sw2025B-ms98-a-0052,286.582250,286.712250,on,I,sv,u-58-1
sw2025B-ms98-a-0052,286.712250,286.772250,the,I,sv,u-58-1
sw2025B-ms98-a-0052,286.772250,287.112250,jury,I,sv,u-58-1
sw2025B-ms98-a-0052,287.112250,287.262250,and,B,sv,u-58-2
sw2025B-ms98-a-0052,287.262250,287.512250,that's,I,sv,u-58-2
sw2025B-ms98-a-0052,287.512250,287.878625,it,I,sv,u-58-2
sw2025B-ms98-a-0053,288.478250,288.576125,you,O,,
sw2025B-ms98-a-0053,288.576125,288.816125,know,O,,
sw2025B-ms98-a-0055,294.114125,296.722625,[laughter],O,,
sw2025B-ms98-a-0056,297.141500,297.195750,he'd,B,sv,u-62-1
sw2025B-ms98-a-0056,297.195750,297.335750,have,I,sv,u-62-1
sw2025B-ms98-a-0056,297.335750,297.395750,to,I,sv,u-62-1
sw2025B-ms98-a-0056,297.395750,297.555750,have,I,sv,u-62-1
sw2025B-ms98-a-0056,297.555750,297.645750,his,I,sv,u-62-1
sw2025B-ms98-a-0056,297.645750,297.825750,whole,I,sv,u-62-1
sw2025B-ms98-a-0056,297.825750,298.205750,family,I,sv,u-62-1
sw2025B-ms98-a-0056,298.205750,298.365750,up,I,sv,u-62-1
sw2025B-ms98-a-0056,298.365750,298.595750,[laughter-there],I,sv,u-62-1
sw2025B-ms98-a-0056,298.595750,298.795750,[laughter-for],I,sv,u-62-1
sw2025B-ms98-a-0056,298.795750,298.925750,him,I,sv,u-62-1
sw2025B-ms98-a-0056,298.925750,298.985750,to,I,sv,u-62-1
sw2025B-ms98-a-0056,298.985750,299.205750,feel,I,sv,u-62-1
sw2025B-ms98-a-0056,299.205750,299.405750,like,I,sv,u-62-1
sw2025B-ms98-a-0056,299.405750,299.555750,he's,I,sv,u-62-1
sw2025B-ms98-a-0056,299.555750,299.715750,got,I,sv,u-62-1
sw2025B-ms98-a-0056,299.715750,299.809875,his,I,sv,u-62-1
sw2025B-ms98-a-0056,299.900250,300.205750,peers,I,sv,u-62-1
sw2025B-ms98-a-0056,300.205750,300.335750,or,I,sv,u-62-1
sw2025B-ms98-a-0056,300.335750,300.775750,something,I,sv,u-62-1
sw2025B-ms98-a-0056,301.248000,301.933500,yeah,B,%,u-62-2
sw2025B-ms98-a-0058,311.846250,312.288750,yeah,B,b,u-64-1
sw2025B-ms98-a-0060,314.190375,314.715250,yeah,B,b,u-66-1
sw2025B-ms98-a-0062,316.740125,317.092875,oh,B,sv,u-68-1
sw2025B-ms98-a-0062,317.092875,317.262875,they'd,I,sv,u-68-1
sw2025B-ms98-a-0062,317.262875,317.382875,have,I,sv,u-68-1
sw2025B-ms98-a-0062,317.382875,317.492875,to,I,sv,u-68-1
sw2025B-ms98-a-0062,317.492875,317.652875,move,I,sv,u-68-1
sw2025B-ms98-a-0062,317.652875,317.732000,it,I,sv,u-68-1
sw2025B-ms98-a-0062,317.732000,317.848750,to,I,sv,u-68-1
sw2025B-ms98-a-0062,317.848750,318.502875,Taiwan,I,sv,u-68-1
sw2025B-ms98-a-0062,318.502875,318.602875,for,I,sv,u-68-1
sw2025B-ms98-a-0062,318.602875,318.832875,people,I,sv,u-68-1
sw2025B-ms98-a-0062,318.832875,319.012875,not,I,sv,u-68-1
sw2025B-ms98-a-0062,319.012875,319.082875,to,I,sv,u-68-1
sw2025B-ms98-a-0062,319.082875,319.282875,know,I,sv,u-68-1
sw2025B-ms98-a-0062,319.282875,319.552875,about,I,sv,u-68-1
sw2025B-ms98-a-0062,319.552875,319.612875,it,I,sv,u-68-1
sw2025B-ms98-a-0062,319.612875,320.382875,[laughter-practically],O,,
sw2025B-ms98-a-0063,321.037625,321.517250,yeah,B,b,u-70-1
sw2025B-ms98-a-0063,321.696375,322.200750,yeah,B,b^r,u-70-2
sw2025B-ms98-a-0065,324.274750,324.574625,well,B,sd,u-72-1
sw2025B-ms98-a-0065,324.574625,324.984625,really,I,sd,u-72-1
sw2025B-ms98-a-0065,324.984625,325.164625,this,I,sd,u-72-1
sw2025B-ms98-a-0065,325.164625,325.352625,is,I,sd,u-72-1
sw2025B-ms98-a-0065,325.514625,325.760000,breaks,I,sd,u-72-1
sw2025B-ms98-a-0065,325.760000,325.929375,up,I,sd,u-72-1
sw2025B-ms98-a-0065,325.929375,326.104625,my,I,sd,u-72-1
sw2025B-ms98-a-0065,326.104625,326.494625,afternoon,I,sd,u-72-1
sw2025B-ms98-a-0065,326.494625,326.634625,from,I,sd,u-72-1
sw2025B-ms98-a-0065,326.634625,327.044625,changing,I,sd,u-72-1
sw2025B-ms98-a-0065,327.044625,327.554625,diapers,I,sd,u-72-1
sw2025B-ms98-a-0065,327.554625,327.724625,and,I,sd,u-72-1
sw2025B-ms98-a-0065,327.724625,328.084625,mopping,I,sd,u-72-1
sw2025B-ms98-a-0065,328.084625,328.474625,floors,I,sd,u-72-1
sw2025B-ms98-a-0065,328.474625,328.554625,i,I,sd,u-72-1
sw2025B-ms98-a-0065,328.554625,328.794625,mean,I,sd,u-72-1
sw2025B-ms98-a-0065,328.794625,328.924625,what,B,qh,u-72-2
sw2025B-ms98-a-0065,328.924625,329.054625,can,I,qh,u-72-2
sw2025B-ms98-a-0065,329.054625,329.164625,i,I,qh,u-72-2
sw2025B-ms98-a-0065,329.164625,331.624625,[laughter-say],O,,
sw2025B-ms98-a-0065,331.624625,332.080750,[laughter-no],O,,
sw2025B-ms98-a-0065,332.080750,332.304125,[laughter-i'm],O,,
sw2025B-ms98-a-0065,332.304125,332.417250,[laughter-at],O,,
sw2025B-ms98-a-0065,332.417250,332.594250,[laughter-home],O,,
sw2025B-ms98-a-0065,332.594250,332.760375,with,B,sd,u-74-2
sw2025B-ms98-a-0065,332.760375,332.934875,two,I,sd,u-74-2
sw2025B-ms98-a-0065,332.934875,333.156625,little,I,sd,u-74-2
sw2025B-ms98-a-0065,333.156625,333.385000,ki[ds]-,I,sd,u-74-2
sw2025B-ms98-a-0065,333.385000,334.076250,preschoolers,I,sd,u-74-2
sw2025B-ms98-a-0065,334.424625,334.524625,my,B,sd,u-74-3
sw2025B-ms98-a-0065,334.524625,334.844625,husband,I,sd,u-74-3
sw2025B-ms98-a-0065,334.844625,335.004625,works,I,sd,u-74-3
sw2025B-ms98-a-0065,335.004625,335.124625,for,I,sd,u-74-3
sw2025B-ms98-a-0065,335.124625,335.539500,TI,O,,
sw2025B-ms98-a-0066,336.307875,336.696375,so,O,,
sw2025B-ms98-a-0066,336.696375,337.175500,yeah,O,,
sw2025B-ms98-a-0067,338.806750,338.916500,oh,B,aa,u-76-1
sw2025B-ms98-a-0067,338.916500,339.186500,yeah,I,aa,u-76-1
sw2025B-ms98-a-0067,339.186500,339.316500,i've,B,sd,u-76-2
sw2025B-ms98-a-0067,339.316500,339.476500,got,I,sd,u-76-2
sw2025B-ms98-a-0067,339.476500,339.546500,the,I,sd,u-76-2
sw2025B-ms98-a-0067,339.546500,339.856500,dog,I,sd,u-76-2
sw2025B-ms98-a-0067,339.856500,339.966500,and,I,sd,u-76-2
sw2025B-ms98-a-0067,339.966500,340.096500,two,I,sd,u-76-2
sw2025B-ms98-a-0067,340.096500,340.326500,kids,I,sd,u-76-2
sw2025B-ms98-a-0067,340.326500,340.646500,waiting,I,sd,u-76-2
