sw2376A-ms98-a-0002,0.219250,0.477625,now,B,%,u-1-1
sw2376A-ms98-a-0071,209.209125,209.463375,right,I,aa,u-125-1
sw2376A-ms98-a-0073,217.663625,217.985000,uh-huh,B,b,u-127-1
sw2376A-ms98-a-0074,218.993750,219.195750,yeah,B,b,u-129-1
sw2376A-ms98-a-0076,227.619875,227.892000,uh-huh,B,b,u-131-1
sw2376A-ms98-a-0078,230.772500,230.905500,i,B,b,u-133-1
sw2376A-ms98-a-0078,230.905500,231.141000,see,I,b,u-133-1
sw2376A-ms98-a-0080,233.781250,233.961875,oh,B,aa,u-135-1
sw2376A-ms98-a-0080,233.961875,234.132750,i'm,I,aa,u-135-1
sw2376A-ms98-a-0080,234.132750,234.414250,sure,I,aa,u-135-1
sw2376A-ms98-a-0080,234.414250,234.584250,it,I,aa,u-135-1
sw2376A-ms98-a-0080,234.584250,234.954250,must,I,aa,u-135-1
sw2376A-ms98-a-0080,234.954250,235.335125,yes,B,%,u-135-2
sw2376A-ms98-a-0080,235.335125,235.655250,[vocalized-noise],O,,
sw2376A-ms98-a-0080,235.655250,235.769875,you,B,sd,u-135-3
sw2376A-ms98-a-0080,235.769875,235.850875,know,I,sd,u-135-3
sw2376A-ms98-a-0080,235.850875,235.907375,i'm,I,sd,u-135-3
sw2376A-ms98-a-0080,235.907375,236.094250,not,I,sd,u-135-3
sw2376A-ms98-a-0080,236.094250,236.484250,personally,I,sd,u-135-3
sw2376A-ms98-a-0080,236.484250,236.907625,involved,I,sd,u-135-3
sw2376A-ms98-a-0080,236.907625,237.024250,because,I,sd,u-135-3
sw2376A-ms98-a-0080,237.024250,237.054250,i,I,sd,u-135-3
sw2376A-ms98-a-0080,237.054250,237.264250,don't,I,sd,u-135-3
sw2376A-ms98-a-0080,237.264250,237.374250,you,I,sd,u-135-3
sw2376A-ms98-a-0080,237.374250,237.464250,know,I,sd,u-135-3
sw2376A-ms98-a-0080,237.464250,237.494250,i,I,sd,u-135-3
sw2376A-ms98-a-0080,237.494250,237.684250,don't,I,sd,u-135-3
sw2376A-ms98-a-0080,237.684250,237.804250,have,I,sd,u-135-3
sw2376A-ms98-a-0080,237.804250,237.970500,any,I,sd,u-135-3
sw2376A-ms98-a-0080,237.970500,238.317000,[vocalized-noise],I,sd,u-135-3
sw2376A-ms98-a-0080,238.317000,238.564250,children,I,sd,u-135-3
sw2376A-ms98-a-0080,238.564250,238.684250,that,I,sd,u-135-3
sw2376A-ms98-a-0080,238.684250,238.884250,wear,I,sd,u-135-3
sw2376A-ms98-a-0080,238.884250,239.184250,diapers,I,sd,u-135-3
sw2376A-ms98-a-0080,239.184250,239.304250,but,B,sd,u-137-1
sw2376A-ms98-a-0080,239.304250,239.444250,i'm,I,sd,u-137-1
sw2376A-ms98-a-0080,239.444250,239.654250,sure,I,sd,u-137-1
sw2376A-ms98-a-0080,239.654250,239.868375,it,I,sd,u-137-1
sw2376A-ms98-a-0080,240.251250,240.631000,creates,I,sd,u-137-1
sw2376A-ms98-a-0080,240.631000,240.782750,a,I,sd,u-137-1
sw2376A-ms98-a-0080,241.415500,241.784250,large,I,sd,u-137-1
sw2376A-ms98-a-0080,241.784250,242.050250,amount,I,sd,u-137-1
sw2376A-ms98-a-0080,242.050250,242.274250,of,I,sd,u-137-1
sw2376A-ms98-a-0080,242.398500,242.504250,you,I,sd,u-137-1
sw2376A-ms98-a-0080,242.504250,242.686875,know,I,sd,u-137-1
sw2376A-ms98-a-0080,242.961750,243.270000,uh,B,+,u-139-1
sw2376A-ms98-a-0080,243.270000,243.714500,refuse,I,+,u-139-1
sw2376A-ms98-a-0081,245.292375,245.492875,that's,B,aa,u-141-1
sw2376A-ms98-a-0081,245.492875,245.749000,right,I,aa,u-141-1
sw2376A-ms98-a-0081,246.084625,246.293750,that's,B,aa,u-143-1
sw2376A-ms98-a-0081,246.293750,246.598250,right,I,aa,u-143-1
sw2376A-ms98-a-0083,248.320000,248.880000,absolutely,B,aa,u-145-1
sw2376A-ms98-a-0085,250.614875,250.802375,that's,B,aa,u-147-1
sw2376A-ms98-a-0085,250.802375,251.063375,right,I,aa,u-147-1
sw2376A-ms98-a-0085,251.305000,251.985625,absolutely,B,aa,u-147-2
sw2376A-ms98-a-0085,252.441625,253.015250,absolutely,B,aa^r,u-149-1
sw2376A-ms98-a-0087,263.590625,263.907250,uh-huh,B,b,u-151-1
sw2376A-ms98-a-0088,265.463875,265.611000,i,B,sd,u-153-1
sw2376A-ms98-a-0088,265.611000,265.805250,think,I,sd,u-153-1
sw2376A-ms98-a-0088,265.805250,265.925250,they're,I,sd,u-153-1
sw2376A-ms98-a-0088,265.925250,266.125250,made,I,sd,u-153-1
sw2376A-ms98-a-0088,266.125250,266.215250,out,I,sd,u-153-1
sw2376A-ms98-a-0088,266.215250,266.315250,of,I,sd,u-153-1
sw2376A-ms98-a-0088,266.315250,266.670750,aluminum,I,sd,u-153-1
sw2376A-ms98-a-0089,266.864875,267.160000,yes,B,aa,u-155-1
sw2376A-ms98-a-0089,267.160000,267.340000,there,B,sd,u-155-2
sw2376A-ms98-a-0089,267.340000,267.518250,are,I,sd,u-155-2
sw2376A-ms98-a-0089,267.518250,267.700000,there,I,sd,u-155-2
sw2376A-ms98-a-0089,267.700000,267.955125,is,I,sd,u-155-2
sw2376A-ms98-a-0089,268.294125,268.380000,a,I,sd,u-155-2
sw2376A-ms98-a-0089,268.380000,268.930000,receptacle,I,sd,u-155-2
sw2376A-ms98-a-0089,268.930000,268.990000,you,I,sd,u-155-2
sw2376A-ms98-a-0089,268.990000,269.080000,know,I,sd,u-155-2
sw2376A-ms98-a-0089,269.080000,269.190000,at,I,sd,u-155-2
sw2376A-ms98-a-0089,269.190000,269.260000,the,I,sd,u-155-2
sw2376A-ms98-a-0089,269.260000,269.670000,centers,I,sd,u-155-2
sw2376A-ms98-a-0089,269.670000,270.050000,also,I,sd,u-155-2
sw2376A-ms98-a-0089,270.050000,270.230000,for,I,sd,u-155-2
sw2376A-ms98-a-0089,270.230000,270.700000,aluminum,I,sd,u-155-2
sw2376A-ms98-a-0089,270.700000,270.800000,but,B,sd,u-157-1
sw2376A-ms98-a-0089,270.800000,271.050000,again,I,sd,u-157-1
sw2376A-ms98-a-0089,271.050000,271.120000,we,I,sd,u-157-1
sw2376A-ms98-a-0089,271.120000,271.380000,don't,I,sd,u-157-1
sw2376A-ms98-a-0089,271.380000,271.460000,we,I,sd,u-157-1
sw2376A-ms98-a-0089,271.460000,271.680000,don't,I,sd,u-157-1
sw2376A-ms98-a-0089,271.680000,272.100000,generate,I,sd,u-157-1
sw2376A-ms98-a-0089,272.100000,272.290000,that,I,sd,u-157-1
sw2376A-ms98-a-0089,272.290000,272.630000,much,I,sd,u-157-1
sw2376A-ms98-a-0089,272.630000,272.740000,so,B,%,u-157-2
sw2376A-ms98-a-0089,272.740000,272.850000,we,B,sd,u-159-1
sw2376A-ms98-a-0089,272.850000,273.177875,don't,I,sd,u-159-1
sw2376A-ms98-a-0090,273.987625,274.167875,yeah,B,b,u-161-1
sw2376A-ms98-a-0092,276.850375,277.013125,that's,B,aa,u-163-1
sw2376A-ms98-a-0092,277.013125,277.241750,right,I,aa,u-163-1
sw2376A-ms98-a-0093,277.872500,277.993000,that,B,b^m,u-165-1
sw2376A-ms98-a-0093,278.511875,278.759750,ninety,B,sd,u-165-2
sw2376A-ms98-a-0093,278.759750,279.029750,nine,I,sd,u-165-2
sw2376A-ms98-a-0093,279.029750,279.329750,percent,I,sd,u-165-2
sw2376A-ms98-a-0093,279.329750,279.399750,of,I,sd,u-165-2
sw2376A-ms98-a-0093,279.399750,279.769750,ours,I,sd,u-165-2
sw2376A-ms98-a-0093,279.769750,279.839750,is,I,sd,u-165-2
sw2376A-ms98-a-0093,279.839750,280.499750,newspaper,I,sd,u-165-2
sw2376A-ms98-a-0093,280.499750,280.719750,and,I,sd,u-165-2
sw2376A-ms98-a-0093,280.719750,280.850000,uh,I,sd,u-165-2
sw2376A-ms98-a-0093,281.053375,281.149750,you,I,sd,u-165-2
sw2376A-ms98-a-0093,281.149750,281.332375,know,I,sd,u-165-2
sw2376A-ms98-a-0093,281.554625,281.769750,uh,I,sd,u-165-2
sw2376A-ms98-a-0093,281.769750,282.247250,glass,I,sd,u-165-2
sw2376A-ms98-a-0095,287.700375,288.021500,uh-huh,B,b,u-167-1
sw2376A-ms98-a-0097,290.026750,290.382125,uh-huh,B,b,u-169-1
sw2376A-ms98-a-0099,292.162875,292.359250,that's,B,aa,u-171-1
sw2376A-ms98-a-0099,292.359250,292.582750,right,I,aa,u-171-1
sw2376A-ms98-a-0100,293.211625,293.495875,car,B,sd,u-173-1
sw2376A-ms98-a-0100,293.495875,293.975125,batteries,I,sd,u-173-1
sw2376A-ms98-a-0101,294.660875,294.953375,uh-huh,B,b,u-175-1
sw2376A-ms98-a-0102,295.891750,296.035625,i,B,sd,u-177-1
sw2376A-ms98-a-0102,296.035625,296.151250,don't,I,sd,u-177-1
sw2376A-ms98-a-0102,296.151250,296.221250,you,I,sd,u-177-1
sw2376A-ms98-a-0102,296.221250,296.281250,know,I,sd,u-177-1
sw2376A-ms98-a-0102,296.281250,296.341250,i,I,sd,u-177-1
sw2376A-ms98-a-0102,296.341250,296.551250,don't,I,sd,u-177-1
sw2376A-ms98-a-0102,296.551250,296.921250,change,I,sd,u-177-1
sw2376A-ms98-a-0102,296.921250,297.031250,my,I,sd,u-177-1
sw2376A-ms98-a-0102,297.031250,297.251250,own,I,sd,u-177-1
sw2376A-ms98-a-0102,297.251250,297.611250,oil,I,sd,u-177-1
sw2376A-ms98-a-0102,297.611250,297.771250,so,B,sd,u-179-1
sw2376A-ms98-a-0102,297.771250,297.801250,i,I,sd,u-179-1
sw2376A-ms98-a-0102,297.801250,298.031250,don't,I,sd,u-179-1
sw2376A-ms98-a-0102,298.031250,298.111250,i,I,sd,u-179-1
sw2376A-ms98-a-0102,298.111250,298.384500,don't,I,sd,u-179-1
sw2376A-ms98-a-0102,298.384500,298.553875,uh,I,sd,u-179-1
sw2376A-ms98-a-0102,299.051875,299.311250,don't,I,sd,u-179-1
sw2376A-ms98-a-0102,299.311250,299.501250,have,I,sd,u-179-1
sw2376A-ms98-a-0102,299.501250,299.641250,that,I,sd,u-179-1
sw2376A-ms98-a-0102,299.641250,300.106500,problem,I,sd,u-179-1
sw2376A-ms98-a-0104,303.728500,303.924875,yeah,B,b,u-181-1
sw2376A-ms98-a-0106,305.962625,306.267125,uh-huh,B,b,u-183-1
sw2376A-ms98-a-0106,306.267125,306.417125,yeah,B,b,u-183-2
sw2376A-ms98-a-0106,306.417125,306.577125,well,B,sd*,u-183-3
sw2376A-ms98-a-0106,306.577125,306.817125,we,I,sd*,u-183-3
sw2376A-ms98-a-0106,306.817125,306.947125,do,I,sd*,u-183-3
sw2376A-ms98-a-0106,306.947125,307.067125,to,I,sd*,u-183-3
sw2376A-ms98-a-0106,307.067125,307.201125,as,I,sd*,u-183-3
sw2376A-ms98-a-0106,307.201125,307.279250,a,I,sd*,u-183-3
sw2376A-ms98-a-0106,307.279250,307.458000,matter,I,sd*,u-183-3
sw2376A-ms98-a-0106,307.458000,307.566875,of,I,sd*,u-183-3
sw2376A-ms98-a-0106,307.566875,307.868000,fact,I,sd*,u-183-3
sw2376A-ms98-a-0107,308.550750,308.770000,right,B,b,u-185-1
sw2376A-ms98-a-0109,310.577250,310.731625,yeah,B,b,u-187-1
sw2376A-ms98-a-0110,311.234500,311.440375,yes,B,b,u-189-1
sw2376A-ms98-a-0110,311.440375,311.540375,we,B,sd,u-189-2
sw2376A-ms98-a-0110,311.540375,311.660375,have,I,sd,u-189-2
sw2376A-ms98-a-0110,311.660375,311.800375,one,I,sd,u-189-2
sw2376A-ms98-a-0110,311.800375,311.860375,of,I,sd,u-189-2
sw2376A-ms98-a-0110,311.860375,312.050375,those,I,sd,u-189-2
sw2376A-ms98-a-0110,312.050375,312.110375,in,I,sd,u-189-2
sw2376A-ms98-a-0110,312.110375,312.470125,town,I,sd,u-189-2
sw2376A-ms98-a-0110,312.470125,312.772000,uh-huh,B,%,u-189-3
sw2376A-ms98-a-0111,313.834500,313.958875,you,B,sd,u-191-1
sw2376A-ms98-a-0111,313.958875,314.118750,know,I,sd,u-191-1
sw2376A-ms98-a-0111,314.306875,314.466000,our,I,sd,u-191-1
sw2376A-ms98-a-0111,314.466000,314.876000,church,I,sd,u-191-1
sw2376A-ms98-a-0111,314.876000,315.066000,each,I,sd,u-191-1
sw2376A-ms98-a-0111,315.066000,315.256000,year,I,sd,u-191-1
sw2376A-ms98-a-0111,315.256000,315.456000,has,I,sd,u-191-1
sw2376A-ms98-a-0111,315.456000,315.564125,a,I,sd,u-191-1
sw2376A-ms98-a-0111,316.047375,316.126375,one,B,sd,u-191-2
sw2376A-ms98-a-0111,316.126375,316.156000,of,I,sd,u-191-2
sw2376A-ms98-a-0111,316.156000,316.246000,their,I,sd,u-191-2
sw2376A-ms98-a-0111,316.246000,316.536000,major,I,sd,u-191-2
sw2376A-ms98-a-0111,316.536000,316.846000,fund,I,sd,u-191-2
sw2376A-ms98-a-0111,316.846000,317.226000,raisers,I,sd,u-191-2
sw2376A-ms98-a-0111,317.226000,317.416500,is,I,sd,u-191-2
sw2376A-ms98-a-0111,317.518250,317.606000,you,I,sd,u-191-2
sw2376A-ms98-a-0111,317.606000,317.686000,know,I,sd,u-191-2
sw2376A-ms98-a-0111,317.686000,317.756000,a,I,sd,u-191-2
sw2376A-ms98-a-0111,317.756000,318.216000,garage,I,sd,u-191-2
sw2376A-ms98-a-0111,318.216000,318.501125,sale,I,sd,u-191-2
sw2376A-ms98-a-0111,319.251125,319.364125,and,B,sd,u-193-1
sw2376A-ms98-a-0111,319.364125,319.506000,there's,I,sd,u-193-1
sw2376A-ms98-a-0111,319.506000,319.646000,a,I,sd,u-193-1
sw2376A-ms98-a-0111,319.646000,320.076000,ton,I,sd,u-193-1
sw2376A-ms98-a-0111,320.076000,320.136000,of,I,sd,u-193-1
sw2376A-ms98-a-0111,320.136000,320.616000,clothes,I,sd,u-193-1
sw2376A-ms98-a-0111,320.616000,320.976000,always,I,sd,u-193-1
sw2376A-ms98-a-0111,320.976000,321.056000,you,I,sd,u-193-1
sw2376A-ms98-a-0111,321.056000,321.176000,know,I,sd,u-193-1
sw2376A-ms98-a-0111,321.176000,321.526000,left,I,sd,u-193-1
sw2376A-ms98-a-0111,321.526000,321.756000,over,I,sd,u-193-1
sw2376A-ms98-a-0111,321.756000,321.971500,and,B,sd,u-193-2
sw2376A-ms98-a-0111,321.971500,322.076000,i,I,sd,u-193-2
sw2376A-ms98-a-0111,322.076000,322.386000,take,I,sd,u-193-2
sw2376A-ms98-a-0111,322.386000,322.635500,those,I,sd,u-193-2
sw2376A-ms98-a-0111,322.635500,322.866000,down,I,sd,u-193-2
sw2376A-ms98-a-0111,322.866000,322.986000,to,I,sd,u-193-2
sw2376A-ms98-a-0111,322.986000,323.199250,the,I,sd,u-193-2
sw2376A-ms98-a-0111,323.833875,324.120250,uh,B,sd,u-193-3
sw2376A-ms98-a-0112,325.239625,325.298625,it's,I,sd,u-193-3
sw2376A-ms98-a-0112,325.298625,325.556000,called,I,sd,u-193-3
sw2376A-ms98-a-0112,325.556000,325.705000,the,I,sd,u-193-3
sw2376A-ms98-a-0112,325.810500,326.288625,clothes,I,sd,u-193-3
sw2376A-ms98-a-0112,326.288625,326.795000,closet,I,sd,u-193-3
sw2376A-ms98-a-0112,327.032375,327.158625,that's,B,sd,u-195-1
sw2376A-ms98-a-0112,327.158625,327.248625,what,I,sd,u-195-1
sw2376A-ms98-a-0112,327.248625,327.338625,it's,I,sd,u-195-1
sw2376A-ms98-a-0112,327.338625,327.588625,called,I,sd,u-195-1
sw2376A-ms98-a-0112,327.588625,327.708625,here,I,sd,u-195-1
sw2376A-ms98-a-0112,327.708625,327.768625,in,I,sd,u-195-1
sw2376A-ms98-a-0112,327.768625,328.308750,Plano,I,sd,u-195-1
sw2376A-ms98-a-0112,329.058375,329.378625,right,B,aa,u-197-1
sw2376A-ms98-a-0112,329.378625,329.858625,uh-huh,B,aa,u-199-1
sw2376A-ms98-a-0112,329.858625,330.038625,and,B,sd,u-201-1
sw2376A-ms98-a-0112,330.038625,330.138625,they,I,sd,u-201-1
sw2376A-ms98-a-0112,330.138625,330.558625,distribute,I,sd,u-201-1
sw2376A-ms98-a-0112,330.558625,330.678625,them,I,sd,u-201-1
sw2376A-ms98-a-0112,330.678625,330.808625,to,I,sd,u-201-1
sw2376A-ms98-a-0112,330.808625,330.898625,the,I,sd,u-201-1
sw2376A-ms98-a-0112,330.898625,331.397875,people,I,sd,u-201-1
sw2376A-ms98-a-0112,331.556000,331.678625,that,B,+,u-203-1
sw2376A-ms98-a-0112,331.678625,331.808625,need,I,+,u-203-1
sw2376A-ms98-a-0112,331.808625,331.945250,them,I,+,u-203-1
sw2376A-ms98-a-0114,334.097375,334.318000,uh-huh,B,b,u-205-1
sw2376A-ms98-a-0114,334.762875,334.933125,yeah,B,b,u-207-1
sw2376A-ms98-a-0116,339.070125,339.297125,no,B,aa,u-209-1
sw2376A-ms98-a-0116,339.478125,339.592625,i,B,sd,u-209-2
sw2376A-ms98-a-0116,339.592625,339.818750,can't,I,sd,u-209-2
sw2376A-ms98-a-0116,339.818750,340.116250,either,I,sd,u-209-2
sw2376A-ms98-a-0116,340.504125,340.637750,i,B,sd^r,u-211-1
sw2376A-ms98-a-0116,340.637750,340.907750,really,I,sd^r,u-211-1
sw2376A-ms98-a-0116,340.907750,341.427750,can't,I,sd^r,u-211-1
sw2376A-ms98-a-0116,341.427750,341.656375,um,B,%,u-211-2
sw2376A-ms98-a-0117,342.775500,342.888250,no,I,%,u-211-2
sw2376A-ms98-a-0117,342.888250,343.140375,i,B,sd^r,u-211-3
sw2376A-ms98-a-0117,343.275125,343.508750,i,I,sd^r,u-211-3
sw2376A-ms98-a-0117,343.648000,343.795500,really,I,sd^r,u-211-3
sw2376A-ms98-a-0117,343.795500,343.985375,can't,I,sd^r,u-211-3
sw2376A-ms98-a-0117,343.985375,344.211500,either,I,sd^r,u-211-3
sw2376A-ms98-a-0118,345.527375,345.617375,okay,B,b,u-213-1
sw2376A-ms98-a-0118,345.617375,345.707375,well,B,fc,u-213-2
sw2376A-ms98-a-0118,345.707375,345.787375,it,I,fc,u-213-2
sw2376A-ms98-a-0118,345.787375,345.917375,was,I,fc,u-213-2
sw2376A-ms98-a-0118,345.917375,346.137375,nice,I,fc,u-213-2
sw2376A-ms98-a-0118,346.137375,346.427375,talking,I,fc,u-213-2
sw2376A-ms98-a-0118,346.427375,346.527375,to,I,fc,u-213-2
sw2376A-ms98-a-0118,346.527375,346.665125,you,I,fc,u-213-2
sw2376A-ms98-a-0119,347.156500,347.406875,-[o]kay,O,,
sw2376A-ms98-a-0120,347.755375,348.017875,uh-huh,O,,
sw2376A-ms98-a-0120,348.017875,348.377500,bye-bye,O,,
