sw2638B-ms98-a-0002,7.008125,7.380875,um,B,b,u-2-1
sw2638B-ms98-a-0043,207.342875,207.512875,is,I,sv,u-72-1
sw2638B-ms98-a-0043,207.512875,207.572875,the,I,sv,u-72-1
sw2638B-ms98-a-0043,207.572875,207.852875,most,I,sv,u-72-1
sw2638B-ms98-a-0043,207.852875,208.252875,addictive,I,sv,u-72-1
sw2638B-ms98-a-0043,208.252875,208.657125,thing,I,sv,u-72-1
sw2638B-ms98-a-0043,208.657125,208.733625,in,I,sv,u-72-1
sw2638B-ms98-a-0043,208.733625,208.882125,the,I,sv,u-72-1
sw2638B-ms98-a-0043,208.882125,209.208375,world,I,sv,u-72-1
sw2638B-ms98-a-0043,209.208375,209.417875,too,I,sv,u-72-1
sw2638B-ms98-a-0043,209.417875,209.602000,[laughter],O,,
sw2638B-ms98-a-0045,211.926875,212.206625,yeah,B,b,u-74-1
sw2638B-ms98-a-0045,212.206625,212.446625,so,B,sd,u-74-2
sw2638B-ms98-a-0045,212.446625,212.496625,i,I,sd,u-74-2
sw2638B-ms98-a-0045,212.496625,212.626625,mean,I,sd,u-74-2
sw2638B-ms98-a-0045,212.626625,212.746625,there's,I,sd,u-74-2
sw2638B-ms98-a-0045,212.746625,212.786625,a,I,sd,u-74-2
sw2638B-ms98-a-0045,212.786625,212.986625,lot,I,sd,u-74-2
sw2638B-ms98-a-0045,212.986625,213.056625,of,I,sd,u-74-2
sw2638B-ms98-a-0045,213.056625,213.326625,things,I,sd,u-74-2
sw2638B-ms98-a-0045,213.326625,213.536625,out,I,sd,u-74-2
sw2638B-ms98-a-0045,213.536625,213.724500,there,I,sd,u-74-2
sw2638B-ms98-a-0045,213.872000,214.035000,and,B,o@,u-74-3
sw2638B-ms98-a-0046,214.447375,214.679625,things,B,+@,u-76-1
sw2638B-ms98-a-0046,214.679625,214.999625,that,I,+@,u-76-1
sw2638B-ms98-a-0046,214.999625,215.329625,uh,I,+@,u-76-1
sw2638B-ms98-a-0047,216.275125,216.375125,i'm,B,sv,u-76-2
sw2638B-ms98-a-0047,216.375125,216.595125,just,I,sv,u-76-2
sw2638B-ms98-a-0047,216.595125,216.915125,glad,I,sv,u-76-2
sw2638B-ms98-a-0047,216.915125,217.095125,that,I,sv,u-76-2
sw2638B-ms98-a-0047,217.095125,217.455125,they,I,sv,u-76-2
sw2638B-ms98-a-0047,217.455125,217.495125,uh,I,sv,u-76-2
sw2638B-ms98-a-0047,217.495125,218.055125,decided,I,sv,u-76-2
sw2638B-ms98-a-0047,218.055125,218.325125,not,I,sv,u-76-2
sw2638B-ms98-a-0047,218.325125,218.607875,to,I,sv,u-76-2
sw2638B-ms98-a-0047,218.607875,218.807500,uh,I,sv,u-76-2
sw2638B-ms98-a-0047,218.916125,219.235125,tax,I,sv,u-76-2
sw2638B-ms98-a-0047,219.235125,219.625125,drugs,I,sv,u-76-2
sw2638B-ms98-a-0047,219.625125,220.115125,otherwise,I,sv,u-76-2
sw2638B-ms98-a-0047,220.115125,220.365125,they'd,I,sv,u-76-2
sw2638B-ms98-a-0047,220.365125,220.525125,be,I,sv,u-76-2
sw2638B-ms98-a-0047,220.525125,220.845125,legal,I,sv,u-76-2
sw2638B-ms98-a-0047,220.845125,220.945125,and,B,sv,u-78-1
sw2638B-ms98-a-0047,220.945125,221.065125,they'd,I,sv,u-78-1
sw2638B-ms98-a-0047,221.065125,221.175125,be,I,sv,u-78-1
sw2638B-ms98-a-0047,221.175125,221.425125,getting,I,sv,u-78-1
sw2638B-ms98-a-0047,221.425125,221.775125,tax,I,sv,u-78-1
sw2638B-ms98-a-0047,221.775125,221.985125,money,I,sv,u-78-1
sw2638B-ms98-a-0047,221.985125,222.145125,off,I,sv,u-78-1
sw2638B-ms98-a-0047,222.145125,222.285125,it,I,sv,u-78-1
sw2638B-ms98-a-0047,222.285125,222.365125,the,I,sv,u-78-1
sw2638B-ms98-a-0047,222.365125,222.555125,same,I,sv,u-78-1
sw2638B-ms98-a-0047,222.555125,222.655125,way,I,sv,u-78-1
sw2638B-ms98-a-0047,222.655125,222.775125,they,B,+,u-80-1
sw2638B-ms98-a-0047,222.775125,222.855125,are,I,+,u-80-1
sw2638B-ms98-a-0047,222.855125,222.965125,the,I,+,u-80-1
sw2638B-ms98-a-0047,222.965125,223.365125,alcohol,I,+,u-80-1
sw2638B-ms98-a-0047,223.365125,223.475125,and,I,+,u-80-1
sw2638B-ms98-a-0047,223.475125,224.404000,[laughter-tobacco],O,,
sw2638B-ms98-a-0047,224.404000,225.787875,[laughter],O,,
sw2638B-ms98-a-0049,231.290625,231.559750,yeah,B,b,u-82-1
sw2638B-ms98-a-0050,232.418750,232.628750,i,B,sd,u-82-2
sw2638B-ms98-a-0050,232.628750,232.828750,have,I,sd,u-82-2
sw2638B-ms98-a-0050,232.828750,233.228750,friends,I,sd,u-82-2
sw2638B-ms98-a-0050,233.228750,233.338750,that,I,sd,u-82-2
sw2638B-ms98-a-0050,233.448750,233.678750,work,I,sd,u-82-2
sw2638B-ms98-a-0050,233.678750,233.768750,in,I,sd,u-82-2
sw2638B-ms98-a-0050,233.768750,234.088625,other,I,sd,u-82-2
sw2638B-ms98-a-0050,235.053625,235.668750,companies,I,sd,u-82-2
sw2638B-ms98-a-0050,235.668750,235.898750,that,I,sd,u-82-2
sw2638B-ms98-a-0050,235.898750,236.058750,are,I,sd,u-82-2
sw2638B-ms98-a-0050,236.058750,236.338750,just,I,sd,u-82-2
sw2638B-ms98-a-0050,236.338750,236.548750,now,I,sd,u-82-2
sw2638B-ms98-a-0050,236.548750,237.068750,adopting,I,sd,u-82-2
sw2638B-ms98-a-0050,237.068750,237.138750,the,I,sd,u-82-2
sw2638B-ms98-a-0050,237.138750,237.688750,policy,I,sd,u-82-2
sw2638B-ms98-a-0050,237.688750,237.985250,and,B,+,u-84-1
sw2638B-ms98-a-0050,238.105875,238.258750,and,I,+,u-84-1
sw2638B-ms98-a-0050,238.258750,238.618750,stuff,I,+,u-84-1
sw2638B-ms98-a-0050,238.618750,238.825875,and,B,sd,u-84-2
sw2638B-ms98-a-0050,238.825875,239.198750,i,I,sd,u-84-2
sw2638B-ms98-a-0050,239.198750,239.436625,uh,I,sd,u-84-2
sw2638B-ms98-a-0050,240.227500,240.438750,uh,I,sd,u-84-2
sw2638B-ms98-a-0050,240.438750,240.608750,i,I,sd,u-84-2
sw2638B-ms98-a-0050,240.608750,240.918750,moved,I,sd,u-84-2
sw2638B-ms98-a-0050,240.918750,241.098750,to,I,sd,u-84-2
sw2638B-ms98-a-0050,241.098750,241.218750,a,I,sd,u-84-2
sw2638B-ms98-a-0050,241.218750,241.598750,TI,I,sd,u-84-2
sw2638B-ms98-a-0050,241.598750,242.188750,facility,I,sd,u-84-2
sw2638B-ms98-a-0050,242.188750,243.018750,that,I,sd,u-84-2
sw2638B-ms98-a-0050,243.018750,243.328750,um,I,sd,u-84-2
sw2638B-ms98-a-0050,243.328750,243.518750,had,I,sd,u-84-2
sw2638B-ms98-a-0050,243.518750,243.778750,never,I,sd,u-84-2
sw2638B-ms98-a-0050,243.778750,244.261750,had,I,sd,u-84-2
sw2638B-ms98-a-0050,244.943500,245.228750,uh,I,sd,u-84-2
sw2638B-ms98-a-0050,245.228750,245.618750,random,I,sd,u-84-2
sw2638B-ms98-a-0050,245.618750,245.888750,drug,I,sd,u-84-2
sw2638B-ms98-a-0050,245.888750,246.338750,sampling,I,sd,u-84-2
sw2638B-ms98-a-0050,246.338750,246.668750,before,I,sd,u-84-2
sw2638B-ms98-a-0051,247.335875,247.506625,because,B,+,u-86-1
sw2638B-ms98-a-0051,247.506625,247.606625,they,I,+,u-86-1
sw2638B-ms98-a-0051,247.606625,247.776625,were,I,+,u-86-1
sw2638B-ms98-a-0051,247.776625,248.116625,outside,I,+,u-86-1
sw2638B-ms98-a-0051,248.116625,248.226625,of,I,+,u-86-1
sw2638B-ms98-a-0051,248.226625,248.306625,the,I,+,u-86-1
sw2638B-ms98-a-0051,248.306625,248.826625,military,I,+,u-86-1
sw2638B-ms98-a-0051,248.826625,249.176875,sector,I,+,u-86-1
sw2638B-ms98-a-0051,249.176875,249.279000,it,B,sd,u-88-1
sw2638B-ms98-a-0051,249.279000,249.399500,was,I,sd,u-88-1
sw2638B-ms98-a-0051,249.399500,249.516625,uh,I,sd,u-88-1
sw2638B-ms98-a-0051,249.516625,249.606625,an,I,sd,u-88-1
sw2638B-ms98-a-0051,249.736625,250.278250,industrial,I,sd,u-88-1
sw2638B-ms98-a-0051,250.440250,250.834625,company,I,sd,u-88-1
sw2638B-ms98-a-0051,251.328000,251.951500,and,I,sd,u-88-1
sw2638B-ms98-a-0051,252.096000,252.320625,uh,I,sd,u-88-1
sw2638B-ms98-a-0051,252.320625,252.406625,you,I,sd,u-88-1
sw2638B-ms98-a-0051,252.406625,252.496625,know,I,sd,u-88-1
sw2638B-ms98-a-0051,252.496625,252.646625,that,I,sd,u-88-1
sw2638B-ms98-a-0051,252.646625,252.916625,TI,I,sd,u-88-1
sw2638B-ms98-a-0051,252.916625,253.926625,purchased,I,sd,u-88-1
sw2638B-ms98-a-0051,253.926625,254.016625,and,B,sd,u-88-2
sw2638B-ms98-a-0051,254.016625,254.126625,so,I,sd,u-88-2
sw2638B-ms98-a-0051,254.126625,254.206625,the,I,sd,u-88-2
sw2638B-ms98-a-0051,254.206625,254.566625,people,I,sd,u-88-2
sw2638B-ms98-a-0051,255.318000,255.801375,here,I,sd,u-88-2
sw2638B-ms98-a-0051,255.801375,255.896625,a,I,sd,u-88-2
sw2638B-ms98-a-0051,255.896625,256.136625,lot,I,sd,u-88-2
sw2638B-ms98-a-0051,256.136625,256.226625,of,I,sd,u-88-2
sw2638B-ms98-a-0051,256.226625,256.316625,them,I,sd,u-88-2
sw2638B-ms98-a-0051,256.316625,256.426625,are,I,sd,u-88-2
sw2638B-ms98-a-0051,256.426625,256.716625,real,I,sd,u-88-2
sw2638B-ms98-a-0051,256.716625,257.156625,opposed,I,sd,u-88-2
sw2638B-ms98-a-0051,257.156625,257.266000,to,I,sd,u-88-2
sw2638B-ms98-a-0051,257.266000,257.391875,it,I,sd,u-88-2
sw2638B-ms98-a-0052,258.095125,258.396875,uh,B,sd^r,u-90-1
sw2638B-ms98-a-0052,258.614875,258.705125,they,I,sd^r,u-90-1
sw2638B-ms98-a-0052,258.705125,259.005125,were,I,sd^r,u-90-1
sw2638B-ms98-a-0052,259.005125,259.345125,really,I,sd^r,u-90-1
sw2638B-ms98-a-0052,259.345125,259.745125,opposed,I,sd^r,u-90-1
sw2638B-ms98-a-0052,259.745125,259.915875,to,I,sd^r,u-90-1
sw2638B-ms98-a-0052,259.915875,259.998750,it,I,sd^r,u-90-1
sw2638B-ms98-a-0052,260.118500,260.588875,and,B,sd,u-92-1
sw2638B-ms98-a-0052,260.814750,260.935125,you,I,sd,u-92-1
sw2638B-ms98-a-0052,260.935125,261.065125,know,I,sd,u-92-1
sw2638B-ms98-a-0052,261.065125,261.195125,there,I,sd,u-92-1
sw2638B-ms98-a-0052,261.195125,261.355125,was,I,sd,u-92-1
sw2638B-ms98-a-0052,261.355125,261.395125,a,I,sd,u-92-1
sw2638B-ms98-a-0052,261.395125,261.665125,few,I,sd,u-92-1
sw2638B-ms98-a-0052,261.665125,261.815125,of,I,sd,u-92-1
sw2638B-ms98-a-0052,261.815125,261.955125,them,I,sd,u-92-1
sw2638B-ms98-a-0052,261.955125,262.125125,that,I,sd,u-92-1
sw2638B-ms98-a-0052,262.495125,263.109375,obviously,I,sd,u-92-1
sw2638B-ms98-a-0052,263.779750,263.885125,were,I,sd,u-92-1
sw2638B-ms98-a-0052,263.885125,264.165125,doing,I,sd,u-92-1
sw2638B-ms98-a-0052,264.165125,264.475125,drugs,I,sd,u-92-1
sw2638B-ms98-a-0052,264.475125,264.565125,and,B,sv,u-94-1
sw2638B-ms98-a-0052,264.565125,264.755125,that's,I,sv,u-94-1
sw2638B-ms98-a-0052,264.755125,264.895125,why,I,sv,u-94-1
sw2638B-ms98-a-0052,264.895125,265.015125,they,I,sv,u-94-1
sw2638B-ms98-a-0052,265.015125,265.155125,were,I,sv,u-94-1
sw2638B-ms98-a-0052,265.155125,265.575125,opposed,I,sv,u-94-1
sw2638B-ms98-a-0052,265.575125,265.715875,to,I,sv,u-94-1
sw2638B-ms98-a-0052,265.715875,265.879500,it,I,sv,u-94-1
sw2638B-ms98-a-0053,266.417125,266.897125,and,B,sd,u-96-1
sw2638B-ms98-a-0053,266.897125,267.216250,uh,I,sd,u-96-1
sw2638B-ms98-a-0053,267.363125,267.487125,it,I,sd,u-96-1
sw2638B-ms98-a-0053,267.487125,267.967125,resulted,I,sd,u-96-1
sw2638B-ms98-a-0053,267.967125,268.307125,in,I,sd,u-96-1
sw2638B-ms98-a-0053,268.307125,268.377125,in,I,sd,u-96-1
sw2638B-ms98-a-0053,268.377125,268.407125,a,I,sd,u-96-1
sw2638B-ms98-a-0053,268.407125,268.597125,few,I,sd,u-96-1
sw2638B-ms98-a-0053,268.597125,268.967125,people,I,sd,u-96-1
sw2638B-ms98-a-0053,268.967125,269.357125,leaving,I,sd,u-96-1
sw2638B-ms98-a-0054,269.827375,269.958250,you,B,+,u-98-1
sw2638B-ms98-a-0054,269.958250,270.068250,know,I,+,u-98-1
sw2638B-ms98-a-0054,270.068250,270.388250,because,I,+,u-98-1
sw2638B-ms98-a-0054,270.388250,270.518250,they,I,+,u-98-1
sw2638B-ms98-a-0054,270.518250,270.748250,just,I,+,u-98-1
sw2638B-ms98-a-0054,270.748250,270.998250,flat,I,+,u-98-1
sw2638B-ms98-a-0054,270.998250,271.268250,out,I,+,u-98-1
sw2638B-ms98-a-0054,271.268250,271.438250,weren't,I,+,u-98-1
sw2638B-ms98-a-0054,271.438250,271.558250,going,I,+,u-98-1
sw2638B-ms98-a-0054,271.558250,271.618250,to,I,+,u-98-1
sw2638B-ms98-a-0054,271.618250,271.738250,put,I,+,u-98-1
sw2638B-ms98-a-0054,271.738250,271.828250,up,I,+,u-98-1
sw2638B-ms98-a-0054,271.828250,271.928250,with,I,+,u-98-1
sw2638B-ms98-a-0054,271.928250,271.988250,the,I,+,u-98-1
sw2638B-ms98-a-0054,271.988250,272.485125,policy,I,+,u-98-1
sw2638B-ms98-a-0055,272.817125,272.917125,you,B,sd,u-100-1
sw2638B-ms98-a-0055,272.917125,273.057125,know,I,sd,u-100-1
sw2638B-ms98-a-0055,273.057125,273.157125,they,I,sd,u-100-1
sw2638B-ms98-a-0055,273.157125,273.257125,had,I,sd,u-100-1
sw2638B-ms98-a-0055,273.257125,273.307125,a,I,sd,u-100-1
sw2638B-ms98-a-0055,273.307125,273.767125,lifestyle,O,,
sw2638B-ms98-a-0055,273.767125,273.857125,and,B,sv,u-100-2
sw2638B-ms98-a-0055,273.857125,273.927125,they,I,sv,u-100-2
sw2638B-ms98-a-0055,273.927125,274.087125,weren't,I,sv,u-100-2
sw2638B-ms98-a-0055,274.087125,274.207125,going,I,sv,u-100-2
sw2638B-ms98-a-0055,274.207125,274.267125,to,I,sv,u-100-2
sw2638B-ms98-a-0055,274.267125,274.557125,change,I,sv,u-100-2
sw2638B-ms98-a-0055,274.557125,274.880500,it,I,sv,u-100-2
sw2638B-ms98-a-0056,275.651875,275.931875,and,B,%,u-102-1
sw2638B-ms98-a-0056,275.931875,276.212250,it's,I,%,u-102-1
sw2638B-ms98-a-0058,293.132625,293.372625,yeah,B,b,u-104-1
sw2638B-ms98-a-0059,294.519375,294.612625,i,B,sv,u-104-2
sw2638B-ms98-a-0059,294.612625,294.882625,mean,I,sv,u-104-2
sw2638B-ms98-a-0059,294.882625,294.932625,uh,I,sv,u-104-2
sw2638B-ms98-a-0059,294.932625,295.112625,you,I,sv,u-104-2
sw2638B-ms98-a-0059,295.112625,295.332625,should,I,sv,u-104-2
sw2638B-ms98-a-0059,295.332625,295.492625,have,I,sv,u-104-2
sw2638B-ms98-a-0059,295.492625,295.642625,no,I,sv,u-104-2
sw2638B-ms98-a-0059,295.642625,296.132625,objection,I,sv,u-104-2
sw2638B-ms98-a-0059,296.132625,296.242625,to,I,sv,u-104-2
sw2638B-ms98-a-0059,296.242625,296.382625,it,I,sv,u-104-2
sw2638B-ms98-a-0059,296.382625,296.552625,it's,B,sv,u-104-3
sw2638B-ms98-a-0059,296.552625,296.872625,like,I,sv,u-104-3
sw2638B-ms98-a-0059,296.872625,297.253125,uh,I,sv,u-104-3
sw2638B-ms98-a-0059,297.460250,297.682625,going,I,sv,u-104-3
sw2638B-ms98-a-0059,297.682625,297.862625,down,I,sv,u-104-3
sw2638B-ms98-a-0059,297.862625,297.932625,to,I,sv,u-104-3
sw2638B-ms98-a-0059,297.932625,298.062625,get,I,sv,u-104-3
sw2638B-ms98-a-0059,298.062625,298.172625,your,I,sv,u-104-3
sw2638B-ms98-a-0059,298.172625,298.632625,license,I,sv,u-104-3
sw2638B-ms98-a-0059,298.632625,298.862625,and,I,sv,u-104-3
sw2638B-ms98-a-0059,298.862625,299.152625,checking,I,sv,u-104-3
sw2638B-ms98-a-0059,299.152625,299.372625,your,I,sv,u-104-3
sw2638B-ms98-a-0059,299.372625,299.762625,eyes,I,sv,u-104-3
sw2638B-ms98-a-0059,299.762625,299.842625,i,B,qh,u-106-1
sw2638B-ms98-a-0059,299.842625,300.115375,mean,I,qh,u-106-1
sw2638B-ms98-a-0059,300.315000,300.412625,you,I,qh,u-106-1
sw2638B-ms98-a-0059,300.412625,300.665500,know,I,qh,u-106-1
sw2638B-ms98-a-0059,300.816250,300.912625,why,I,qh,u-106-1
sw2638B-ms98-a-0059,300.912625,301.012625,do,I,qh,u-106-1
sw2638B-ms98-a-0059,301.012625,301.072625,i,I,qh,u-106-1
sw2638B-ms98-a-0059,301.072625,301.252625,need,I,qh,u-106-1
sw2638B-ms98-a-0059,301.252625,301.332625,my,I,qh,u-106-1
sw2638B-ms98-a-0059,301.332625,301.672625,eyes,I,qh,u-106-1
sw2638B-ms98-a-0059,301.672625,302.052625,checked,I,qh,u-106-1
sw2638B-ms98-a-0059,302.052625,302.275500,well,B,o@,u-106-2
sw2638B-ms98-a-0059,302.411125,302.492625,we,B,+@,u-108-1
sw2638B-ms98-a-0059,302.492625,302.642625,want,I,+@,u-108-1
sw2638B-ms98-a-0059,302.642625,302.702625,to,I,+@,u-108-1
sw2638B-ms98-a-0059,302.702625,302.832625,make,I,+@,u-108-1
sw2638B-ms98-a-0059,302.832625,302.992625,sure,I,+@,u-108-1
sw2638B-ms98-a-0059,302.992625,303.092625,you,I,+@,u-108-1
sw2638B-ms98-a-0059,303.092625,303.242625,can,I,+@,u-108-1
sw2638B-ms98-a-0059,303.242625,303.602625,see,I,+@,u-108-1
sw2638B-ms98-a-0059,303.602625,305.922625,[laughter],O,,
sw2638B-ms98-a-0060,306.821625,306.911875,why,B,qh,u-110-1
sw2638B-ms98-a-0060,306.911875,306.991875,are,I,qh,u-110-1
sw2638B-ms98-a-0060,306.991875,307.081875,we,I,qh,u-110-1
sw2638B-ms98-a-0060,307.081875,307.331875,doing,I,qh,u-110-1
sw2638B-ms98-a-0060,307.331875,307.561875,this,I,qh,u-110-1
sw2638B-ms98-a-0060,307.561875,307.841875,well,B,sd,u-110-2
sw2638B-ms98-a-0060,307.841875,307.961875,so,I,sd,u-110-2
sw2638B-ms98-a-0060,307.961875,308.021875,you,I,sd,u-110-2
sw2638B-ms98-a-0060,308.021875,308.157375,don't,I,sd,u-110-2
sw2638B-ms98-a-0060,308.262750,308.441875,kill,I,sd,u-110-2
sw2638B-ms98-a-0060,308.441875,308.781875,people,I,sd,u-110-2
sw2638B-ms98-a-0060,308.781875,308.861875,on,I,sd,u-110-2
sw2638B-ms98-a-0060,308.861875,308.951875,the,I,sd,u-110-2
sw2638B-ms98-a-0060,308.951875,309.359000,road,I,sd,u-110-2
sw2638B-ms98-a-0061,309.879625,310.049625,uh,B,%,u-112-1
sw2638B-ms98-a-0061,310.049625,310.229625,it's,I,%,u-112-1
sw2638B-ms98-a-0061,310.229625,310.299625,a,I,%,u-112-1
sw2638B-ms98-a-0061,310.299625,310.479625,ba[sic]-,O,,
sw2638B-ms98-a-0061,310.479625,310.659625,[laughter],O,,
sw2638B-ms98-a-0061,310.659625,310.689625,i,B,sv,u-112-2
sw2638B-ms98-a-0061,310.689625,310.859625,mean,I,sv,u-112-2
sw2638B-ms98-a-0061,310.859625,310.999625,it's,I,sv,u-112-2
sw2638B-ms98-a-0061,310.999625,311.059625,the,I,sv,u-112-2
sw2638B-ms98-a-0061,311.059625,311.489625,basic,I,sv,u-112-2
sw2638B-ms98-a-0061,311.489625,311.869625,premise,I,sv,u-112-2
sw2638B-ms98-a-0061,311.869625,312.079625,with,I,sv,u-112-2
sw2638B-ms98-a-0061,312.079625,312.149625,you,B,+,u-114-1
sw2638B-ms98-a-0061,312.149625,312.239625,know,I,+,u-114-1
sw2638B-ms98-a-0061,312.239625,312.489625,drug,I,+,u-114-1
sw2638B-ms98-a-0061,312.489625,312.896750,testing,I,+,u-114-1
sw2638B-ms98-a-0062,313.754875,314.230375,especially,B,sv,u-116-1
sw2638B-ms98-a-0062,314.230375,314.390375,some,I,sv,u-116-1
sw2638B-ms98-a-0062,314.390375,314.470375,of,I,sv,u-116-1
sw2638B-ms98-a-0062,314.470375,314.575750,the,I,sv,u-116-1
sw2638B-ms98-a-0062,314.575750,315.058625,jobs,I,sv,u-116-1
sw2638B-ms98-a-0062,315.058625,315.424750,um,I,sv,u-116-1
sw2638B-ms98-a-0063,315.826750,316.216125,luckily,B,sd,u-116-2
sw2638B-ms98-a-0063,316.216125,316.316125,i've,I,sd,u-116-2
sw2638B-ms98-a-0063,316.316125,316.616125,always,I,sd,u-116-2
sw2638B-ms98-a-0063,316.616125,316.786125,been,I,sd,u-116-2
sw2638B-ms98-a-0063,316.786125,316.916125,in,I,sd,u-116-2
sw2638B-ms98-a-0063,316.916125,316.976125,the,I,sd,u-116-2
sw2638B-ms98-a-0063,316.976125,317.666125,engineering,I,sd,u-116-2
sw2638B-ms98-a-0063,317.666125,318.156125,sector,I,sd,u-116-2
sw2638B-ms98-a-0063,318.156125,318.306125,and,B,sd,u-118-1
sw2638B-ms98-a-0063,318.306125,318.789750,it's,I,sd,u-118-1
sw2638B-ms98-a-0063,319.519125,319.776125,very,I,sd,u-118-1
sw2638B-ms98-a-0063,319.776125,320.136125,little,I,sd,u-118-1
sw2638B-ms98-a-0063,320.136125,320.276125,that,I,sd,u-118-1
sw2638B-ms98-a-0063,320.276125,320.656125,anyone,I,sd,u-118-1
sw2638B-ms98-a-0063,320.656125,320.850250,could,I,sd,u-118-1
sw2638B-ms98-a-0063,320.982000,321.176125,do,I,sd,u-118-1
sw2638B-ms98-a-0063,321.176125,321.276125,in,I,sd,u-118-1
sw2638B-ms98-a-0063,321.276125,321.336125,the,I,sd,u-118-1
sw2638B-ms98-a-0063,321.336125,321.826125,engineering,I,sd,u-118-1
sw2638B-ms98-a-0063,321.826125,322.256125,sector,I,sd,u-118-1
sw2638B-ms98-a-0063,322.256125,322.346125,as,I,sd,u-118-1
sw2638B-ms98-a-0063,322.346125,322.776125,far,I,sd,u-118-1
sw2638B-ms98-a-0063,322.776125,323.076125,as,I,sd,u-118-1
sw2638B-ms98-a-0063,323.076125,323.411500,uh,I,sd,u-118-1
sw2638B-ms98-a-0063,323.626125,323.696125,you,I,sd,u-118-1
sw2638B-ms98-a-0063,323.696125,323.940250,know,I,sd,u-118-1
sw2638B-ms98-a-0063,324.105875,324.486125,hurting,I,sd,u-118-1
sw2638B-ms98-a-0063,324.486125,324.886125,someone,I,sd,u-118-1
sw2638B-ms98-a-0063,324.886125,324.916125,i,I,sd,u-118-1
sw2638B-ms98-a-0063,324.916125,325.066125,mean,I,sd,u-118-1
sw2638B-ms98-a-0063,325.066125,325.404000,it's,B,sv,u-120-1
sw2638B-ms98-a-0063,325.607375,325.836125,hard,I,sv,u-120-1
sw2638B-ms98-a-0063,325.836125,325.896125,to,I,sv,u-120-1
sw2638B-ms98-a-0063,325.896125,326.296125,imagine,I,sv,u-120-1
sw2638B-ms98-a-0063,326.296125,326.576125,somebody,I,sv,u-120-1
sw2638B-ms98-a-0063,326.576125,327.156125,misusing,I,sv,u-120-1
sw2638B-ms98-a-0063,327.156125,327.196125,a,I,sv,u-120-1
sw2638B-ms98-a-0063,327.196125,327.646125,computer,I,sv,u-120-1
sw2638B-ms98-a-0063,327.646125,327.736125,and,I,sv,u-120-1
sw2638B-ms98-a-0063,327.736125,328.026125,somebody,I,sv,u-120-1
sw2638B-ms98-a-0063,328.026125,328.386125,dying,I,sv,u-120-1
sw2638B-ms98-a-0063,328.386125,328.596125,from,I,sv,u-120-1
sw2638B-ms98-a-0063,328.596125,328.756125,it,I,sv,u-120-1
sw2638B-ms98-a-0064,329.388000,329.760250,but,B,sv,u-122-1
sw2638B-ms98-a-0064,329.760250,329.900250,uh,I,sv,u-122-1
sw2638B-ms98-a-0064,329.900250,330.020250,in,I,sv,u-122-1
sw2638B-ms98-a-0064,330.020250,330.080250,the,I,sv,u-122-1
sw2638B-ms98-a-0064,330.080250,330.930250,manufacturing,I,sv,u-122-1
sw2638B-ms98-a-0064,330.930250,331.640250,sectors,I,sv,u-122-1
sw2638B-ms98-a-0064,331.640250,331.930250,and,I,sv,u-122-1
sw2638B-ms98-a-0064,331.930250,332.070250,over,I,sv,u-122-1
sw2638B-ms98-a-0064,332.070250,332.140250,in,I,sv,u-122-1
sw2638B-ms98-a-0064,332.140250,333.060250,semiconductor,I,sv,u-122-1
sw2638B-ms98-a-0064,333.060250,333.170250,and,B,+,u-124-1
sw2638B-ms98-a-0064,333.170250,333.370250,down,I,+,u-124-1
sw2638B-ms98-a-0064,333.370250,333.480250,in,I,+,u-124-1
sw2638B-ms98-a-0064,333.480250,333.620250,some,I,+,u-124-1
sw2638B-ms98-a-0064,333.620250,333.680250,of,I,+,u-124-1
sw2638B-ms98-a-0064,333.680250,333.920250,those,I,+,u-124-1
sw2638B-ms98-a-0064,333.920250,334.270250,labs,I,+,u-124-1
sw2638B-ms98-a-0064,334.270250,334.390250,and,I,+,u-124-1
sw2638B-ms98-a-0064,334.390250,334.800000,stuff,I,+,u-124-1
sw2638B-ms98-a-0065,336.051500,336.471500,yeah,B,+,u-126-1
sw2638B-ms98-a-0065,336.471500,336.613375,i,I,+,u-126-1
sw2638B-ms98-a-0065,336.782875,337.021500,darn,I,+,u-126-1
sw2638B-ms98-a-0065,337.021500,337.141500,if,I,+,u-126-1
sw2638B-ms98-a-0065,337.141500,337.321500,i'd,I,+,u-126-1
sw2638B-ms98-a-0065,337.321500,337.561500,want,I,+,u-126-1
sw2638B-ms98-a-0065,337.831500,338.161500,somebody,I,+,u-126-1
sw2638B-ms98-a-0065,338.161500,338.481500,down,I,+,u-126-1
sw2638B-ms98-a-0065,338.481500,338.797750,there,I,+,u-126-1
sw2638B-ms98-a-0065,339.129250,339.231500,that,I,+,u-126-1
sw2638B-ms98-a-0065,339.231500,339.451500,i'm,I,+,u-126-1
sw2638B-ms98-a-0065,339.451500,339.781500,working,I,+,u-126-1
sw2638B-ms98-a-0065,339.781500,339.961500,with,I,+,u-126-1
sw2638B-ms98-a-0065,339.961500,340.321500,side,I,+,u-126-1
sw2638B-ms98-a-0065,340.321500,340.451500,by,I,+,u-126-1
sw2638B-ms98-a-0065,340.451500,340.865750,side,I,+,u-126-1
sw2638B-ms98-a-0065,341.967750,342.031875,you,I,+,u-126-1
sw2638B-ms98-a-0065,342.031875,342.121500,know,I,+,u-126-1
sw2638B-ms98-a-0065,342.121500,342.271500,that,I,+,u-126-1
sw2638B-ms98-a-0065,342.271500,342.461500,could,I,+,u-126-1
