sw4036B-ms98-a-0003,11.309000,11.905750,definitely,B,aa,u-2-1
sw4036B-ms98-a-0057,278.579125,278.859125,wide,I,sd,u-68-1
sw4036B-ms98-a-0057,278.859125,278.949125,so,B,sd,u-68-2
sw4036B-ms98-a-0057,278.949125,279.139125,they'd,I,sd,u-68-2
sw4036B-ms98-a-0057,279.139125,279.349125,already,I,sd,u-68-2
sw4036B-ms98-a-0057,279.349125,279.649125,taken,I,sd,u-68-2
sw4036B-ms98-a-0057,279.649125,279.749125,it,I,sd,u-68-2
sw4036B-ms98-a-0057,279.749125,280.140125,apart,I,sd,u-68-2
sw4036B-ms98-a-0058,281.002250,281.132250,so,B,sd,u-70-1
sw4036B-ms98-a-0058,281.132250,281.282250,they,I,sd,u-70-1
sw4036B-ms98-a-0058,281.282250,281.592250,left,I,sd,u-70-1
sw4036B-ms98-a-0058,281.592250,281.712250,it,I,sd,u-70-1
sw4036B-ms98-a-0058,281.712250,282.039125,there,I,sd,u-70-1
sw4036B-ms98-a-0059,283.069500,283.219500,and,B,sd,u-72-1
sw4036B-ms98-a-0059,283.219500,283.544125,then,I,sd,u-72-1
sw4036B-ms98-a-0059,283.735750,284.059500,when,I,sd,u-72-1
sw4036B-ms98-a-0060,285.160125,285.273625,they,I,sd,u-72-1
sw4036B-ms98-a-0060,285.273625,285.563625,came,I,sd,u-72-1
sw4036B-ms98-a-0060,285.563625,285.783625,back,I,sd,u-72-1
sw4036B-ms98-a-0060,285.783625,285.873625,to,I,sd,u-72-1
sw4036B-ms98-a-0060,285.873625,286.083625,get,I,sd,u-72-1
sw4036B-ms98-a-0060,286.083625,286.255125,it,I,sd,u-72-1
sw4036B-ms98-a-0060,286.959375,287.113375,a,I,sd,u-72-1
sw4036B-ms98-a-0060,287.588000,287.803625,couple,I,sd,u-72-1
sw4036B-ms98-a-0060,287.803625,287.873625,of,I,sd,u-72-1
sw4036B-ms98-a-0060,287.873625,288.123625,days,I,sd,u-72-1
sw4036B-ms98-a-0060,288.123625,288.555500,later,I,sd,u-72-1
sw4036B-ms98-a-0060,288.555500,288.773625,it,I,sd,u-72-1
sw4036B-ms98-a-0060,288.773625,288.903625,had,I,sd,u-72-1
sw4036B-ms98-a-0060,288.903625,289.363625,rained,I,sd,u-72-1
sw4036B-ms98-a-0060,289.363625,289.585000,and,I,sd,u-72-1
sw4036B-ms98-a-0060,289.848625,290.003625,got,I,sd,u-72-1
sw4036B-ms98-a-0060,290.003625,290.203625,all,I,sd,u-72-1
sw4036B-ms98-a-0060,290.203625,290.353625,in,I,sd,u-72-1
sw4036B-ms98-a-0060,290.353625,290.616375,it,I,sd,u-72-1
sw4036B-ms98-a-0061,291.794750,291.964750,so,B,sd,u-74-1
sw4036B-ms98-a-0061,291.964750,292.094750,they,I,sd,u-74-1
sw4036B-ms98-a-0061,292.094750,292.234750,were,I,sd,u-74-1
sw4036B-ms98-a-0061,292.234750,292.554750,suing,I,sd,u-74-1
sw4036B-ms98-a-0061,292.554750,292.744750,him,I,sd,u-74-1
sw4036B-ms98-a-0061,292.744750,292.864750,for,I,sd,u-74-1
sw4036B-ms98-a-0061,292.864750,292.934750,the,I,sd,u-74-1
sw4036B-ms98-a-0061,292.934750,293.367250,money,I,sd,u-74-1
sw4036B-ms98-a-0061,293.367250,293.764750,and,B,sd,u-74-2
sw4036B-ms98-a-0062,294.850500,294.899000,you,I,sd,u-74-2
sw4036B-ms98-a-0062,294.899000,295.029000,know,I,sd,u-74-2
sw4036B-ms98-a-0062,295.029000,295.179000,there's,I,sd,u-74-2
sw4036B-ms98-a-0062,295.179000,295.309000,no,I,sd,u-74-2
sw4036B-ms98-a-0062,295.309000,295.559000,way,I,sd,u-74-2
sw4036B-ms98-a-0062,295.559000,295.741250,they,I,sd,u-74-2
sw4036B-ms98-a-0062,295.741250,296.106625,could,I,sd,u-74-2
sw4036B-ms98-a-0062,296.515625,296.849000,because,I,sd,u-74-2
sw4036B-ms98-a-0062,296.849000,297.089000,it's,I,sd,u-74-2
sw4036B-ms98-a-0063,297.754875,297.886000,it,I,sd,u-74-2
sw4036B-ms98-a-0063,297.886000,298.083000,was,I,sd,u-74-2
sw4036B-ms98-a-0063,298.083000,298.374750,the,I,sd,u-74-2
sw4036B-ms98-a-0063,298.702375,299.126000,moving,I,sd,u-74-2
sw4036B-ms98-a-0063,299.126000,299.538000,company,I,sd,u-74-2
sw4036B-ms98-a-0063,299.538000,299.618000,[vocalized-noise],O,,
