sw4157B-ms98-a-0003,2.822500,3.142500,um,B,^h,u-2-1
sw4157B-ms98-a-0019,212.452000,212.602000,don't,I,qy^d,u-36-1
sw4157B-ms98-a-0019,212.602000,212.742000,think,I,qy^d,u-36-1
sw4157B-ms98-a-0019,212.742000,212.872000,it's,I,qy^d,u-36-1
sw4157B-ms98-a-0019,212.872000,213.452000,abnormal,I,qy^d,u-36-1
sw4157B-ms98-a-0021,216.802250,216.912250,oh,B,b,u-38-1
sw4157B-ms98-a-0021,216.912250,217.002250,i,I,b,u-38-1
sw4157B-ms98-a-0021,217.002250,217.122250,see,I,b,u-38-1
sw4157B-ms98-a-0021,217.122250,217.242250,you're,B,bf,u-38-2
sw4157B-ms98-a-0021,217.242250,217.412250,not,I,bf,u-38-2
sw4157B-ms98-a-0021,217.412250,217.662250,saying,I,bf,u-38-2
sw4157B-ms98-a-0021,217.662250,217.852250,it's,I,bf,u-38-2
sw4157B-ms98-a-0021,217.852250,218.152250,right,I,bf,u-38-2
sw4157B-ms98-a-0021,218.152250,218.252250,you're,B,bf,u-38-3
sw4157B-ms98-a-0021,218.252250,218.442250,just,I,bf,u-38-3
sw4157B-ms98-a-0021,218.442250,218.612250,saying,I,bf,u-38-3
sw4157B-ms98-a-0021,218.612250,218.752250,it's,I,bf,u-38-3
sw4157B-ms98-a-0021,218.752250,219.406000,common,I,bf,u-38-3
sw4157B-ms98-a-0023,289.241750,289.793250,yes,B,aa,u-40-1
