sw3773B-ms98-a-0003,3.708625,4.168625,homes,B,b^m,u-2-1
sw3773B-ms98-a-0038,179.463875,179.755000,finding,B,+,u-70-1
sw3773B-ms98-a-0038,179.755000,179.835000,the,I,+,u-70-1
sw3773B-ms98-a-0038,179.835000,180.025000,right,I,+,u-70-1
sw3773B-ms98-a-0038,180.025000,180.525375,place,I,+,u-70-1
sw3773B-ms98-a-0038,180.770250,181.103500,uh,I,+,u-70-1
sw3773B-ms98-a-0040,193.189000,193.403500,wow,B,ba,u-72-1
sw3773B-ms98-a-0042,195.692375,195.889250,[laughter],O,,
sw3773B-ms98-a-0044,199.177625,199.337625,oh,B,b,u-76-1
sw3773B-ms98-a-0044,199.337625,199.567375,yeah,I,b,u-76-1
sw3773B-ms98-a-0044,199.714250,199.841375,yeah,B,b^r,u-76-2
sw3773B-ms98-a-0044,200.161500,200.289125,i,B,sd,u-76-3
sw3773B-ms98-a-0044,200.289125,200.379500,think,I,sd,u-76-3
sw3773B-ms98-a-0044,200.379500,200.587625,once,I,sd,u-76-3
sw3773B-ms98-a-0044,200.587625,200.667625,we,I,sd,u-76-3
sw3773B-ms98-a-0044,200.667625,200.767625,get,I,sd,u-76-3
sw3773B-ms98-a-0044,200.767625,200.957625,into,I,sd,u-76-3
sw3773B-ms98-a-0044,200.957625,200.997625,a,I,sd,u-76-3
sw3773B-ms98-a-0044,200.997625,201.287625,place,I,sd,u-76-3
sw3773B-ms98-a-0044,201.287625,201.417625,it'll,I,sd,u-76-3
sw3773B-ms98-a-0044,201.417625,201.527625,be,I,sd,u-76-3
sw3773B-ms98-a-0044,201.527625,201.827625,just,I,sd,u-76-3
sw3773B-ms98-a-0044,201.827625,202.087625,fine,I,sd,u-76-3
sw3773B-ms98-a-0044,202.447625,202.607625,but,B,sd,u-76-4
sw3773B-ms98-a-0044,202.607625,202.777625,um,O,,
sw3773B-ms98-a-0044,203.197625,203.257625,you,B,+,u-78-1
sw3773B-ms98-a-0044,203.257625,203.387625,know,I,+,u-78-1
sw3773B-ms98-a-0044,203.387625,203.527625,it's,I,+,u-78-1
sw3773B-ms98-a-0044,203.527625,203.877625,until,I,+,u-78-1
sw3773B-ms98-a-0044,203.877625,204.177625,then,I,+,u-78-1
sw3773B-ms98-a-0044,204.177625,204.407625,it's,I,+,u-78-1
sw3773B-ms98-a-0044,204.407625,204.674375,uh,I,+,u-78-1
sw3773B-ms98-a-0045,205.790250,206.218500,oh,I,+,u-78-1
sw3773B-ms98-a-0045,206.378500,206.428500,a,I,+,u-78-1
sw3773B-ms98-a-0045,206.428500,206.628500,little,I,+,u-78-1
sw3773B-ms98-a-0045,206.628500,207.192750,stressful,I,+,u-78-1
sw3773B-ms98-a-0045,207.294375,207.368500,you,I,+,u-78-1
sw3773B-ms98-a-0045,207.368500,207.528500,know,I,+,u-78-1
sw3773B-ms98-a-0045,207.528500,207.737000,just,I,+,u-78-1
sw3773B-ms98-a-0045,207.993125,208.388500,looking,I,+,u-78-1
sw3773B-ms98-a-0045,208.388500,208.538500,all,I,+,u-78-1
sw3773B-ms98-a-0045,208.538500,208.608500,the,I,+,u-78-1
sw3773B-ms98-a-0045,208.608500,209.118500,time,I,+,u-78-1
sw3773B-ms98-a-0045,209.118500,209.508500,and,I,+,u-78-1
sw3773B-ms98-a-0045,209.508500,209.648500,that,I,+,u-78-1
sw3773B-ms98-a-0045,209.648500,209.838500,sort,I,+,u-78-1
sw3773B-ms98-a-0045,209.838500,209.938500,of,I,+,u-78-1
sw3773B-ms98-a-0045,209.938500,210.225250,thing,I,+,u-78-1
sw3773B-ms98-a-0045,210.225250,210.455375,that's,O,,
sw3773B-ms98-a-0045,210.455375,210.586250,all,O,,
sw3773B-ms98-a-0047,221.960250,222.182375,oh,B,aa,u-80-1
sw3773B-ms98-a-0047,222.182375,222.570125,yeah,I,aa,u-80-1
sw3773B-ms98-a-0047,222.754750,222.952375,maybe,B,am,u-82-1
sw3773B-ms98-a-0047,222.952375,223.182375,that's,I,am,u-82-1
sw3773B-ms98-a-0047,223.182375,223.242375,the,I,am,u-82-1
sw3773B-ms98-a-0047,223.242375,223.492375,case,I,am,u-82-1
sw3773B-ms98-a-0047,223.492375,223.552375,at,B,sv,u-82-2
sw3773B-ms98-a-0047,223.552375,223.732375,least,I,sv,u-82-2
sw3773B-ms98-a-0047,223.732375,223.882375,she's,I,sv,u-82-2
sw3773B-ms98-a-0047,223.882375,224.096875,got,I,sv,u-82-2
sw3773B-ms98-a-0047,224.635500,224.838125,more,I,sv,u-82-2
sw3773B-ms98-a-0047,225.282625,225.912375,opinions,I,sv,u-82-2
sw3773B-ms98-a-0047,225.912375,226.012375,you,I,sv,u-82-2
sw3773B-ms98-a-0047,226.012375,226.182375,know,I,sv,u-82-2
sw3773B-ms98-a-0047,226.182375,226.532375,there's,B,sv,u-82-3
sw3773B-ms98-a-0047,226.532375,226.842375,uh,I,sv,u-82-3
sw3773B-ms98-a-0048,227.234875,227.464875,seems,I,sv,u-82-3
sw3773B-ms98-a-0048,227.464875,227.584875,like,I,sv,u-82-3
sw3773B-ms98-a-0048,227.584875,227.764875,there's,I,sv,u-82-3
sw3773B-ms98-a-0048,227.764875,227.964875,more,I,sv,u-82-3
sw3773B-ms98-a-0048,227.964875,228.664875,constraints,I,sv,u-82-3
sw3773B-ms98-a-0048,229.254875,229.404875,more,B,+,u-84-1
sw3773B-ms98-a-0048,229.404875,229.634875,things,I,+,u-84-1
sw3773B-ms98-a-0048,229.634875,229.724875,that,I,+,u-84-1
sw3773B-ms98-a-0048,229.724875,229.904875,she,I,+,u-84-1
sw3773B-ms98-a-0048,229.904875,230.214875,thinks,I,+,u-84-1
sw3773B-ms98-a-0048,230.214875,230.564875,about,I,+,u-84-1
sw3773B-ms98-a-0048,230.564875,230.674875,you,I,+,u-84-1
sw3773B-ms98-a-0048,230.674875,230.904875,know,I,+,u-84-1
sw3773B-ms98-a-0048,230.904875,231.684875,openness,I,+,u-84-1
sw3773B-ms98-a-0048,231.684875,232.004875,uh,I,+,u-84-1
sw3773B-ms98-a-0048,232.004875,232.114875,the,I,+,u-84-1
sw3773B-ms98-a-0048,232.114875,232.524875,size,I,+,u-84-1
sw3773B-ms98-a-0048,232.524875,232.584875,of,I,+,u-84-1
sw3773B-ms98-a-0048,232.584875,232.644875,the,I,+,u-84-1
sw3773B-ms98-a-0048,232.644875,233.084875,kitchen,I,+,u-84-1
sw3773B-ms98-a-0048,233.084875,233.204875,and,I,+,u-84-1
sw3773B-ms98-a-0048,233.204875,233.304875,all,I,+,u-84-1
sw3773B-ms98-a-0048,233.304875,233.464875,this,I,+,u-84-1
sw3773B-ms98-a-0048,233.464875,233.584875,kind,I,+,u-84-1
sw3773B-ms98-a-0048,233.584875,233.664875,of,I,+,u-84-1
sw3773B-ms98-a-0048,233.664875,233.844875,stuff,I,+,u-84-1
sw3773B-ms98-a-0048,233.844875,233.944875,that,I,+,u-84-1
sw3773B-ms98-a-0048,233.944875,234.034875,i,I,+,u-84-1
sw3773B-ms98-a-0048,234.034875,234.234875,would,I,+,u-84-1
sw3773B-ms98-a-0048,234.854875,235.144875,probably,B,+,u-86-1
sw3773B-ms98-a-0048,235.144875,235.554875,gloss,I,+,u-86-1
sw3773B-ms98-a-0048,235.554875,235.854875,over,I,+,u-86-1
sw3773B-ms98-a-0048,235.854875,236.034875,and,I,+,u-86-1
sw3773B-ms98-a-0048,236.404875,236.564875,maybe,B,+,u-88-1
sw3773B-ms98-a-0048,236.564875,236.834875,even,I,+,u-88-1
sw3773B-ms98-a-0048,236.834875,237.324875,ignore,I,+,u-88-1
sw3773B-ms98-a-0048,237.324875,237.414875,you,I,+,u-88-1
sw3773B-ms98-a-0048,237.414875,237.592875,know,I,+,u-88-1
sw3773B-ms98-a-0049,238.140000,238.437125,so,B,qw,u-90-1
sw3773B-ms98-a-0049,238.774750,238.919250,wha[t]-,O,,
sw3773B-ms98-a-0049,239.051000,239.119750,what,B,+,u-92-1
sw3773B-ms98-a-0049,239.119750,239.259750,kind,I,+,u-92-1
sw3773B-ms98-a-0049,239.259750,239.329750,of,I,+,u-92-1
sw3773B-ms98-a-0049,239.329750,239.629750,business,I,+,u-92-1
sw3773B-ms98-a-0049,239.629750,239.689750,are,I,+,u-92-1
sw3773B-ms98-a-0049,239.689750,239.819750,you,I,+,u-92-1
sw3773B-ms98-a-0049,239.819750,239.969750,in,I,+,u-92-1
sw3773B-ms98-a-0051,246.798625,246.988625,oh,B,b,u-94-1
sw3773B-ms98-a-0051,246.988625,247.348625,yeah,I,b,u-94-1
sw3773B-ms98-a-0051,247.728625,248.228625,great,B,ba,u-94-2
sw3773B-ms98-a-0052,249.491375,249.621375,uh,B,sd,u-96-1
sw3773B-ms98-a-0052,249.621375,249.861375,we're,I,sd,u-96-1
sw3773B-ms98-a-0052,249.861375,250.021375,with,I,sd,u-96-1
sw3773B-ms98-a-0052,250.021375,250.101375,an,I,sd,u-96-1
sw3773B-ms98-a-0052,250.101375,250.631375,organization,I,sd,u-96-1
sw3773B-ms98-a-0052,250.631375,251.031375,called,I,sd,u-96-1
sw3773B-ms98-a-0052,251.031375,251.221375,uh,I,sd,u-96-1
sw3773B-ms98-a-0052,251.221375,251.531375,Wycliffe,I,sd,u-96-1
sw3773B-ms98-a-0052,251.531375,251.781375,Bible,I,sd,u-96-1
sw3773B-ms98-a-0052,251.781375,252.496000,Translators,I,sd,u-96-1
sw3773B-ms98-a-0052,252.955500,253.161375,it's,B,sd,u-98-1
sw3773B-ms98-a-0052,253.161375,253.495125,a,I,sd,u-98-1
sw3773B-ms98-a-0052,253.758750,253.891375,a,I,sd,u-98-1
sw3773B-ms98-a-0052,253.891375,254.281375,missions,I,sd,u-98-1
sw3773B-ms98-a-0052,254.281375,254.951375,organization,I,sd,u-98-1
sw3773B-ms98-a-0052,254.951375,255.161375,and,I,sd,u-98-1
sw3773B-ms98-a-0052,255.161375,255.338000,uh,I,sd,u-98-1
sw3773B-ms98-a-0052,255.978375,256.301375,doing,I,sd,u-98-1
sw3773B-ms98-a-0052,256.301375,256.568375,uh,I,sd,u-98-1
sw3773B-ms98-a-0052,256.756625,257.489125,translation,I,sd,u-98-1
sw3773B-ms98-a-0052,257.662375,258.261375,linguistics,I,sd,u-98-1
sw3773B-ms98-a-0052,258.261375,258.401375,that,I,sd,u-98-1
sw3773B-ms98-a-0052,258.401375,258.581375,sort,I,sd,u-98-1
sw3773B-ms98-a-0052,258.581375,258.691375,of,I,sd,u-98-1
sw3773B-ms98-a-0052,258.691375,258.911375,thing,I,sd,u-98-1
sw3773B-ms98-a-0053,260.182125,260.603625,uh,B,sd,u-100-1
sw3773B-ms98-a-0053,260.603625,260.793625,it's,I,sd,u-100-1
sw3773B-ms98-a-0053,260.793625,260.953625,got,I,sd,u-100-1
sw3773B-ms98-a-0053,260.953625,261.043625,an,I,sd,u-100-1
sw3773B-ms98-a-0053,261.043625,261.449625,office,I,sd,u-100-1
sw3773B-ms98-a-0053,261.875250,262.043625,down,I,sd,u-100-1
sw3773B-ms98-a-0053,262.043625,262.333625,here,I,sd,u-100-1
sw3773B-ms98-a-0053,262.333625,262.553625,in,I,sd,u-100-1
sw3773B-ms98-a-0053,262.553625,262.802750,uh,I,sd,u-100-1
sw3773B-ms98-a-0053,263.559875,263.775250,it,I,sd,u-100-1
sw3773B-ms98-a-0053,263.884500,264.053625,near,I,sd,u-100-1
sw3773B-ms98-a-0053,264.053625,264.663625,Duncanville,I,sd,u-100-1
sw3773B-ms98-a-0053,264.663625,264.773625,and,B,sd,u-100-2
sw3773B-ms98-a-0053,264.773625,264.947875,we,I,sd,u-100-2
sw3773B-ms98-a-0053,265.083375,265.303625,just,I,sd,u-100-2
sw3773B-ms98-a-0053,265.303625,265.453625,moved,I,sd,u-100-2
sw3773B-ms98-a-0053,265.453625,265.673625,down,I,sd,u-100-2
sw3773B-ms98-a-0053,265.673625,265.773625,to,I,sd,u-100-2
sw3773B-ms98-a-0053,265.773625,265.903625,be,I,sd,u-100-2
sw3773B-ms98-a-0053,265.903625,266.013625,on,I,sd,u-100-2
sw3773B-ms98-a-0053,266.013625,266.413625,staff,I,sd,u-100-2
sw3773B-ms98-a-0053,266.413625,266.613625,down,I,sd,u-100-2
sw3773B-ms98-a-0053,266.613625,266.893625,here,I,sd,u-100-2
sw3773B-ms98-a-0053,266.893625,267.140500,so,B,%,u-100-3
sw3773B-ms98-a-0054,268.076625,268.235500,it,O,,
sw3773B-ms98-a-0056,270.807625,271.096125,right,B,na,u-102-1
sw3773B-ms98-a-0058,274.259500,274.432875,uh,B,sd,u-104-1
sw3773B-ms98-a-0058,274.432875,274.722875,we,I,sd,u-104-1
sw3773B-ms98-a-0058,274.722875,275.222875,were,I,sd,u-104-1
sw3773B-ms98-a-0058,275.492875,275.782875,uh,I,sd,u-104-1
sw3773B-ms98-a-0059,277.009375,277.330250,really,I,sd,u-104-1
sw3773B-ms98-a-0059,277.330250,277.780250,surprised,I,sd,u-104-1
sw3773B-ms98-a-0059,277.780250,277.840250,to,I,sd,u-104-1
sw3773B-ms98-a-0059,277.840250,278.080250,find,I,sd,u-104-1
sw3773B-ms98-a-0059,278.080250,278.170250,that,I,sd,u-104-1
sw3773B-ms98-a-0059,278.170250,278.340250,they're,I,sd,u-104-1
sw3773B-ms98-a-0059,278.340250,278.690250,higher,I,sd,u-104-1
sw3773B-ms98-a-0059,278.690250,278.986625,here,I,sd,u-104-1
sw3773B-ms98-a-0059,279.597125,279.905625,uh,I,sd,u-104-1
sw3773B-ms98-a-0060,280.640125,280.737750,when,B,sd,u-106-1
sw3773B-ms98-a-0060,280.737750,280.837750,we,I,sd,u-106-1
sw3773B-ms98-a-0060,280.837750,281.147750,moved,I,sd,u-106-1
sw3773B-ms98-a-0060,281.147750,281.567750,from,I,sd,u-106-1
sw3773B-ms98-a-0060,281.727750,282.317750,Louisiana,I,sd,u-106-1
sw3773B-ms98-a-0060,282.317750,282.467750,to,I,sd,u-106-1
sw3773B-ms98-a-0060,282.467750,282.931750,Denver,I,sd,u-106-1
sw3773B-ms98-a-0060,283.120000,283.267750,it,I,sd,u-106-1
sw3773B-ms98-a-0060,283.267750,283.467750,was,I,sd,u-106-1
sw3773B-ms98-a-0060,283.467750,284.067750,astounding,I,sd,u-106-1
sw3773B-ms98-a-0060,284.247750,284.337750,you,I,sd,u-106-1
sw3773B-ms98-a-0060,284.337750,284.663250,know,I,sd,u-106-1
sw3773B-ms98-a-0060,284.761250,284.857750,to,I,sd,u-106-1
sw3773B-ms98-a-0060,284.857750,285.337750,find,I,sd,u-106-1
sw3773B-ms98-a-0060,285.337750,285.517750,that,I,sd,u-106-1
sw3773B-ms98-a-0060,285.517750,285.937750,prices,I,sd,u-106-1
sw3773B-ms98-a-0060,285.937750,286.158375,were,I,sd,u-106-1
sw3773B-ms98-a-0060,286.817750,286.927750,oh,I,sd,u-106-1
sw3773B-ms98-a-0060,286.927750,287.007750,i,I,sd,u-106-1
sw3773B-ms98-a-0060,287.007750,287.263625,guess,I,sd,u-106-1
sw3773B-ms98-a-0060,287.704375,288.027750,almost,I,sd,u-106-1
sw3773B-ms98-a-0060,288.027750,288.127750,two,I,sd,u-106-1
sw3773B-ms98-a-0060,288.127750,288.217750,or,I,sd,u-106-1
sw3773B-ms98-a-0060,288.217750,288.447750,three,I,sd,u-106-1
sw3773B-ms98-a-0060,288.447750,288.807750,times,I,sd,u-106-1
sw3773B-ms98-a-0060,288.807750,288.897750,as,I,sd,u-106-1
sw3773B-ms98-a-0060,288.897750,289.097750,high,I,sd,u-106-1
sw3773B-ms98-a-0060,289.097750,289.227750,as,I,sd,u-106-1
sw3773B-ms98-a-0060,289.227750,289.387750,we'd,I,sd,u-106-1
sw3773B-ms98-a-0060,289.387750,289.867750,expected,I,sd,u-106-1
sw3773B-ms98-a-0060,289.997750,290.137750,and,B,sd,u-106-2
sw3773B-ms98-a-0060,290.137750,290.347750,then,I,sd,u-106-2
sw3773B-ms98-a-0060,290.347750,290.546000,uh,I,sd,u-106-2
sw3773B-ms98-a-0060,290.644000,290.706625,to,I,sd,u-106-2
sw3773B-ms98-a-0060,290.706625,290.877750,come,I,sd,u-106-2
sw3773B-ms98-a-0060,290.877750,291.027750,down,I,sd,u-106-2
sw3773B-ms98-a-0060,291.027750,291.277750,here,I,sd,u-106-2
sw3773B-ms98-a-0060,291.277750,291.407750,we,I,sd,u-106-2
sw3773B-ms98-a-0060,291.407750,291.677750,thought,I,sd,u-106-2
sw3773B-ms98-a-0060,291.677750,291.907750,things,I,sd,u-106-2
sw3773B-ms98-a-0060,291.907750,292.007750,would,I,sd,u-106-2
sw3773B-ms98-a-0060,292.007750,292.117750,be,I,sd,u-106-2
sw3773B-ms98-a-0060,292.117750,292.557750,lower,I,sd,u-106-2
sw3773B-ms98-a-0060,292.557750,292.677750,and,B,sd,u-106-3
sw3773B-ms98-a-0060,292.677750,292.787750,they're,I,sd,u-106-3
sw3773B-ms98-a-0060,292.787750,293.133250,not,I,sd,u-106-3
sw3773B-ms98-a-0061,293.859250,293.963500,i,B,sv,u-106-4
sw3773B-ms98-a-0061,293.963500,294.319250,guess,I,sv,u-106-4
sw3773B-ms98-a-0061,294.319250,294.703125,um,I,sv,u-106-4
sw3773B-ms98-a-0062,295.983000,296.835000,really,I,sv,u-106-4
sw3773B-ms98-a-0062,297.076000,297.523000,prices,I,sv,u-106-4
sw3773B-ms98-a-0062,297.523000,297.663000,for,I,sv,u-106-4
sw3773B-ms98-a-0062,297.663000,298.053000,housing,I,sv,u-106-4
sw3773B-ms98-a-0062,298.053000,298.233000,are,I,sv,u-106-4
sw3773B-ms98-a-0062,298.233000,298.429500,just,I,sv,u-106-4
