sw3666B-ms98-a-0003,2.841375,3.220750,yes,B,fp,u-2-1
sw3666B-ms98-a-0046,148.831875,149.001875,i,I,sd,u-90-2
sw3666B-ms98-a-0046,149.001875,149.301875,got,I,sd,u-90-2
sw3666B-ms98-a-0046,149.301875,149.501875,some,I,sd,u-90-2
sw3666B-ms98-a-0046,149.501875,150.041875,nice,I,sd,u-90-2
sw3666B-ms98-a-0046,150.041875,150.171875,uh,I,sd,u-90-2
sw3666B-ms98-a-0046,150.171875,150.701875,mums,I,sd,u-90-2
sw3666B-ms98-a-0046,150.701875,150.821875,at,I,sd,u-90-2
sw3666B-ms98-a-0046,150.821875,151.491875,Thanksgiving,I,sd,u-90-2
sw3666B-ms98-a-0046,151.491875,151.621875,that,I,sd,u-90-2
sw3666B-ms98-a-0046,151.621875,151.691875,i,I,sd,u-90-2
sw3666B-ms98-a-0046,151.691875,151.911875,put,I,sd,u-90-2
sw3666B-ms98-a-0046,151.911875,151.991875,in,I,sd,u-90-2
sw3666B-ms98-a-0046,151.991875,152.051875,the,I,sd,u-90-2
sw3666B-ms98-a-0046,152.051875,152.541875,pots,I,sd,u-90-2
sw3666B-ms98-a-0046,152.541875,152.751875,out,I,sd,u-90-2
sw3666B-ms98-a-0046,152.751875,153.091250,there,I,sd,u-90-2
sw3666B-ms98-a-0046,153.509250,153.628500,and,B,sv,u-92-1
sw3666B-ms98-a-0046,153.628500,153.836375,i,I,sv,u-92-1
sw3666B-ms98-a-0046,153.836375,154.001875,thought,I,sv,u-92-1
sw3666B-ms98-a-0046,154.001875,154.181875,they,I,sv,u-92-1
sw3666B-ms98-a-0046,154.181875,154.361875,were,I,sv,u-92-1
sw3666B-ms98-a-0046,154.361875,154.771875,supposed,I,sv,u-92-1
sw3666B-ms98-a-0046,154.771875,154.871875,to,I,sv,u-92-1
sw3666B-ms98-a-0046,154.871875,155.101875,live,I,sv,u-92-1
sw3666B-ms98-a-0046,155.101875,155.251875,through,I,sv,u-92-1
sw3666B-ms98-a-0046,155.251875,155.421875,all,I,sv,u-92-1
sw3666B-ms98-a-0046,155.421875,155.491875,the,I,sv,u-92-1
sw3666B-ms98-a-0046,155.491875,155.901875,cold,I,sv,u-92-1
sw3666B-ms98-a-0046,155.901875,156.348125,weather,I,sv,u-92-1
sw3666B-ms98-a-0047,156.843875,157.013875,they,B,sv,u-94-1
sw3666B-ms98-a-0047,157.013875,157.263875,looked,I,sv,u-94-1
sw3666B-ms98-a-0047,157.263875,157.503875,real,I,sv,u-94-1
sw3666B-ms98-a-0047,157.503875,157.953875,pretty,I,sv,u-94-1
sw3666B-ms98-a-0047,157.953875,158.243875,until,I,sv,u-94-1
sw3666B-ms98-a-0047,158.243875,158.543875,about,I,sv,u-94-1
sw3666B-ms98-a-0047,158.543875,158.593875,a,I,sv,u-94-1
sw3666B-ms98-a-0047,158.593875,158.753875,week,I,sv,u-94-1
sw3666B-ms98-a-0047,158.753875,159.133875,before,I,sv,u-94-1
sw3666B-ms98-a-0047,159.133875,159.763875,Christmas,I,sv,u-94-1
sw3666B-ms98-a-0047,159.763875,159.913875,then,B,sd,u-94-2
sw3666B-ms98-a-0047,159.913875,160.083875,they,I,sd,u-94-2
sw3666B-ms98-a-0047,160.083875,160.453875,started,I,sd,u-94-2
sw3666B-ms98-a-0047,160.453875,160.523875,to,I,sd,u-94-2
sw3666B-ms98-a-0047,160.523875,160.934500,die,I,sd,u-94-2
sw3666B-ms98-a-0047,160.934500,161.353875,too,I,sd,u-94-2
sw3666B-ms98-a-0048,162.110000,162.270000,so,B,sv,u-96-1
sw3666B-ms98-a-0048,162.270000,162.380000,i,I,sv,u-96-1
sw3666B-ms98-a-0048,162.380000,162.590000,don't,I,sv,u-96-1
sw3666B-ms98-a-0048,162.590000,162.780000,think,I,sv,u-96-1
sw3666B-ms98-a-0048,162.780000,163.050000,any,I,sv,u-96-1
sw3666B-ms98-a-0048,163.050000,163.200000,of,I,sv,u-96-1
sw3666B-ms98-a-0048,163.200000,163.320000,it,I,sv,u-96-1
sw3666B-ms98-a-0048,163.320000,163.680000,comes,I,sv,u-96-1
sw3666B-ms98-a-0048,163.680000,164.140000,back,I,sv,u-96-1
sw3666B-ms98-a-0048,164.140000,164.320000,but,B,h,u-96-2
sw3666B-ms98-a-0048,164.320000,164.420000,i,B,+,u-98-1
sw3666B-ms98-a-0048,164.420000,164.630000,don't,I,+,u-98-1
sw3666B-ms98-a-0048,164.630000,164.810000,know,I,+,u-98-1
sw3666B-ms98-a-0048,164.810000,165.320000,maybe,B,sv,u-98-2
sw3666B-ms98-a-0048,165.320000,165.830000,sometimes,B,sd,u-98-3
sw3666B-ms98-a-0048,165.830000,166.170000,things,I,sd,u-98-3
sw3666B-ms98-a-0048,166.170000,166.420000,do,I,sd,u-98-3
sw3666B-ms98-a-0048,166.420000,166.638500,that,I,sd,u-98-3
sw3666B-ms98-a-0048,167.007625,167.270000,aren't,I,sd,u-98-3
sw3666B-ms98-a-0048,167.270000,167.500000,even,I,sd,u-98-3
sw3666B-ms98-a-0048,167.500000,168.020000,supposed,I,sd,u-98-3
sw3666B-ms98-a-0048,168.020000,168.321125,to,I,sd,u-98-3
sw3666B-ms98-a-0049,169.282375,169.932375,so,B,%,u-100-1
sw3666B-ms98-a-0051,173.532375,174.035125,yeah,B,ny,u-102-1
sw3666B-ms98-a-0053,177.654250,178.334250,really,B,bh,u-104-1
sw3666B-ms98-a-0054,178.952375,179.152375,well,B,ba,u-106-1
sw3666B-ms98-a-0054,179.152375,179.505000,that's,I,ba,u-106-1
sw3666B-ms98-a-0054,179.505000,179.694625,good,I,ba,u-106-1
sw3666B-ms98-a-0054,179.947000,180.199750,they're,B,sv,u-106-2
sw3666B-ms98-a-0054,180.199750,180.333375,the,I,sv,u-106-2
sw3666B-ms98-a-0054,180.333375,180.682375,best,I,sv,u-106-2
sw3666B-ms98-a-0054,180.682375,181.310125,kind,I,sv,u-106-2
sw3666B-ms98-a-0054,181.581250,181.976625,they,B,sv,u-108-1
sw3666B-ms98-a-0054,182.168625,182.452375,they're,I,sv,u-108-1
sw3666B-ms98-a-0054,182.452375,182.672375,like,I,sv,u-108-1
sw3666B-ms98-a-0054,182.672375,183.642375,indestructible,I,sv,u-108-1
sw3666B-ms98-a-0055,184.480500,184.710500,they,B,sv,u-110-1
sw3666B-ms98-a-0055,184.710500,185.060500,really,I,sv,u-110-1
sw3666B-ms98-a-0055,185.060500,185.320500,grow,I,sv,u-110-1
sw3666B-ms98-a-0055,185.320500,185.840500,nice,I,sv,u-110-1
sw3666B-ms98-a-0055,185.840500,186.273000,and,B,sd,u-110-2
sw3666B-ms98-a-0055,186.525250,187.120500,sometimes,I,sd,u-110-2
sw3666B-ms98-a-0055,187.120500,187.280500,they're,I,sd,u-110-2
sw3666B-ms98-a-0055,187.280500,187.560500,not,I,sd,u-110-2
sw3666B-ms98-a-0055,187.560500,187.960500,supposed,I,sd,u-110-2
sw3666B-ms98-a-0055,187.960500,188.060500,to,I,sd,u-110-2
sw3666B-ms98-a-0055,188.060500,188.280500,come,I,sd,u-110-2
sw3666B-ms98-a-0055,188.280500,188.570500,back,I,sd,u-110-2
sw3666B-ms98-a-0055,188.570500,188.730500,but,B,sd,u-110-3
sw3666B-ms98-a-0055,188.730500,189.020500,lots,I,sd,u-110-3
sw3666B-ms98-a-0055,189.020500,189.080500,of,I,sd,u-110-3
sw3666B-ms98-a-0055,189.080500,189.420500,times,I,sd,u-110-3
sw3666B-ms98-a-0055,189.420500,189.590500,they,I,sd,u-110-3
sw3666B-ms98-a-0055,189.590500,189.933000,do,I,sd,u-110-3
sw3666B-ms98-a-0056,190.893375,191.433375,so,B,%,u-112-1
sw3666B-ms98-a-0057,192.328000,192.518000,we'll,B,sv,u-114-1
sw3666B-ms98-a-0057,192.518000,192.998000,see,I,sv,u-114-1
sw3666B-ms98-a-0058,194.430625,194.731125,[vocalized-noise],O,,
sw3666B-ms98-a-0058,194.731125,194.930625,they're,B,qy^g^t,u-114-2
sw3666B-ms98-a-0058,194.930625,195.200625,letting,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,195.200625,195.340625,us,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,195.340625,195.490625,have,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,195.490625,195.540625,a,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,195.540625,195.750625,lot,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,195.750625,195.850625,of,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,195.850625,196.247500,time,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,196.247500,196.400625,on,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,196.400625,196.810625,this,I,qy^g^t,u-114-2
sw3666B-ms98-a-0058,196.810625,197.110625,aren't,B,+,u-116-1
sw3666B-ms98-a-0058,197.110625,197.349125,they,I,+,u-116-1
sw3666B-ms98-a-0058,198.042250,198.151375,but,B,sd,u-118-1
sw3666B-ms98-a-0058,198.151375,198.380625,that's,I,sd,u-118-1
sw3666B-ms98-a-0058,198.380625,198.610625,because,I,sd,u-118-1
sw3666B-ms98-a-0058,198.610625,198.750625,we,I,sd,u-118-1
sw3666B-ms98-a-0058,198.750625,199.010625,didn't,I,sd,u-118-1
sw3666B-ms98-a-0058,199.010625,199.200625,hit,I,sd,u-118-1
sw3666B-ms98-a-0058,199.200625,199.500625,one,I,sd,u-118-1
sw3666B-ms98-a-0058,199.500625,199.680625,for,I,sd,u-118-1
sw3666B-ms98-a-0058,199.680625,199.740625,a,I,sd,u-118-1
sw3666B-ms98-a-0058,199.740625,200.060625,long,I,sd,u-118-1
sw3666B-ms98-a-0058,200.060625,200.530625,time,I,sd,u-118-1
sw3666B-ms98-a-0059,201.963750,202.063750,i,B,sv,u-120-1
sw3666B-ms98-a-0059,202.063750,202.405500,hope,I,sv,u-120-1
sw3666B-ms98-a-0059,202.405500,202.613750,[laughter-not],O,,
sw3666B-ms98-a-0059,202.613750,204.083250,[laughter],O,,
sw3666B-ms98-a-0059,204.083250,204.323750,neither,B,sv,u-122-1
sw3666B-ms98-a-0059,204.323750,204.503750,one,I,sv,u-122-1
sw3666B-ms98-a-0059,204.503750,204.573750,of,I,sv,u-122-1
sw3666B-ms98-a-0059,204.573750,204.793750,us,I,sv,u-122-1
sw3666B-ms98-a-0059,204.793750,204.903750,is,B,+,u-124-1
sw3666B-ms98-a-0059,204.903750,205.243750,getting,I,+,u-124-1
sw3666B-ms98-a-0059,205.243750,205.623750,paid,I,+,u-124-1
sw3666B-ms98-a-0059,205.623750,205.753750,for,I,+,u-124-1
sw3666B-ms98-a-0059,205.753750,206.055625,this,I,+,u-124-1
sw3666B-ms98-a-0061,208.176625,208.586625,yeah,B,b,u-126-1
sw3666B-ms98-a-0061,208.586625,209.096625,really,B,ba,u-126-2
sw3666B-ms98-a-0061,209.096625,209.286625,i,B,sd,u-126-3
sw3666B-ms98-a-0061,209.286625,209.726625,know,I,sd,u-126-3
sw3666B-ms98-a-0061,209.726625,209.904000,it,I,sd,u-126-3
sw3666B-ms98-a-0061,210.239125,210.316625,i,B,sd,u-126-4
sw3666B-ms98-a-0061,210.316625,210.676625,can't,I,sd,u-126-4
sw3666B-ms98-a-0061,210.676625,211.006625,believe,I,sd,u-126-4
sw3666B-ms98-a-0061,211.006625,211.196625,this,I,sd,u-126-4
sw3666B-ms98-a-0061,211.196625,211.306625,i,B,sd,u-126-5
sw3666B-ms98-a-0061,211.306625,211.546625,got,I,sd,u-126-5
sw3666B-ms98-a-0061,211.546625,211.976625,somebody,I,sd,u-126-5
sw3666B-ms98-a-0061,211.976625,212.226625,from,I,sd,u-126-5
sw3666B-ms98-a-0061,212.226625,212.981625,Utah,B,+,u-128-1
sw3666B-ms98-a-0062,213.557000,213.697000,and,B,+,u-130-1
sw3666B-ms98-a-0062,213.697000,214.393000,somebody,I,+,u-130-1
sw3666B-ms98-a-0062,214.393000,214.527000,where,B,sd,u-130-2
sw3666B-ms98-a-0062,214.527000,214.794125,was,I,sd,u-130-2
sw3666B-ms98-a-0062,214.794125,215.007000,the,I,sd,u-130-2
sw3666B-ms98-a-0062,215.007000,215.417000,person,I,sd,u-130-2
sw3666B-ms98-a-0062,215.417000,215.704875,last,I,sd,u-130-2
sw3666B-ms98-a-0062,215.704875,216.007000,night,I,sd,u-130-2
sw3666B-ms98-a-0062,216.007000,216.217000,was,B,+,u-132-1
sw3666B-ms98-a-0062,216.217000,216.452000,from,I,+,u-132-1
sw3666B-ms98-a-0062,216.452000,216.677375,far,I,+,u-132-1
sw3666B-ms98-a-0062,216.677375,217.279750,away,I,+,u-132-1
sw3666B-ms98-a-0063,217.933875,218.206750,and,B,sd,u-134-1
sw3666B-ms98-a-0063,218.206750,218.336750,we,I,sd,u-134-1
sw3666B-ms98-a-0063,218.336750,218.546750,get,I,sd,u-134-1
sw3666B-ms98-a-0063,218.546750,218.726750,each,I,sd,u-134-1
sw3666B-ms98-a-0063,218.726750,218.986750,other,I,sd,u-134-1
sw3666B-ms98-a-0063,218.986750,219.286750,down,I,sd,u-134-1
sw3666B-ms98-a-0063,219.286750,219.346750,the,I,sd,u-134-1
sw3666B-ms98-a-0063,219.346750,219.916750,street,I,sd,u-134-1
sw3666B-ms98-a-0063,219.916750,220.156750,this,B,sv,u-134-2
sw3666B-ms98-a-0063,220.156750,220.246750,is,I,sv,u-134-2
sw3666B-ms98-a-0063,220.246750,220.636750,so,I,sv,u-134-2
sw3666B-ms98-a-0063,220.636750,221.136750,funny,I,sv,u-134-2
sw3666B-ms98-a-0065,226.456500,226.586500,yeah,B,b,u-136-1
sw3666B-ms98-a-0065,226.586500,226.706500,i've,B,sd,u-136-2
sw3666B-ms98-a-0065,226.706500,226.966500,had,I,sd,u-136-2
sw3666B-ms98-a-0065,226.966500,227.379250,Dallas,I,sd,u-136-2
sw3666B-ms98-a-0065,227.379250,228.200875,Arlington,I,sd,u-136-2
sw3666B-ms98-a-0065,228.641625,228.826500,i've,B,sd,u-136-3
sw3666B-ms98-a-0065,228.826500,229.308125,had,I,sd,u-136-3
sw3666B-ms98-a-0065,229.308125,229.696500,uh,I,sd,u-136-3
sw3666B-ms98-a-0065,229.696500,230.057750,one,I,sd,u-136-3
sw3666B-ms98-a-0065,230.057750,230.744750,Plano,I,sd,u-136-3
sw3666B-ms98-a-0066,231.281750,231.461750,and,B,+,u-138-1
sw3666B-ms98-a-0066,231.461750,231.601750,then,I,+,u-138-1
sw3666B-ms98-a-0066,231.601750,231.811750,a,I,+,u-138-1
sw3666B-ms98-a-0066,231.811750,232.141750,lady,I,+,u-138-1
sw3666B-ms98-a-0066,232.141750,232.381750,from,I,+,u-138-1
sw3666B-ms98-a-0066,232.381750,232.761750,Brigham,I,+,u-138-1
sw3666B-ms98-a-0066,232.761750,233.321750,Utah,I,+,u-138-1
sw3666B-ms98-a-0066,233.321750,233.491750,whose,I,+,u-138-1
sw3666B-ms98-a-0066,233.491750,233.881750,son,B,+,u-140-1
sw3666B-ms98-a-0066,233.881750,234.101750,lives,I,+,u-140-1
sw3666B-ms98-a-0066,234.101750,234.241750,in,I,+,u-140-1
sw3666B-ms98-a-0066,234.241750,234.761750,Plano,I,+,u-140-1
sw3666B-ms98-a-0066,234.761750,235.001750,on,I,+,u-140-1
sw3666B-ms98-a-0066,235.001750,235.501750,Ranier,I,+,u-140-1
sw3666B-ms98-a-0066,235.501750,236.220750,someplace,I,+,u-140-1
sw3666B-ms98-a-0067,237.088000,237.588000,and,B,+,u-142-1
sw3666B-ms98-a-0067,237.588000,238.032375,then,I,+,u-142-1
sw3666B-ms98-a-0067,238.032375,238.628000,um,I,+,u-142-1
sw3666B-ms98-a-0068,239.837250,240.047250,another,I,+,u-142-1
sw3666B-ms98-a-0068,240.047250,240.427250,state,I,+,u-142-1
sw3666B-ms98-a-0068,240.427250,240.554750,i,B,sd,u-142-2
sw3666B-ms98-a-0068,240.554750,240.907250,can't,I,sd,u-142-2
sw3666B-ms98-a-0068,240.907250,241.327250,remember,I,sd,u-142-2
sw3666B-ms98-a-0068,241.327250,241.547250,but,B,sd,u-142-3
sw3666B-ms98-a-0068,241.547250,241.739000,she,I,sd,u-142-3
sw3666B-ms98-a-0068,241.739000,241.967250,told,I,sd,u-142-3
sw3666B-ms98-a-0068,241.967250,242.067250,me,I,sd,u-142-3
sw3666B-ms98-a-0068,242.067250,242.367250,about,I,sd,u-142-3
sw3666B-ms98-a-0068,242.367250,242.447250,the,I,sd,u-142-3
sw3666B-ms98-a-0068,242.447250,243.047250,Utah,I,sd,u-142-3
sw3666B-ms98-a-0068,243.047250,243.592750,Jazz,I,sd,u-142-3
sw3666B-ms98-a-0068,243.592750,243.907250,we,B,sd,u-142-4
sw3666B-ms98-a-0068,243.907250,244.217250,talked,I,sd,u-142-4
sw3666B-ms98-a-0068,244.217250,244.407250,about,I,sd,u-142-4
sw3666B-ms98-a-0068,244.407250,245.217250,basketball,I,sd,u-142-4
sw3666B-ms98-a-0069,246.072625,246.297625,and,B,sd,u-144-1
sw3666B-ms98-a-0069,246.297625,246.485000,i,I,sd,u-144-1
sw3666B-ms98-a-0069,246.485000,246.715000,don't,I,sd,u-144-1
sw3666B-ms98-a-0069,246.715000,247.175000,remember,I,sd,u-144-1
sw3666B-ms98-a-0069,247.175000,247.401000,what,I,sd,u-144-1
sw3666B-ms98-a-0069,247.811500,247.955000,what,I,sd,u-144-1
sw3666B-ms98-a-0069,248.055000,248.216250,the,I,sd,u-144-1
sw3666B-ms98-a-0069,248.216250,248.575000,place,I,sd,u-144-1
sw3666B-ms98-a-0069,248.575000,248.835000,was,I,sd,u-144-1
sw3666B-ms98-a-0069,248.835000,249.169250,last,I,sd,u-144-1
sw3666B-ms98-a-0069,249.169250,249.495000,night,I,sd,u-144-1
sw3666B-ms98-a-0069,249.495000,249.681750,like,O,,
sw3666B-ms98-a-0069,250.333125,250.535000,i'm,B,+,u-146-1
sw3666B-ms98-a-0069,250.535000,250.945000,thinking,I,+,u-146-1
sw3666B-ms98-a-0069,250.945000,251.745000,Colorado,I,+,u-146-1
sw3666B-ms98-a-0069,251.745000,251.984125,but,B,sd,u-146-2
sw3666B-ms98-a-0069,252.647000,252.765000,i'm,I,sd,u-146-2
sw3666B-ms98-a-0069,252.765000,253.015000,not,I,sd,u-146-2
sw3666B-ms98-a-0069,253.015000,253.245000,sure,I,sd,u-146-2
sw3666B-ms98-a-0069,253.245000,253.645000,another,O,,
sw3666B-ms98-a-0069,253.645000,254.095000,place,B,sd,u-146-3
sw3666B-ms98-a-0069,254.095000,254.585000,anyway,I,sd,u-146-3
sw3666B-ms98-a-0070,255.587125,255.998875,so,B,%,u-148-1
sw3666B-ms98-a-0070,256.442250,256.766250,the,O,,
sw3666B-ms98-a-0070,256.766250,256.916250,but,B,sd,u-150-1
sw3666B-ms98-a-0070,256.916250,257.366250,mostly,I,sd,u-150-1
sw3666B-ms98-a-0070,257.366250,257.566250,they're,I,sd,u-150-1
sw3666B-ms98-a-0070,257.566250,257.776250,from,I,sd,u-150-1
sw3666B-ms98-a-0070,257.776250,257.836250,the,I,sd,u-150-1
sw3666B-ms98-a-0070,257.836250,258.448125,area,I,sd,u-150-1
sw3666B-ms98-a-0070,259.096000,259.280875,this,O,,
sw3666B-ms98-a-0072,261.728250,262.048250,not,B,aa,u-154-1
sw3666B-ms98-a-0072,262.048250,262.218250,for,I,aa,u-154-1
sw3666B-ms98-a-0072,262.218250,262.618250,me,I,aa,u-154-1
sw3666B-ms98-a-0072,262.988250,263.128250,you,B,sd,u-156-1
sw3666B-ms98-a-0072,263.128250,263.398250,know,I,sd,u-156-1
sw3666B-ms98-a-0072,263.398250,263.693125,not,I,sd,u-156-1
sw3666B-ms98-a-0072,264.024625,264.278250,not,B,+,u-158-1
sw3666B-ms98-a-0072,264.278250,264.418250,for,I,+,u-158-1
sw3666B-ms98-a-0072,264.418250,264.658250,me,I,+,u-158-1
sw3666B-ms98-a-0072,264.658250,265.058250,because,B,+,u-160-1
sw3666B-ms98-a-0072,265.058250,265.188250,all,I,+,u-160-1
sw3666B-ms98-a-0072,265.188250,265.268250,i,I,+,u-160-1
sw3666B-ms98-a-0072,265.268250,265.528250,have,I,+,u-160-1
sw3666B-ms98-a-0072,265.528250,265.708250,is,I,+,u-160-1
sw3666B-ms98-a-0072,265.708250,266.068250,rocks,I,+,u-160-1
sw3666B-ms98-a-0072,266.068250,266.218250,and,I,+,u-160-1
sw3666B-ms98-a-0072,266.218250,266.578250,weeds,I,+,u-160-1
sw3666B-ms98-a-0074,271.601125,271.957375,i,B,sd,u-162-1
sw3666B-ms98-a-0074,271.957375,272.404500,know,I,sd,u-162-1
sw3666B-ms98-a-0075,272.931375,273.021375,i,B,sd,u-164-1
sw3666B-ms98-a-0075,273.021375,273.311375,know,I,sd,u-164-1
sw3666B-ms98-a-0075,273.311375,273.451375,we're,B,sv,u-164-2
sw3666B-ms98-a-0075,273.451375,273.701375,not,I,sv,u-164-2
sw3666B-ms98-a-0075,273.701375,274.162250,typical,I,sv,u-164-2
sw3666B-ms98-a-0075,274.207375,275.005250,Texans,I,sv,u-164-2
sw3666B-ms98-a-0076,275.601125,275.892875,[laughter-but],O,,
sw3666B-ms98-a-0078,279.901000,280.051000,-[w]ell,O,,
sw3666B-ms98-a-0078,280.051000,280.161000,i,B,no,u-168-1
sw3666B-ms98-a-0078,280.161000,280.351000,don't,I,no,u-168-1
sw3666B-ms98-a-0078,280.351000,280.541000,know,I,no,u-168-1
sw3666B-ms98-a-0078,280.541000,280.681000,i,B,sd,u-168-2
sw3666B-ms98-a-0078,280.681000,281.061000,hope,I,sd,u-168-2
sw3666B-ms98-a-0078,281.061000,281.538375,so,I,sd,u-168-2
sw3666B-ms98-a-0079,282.830125,283.336625,[laughter],O,,
sw3666B-ms98-a-0079,283.336625,283.596625,come,B,ad,u-170-1
sw3666B-ms98-a-0079,283.596625,283.959000,on,I,ad,u-170-1
sw3666B-ms98-a-0079,283.959000,284.211875,come,B,ad^r,u-170-2
sw3666B-ms98-a-0079,284.211875,284.555250,on,I,ad^r,u-170-2
sw3666B-ms98-a-0080,285.658500,285.778500,i,B,no,u-172-1
sw3666B-ms98-a-0080,285.778500,286.009500,don't,I,no,u-172-1
sw3666B-ms98-a-0080,286.009500,286.502750,know,I,no,u-172-1
sw3666B-ms98-a-0082,288.607625,288.767625,i,B,sd,u-174-1
sw3666B-ms98-a-0082,288.767625,288.997625,know,I,sd,u-174-1
sw3666B-ms98-a-0082,288.997625,289.117625,well,B,co,u-174-2
sw3666B-ms98-a-0082,289.117625,289.237625,we,I,co,u-174-2
sw3666B-ms98-a-0082,289.237625,289.467625,can,I,co,u-174-2
sw3666B-ms98-a-0082,289.467625,289.687625,talk,I,co,u-174-2
sw3666B-ms98-a-0082,289.687625,289.997625,about,I,co,u-174-2
sw3666B-ms98-a-0082,289.997625,290.417625,something,I,co,u-174-2
sw3666B-ms98-a-0082,290.417625,290.717625,else,I,co,u-174-2
sw3666B-ms98-a-0082,290.717625,290.857625,it's,B,sd,u-174-3
sw3666B-ms98-a-0082,290.857625,291.117625,just,I,sd,u-174-3
sw3666B-ms98-a-0082,291.117625,291.197625,a,I,sd,u-174-3
sw3666B-ms98-a-0082,291.197625,291.907625,suggested,I,sd,u-174-3
sw3666B-ms98-a-0082,291.907625,292.407625,topic,I,sd,u-174-3
sw3666B-ms98-a-0083,293.360000,293.480000,so,B,qo,u-176-1
sw3666B-ms98-a-0083,293.480000,293.810000,how's,I,qo,u-176-1
sw3666B-ms98-a-0083,293.810000,293.900000,the,I,qo,u-176-1
sw3666B-ms98-a-0083,293.900000,294.380000,baby,I,qo,u-176-1
sw3666B-ms98-a-0083,294.380000,294.460000,do,I,qo,u-176-1
sw3666B-ms98-a-0083,294.460000,294.650000,you,I,qo,u-176-1
sw3666B-ms98-a-0083,294.650000,294.990000,think,I,qo,u-176-1
sw3666B-ms98-a-0083,294.990000,295.950000,[laughter],O,,
sw3666B-ms98-a-0083,295.950000,296.220000,how's,B,qw,u-178-1
sw3666B-ms98-a-0083,296.220000,296.599625,the,I,qw,u-178-1
sw3666B-ms98-a-0083,296.599625,296.735125,let's,B,ad,u-180-1
sw3666B-ms98-a-0083,296.735125,297.020000,talk,I,ad,u-180-1
sw3666B-ms98-a-0083,297.020000,297.310000,about,I,ad,u-180-1
sw3666B-ms98-a-0083,297.310000,297.380000,the,I,ad,u-180-1
sw3666B-ms98-a-0083,297.380000,297.993750,baby,I,ad,u-180-1
sw3666B-ms98-a-0084,298.708625,299.850000,[laughter],O,,
