sw4675B-ms98-a-0002,0.276625,0.436625,all,B,o,u-1-1
sw4675B-ms98-a-0040,158.806250,158.906250,to,I,sv,u-59-1
sw4675B-ms98-a-0040,158.906250,159.136250,dig,I,sv,u-59-1
sw4675B-ms98-a-0040,159.136250,159.246250,out,I,sv,u-59-1
sw4675B-ms98-a-0040,159.246250,159.376250,of,I,sv,u-59-1
sw4675B-ms98-a-0040,159.376250,159.721625,debt,I,sv,u-59-1
sw4675B-ms98-a-0040,159.721625,159.906250,i,I,sv,u-59-1
sw4675B-ms98-a-0040,159.906250,160.116250,think,I,sv,u-59-1
sw4675B-ms98-a-0040,160.116250,160.236250,as,I,sv,u-59-1
sw4675B-ms98-a-0040,160.236250,160.746250,everybody,I,sv,u-59-1
sw4675B-ms98-a-0040,160.746250,161.026250,is,I,sv,u-59-1
sw4675B-ms98-a-0040,161.026250,161.145500,and,B,%,u-59-2
sw4675B-ms98-a-0040,161.235875,161.453125,so,I,%,u-59-2
sw4675B-ms98-a-0041,163.114750,163.390875,it's,B,ny^e,u-61-1
sw4675B-ms98-a-0041,163.473750,163.851500,yeah,I,ny^e,u-61-1
sw4675B-ms98-a-0041,163.851500,164.005875,it's,I,ny^e,u-61-1
sw4675B-ms98-a-0041,164.005875,164.228000,really,I,ny^e,u-61-1
sw4675B-ms98-a-0041,164.228000,164.688000,bad,I,ny^e,u-61-1
sw4675B-ms98-a-0041,164.688000,164.912000,but,B,sd,u-63-1
sw4675B-ms98-a-0041,165.048000,165.448000,um,I,sd,u-63-1
sw4675B-ms98-a-0041,165.728000,165.838000,it's,I,sd,u-63-1
sw4675B-ms98-a-0041,165.838000,166.028000,going,I,sd,u-63-1
sw4675B-ms98-a-0041,166.028000,166.178000,pretty,I,sd,u-63-1
sw4675B-ms98-a-0041,166.178000,166.358000,well,I,sd,u-63-1
sw4675B-ms98-a-0041,166.358000,166.448000,and,B,sd,u-63-2
sw4675B-ms98-a-0041,166.448000,166.518000,i've,I,sd,u-63-2
sw4675B-ms98-a-0041,166.518000,166.648000,got,I,sd,u-63-2
sw4675B-ms98-a-0041,166.648000,166.698000,a,I,sd,u-63-2
sw4675B-ms98-a-0041,166.698000,166.911000,real,I,sd,u-63-2
sw4675B-ms98-a-0041,167.031625,167.208000,good,I,sd,u-63-2
sw4675B-ms98-a-0041,167.208000,167.568000,plan,I,sd,u-63-2
sw4675B-ms98-a-0041,167.678000,167.978000,mapped,I,sd,u-63-2
sw4675B-ms98-a-0041,167.978000,168.188000,out,I,sd,u-63-2
sw4675B-ms98-a-0041,168.188000,168.367125,here,I,sd,u-63-2
sw4675B-ms98-a-0041,168.660125,168.815125,so,B,%,u-63-3
sw4675B-ms98-a-0043,175.325500,175.675500,uh-huh,B,b,u-65-1
sw4675B-ms98-a-0045,183.571500,183.731500,oh,B,%,u-67-1
sw4675B-ms98-a-0045,183.731500,184.021500,that's,I,%,u-67-1
sw4675B-ms98-a-0047,186.138500,186.538250,yeah,B,b,u-69-1
sw4675B-ms98-a-0049,189.627000,189.817875,that'll,B,bf,u-71-1
sw4675B-ms98-a-0049,189.817875,190.127875,cover,I,bf,u-71-1
sw4675B-ms98-a-0049,190.127875,190.267875,your,I,bf,u-71-1
sw4675B-ms98-a-0049,190.267875,190.732125,gifts,I,bf,u-71-1
sw4675B-ms98-a-0049,190.830125,191.087875,come,I,bf,u-71-1
sw4675B-ms98-a-0049,191.087875,191.467875,Christmas,I,bf,u-71-1
sw4675B-ms98-a-0049,191.467875,191.807875,time,I,bf,u-71-1
sw4675B-ms98-a-0049,191.807875,192.077875,that'll,B,%,u-71-2
sw4675B-ms98-a-0049,192.077875,192.387250,yeah,B,%,u-71-3
sw4675B-ms98-a-0050,193.887500,194.042625,that'd,O,,
sw4675B-ms98-a-0050,194.042625,194.142625,be,B,ba,u-73-1
sw4675B-ms98-a-0050,194.142625,194.382625,good,I,ba,u-73-1
sw4675B-ms98-a-0050,194.382625,194.652625,because,O,,
sw4675B-ms98-a-0050,194.652625,194.832625,yeah,B,%,u-73-2
sw4675B-ms98-a-0050,194.832625,195.052625,most,B,sv,u-73-3
sw4675B-ms98-a-0050,195.052625,195.292625,people,I,sv,u-73-3
sw4675B-ms98-a-0050,195.292625,195.402625,are,I,sv,u-73-3
sw4675B-ms98-a-0050,195.402625,195.752625,spending,I,sv,u-73-3
sw4675B-ms98-a-0050,195.752625,195.892625,three,I,sv,u-73-3
sw4675B-ms98-a-0050,195.892625,195.952625,or,I,sv,u-73-3
sw4675B-ms98-a-0050,195.952625,196.122625,four,I,sv,u-73-3
sw4675B-ms98-a-0050,196.122625,196.472625,months,I,sv,u-73-3
sw4675B-ms98-a-0050,196.602625,196.782625,di[gging]-,I,sv,u-73-3
sw4675B-ms98-a-0050,196.782625,196.912625,you,I,sv,u-73-3
sw4675B-ms98-a-0050,196.912625,196.992625,know,I,sv,u-73-3
sw4675B-ms98-a-0050,196.992625,197.112625,at,I,sv,u-73-3
sw4675B-ms98-a-0050,197.112625,197.469250,least,I,sv,u-73-3
sw4675B-ms98-a-0050,197.537125,197.882625,digging,I,sv,u-73-3
sw4675B-ms98-a-0050,197.882625,198.212625,out,I,sv,u-73-3
sw4675B-ms98-a-0050,198.212625,198.452625,after,I,sv,u-73-3
sw4675B-ms98-a-0050,198.452625,198.932625,Christmas,I,sv,u-73-3
sw4675B-ms98-a-0050,198.932625,199.274375,so,B,%,u-73-4
sw4675B-ms98-a-0051,200.021750,200.201750,yeah,B,b,u-75-1
sw4675B-ms98-a-0051,200.201750,200.365250,i,B,sd,u-75-2
sw4675B-ms98-a-0051,200.637000,200.782125,i,I,sd,u-75-2
sw4675B-ms98-a-0051,200.782125,200.931750,was,I,sd,u-75-2
sw4675B-ms98-a-0051,200.931750,201.112375,pretty,I,sd,u-75-2
sw4675B-ms98-a-0051,201.161250,201.511750,fortunate,I,sd,u-75-2
sw4675B-ms98-a-0051,201.511750,201.631750,this,I,sd,u-75-2
sw4675B-ms98-a-0051,201.631750,201.991750,Christmas,I,sd,u-75-2
sw4675B-ms98-a-0051,201.991750,202.031750,i,B,sd,u-75-3
sw4675B-ms98-a-0051,202.031750,202.201750,didn't,I,sd,u-75-3
sw4675B-ms98-a-0051,202.201750,202.321750,get,I,sd,u-75-3
sw4675B-ms98-a-0051,202.321750,202.431750,in,I,sd,u-75-3
sw4675B-ms98-a-0051,202.431750,202.761750,debt,I,sd,u-75-3
sw4675B-ms98-a-0051,202.761750,203.011750,so,B,%,u-75-4
sw4675B-ms98-a-0053,210.155250,210.535250,uh-huh,B,b,u-77-1
sw4675B-ms98-a-0055,214.747750,214.977750,oh,B,b,u-79-1
sw4675B-ms98-a-0055,214.977750,215.248875,uh-huh,I,b,u-79-1
sw4675B-ms98-a-0055,215.572875,215.737750,it's,B,sv,u-79-2
sw4675B-ms98-a-0055,215.737750,215.917750,so,I,sv,u-79-2
sw4675B-ms98-a-0055,215.917750,216.167750,rare,I,sv,u-79-2
sw4675B-ms98-a-0055,216.167750,216.287750,you,B,"""",u-79-3
sw4675B-ms98-a-0055,216.287750,216.467750,hear,I,"""",u-79-3
sw4675B-ms98-a-0055,216.467750,216.787750,anybody,I,"""",u-79-3
sw4675B-ms98-a-0055,216.787750,217.047750,doing,I,"""",u-79-3
sw4675B-ms98-a-0055,217.047750,217.217750,that,I,"""",u-79-3
sw4675B-ms98-a-0055,217.217750,217.387750,any,I,"""",u-79-3
sw4675B-ms98-a-0055,217.437750,217.759125,longer,I,"""",u-79-3
sw4675B-ms98-a-0056,218.370250,218.623125,[laughter],O,,
sw4675B-ms98-a-0058,225.423375,225.784375,yeah,B,b,u-81-1
sw4675B-ms98-a-0058,225.784375,226.198125,[vocalized-noise],O,,
sw4675B-ms98-a-0059,226.872375,227.057750,my,B,sd,u-83-1
sw4675B-ms98-a-0059,227.057750,227.363125,um,I,sd,u-83-1
sw4675B-ms98-a-0059,227.487750,227.867750,roommate,I,sd,u-83-1
sw4675B-ms98-a-0059,227.867750,228.067750,does,I,sd,u-83-1
sw4675B-ms98-a-0059,228.067750,228.317750,sew,I,sd,u-83-1
sw4675B-ms98-a-0059,228.317750,228.707750,some,I,sd,u-83-1
sw4675B-ms98-a-0059,228.707750,228.927750,and,B,sd,u-83-2
sw4675B-ms98-a-0059,228.927750,229.397750,and,I,sd,u-83-2
sw4675B-ms98-a-0059,229.397750,229.887750,um,I,sd,u-83-2
sw4675B-ms98-a-0060,231.132000,231.262125,i,I,sd,u-83-2
sw4675B-ms98-a-0060,231.306250,231.462000,she,I,sd,u-83-2
sw4675B-ms98-a-0060,231.462000,231.722000,hasn't,I,sd,u-83-2
sw4675B-ms98-a-0060,231.722000,231.912000,sewed,I,sd,u-83-2
sw4675B-ms98-a-0060,231.912000,232.182000,anything,I,sd,u-83-2
sw4675B-ms98-a-0060,232.182000,232.252000,in,I,sd,u-83-2
sw4675B-ms98-a-0060,232.252000,232.292000,a,I,sd,u-83-2
sw4675B-ms98-a-0060,232.292000,232.502000,long,I,sd,u-83-2
sw4675B-ms98-a-0060,232.502000,232.952000,time,I,sd,u-83-2
sw4675B-ms98-a-0060,232.952000,233.162000,but,B,sv,u-83-3
sw4675B-ms98-a-0060,233.162000,233.322000,i,I,sv,u-83-3
sw4675B-ms98-a-0060,233.422000,233.572000,i'm,I,sv,u-83-3
sw4675B-ms98-a-0060,233.572000,233.762000,sure,I,sv,u-83-3
sw4675B-ms98-a-0060,233.762000,233.872000,that,I,sv,u-83-3
sw4675B-ms98-a-0060,233.872000,233.982000,she,I,sv,u-83-3
sw4675B-ms98-a-0060,233.982000,234.102000,could,I,sv,u-83-3
sw4675B-ms98-a-0060,234.102000,234.272000,pick,I,sv,u-83-3
sw4675B-ms98-a-0060,234.272000,234.372000,it,I,sv,u-83-3
sw4675B-ms98-a-0060,234.372000,234.512000,up,I,sv,u-83-3
sw4675B-ms98-a-0060,234.512000,234.732000,again,I,sv,u-83-3
sw4675B-ms98-a-0060,234.732000,234.842000,my,B,sd,u-85-1
sw4675B-ms98-a-0060,234.842000,235.142000,mother,I,sd,u-85-1
sw4675B-ms98-a-0060,235.142000,235.342000,always,I,sd,u-85-1
sw4675B-ms98-a-0060,235.342000,235.532000,sewed,I,sd,u-85-1
sw4675B-ms98-a-0060,235.532000,235.632000,she,B,sd,u-85-2
sw4675B-ms98-a-0060,235.632000,235.862000,tried,I,sd,u-85-2
sw4675B-ms98-a-0060,235.862000,235.942000,to,I,sd,u-85-2
sw4675B-ms98-a-0060,235.942000,236.212000,teach,I,sd,u-85-2
sw4675B-ms98-a-0060,236.212000,236.322000,me,I,sd,u-85-2
sw4675B-ms98-a-0060,236.322000,236.452000,when,I,sd,u-85-2
sw4675B-ms98-a-0060,236.452000,236.482000,i,I,sd,u-85-2
sw4675B-ms98-a-0060,236.482000,236.642000,was,I,sd,u-85-2
sw4675B-ms98-a-0060,236.642000,236.952000,young,I,sd,u-85-2
sw4675B-ms98-a-0060,236.952000,237.162000,but,I,sd,u-85-2
sw4675B-ms98-a-0061,238.136125,238.355500,not,B,+,u-87-1
sw4675B-ms98-a-0061,238.355500,238.966250,interested,I,+,u-87-1
sw4675B-ms98-a-0061,238.966250,239.659375,[laughter],O,,
sw4675B-ms98-a-0063,241.909250,242.223625,yeah,B,b,u-89-1
sw4675B-ms98-a-0065,246.485625,246.693500,yeah,B,b,u-91-1
sw4675B-ms98-a-0065,246.693500,246.833500,but,B,sv,u-91-2
sw4675B-ms98-a-0065,246.833500,246.993500,that's,I,sv,u-91-2
sw4675B-ms98-a-0065,246.993500,247.073500,a,I,sv,u-91-2
sw4675B-ms98-a-0065,247.073500,247.213500,real,I,sv,u-91-2
sw4675B-ms98-a-0065,247.213500,247.343500,good,I,sv,u-91-2
sw4675B-ms98-a-0065,247.343500,247.493500,way,I,sv,u-91-2
sw4675B-ms98-a-0065,247.493500,247.603500,to,I,sv,u-91-2
sw4675B-ms98-a-0065,247.603500,247.843500,save,I,sv,u-91-2
sw4675B-ms98-a-0065,247.843500,248.133500,money,I,sv,u-91-2
sw4675B-ms98-a-0065,248.133500,248.303500,though,B,+,u-93-1
sw4675B-ms98-a-0065,248.303500,248.443500,by,I,+,u-93-1
sw4675B-ms98-a-0065,248.443500,248.753500,doing,I,+,u-93-1
sw4675B-ms98-a-0065,248.753500,249.095125,that,I,+,u-93-1
sw4675B-ms98-a-0067,254.119125,254.492000,um-hum,B,b,u-95-1
sw4675B-ms98-a-0067,254.622750,254.948250,um-hum,B,b^r,u-95-2
sw4675B-ms98-a-0069,257.058625,257.144250,well,B,ba,u-97-1
sw4675B-ms98-a-0069,257.144250,257.334250,that's,I,ba,u-97-1
sw4675B-ms98-a-0069,257.334250,257.404250,a,I,ba,u-97-1
sw4675B-ms98-a-0069,257.404250,257.544250,good,I,ba,u-97-1
sw4675B-ms98-a-0069,257.544250,257.694250,way,I,ba,u-97-1
sw4675B-ms98-a-0069,257.694250,257.844250,to,I,ba,u-97-1
sw4675B-ms98-a-0069,257.944250,258.184250,to,I,ba,u-97-1
sw4675B-ms98-a-0069,258.184250,258.414250,make,I,ba,u-97-1
sw4675B-ms98-a-0069,258.414250,258.444250,a,I,ba,u-97-1
sw4675B-ms98-a-0069,258.444250,258.614250,little,I,ba,u-97-1
sw4675B-ms98-a-0069,258.614250,258.924250,extra,I,ba,u-97-1
sw4675B-ms98-a-0069,258.924250,259.267250,money,I,ba,u-97-1
sw4675B-ms98-a-0070,259.741500,259.817625,well,B,sd,u-99-1
sw4675B-ms98-a-0070,259.817625,259.977625,this,I,sd,u-99-1
sw4675B-ms98-a-0070,259.977625,260.097625,is,I,sd,u-99-1
sw4675B-ms98-a-0070,260.097625,260.437625,another,I,sd,u-99-1
sw4675B-ms98-a-0070,260.437625,260.607625,way,I,sd,u-99-1
sw4675B-ms98-a-0070,260.607625,260.757625,that,I,sd,u-99-1
sw4675B-ms98-a-0070,260.757625,260.917625,i'm,I,sd,u-99-1
sw4675B-ms98-a-0070,260.917625,261.227625,making,I,sd,u-99-1
sw4675B-ms98-a-0070,261.227625,261.277625,a,I,sd,u-99-1
sw4675B-ms98-a-0070,261.277625,261.467625,little,I,sd,u-99-1
sw4675B-ms98-a-0070,261.467625,261.767625,extra,I,sd,u-99-1
sw4675B-ms98-a-0070,261.767625,262.037625,money,I,sd,u-99-1
sw4675B-ms98-a-0070,262.037625,262.187625,so,B,sd,u-99-2
sw4675B-ms98-a-0070,262.187625,262.367625,that,I,sd,u-99-2
sw4675B-ms98-a-0070,262.367625,262.515125,was,I,sd,u-99-2
sw4675B-ms98-a-0070,262.771250,262.917625,you,I,sd,u-99-2
sw4675B-ms98-a-0070,262.917625,262.987625,know,I,sd,u-99-2
sw4675B-ms98-a-0070,262.987625,263.227625,nice,I,sd,u-99-2
sw4675B-ms98-a-0070,263.227625,263.357625,that,I,sd,u-99-2
sw4675B-ms98-a-0070,263.357625,263.387625,i,I,sd,u-99-2
sw4675B-ms98-a-0070,263.387625,263.687625,tripped,I,sd,u-99-2
sw4675B-ms98-a-0070,263.687625,263.847625,over,I,sd,u-99-2
sw4675B-ms98-a-0070,263.847625,264.007625,this,I,sd,u-99-2
sw4675B-ms98-a-0070,264.007625,264.627625,opportunity,I,sd,u-99-2
sw4675B-ms98-a-0070,264.627625,264.787625,and,B,sd,u-99-3
sw4675B-ms98-a-0070,264.787625,264.907625,you're,I,sd,u-99-3
sw4675B-ms98-a-0070,264.907625,265.167625,actually,I,sd,u-99-3
sw4675B-ms98-a-0070,265.167625,265.277625,my,I,sd,u-99-3
sw4675B-ms98-a-0070,265.277625,265.517625,first,I,sd,u-99-3
sw4675B-ms98-a-0070,265.517625,265.824625,call,I,sd,u-99-3
sw4675B-ms98-a-0071,266.718000,266.976500,yeah,B,ny,u-101-1
sw4675B-ms98-a-0072,268.304250,268.384250,i,B,sd,u-103-1
sw4675B-ms98-a-0072,268.384250,268.554250,had,I,sd,u-103-1
sw4675B-ms98-a-0072,268.554250,268.754250,not,I,sd,u-103-1
sw4675B-ms98-a-0072,268.814250,269.183875,um,I,sd,u-103-1
sw4675B-ms98-a-0073,270.040875,270.336250,done,I,sd,u-103-1
sw4675B-ms98-a-0074,271.582250,271.776750,i,B,sd,u-103-2
sw4675B-ms98-a-0074,271.776750,271.973250,i,I,sd,u-103-2
sw4675B-ms98-a-0074,271.973250,272.178875,guess,I,sd,u-103-2
sw4675B-ms98-a-0074,272.178875,272.549875,today's,O,,
sw4675B-ms98-a-0074,272.549875,272.839875,today's,B,+,u-105-1
sw4675B-ms98-a-0074,272.839875,272.961125,my,I,+,u-105-1
sw4675B-ms98-a-0074,272.961125,273.217250,first,I,+,u-105-1
sw4675B-ms98-a-0074,273.401750,273.694875,day,I,+,u-105-1
sw4675B-ms98-a-0074,273.913375,274.027125,that,I,+,u-105-1
sw4675B-ms98-a-0074,274.027125,274.087125,i,I,+,u-105-1
sw4675B-ms98-a-0074,274.087125,274.267125,could,I,+,u-105-1
sw4675B-ms98-a-0074,274.267125,274.477125,even,B,+,u-107-1
sw4675B-ms98-a-0074,274.477125,274.627125,do,I,+,u-107-1
sw4675B-ms98-a-0074,274.627125,274.867125,it,I,+,u-107-1
sw4675B-ms98-a-0075,275.610125,275.715000,yeah,B,ny,u-109-1
sw4675B-ms98-a-0075,275.715000,275.865000,you,B,sd^e,u-109-2
sw4675B-ms98-a-0075,275.865000,276.055000,beat,I,sd^e,u-109-2
sw4675B-ms98-a-0075,276.055000,276.125000,me,I,sd^e,u-109-2
sw4675B-ms98-a-0075,276.125000,276.275000,to,I,sd^e,u-109-2
sw4675B-ms98-a-0075,276.275000,276.335000,the,I,sd^e,u-109-2
sw4675B-ms98-a-0075,276.335000,276.725000,punch,I,sd^e,u-109-2
sw4675B-ms98-a-0075,276.725000,276.938250,here,I,sd^e,u-109-2
sw4675B-ms98-a-0076,277.312875,278.193250,[laughter],O,,
sw4675B-ms98-a-0077,279.212250,279.282250,i,B,sd,u-111-1
sw4675B-ms98-a-0077,279.282250,279.462250,was,I,sd,u-111-1
sw4675B-ms98-a-0077,279.462250,279.632250,i,I,sd,u-111-1
sw4675B-ms98-a-0077,279.632250,279.762250,was,I,sd,u-111-1
sw4675B-ms98-a-0077,279.762250,279.962250,about,I,sd,u-111-1
sw4675B-ms98-a-0077,279.962250,280.022250,to,I,sd,u-111-1
sw4675B-ms98-a-0077,280.022250,280.342250,call,I,sd,u-111-1
sw4675B-ms98-a-0077,280.342250,280.442250,to,I,sd,u-111-1
sw4675B-ms98-a-0077,280.442250,280.652250,get,I,sd,u-111-1
sw4675B-ms98-a-0077,280.652250,280.832250,to,I,sd,u-111-1
sw4675B-ms98-a-0077,280.892250,280.982250,see,I,sd,u-111-1
sw4675B-ms98-a-0077,280.982250,281.072250,if,I,sd,u-111-1
sw4675B-ms98-a-0077,281.072250,281.142250,i,I,sd,u-111-1
sw4675B-ms98-a-0077,281.142250,281.292250,could,I,sd,u-111-1
sw4675B-ms98-a-0077,281.292250,281.422250,get,I,sd,u-111-1
sw4675B-ms98-a-0077,281.422250,281.592250,on,I,sd,u-111-1
sw4675B-ms98-a-0077,281.592250,281.702250,with,I,sd,u-111-1
sw4675B-ms98-a-0077,281.702250,282.092250,somebody,I,sd,u-111-1
sw4675B-ms98-a-0077,282.092250,282.343000,so,B,%,u-111-2
sw4675B-ms98-a-0077,282.874125,282.992250,so,B,sv,u-113-1
sw4675B-ms98-a-0077,282.992250,283.152250,that,I,sv,u-113-1
sw4675B-ms98-a-0077,283.152250,283.272250,was,I,sv,u-113-1
sw4675B-ms98-a-0077,283.272250,283.627000,great,I,sv,u-113-1
sw4675B-ms98-a-0079,287.942750,288.042125,[vocalized-noise],O,,
sw4675B-ms98-a-0081,292.726250,293.065625,yeah,B,b,u-115-1
sw4675B-ms98-a-0083,295.451000,295.603625,yeah,B,b,u-117-1
sw4675B-ms98-a-0083,295.603625,295.763625,i,B,sd,u-117-2
sw4675B-ms98-a-0083,295.763625,296.031125,take,I,sd,u-117-2
sw4675B-ms98-a-0083,296.031125,296.183625,have,I,sd,u-117-2
sw4675B-ms98-a-0083,296.183625,296.313625,some,I,sd,u-117-2
sw4675B-ms98-a-0083,296.313625,296.493625,money,I,sd,u-117-2
sw4675B-ms98-a-0083,296.493625,296.767250,taken,I,sd,u-117-2
sw4675B-ms98-a-0083,296.767250,296.933000,out,I,sd,u-117-2
sw4675B-ms98-a-0083,296.933000,297.133625,[vocalized-noise],I,sd,u-117-2
sw4675B-ms98-a-0083,297.133625,297.273625,and,I,sd,u-117-2
sw4675B-ms98-a-0083,297.273625,297.413625,put,I,sd,u-117-2
sw4675B-ms98-a-0083,297.413625,297.533625,in,I,sd,u-117-2
sw4675B-ms98-a-0083,297.533625,297.596625,a,I,sd,u-117-2
sw4675B-ms98-a-0083,297.687125,298.553625,401K,O,,
