sw4002A-ms98-a-0002,0.890000,1.269625,[laughter-okay],O,,
sw4002A-ms98-a-0090,248.714875,249.195250,racing,I,sd,u-54-1
sw4002A-ms98-a-0090,249.195250,249.775250,green,I,sd,u-54-1
sw4002A-ms98-a-0090,249.775250,249.965250,with,I,sd,u-54-1
sw4002A-ms98-a-0090,249.965250,250.225250,real,I,sd,u-54-1
sw4002A-ms98-a-0090,250.225250,250.565250,wire,I,sd,u-54-1
sw4002A-ms98-a-0090,250.565250,251.025250,wheels,I,sd,u-54-1
sw4002A-ms98-a-0090,251.025250,251.155250,and,I,sd,u-54-1
sw4002A-ms98-a-0090,251.155250,251.235250,a,I,sd,u-54-1
sw4002A-ms98-a-0090,251.235250,251.525250,hard,I,sd,u-54-1
sw4002A-ms98-a-0090,251.525250,251.845250,top,I,sd,u-54-1
sw4002A-ms98-a-0090,251.845250,251.965250,and,I,sd,u-54-1
sw4002A-ms98-a-0090,251.965250,252.025250,a,I,sd,u-54-1
sw4002A-ms98-a-0090,252.025250,252.425250,soft,I,sd,u-54-1
sw4002A-ms98-a-0090,252.425250,252.713500,top,I,sd,u-54-1
sw4002A-ms98-a-0092,254.234875,254.632250,and,B,sd,u-56-1
sw4002A-ms98-a-0092,254.632250,254.832250,uh,I,sd,u-56-1
sw4002A-ms98-a-0092,254.832250,254.997500,i,I,sd,u-56-1
sw4002A-ms98-a-0092,254.997500,255.232250,drove,I,sd,u-56-1
sw4002A-ms98-a-0092,255.232250,255.382250,it,I,sd,u-56-1
sw4002A-ms98-a-0092,255.382250,255.886000,mostly,I,sd,u-56-1
sw4002A-ms98-a-0093,256.961750,257.273875,and,B,%,u-58-1
sw4002A-ms98-a-0094,258.622625,259.011250,yeah,B,aa,u-60-1
sw4002A-ms98-a-0094,259.011250,259.191250,it,B,aa,u-60-2
sw4002A-ms98-a-0094,259.191250,259.441250,really,I,aa,u-60-2
sw4002A-ms98-a-0094,259.441250,259.910500,was,I,aa,u-60-2
sw4002A-ms98-a-0094,260.042250,260.181250,my,B,sd,u-60-3
sw4002A-ms98-a-0094,260.181250,260.521250,husband,I,sd,u-60-3
sw4002A-ms98-a-0094,260.521250,260.671250,was,I,sd,u-60-3
sw4002A-ms98-a-0094,260.671250,260.801250,in,I,sd,u-60-3
sw4002A-ms98-a-0094,260.801250,260.901500,the,I,sd,u-60-3
sw4002A-ms98-a-0094,260.901500,261.141250,Air,I,sd,u-60-3
sw4002A-ms98-a-0094,261.141250,261.450250,Force,I,sd,u-60-3
sw4002A-ms98-a-0095,262.585375,262.815375,and,B,sd,u-60-4
sw4002A-ms98-a-0095,262.815375,262.925375,we,I,sd,u-60-4
sw4002A-ms98-a-0095,262.925375,263.125375,got,I,sd,u-60-4
sw4002A-ms98-a-0095,263.125375,263.585375,transferred,I,sd,u-60-4
sw4002A-ms98-a-0095,263.585375,263.655375,to,I,sd,u-60-4
sw4002A-ms98-a-0095,263.655375,264.250625,Okinawa,I,sd,u-60-4
sw4002A-ms98-a-0096,265.253375,265.803750,so,B,sd,u-62-1
sw4002A-ms98-a-0096,265.969375,266.356000,uh,I,sd,u-62-1
sw4002A-ms98-a-0096,266.657375,266.763375,we,I,sd,u-62-1
sw4002A-ms98-a-0096,266.763375,266.973375,had,I,sd,u-62-1
sw4002A-ms98-a-0096,266.973375,267.123375,to,I,sd,u-62-1
sw4002A-ms98-a-0096,267.123375,267.429375,sell,I,sd,u-62-1
sw4002A-ms98-a-0096,267.851250,268.013375,it,I,sd,u-62-1
sw4002A-ms98-a-0096,268.013375,268.073375,whi[ch]-,O,,
sw4002A-ms98-a-0096,268.073375,268.391375,which,B,sd,u-62-2
sw4002A-ms98-a-0096,268.493500,268.583875,re[ally]-,I,sd,u-62-2
sw4002A-ms98-a-0096,268.583875,268.923375,[laughter-really],I,sd,u-62-2
sw4002A-ms98-a-0096,268.923375,269.249750,[laughter-tore],I,sd,u-62-2
sw4002A-ms98-a-0096,269.249750,269.472000,me,I,sd,u-62-2
sw4002A-ms98-a-0096,269.472000,269.964000,up,I,sd,u-62-2
sw4002A-ms98-a-0096,269.964000,270.657000,[laughter],O,,
sw4002A-ms98-a-0097,271.600875,271.927625,because_1,O,,
sw4002A-ms98-a-0097,272.026000,272.277750,uh,B,sv,u-64-1
sw4002A-ms98-a-0097,272.277750,272.637625,it,I,sv,u-64-1
sw4002A-ms98-a-0097,272.637625,272.856125,w[as]-,I,sv,u-64-1
sw4002A-ms98-a-0097,272.856125,273.000875,it,I,sv,u-64-1
sw4002A-ms98-a-0097,273.000875,273.140875,was,I,sv,u-64-1
sw4002A-ms98-a-0097,273.140875,273.430875,great,I,sv,u-64-1
sw4002A-ms98-a-0097,273.430875,273.991375,fun,I,sv,u-64-1
sw4002A-ms98-a-0097,274.673125,274.910875,and,B,sd,u-64-2
sw4002A-ms98-a-0097,274.910875,275.274500,then,I,sd,u-64-2
sw4002A-ms98-a-0097,275.274500,275.553250,uh,I,sd,u-64-2
sw4002A-ms98-a-0097,275.553250,275.770875,when,I,sd,u-64-2
sw4002A-ms98-a-0097,275.770875,275.850875,we,I,sd,u-64-2
sw4002A-ms98-a-0097,275.850875,276.060875,got,I,sd,u-64-2
sw4002A-ms98-a-0097,276.060875,276.120875,to,I,sd,u-64-2
sw4002A-ms98-a-0097,276.120875,276.750875,Okinawa,I,sd,u-64-2
sw4002A-ms98-a-0097,276.750875,276.896250,b[ought]-,I,sd,u-64-2
sw4002A-ms98-a-0097,277.077000,277.310875,well,I,sd,u-64-2
sw4002A-ms98-a-0097,277.310875,277.473750,we,I,sd,u-64-2
sw4002A-ms98-a-0097,277.473750,277.760000,bought,I,sd,u-64-2
sw4002A-ms98-a-0097,277.760000,277.962375,a,I,sd,u-64-2
sw4002A-ms98-a-0097,278.150750,278.480875,second,I,sd,u-64-2
sw4002A-ms98-a-0097,278.480875,278.810875,hand,I,sd,u-64-2
sw4002A-ms98-a-0097,278.810875,278.961250,we,B,sd,u-64-3
sw4002A-ms98-a-0097,279.729625,280.149375,uh,I,sd,u-64-3
sw4002A-ms98-a-0098,280.947125,281.114250,we,I,sd,u-64-3
sw4002A-ms98-a-0098,281.114250,281.646750,decided,I,sd,u-64-3
sw4002A-ms98-a-0098,281.646750,281.986750,that,I,sd,u-64-3
sw4002A-ms98-a-0098,281.986750,282.155875,uh,I,sd,u-64-3
sw4002A-ms98-a-0098,282.291500,282.396750,we,B,sd,u-64-4
sw4002A-ms98-a-0098,282.396750,282.596500,had,I,sd,u-64-4
sw4002A-ms98-a-0098,282.596500,282.798500,that,I,sd,u-64-4
sw4002A-ms98-a-0098,282.798500,282.975500,s[ixty]-,I,sd,u-64-4
sw4002A-ms98-a-0098,282.975500,283.402250,uh,I,sd,u-64-4
sw4002A-ms98-a-0098,283.515250,283.836750,sixty,I,sd,u-64-4
sw4002A-ms98-a-0098,283.836750,284.166750,five,I,sd,u-64-4
sw4002A-ms98-a-0098,284.166750,284.856750,Oldsmobile,I,sd,u-64-4
sw4002A-ms98-a-0098,284.856750,285.076750,and,B,sd,u-64-5
sw4002A-ms98-a-0098,285.076750,285.219000,it,I,sd,u-64-5
sw4002A-ms98-a-0098,285.313125,285.446750,and,I,sd,u-64-5
sw4002A-ms98-a-0098,285.446750,285.546750,it,I,sd,u-64-5
sw4002A-ms98-a-0098,285.546750,285.666750,was,I,sd,u-64-5
sw4002A-ms98-a-0098,285.666750,285.946750,just,I,sd,u-64-5
sw4002A-ms98-a-0098,285.946750,286.116750,too,I,sd,u-64-5
sw4002A-ms98-a-0098,286.116750,286.446750,big,I,sd,u-64-5
sw4002A-ms98-a-0098,286.446750,286.731250,so,B,sd,u-64-6
sw4002A-ms98-a-0098,287.315000,287.426750,we,I,sd,u-64-6
sw4002A-ms98-a-0098,287.426750,287.596750,we,I,sd,u-64-6
sw4002A-ms98-a-0098,287.596750,287.896750,sold,I,sd,u-64-6
sw4002A-ms98-a-0098,287.896750,288.026750,it,I,sd,u-64-6
sw4002A-ms98-a-0098,288.026750,288.136750,to,I,sd,u-64-6
sw4002A-ms98-a-0098,288.136750,288.166750,a,I,sd,u-64-6
sw4002A-ms98-a-0098,288.166750,288.436750,fellow,I,sd,u-64-6
sw4002A-ms98-a-0098,288.436750,288.526750,who,I,sd,u-64-6
sw4002A-ms98-a-0098,288.526750,288.646750,was,I,sd,u-64-6
sw4002A-ms98-a-0098,288.646750,288.926750,coming,I,sd,u-64-6
sw4002A-ms98-a-0098,288.926750,289.146750,back,I,sd,u-64-6
sw4002A-ms98-a-0098,289.146750,289.246750,to,I,sd,u-64-6
sw4002A-ms98-a-0098,289.246750,289.326750,the,I,sd,u-64-6
sw4002A-ms98-a-0098,289.326750,289.850750,States,I,sd,u-64-6
sw4002A-ms98-a-0098,290.020250,290.156750,and,B,sd,u-64-7
sw4002A-ms98-a-0098,290.156750,290.246750,we,I,sd,u-64-7
sw4002A-ms98-a-0098,290.246750,290.549375,got,I,sd,u-64-7
sw4002A-ms98-a-0098,290.745250,290.816750,a,I,sd,u-64-7
sw4002A-ms98-a-0098,290.816750,290.986750,little,I,sd,u-64-7
sw4002A-ms98-a-0098,290.986750,291.567750,Fiat,I,sd,u-64-7
sw4002A-ms98-a-0099,292.617750,292.881375,uh,I,sd,u-64-7
sw4002A-ms98-a-0099,292.993500,293.167750,and,I,sd,u-64-7
sw4002A-ms98-a-0099,293.167750,293.290500,a,I,sd,u-64-7
sw4002A-ms98-a-0099,293.407250,293.537750,and,I,sd,u-64-7
sw4002A-ms98-a-0099,293.537750,293.627750,the,I,sd,u-64-7
sw4002A-ms98-a-0099,293.627750,294.077750,little,I,sd,u-64-7
sw4002A-ms98-a-0099,294.077750,294.371875,uh,I,sd,u-64-7
sw4002A-ms98-a-0099,295.117625,295.427750,forty,I,sd,u-64-7
sw4002A-ms98-a-0099,295.427750,295.747750,horse,I,sd,u-64-7
sw4002A-ms98-a-0099,295.747750,296.057750,power,I,sd,u-64-7
sw4002A-ms98-a-0099,296.057750,296.587750,Mazda,I,sd,u-64-7
sw4002A-ms98-a-0099,296.587750,296.827750,four,I,sd,u-64-7
sw4002A-ms98-a-0099,296.827750,297.067750,door,I,sd,u-64-7
sw4002A-ms98-a-0099,297.067750,297.612750,sedan,I,sd,u-64-7
