sw3908A-ms98-a-0001,0.250000,0.610000,Allen,B,o,u-1-1
sw3908A-ms98-a-0044,231.541875,232.281875,responsibility,I,sd,u-49-2
sw3908A-ms98-a-0044,232.281875,232.461875,of,I,sd,u-49-2
sw3908A-ms98-a-0044,232.461875,232.691875,earning,I,sd,u-49-2
sw3908A-ms98-a-0044,232.691875,232.771875,the,I,sd,u-49-2
sw3908A-ms98-a-0044,232.771875,233.141875,money,I,sd,u-49-2
sw3908A-ms98-a-0045,233.772375,234.079750,bringing,I,sd,u-49-2
sw3908A-ms98-a-0045,234.079750,234.409750,in,I,sd,u-49-2
sw3908A-ms98-a-0045,234.409750,234.719750,whatever,I,sd,u-49-2
sw3908A-ms98-a-0045,234.719750,234.839750,they,I,sd,u-49-2
sw3908A-ms98-a-0045,234.839750,235.239750,needed,I,sd,u-49-2
sw3908A-ms98-a-0045,235.399750,235.665000,and,I,sd,u-49-2
sw3908A-ms98-a-0045,236.263875,236.419750,and,I,sd,u-49-2
sw3908A-ms98-a-0045,236.419750,236.889750,protecting,I,sd,u-49-2
sw3908A-ms98-a-0045,236.889750,236.979750,the,I,sd,u-49-2
sw3908A-ms98-a-0045,236.979750,237.549750,household,I,sd,u-49-2
sw3908A-ms98-a-0045,237.549750,237.659750,and,B,sd,u-49-3
sw3908A-ms98-a-0045,237.659750,237.859750,it,I,sd,u-49-3
sw3908A-ms98-a-0045,237.859750,238.009750,and,I,sd,u-49-3
sw3908A-ms98-a-0045,238.009750,238.119750,it,I,sd,u-49-3
sw3908A-ms98-a-0045,238.119750,238.379750,really,I,sd,u-49-3
sw3908A-ms98-a-0045,238.379750,238.679750,still,I,sd,u-49-3
sw3908A-ms98-a-0045,238.679750,239.099750,bothers,I,sd,u-49-3
sw3908A-ms98-a-0045,239.099750,239.309750,me,I,sd,u-49-3
sw3908A-ms98-a-0045,239.309750,239.489750,and,O,,
sw3908A-ms98-a-0045,239.489750,239.609750,i,B,sd,u-49-4
sw3908A-ms98-a-0045,239.609750,240.009750,spent,I,sd,u-49-4
sw3908A-ms98-a-0045,240.009750,240.249750,plenty,I,sd,u-49-4
sw3908A-ms98-a-0045,240.249750,240.309750,of,I,sd,u-49-4
sw3908A-ms98-a-0045,240.309750,240.489750,years,I,sd,u-49-4
sw3908A-ms98-a-0045,240.489750,240.549750,in,I,sd,u-49-4
sw3908A-ms98-a-0045,240.549750,240.609750,the,I,sd,u-49-4
sw3908A-ms98-a-0045,240.609750,241.039750,service,I,sd,u-49-4
sw3908A-ms98-a-0046,241.443500,241.573500,but,B,sd,u-49-5
sw3908A-ms98-a-0046,241.573500,241.633500,it,I,sd,u-49-5
sw3908A-ms98-a-0046,241.633500,241.843500,still,I,sd,u-49-5
sw3908A-ms98-a-0046,241.843500,242.233500,bothers,I,sd,u-49-5
sw3908A-ms98-a-0046,242.233500,242.453500,me,I,sd,u-49-5
sw3908A-ms98-a-0046,242.453500,242.623500,to,I,sd,u-49-5
sw3908A-ms98-a-0046,242.623500,242.957250,see,I,sd,u-49-5
sw3908A-ms98-a-0046,243.254750,243.793500,ladies,I,sd,u-49-5
sw3908A-ms98-a-0046,243.793500,244.003500,out,I,sd,u-49-5
sw3908A-ms98-a-0046,244.003500,244.233500,in,I,sd,u-49-5
sw3908A-ms98-a-0046,244.463500,244.993500,combat,I,sd,u-49-5
sw3908A-ms98-a-0046,245.383500,245.483500,or,I,sd,u-49-5
sw3908A-ms98-a-0046,245.483500,246.053500,actually,I,sd,u-49-5
sw3908A-ms98-a-0046,246.053500,246.293500,out,I,sd,u-49-5
sw3908A-ms98-a-0046,246.293500,246.503500,in,I,sd,u-49-5
sw3908A-ms98-a-0046,246.503500,246.923500,places,I,sd,u-49-5
sw3908A-ms98-a-0046,246.923500,247.197125,where,I,sd,u-49-5
sw3908A-ms98-a-0046,247.615250,247.753500,there's,I,sd,u-49-5
sw3908A-ms98-a-0046,247.753500,247.893500,two,I,sd,u-49-5
sw3908A-ms98-a-0046,247.893500,247.963500,or,I,sd,u-49-5
sw3908A-ms98-a-0046,247.963500,248.213500,three,I,sd,u-49-5
sw3908A-ms98-a-0046,248.213500,248.373500,of,I,sd,u-49-5
sw3908A-ms98-a-0046,248.373500,248.453500,them_1,I,sd,u-49-5
sw3908A-ms98-a-0046,248.453500,248.653500,there,I,sd,u-49-5
sw3908A-ms98-a-0046,248.653500,248.763500,and,I,sd,u-49-5
sw3908A-ms98-a-0046,248.763500,249.043500,five,I,sd,u-49-5
sw3908A-ms98-a-0046,249.043500,249.273500,hundred,I,sd,u-49-5
sw3908A-ms98-a-0046,249.273500,249.433500,men,I,sd,u-49-5
sw3908A-ms98-a-0046,249.433500,249.733500,around,I,sd,u-49-5
sw3908A-ms98-a-0046,249.733500,249.823500,them_1,O,,
sw3908A-ms98-a-0046,249.823500,250.023500,and,O,,
sw3908A-ms98-a-0046,250.023500,250.143500,how,B,qh,u-49-6
sw3908A-ms98-a-0046,250.143500,250.213500,are,I,qh,u-49-6
sw3908A-ms98-a-0046,250.213500,250.303500,they,I,qh,u-49-6
sw3908A-ms98-a-0046,250.303500,250.483500,gonna,I,qh,u-49-6
sw3908A-ms98-a-0046,250.483500,250.853500,protect,I,qh,u-49-6
sw3908A-ms98-a-0046,250.853500,251.363500,themselves,I,qh,u-49-6
sw3908A-ms98-a-0046,251.363500,251.453500,so,I,qh,u-49-6
sw3908A-ms98-a-0046,251.453500,251.563500,to,I,qh,u-49-6
sw3908A-ms98-a-0046,251.563500,251.906500,speak,I,qh,u-49-6
sw3908A-ms98-a-0047,252.294250,252.434250,it,B,sv,u-51-1
sw3908A-ms98-a-0047,252.434250,252.684250,puts,I,sv,u-51-1
sw3908A-ms98-a-0047,252.684250,252.844250,them,I,sv,u-51-1
sw3908A-ms98-a-0047,252.844250,252.954250,in,I,sv,u-51-1
sw3908A-ms98-a-0047,252.954250,253.064250,a,I,sv,u-51-1
sw3908A-ms98-a-0047,253.064250,253.414250,very,I,sv,u-51-1
sw3908A-ms98-a-0047,253.414250,253.694250,bad,I,sv,u-51-1
sw3908A-ms98-a-0047,253.694250,254.334250,situation,I,sv,u-51-1
sw3908A-ms98-a-0047,254.334250,254.394250,i,B,sv,u-51-2
sw3908A-ms98-a-0047,254.394250,254.444250,i,I,sv,u-51-2
sw3908A-ms98-a-0047,254.444250,254.794250,i,I,sv,u-51-2
sw3908A-ms98-a-0047,255.084250,255.394250,really,I,sv,u-51-2
sw3908A-ms98-a-0047,255.394250,255.594250,don't,I,sv,u-51-2
sw3908A-ms98-a-0047,255.594250,255.724250,go,I,sv,u-51-2
sw3908A-ms98-a-0047,255.724250,255.824250,for,I,sv,u-51-2
sw3908A-ms98-a-0047,255.824250,256.045625,that,I,sv,u-51-2
sw3908A-ms98-a-0049,263.460250,263.770250,um-hum,B,b,u-53-1
sw3908A-ms98-a-0051,270.058125,270.358125,yep,B,b,u-55-1
sw3908A-ms98-a-0053,273.991375,274.231375,well,B,o@,u-57-1
sw3908A-ms98-a-0053,274.231375,274.441375,that's,I,o@,u-57-1
sw3908A-ms98-a-0053,274.441375,274.611375,not,I,o@,u-57-1
sw3908A-ms98-a-0053,274.611375,274.901375,fair,I,o@,u-57-1
sw3908A-ms98-a-0053,274.901375,275.101375,because,I,o@,u-57-1
sw3908A-ms98-a-0053,275.101375,275.161375,i,I,o@,u-57-1
sw3908A-ms98-a-0053,275.161375,275.321375,te[ll]-,I,o@,u-57-1
sw3908A-ms98-a-0053,275.321375,275.351375,i,I,o@,u-57-1
sw3908A-ms98-a-0053,275.351375,275.501375,can,I,o@,u-57-1
sw3908A-ms98-a-0053,275.501375,275.681375,tell,I,o@,u-57-1
sw3908A-ms98-a-0053,275.681375,275.771375,you,I,o@,u-57-1
sw3908A-ms98-a-0053,275.771375,275.881375,one,I,o@,u-57-1
sw3908A-ms98-a-0053,275.881375,276.161375,thing,I,o@,u-57-1
sw3908A-ms98-a-0053,276.161375,276.831375,stay,I,o@,u-57-1
sw3908A-ms98-a-0053,276.831375,277.061375,home,I,o@,u-57-1
sw3908A-ms98-a-0053,277.061375,277.611375,sometime,I,o@,u-57-1
sw3908A-ms98-a-0053,277.611375,277.731375,and,I,o@,u-57-1
sw3908A-ms98-a-0053,277.731375,278.011375,start,I,o@,u-57-1
sw3908A-ms98-a-0053,278.127375,278.202375,uh,I,o@,u-57-1
sw3908A-ms98-a-0054,278.715375,278.963625,doing,I,o@,u-57-1
sw3908A-ms98-a-0054,278.963625,279.153625,some,I,o@,u-57-1
sw3908A-ms98-a-0054,279.153625,279.243625,of,I,o@,u-57-1
sw3908A-ms98-a-0054,279.243625,279.433625,those,I,o@,u-57-1
sw3908A-ms98-a-0054,279.433625,279.783625,jobs,I,o@,u-57-1
sw3908A-ms98-a-0054,279.783625,279.913625,that,I,o@,u-57-1
sw3908A-ms98-a-0054,279.913625,280.143625,she's,I,o@,u-57-1
sw3908A-ms98-a-0054,280.143625,280.383625,been,I,o@,u-57-1
sw3908A-ms98-a-0054,280.383625,280.803625,handling,I,o@,u-57-1
sw3908A-ms98-a-0054,281.033625,281.133625,and,B,sv,u-57-2
sw3908A-ms98-a-0054,281.133625,281.263625,you're,I,sv,u-57-2
sw3908A-ms98-a-0054,281.263625,281.723625,[laughter-gonna],I,sv,u-57-2
sw3908A-ms98-a-0054,281.723625,282.038750,[laughter-learn],I,sv,u-57-2
sw3908A-ms98-a-0054,282.362625,282.493625,there's,I,sv,u-57-2
sw3908A-ms98-a-0054,282.493625,282.573625,a,I,sv,u-57-2
sw3908A-ms98-a-0054,282.573625,282.773625,lot,I,sv,u-57-2
sw3908A-ms98-a-0054,282.773625,282.843625,of,I,sv,u-57-2
sw3908A-ms98-a-0054,282.843625,283.643625,responsibility,I,sv,u-57-2
sw3908A-ms98-a-0054,283.643625,283.703625,in,I,sv,u-57-2
sw3908A-ms98-a-0054,283.703625,283.903625,just,I,sv,u-57-2
sw3908A-ms98-a-0054,283.903625,284.183625,keeping,I,sv,u-57-2
sw3908A-ms98-a-0054,284.183625,284.263625,a,I,sv,u-57-2
sw3908A-ms98-a-0054,284.263625,284.483625,home,I,sv,u-57-2
sw3908A-ms98-a-0054,284.483625,284.803625,going,I,sv,u-57-2
sw3908A-ms98-a-0055,286.177375,286.642375,[vocalized-noise],O,,
sw3908A-ms98-a-0057,288.632875,289.042750,yeah,B,b,u-59-1
sw3908A-ms98-a-0058,290.399125,290.737000,yeah,B,b,u-61-1
sw3908A-ms98-a-0059,292.339125,292.489125,and,B,sv,u-63-1
sw3908A-ms98-a-0059,292.489125,292.569125,if,I,sv,u-63-1
sw3908A-ms98-a-0059,292.569125,292.669125,they,I,sv,u-63-1
sw3908A-ms98-a-0059,292.669125,292.829125,go,I,sv,u-63-1
sw3908A-ms98-a-0059,292.829125,292.889125,in,I,sv,u-63-1
sw3908A-ms98-a-0059,292.889125,292.949125,the,I,sv,u-63-1
sw3908A-ms98-a-0059,292.949125,293.149125,work,I,sv,u-63-1
sw3908A-ms98-a-0059,293.149125,293.389125,force,I,sv,u-63-1
sw3908A-ms98-a-0059,293.389125,293.479125,they,I,sv,u-63-1
sw3908A-ms98-a-0059,293.479125,293.699125,should,I,sv,u-63-1
sw3908A-ms98-a-0059,293.699125,293.819125,be,I,sv,u-63-1
sw3908A-ms98-a-0059,293.819125,294.279125,treated,I,sv,u-63-1
sw3908A-ms98-a-0059,294.659125,294.789125,as,I,sv,u-63-1
sw3908A-ms98-a-0059,294.789125,295.419125,nicely,I,sv,u-63-1
sw3908A-ms98-a-0059,295.419125,295.689125,as,B,+,u-65-1
sw3908A-ms98-a-0059,295.689125,295.859125,as,I,+,u-65-1
sw3908A-ms98-a-0059,295.859125,296.189125,well,I,+,u-65-1
sw3908A-ms98-a-0059,296.189125,296.319125,as,I,+,u-65-1
sw3908A-ms98-a-0059,296.319125,296.479125,a,I,+,u-65-1
sw3908A-ms98-a-0059,296.479125,296.879125,man,I,+,u-65-1
sw3908A-ms98-a-0059,296.879125,296.969125,or,I,+,u-65-1
sw3908A-ms98-a-0059,296.969125,297.239125,any,I,+,u-65-1
sw3908A-ms98-a-0059,297.239125,297.399125,other,I,+,u-65-1
sw3908A-ms98-a-0059,297.399125,297.877625,person,I,+,u-65-1
sw3908A-ms98-a-0059,298.291875,298.609125,and,B,%,u-65-2
sw3908A-ms98-a-0059,298.609125,298.871750,uh,I,%,u-65-2
sw3908A-ms98-a-0059,299.189750,299.459125,not,I,%,u-65-2
sw3908A-ms98-a-0059,299.459125,299.479125,[vocalized-noise],O,,
