sw2776A-ms98-a-0002,2.398000,2.848000,great,B,ba,u-2-1
sw2776A-ms98-a-0032,256.769875,256.989875,where,I,sv,u-36-1
sw2776A-ms98-a-0032,256.989875,257.019875,i,I,sv,u-36-1
sw2776A-ms98-a-0032,257.019875,257.179875,would,I,sv,u-36-1
sw2776A-ms98-a-0032,257.179875,257.269875,have,I,sv,u-36-1
sw2776A-ms98-a-0032,257.269875,257.419875,been,I,sv,u-36-1
sw2776A-ms98-a-0032,257.419875,257.519875,if,I,sv,u-36-1
sw2776A-ms98-a-0032,257.519875,257.599875,i,I,sv,u-36-1
sw2776A-ms98-a-0032,257.599875,257.789875,hadn't,I,sv,u-36-1
sw2776A-ms98-a-0032,257.789875,258.049875,taken,I,sv,u-36-1
sw2776A-ms98-a-0032,258.049875,258.139875,it,I,sv,u-36-1
sw2776A-ms98-a-0033,259.142875,259.262875,so,O,,
sw2776A-ms98-a-0033,259.262875,259.332875,if,B,sv,u-38-1
sw2776A-ms98-a-0033,259.332875,259.392875,you,I,sv,u-38-1
sw2776A-ms98-a-0033,259.392875,259.572875,kind,I,sv,u-38-1
sw2776A-ms98-a-0033,259.572875,259.662875,of,I,sv,u-38-1
sw2776A-ms98-a-0033,259.662875,259.842875,think,I,sv,u-38-1
sw2776A-ms98-a-0033,259.842875,259.932875,of,I,sv,u-38-1
sw2776A-ms98-a-0033,259.932875,260.012875,it,I,sv,u-38-1
sw2776A-ms98-a-0033,260.012875,260.212875,as,I,sv,u-38-1
sw2776A-ms98-a-0033,260.212875,260.292875,a,I,sv,u-38-1
sw2776A-ms98-a-0033,260.492875,260.972875,rationale,I,sv,u-38-1
sw2776A-ms98-a-0033,260.972875,261.192875,like,I,sv,u-38-1
sw2776A-ms98-a-0033,261.192875,261.372875,that,I,sv,u-38-1
sw2776A-ms98-a-0033,261.372875,261.432875,it,I,sv,u-38-1
sw2776A-ms98-a-0033,261.432875,261.662875,works,I,sv,u-38-1
sw2776A-ms98-a-0033,261.662875,261.812875,out,I,sv,u-38-1
sw2776A-ms98-a-0033,261.812875,262.182875,fine,I,sv,u-38-1
sw2776A-ms98-a-0035,272.100125,272.540125,um,B,b,u-40-1
sw2776A-ms98-a-0037,311.513750,311.843750,yeah,B,b,u-42-1
sw2776A-ms98-a-0039,314.177500,314.507500,oh,B,sd,u-44-1
sw2776A-ms98-a-0039,314.507500,314.717500,i've,I,sd,u-44-1
sw2776A-ms98-a-0039,315.407500,315.587500,done,I,sd,u-44-1
sw2776A-ms98-a-0039,315.587500,315.617500,a,I,sd,u-44-1
sw2776A-ms98-a-0039,315.617500,315.787500,lot,I,sd,u-44-1
sw2776A-ms98-a-0039,315.787500,315.847500,of,I,sd,u-44-1
sw2776A-ms98-a-0039,315.847500,316.287500,study,I,sd,u-44-1
sw2776A-ms98-a-0039,316.287500,316.427500,over,I,sd,u-44-1
sw2776A-ms98-a-0039,316.427500,316.487500,the,I,sd,u-44-1
sw2776A-ms98-a-0039,316.487500,316.897500,years,I,sd,u-44-1
sw2776A-ms98-a-0039,316.897500,316.987500,and,B,sd,u-44-2
sw2776A-ms98-a-0039,316.987500,317.027500,i,I,sd,u-44-2
sw2776A-ms98-a-0039,317.027500,317.387500,found,I,sd,u-44-2
sw2776A-ms98-a-0039,317.387500,317.697500,that,I,sd,u-44-2
sw2776A-ms98-a-0039,317.697500,318.077500,uh,I,sd,u-44-2
sw2776A-ms98-a-0040,318.870500,319.170500,probably,I,sd,u-44-2
sw2776A-ms98-a-0040,319.170500,319.320500,one,I,sd,u-44-2
sw2776A-ms98-a-0040,319.320500,319.400500,of,I,sd,u-44-2
sw2776A-ms98-a-0040,319.400500,319.460500,the,I,sd,u-44-2
sw2776A-ms98-a-0040,319.460500,319.940500,worst,I,sd,u-44-2
sw2776A-ms98-a-0040,319.940500,320.450500,things,I,sd,u-44-2
sw2776A-ms98-a-0040,320.740500,321.110500,that,I,sd,u-44-2
sw2776A-ms98-a-0040,321.110500,321.360500,uh,I,sd,u-44-2
sw2776A-ms98-a-0040,321.360500,321.760500,anybody,I,sd,u-44-2
sw2776A-ms98-a-0040,321.760500,321.910500,can,I,sd,u-44-2
sw2776A-ms98-a-0040,321.910500,322.460500,ingest,I,sd,u-44-2
sw2776A-ms98-a-0040,322.460500,322.550500,is,I,sd,u-44-2
sw2776A-ms98-a-0040,322.550500,323.150500,chlorinated,I,sd,u-44-2
sw2776A-ms98-a-0040,323.150500,323.430500,water,I,sd,u-44-2
sw2776A-ms98-a-0041,324.678500,324.948500,yeah,B,b,u-46-1
sw2776A-ms98-a-0041,325.238500,325.828500,um,B,sd,u-46-2
sw2776A-ms98-a-0041,326.528500,326.918500,the,I,sd,u-46-2
sw2776A-ms98-a-0041,327.108500,327.558500,research,I,sd,u-46-2
sw2776A-ms98-a-0041,327.558500,327.838500,i've,I,sd,u-46-2
sw2776A-ms98-a-0041,327.838500,328.168500,done,I,sd,u-46-2
sw2776A-ms98-a-0041,328.458500,328.788500,and,B,sd,u-46-3
sw2776A-ms98-a-0041,328.848500,329.068500,uh,I,sd,u-46-3
sw2776A-ms98-a-0041,329.258500,329.448500,i've,I,sd,u-46-3
sw2776A-ms98-a-0041,329.638500,329.998500,actually,I,sd,u-46-3
sw2776A-ms98-a-0041,329.998500,330.218500,been,I,sd,u-46-3
sw2776A-ms98-a-0041,330.218500,330.468500,in,I,sd,u-46-3
sw2776A-ms98-a-0041,330.468500,330.648500,the,I,sd,u-46-3
sw2776A-ms98-a-0041,330.648500,331.028500,drinking,I,sd,u-46-3
sw2776A-ms98-a-0041,331.028500,331.358500,watering,I,sd,u-46-3
sw2776A-ms98-a-0041,331.358500,331.578500,business,I,sd,u-46-3
sw2776A-ms98-a-0041,331.578500,331.788500,since,I,sd,u-46-3
sw2776A-ms98-a-0041,331.788500,331.998500,eighty,I,sd,u-46-3
sw2776A-ms98-a-0041,331.998500,332.338500,three,I,sd,u-46-3
sw2776A-ms98-a-0041,332.338500,332.458500,and,B,sd,u-48-1
sw2776A-ms98-a-0042,334.759750,335.149750,it's,I,sd,u-48-1
sw2776A-ms98-a-0042,335.149750,335.439750,it's,I,sd,u-48-1
sw2776A-ms98-a-0042,335.439750,336.129750,amazing,I,sd,u-48-1
sw2776A-ms98-a-0042,336.199750,336.579750,that,I,sd,u-48-1
sw2776A-ms98-a-0042,336.579750,336.709750,uh,I,sd,u-48-1
sw2776A-ms98-a-0042,336.709750,336.829750,you,I,sd,u-48-1
sw2776A-ms98-a-0042,336.829750,336.899750,know,I,sd,u-48-1
sw2776A-ms98-a-0042,336.899750,337.099750,like,I,sd,u-48-1
sw2776A-ms98-a-0042,337.099750,337.429750,prior,I,sd,u-48-1
sw2776A-ms98-a-0042,337.429750,337.499750,to,I,sd,u-48-1
sw2776A-ms98-a-0042,337.499750,337.589750,like,I,sd,u-48-1
sw2776A-ms98-a-0042,337.589750,338.329750,nineteen,I,sd,u-48-1
sw2776A-ms98-a-0042,338.829750,339.269750,twenty,I,sd,u-48-1
sw2776A-ms98-a-0042,339.269750,339.449750,there,I,sd,u-48-1
sw2776A-ms98-a-0042,339.449750,339.779750,were,I,sd,u-48-1
sw2776A-ms98-a-0042,339.779750,339.949750,n[ot]-,I,sd,u-48-1
sw2776A-ms98-a-0042,340.159750,340.519750,very,I,sd,u-48-1
sw2776A-ms98-a-0042,340.519750,340.839750,few,I,sd,u-48-1
sw2776A-ms98-a-0042,340.839750,341.079750,heart,I,sd,u-48-1
sw2776A-ms98-a-0042,341.079750,341.779750,attacks,I,sd,u-48-1
sw2776A-ms98-a-0043,342.172500,342.292500,there,B,sd,u-50-1
sw2776A-ms98-a-0043,342.292500,342.402500,were,I,sd,u-50-1
sw2776A-ms98-a-0043,342.402500,342.782500,none,I,sd,u-50-1
sw2776A-ms98-a-0043,342.782500,343.052500,prior,I,sd,u-50-1
sw2776A-ms98-a-0043,343.052500,343.142500,to,I,sd,u-50-1
sw2776A-ms98-a-0043,343.142500,343.522500,nineteen,I,sd,u-50-1
sw2776A-ms98-a-0043,343.522500,343.872500,hundred,I,sd,u-50-1
sw2776A-ms98-a-0043,343.932500,344.122500,well,B,sd,u-50-2
sw2776A-ms98-a-0043,344.122500,344.242500,in,I,sd,u-50-2
sw2776A-ms98-a-0043,344.242500,344.622500,nineteen,I,sd,u-50-2
sw2776A-ms98-a-0043,344.622500,344.732500,oh,I,sd,u-50-2
sw2776A-ms98-a-0043,344.832500,345.172500,three,I,sd,u-50-2
sw2776A-ms98-a-0043,345.172500,345.302500,they,I,sd,u-50-2
sw2776A-ms98-a-0043,345.302500,345.642500,started,I,sd,u-50-2
sw2776A-ms98-a-0043,345.642500,346.312500,experimenting,I,sd,u-50-2
sw2776A-ms98-a-0043,346.312500,346.402500,with,I,sd,u-50-2
sw2776A-ms98-a-0043,346.402500,346.962500,chlorinating,I,sd,u-50-2
sw2776A-ms98-a-0043,346.962500,347.022500,the,I,sd,u-50-2
sw2776A-ms98-a-0043,347.022500,347.272500,water,I,sd,u-50-2
sw2776A-ms98-a-0043,347.272500,347.342500,in,I,sd,u-50-2
sw2776A-ms98-a-0043,347.342500,347.672500,nineteen,I,sd,u-50-2
sw2776A-ms98-a-0043,347.672500,348.062500,thirteen,I,sd,u-50-2
sw2776A-ms98-a-0043,348.062500,348.752500,most,I,sd,u-50-2
sw2776A-ms98-a-0043,348.782500,348.872500,of,I,sd,u-50-2
sw2776A-ms98-a-0043,349.042500,349.102500,the,I,sd,u-50-2
sw2776A-ms98-a-0043,349.102500,349.382500,major,I,sd,u-50-2
sw2776A-ms98-a-0043,349.382500,349.762500,cities,I,sd,u-50-2
sw2776A-ms98-a-0043,349.762500,349.942500,had,O,,
sw2776A-ms98-a-0043,349.942500,350.492500,chlorinated,O,,
sw2776A-ms98-a-0043,350.532500,350.872500,water,O,,
sw2776A-ms98-a-0043,350.872500,350.972500,and,B,sd,u-50-3
sw2776A-ms98-a-0043,350.972500,351.112500,then,I,sd,u-50-3
sw2776A-ms98-a-0043,351.192500,351.542500,after,I,sd,u-50-3
sw2776A-ms98-a-0043,351.542500,351.812500,that,I,sd,u-50-3
sw2776A-ms98-a-0043,352.492500,352.582500,we,I,sd,u-50-3
sw2776A-ms98-a-0043,352.582500,352.932500,started,B,+,u-52-1
sw2776A-ms98-a-0043,352.932500,353.322500,having,I,+,u-52-1
sw2776A-ms98-a-0043,353.322500,353.452500,the,I,+,u-52-1
sw2776A-ms98-a-0043,353.682500,353.832500,hearts,I,+,u-52-1
sw2776A-ms98-a-0043,353.882500,354.462500,attacks,I,+,u-52-1
sw2776A-ms98-a-0044,355.420625,355.950625,and,B,sd,u-52-2
sw2776A-ms98-a-0044,355.950625,356.190625,uh,I,sd,u-52-2
sw2776A-ms98-a-0044,356.190625,356.590625,Dr,I,sd,u-52-2
sw2776A-ms98-a-0044,356.590625,357.110625,Price,I,sd,u-52-2
sw2776A-ms98-a-0044,357.110625,357.250625,wrote,I,sd,u-52-2
sw2776A-ms98-a-0044,357.250625,357.290625,a,I,sd,u-52-2
sw2776A-ms98-a-0044,357.290625,357.530625,book,I,sd,u-52-2
sw2776A-ms98-a-0044,357.660625,358.200625,Coronarys,I,sd,u-52-2
sw2776A-ms98-a-0044,358.200625,358.690625,Cholesterol,I,sd,u-52-2
sw2776A-ms98-a-0044,358.690625,358.780625,and,I,sd,u-52-2
sw2776A-ms98-a-0044,358.780625,359.300625,Chlorine,I,sd,u-52-2
sw2776A-ms98-a-0044,359.580625,359.640625,you,B,sd,u-52-3
sw2776A-ms98-a-0044,359.640625,359.760625,can,I,sd,u-52-3
sw2776A-ms98-a-0044,359.760625,360.040625,usually,I,sd,u-52-3
sw2776A-ms98-a-0044,360.040625,360.340625,find,I,sd,u-52-3
sw2776A-ms98-a-0044,360.340625,360.430625,it,I,sd,u-52-3
sw2776A-ms98-a-0044,360.430625,360.530625,at,I,sd,u-52-3
sw2776A-ms98-a-0044,360.530625,360.570625,a,I,sd,u-52-3
sw2776A-ms98-a-0044,360.570625,360.810625,health,I,sd,u-52-3
sw2776A-ms98-a-0044,360.810625,361.020625,food,I,sd,u-52-3
sw2776A-ms98-a-0044,361.020625,361.360625,store,I,sd,u-52-3
sw2776A-ms98-a-0045,361.960750,362.050750,i,B,sd,u-54-1
sw2776A-ms98-a-0045,362.050750,362.210750,know,I,sd,u-54-1
sw2776A-ms98-a-0045,362.210750,362.310750,they,I,sd,u-54-1
sw2776A-ms98-a-0045,362.310750,362.460750,had,I,sd,u-54-1
sw2776A-ms98-a-0045,362.460750,362.540750,it,I,sd,u-54-1
sw2776A-ms98-a-0045,362.540750,362.600750,in,I,sd,u-54-1
sw2776A-ms98-a-0045,362.600750,362.810750,health,I,sd,u-54-1
sw2776A-ms98-a-0045,362.810750,362.920750,food,I,sd,u-54-1
sw2776A-ms98-a-0045,362.920750,363.230750,stores,I,sd,u-54-1
sw2776A-ms98-a-0045,363.230750,363.310750,in,I,sd,u-54-1
sw2776A-ms98-a-0045,363.310750,363.730750,Plano,I,sd,u-54-1
sw2776A-ms98-a-0045,363.730750,363.780750,i,B,sd,u-54-2
sw2776A-ms98-a-0045,363.780750,363.940750,used,I,sd,u-54-2
sw2776A-ms98-a-0045,363.940750,364.030750,to,I,sd,u-54-2
sw2776A-ms98-a-0045,364.030750,364.140750,live,I,sd,u-54-2
sw2776A-ms98-a-0045,364.140750,364.250750,in,I,sd,u-54-2
sw2776A-ms98-a-0045,364.250750,364.600750,Plano,I,sd,u-54-2
sw2776A-ms98-a-0046,364.833875,365.723875,that's,O,,
sw2776A-ms98-a-0047,366.277250,366.407250,uh,B,sd^r,u-56-1
sw2776A-ms98-a-0047,366.407250,366.757250,Dr,I,sd^r,u-56-1
sw2776A-ms98-a-0047,366.757250,367.317250,Price,I,sd^r,u-56-1
sw2776A-ms98-a-0047,367.317250,367.507250,yeah,B,%,u-56-2
sw2776A-ms98-a-0047,368.397250,368.967250,and,B,sd,u-56-3
sw2776A-ms98-a-0047,369.327250,369.547250,it's,I,sd,u-56-3
sw2776A-ms98-a-0047,369.547250,370.347250,amazing,I,sd,u-56-3
sw2776A-ms98-a-0047,371.057250,371.157250,he,B,sd,u-56-4
sw2776A-ms98-a-0047,371.157250,371.507250,makes,I,sd,u-56-4
sw2776A-ms98-a-0047,371.507250,371.577250,the,I,sd,u-56-4
sw2776A-ms98-a-0047,371.577250,371.777250,in,O,,
sw2776A-ms98-a-0047,371.897250,371.977250,you,B,sd,u-56-5
sw2776A-ms98-a-0047,371.977250,372.087250,know,I,sd,u-56-5
sw2776A-ms98-a-0047,372.087250,372.327250,it's,I,sd,u-56-5
sw2776A-ms98-a-0047,372.327250,372.377250,a,I,sd,u-56-5
sw2776A-ms98-a-0047,372.377250,372.657250,very,I,sd,u-56-5
sw2776A-ms98-a-0047,372.657250,373.017250,small,I,sd,u-56-5
sw2776A-ms98-a-0047,373.017250,373.327250,book,I,sd,u-56-5
sw2776A-ms98-a-0047,373.327250,373.417250,and,B,sd,u-56-6
sw2776A-ms98-a-0047,373.417250,373.477250,the,I,sd,u-56-6
sw2776A-ms98-a-0047,373.477250,373.757250,guy's,I,sd,u-56-6
sw2776A-ms98-a-0047,373.757250,374.017250,very,I,sd,u-56-6
sw2776A-ms98-a-0047,374.017250,374.697250,opinionated,I,sd,u-56-6
sw2776A-ms98-a-0048,375.408875,375.788875,um,B,sd,u-56-7
sw2776A-ms98-a-0048,375.788875,375.918875,but,I,sd,u-56-7
sw2776A-ms98-a-0048,375.918875,376.028875,he,I,sd,u-56-7
sw2776A-ms98-a-0048,376.028875,376.298875,makes,I,sd,u-56-7
sw2776A-ms98-a-0048,376.298875,376.338875,a,I,sd,u-56-7
sw2776A-ms98-a-0048,376.338875,376.568875,very,I,sd,u-56-7
sw2776A-ms98-a-0048,376.568875,376.778875,good,I,sd,u-56-7
sw2776A-ms98-a-0048,376.778875,377.278875,case,I,sd,u-56-7
sw2776A-ms98-a-0048,377.318875,377.648875,against,I,sd,u-56-7
sw2776A-ms98-a-0048,377.648875,377.998875,chlorine,I,sd,u-56-7
sw2776A-ms98-a-0048,378.208875,378.368875,there,B,sd,u-56-8
sw2776A-ms98-a-0048,378.368875,378.548875,were,I,sd,u-56-8
sw2776A-ms98-a-0048,378.548875,378.698875,no,I,sd,u-56-8
sw2776A-ms98-a-0048,378.698875,378.888875,heart,I,sd,u-56-8
sw2776A-ms98-a-0048,378.888875,379.228875,attacks,I,sd,u-56-8
sw2776A-ms98-a-0048,379.228875,379.488875,before,I,sd,u-56-8
sw2776A-ms98-a-0048,379.488875,379.578875,we,I,sd,u-56-8
sw2776A-ms98-a-0048,379.578875,379.948875,started,I,sd,u-56-8
sw2776A-ms98-a-0048,379.948875,380.278875,using,I,sd,u-56-8
sw2776A-ms98-a-0048,380.278875,380.348875,it,I,sd,u-56-8
sw2776A-ms98-a-0048,380.348875,380.438875,and,B,sd,u-56-9
sw2776A-ms98-a-0048,380.438875,380.498875,he,I,sd,u-56-9
sw2776A-ms98-a-0048,380.498875,380.568875,s[ays]-,I,sd,u-56-9
sw2776A-ms98-a-0048,380.568875,381.008875,points,I,sd,u-56-9
sw2776A-ms98-a-0048,381.008875,381.218875,out,I,sd,u-56-9
sw2776A-ms98-a-0048,381.218875,381.378875,that,I,sd,u-56-9
sw2776A-ms98-a-0048,381.378875,381.808875,people,I,sd,u-56-9
sw2776A-ms98-a-0048,381.808875,381.958875,in,I,sd,u-56-9
sw2776A-ms98-a-0048,382.668875,382.858875,uh,I,sd,u-56-9
sw2776A-ms98-a-0048,382.858875,383.438875,England,I,sd,u-56-9
sw2776A-ms98-a-0048,383.438875,383.838875,and,B,sd,u-56-10
sw2776A-ms98-a-0048,384.028875,384.358875,uh,I,sd,u-56-10
sw2776A-ms98-a-0048,384.838875,384.968875,or,I,sd,u-56-10
sw2776A-ms98-a-0048,384.968875,385.438875,eating,I,sd,u-56-10
sw2776A-ms98-a-0048,385.628875,386.368875,diets,I,sd,u-56-10
sw2776A-ms98-a-0049,386.545375,386.635375,that,I,sd,u-56-10
sw2776A-ms98-a-0049,386.635375,387.395375,quadrupled,I,sd,u-56-10
sw2776A-ms98-a-0049,387.395375,387.515375,the,I,sd,u-56-10
sw2776A-ms98-a-0049,387.515375,387.865375,amount,I,sd,u-56-10
sw2776A-ms98-a-0049,387.865375,387.985375,of,I,sd,u-56-10
sw2776A-ms98-a-0049,388.115375,388.825375,cholesterol,I,sd,u-56-10
sw2776A-ms98-a-0049,388.825375,388.955375,that,I,sd,u-56-10
sw2776A-ms98-a-0049,388.955375,389.325375,we're,I,sd,u-56-10
sw2776A-ms98-a-0049,389.325375,389.815375,ingesting,I,sd,u-56-10
sw2776A-ms98-a-0049,389.815375,390.245375,now,I,sd,u-56-10
sw2776A-ms98-a-0050,390.871250,391.081250,and,B,sd,u-58-1
sw2776A-ms98-a-0050,391.081250,391.191250,they,I,sd,u-58-1
sw2776A-ms98-a-0050,391.191250,391.391250,weren't,I,sd,u-58-1
sw2776A-ms98-a-0050,391.391250,391.741250,dropping,I,sd,u-58-1
sw2776A-ms98-a-0050,391.741250,391.891250,dead,I,sd,u-58-1
sw2776A-ms98-a-0050,391.891250,391.971250,of,I,sd,u-58-1
sw2776A-ms98-a-0050,391.971250,392.131250,heart,I,sd,u-58-1
sw2776A-ms98-a-0050,392.131250,393.251250,attacks,I,sd,u-58-1
sw2776A-ms98-a-0050,393.421250,393.931250,and,O,,
sw2776A-ms98-a-0051,394.702875,394.942875,yeah,B,b,u-60-1
sw2776A-ms98-a-0051,394.942875,395.062875,he,B,sd,u-60-2
sw2776A-ms98-a-0051,395.062875,395.232875,did,I,sd,u-60-2
sw2776A-ms98-a-0051,395.232875,395.402875,some,I,sd,u-60-2
sw2776A-ms98-a-0051,395.402875,396.062875,experiments,I,sd,u-60-2
sw2776A-ms98-a-0051,396.062875,396.162875,on,I,sd,u-60-2
sw2776A-ms98-a-0051,396.162875,396.602875,chickens,I,sd,u-60-2
sw2776A-ms98-a-0051,396.602875,396.812875,whose,I,sd,u-60-2
sw2776A-ms98-a-0051,396.812875,397.242875,arteries,I,sd,u-60-2
sw2776A-ms98-a-0051,397.242875,397.302875,are,I,sd,u-60-2
sw2776A-ms98-a-0051,397.302875,397.522875,very,I,sd,u-60-2
sw2776A-ms98-a-0051,397.522875,397.882875,similar,I,sd,u-60-2
sw2776A-ms98-a-0051,397.882875,398.072875,to,I,sd,u-60-2
sw2776A-ms98-a-0051,398.072875,398.492875,ours,I,sd,u-60-2
sw2776A-ms98-a-0052,399.086375,399.396375,and,B,+,u-62-1
sw2776A-ms98-a-0052,399.396375,399.486375,uh,I,+,u-62-1
sw2776A-ms98-a-0052,399.486375,399.916375,proved,I,+,u-62-1
sw2776A-ms98-a-0052,399.916375,400.056375,that,I,+,u-62-1
sw2776A-ms98-a-0052,400.056375,400.526375,ingestion,I,+,u-62-1
sw2776A-ms98-a-0052,400.526375,400.586375,of,I,+,u-62-1
sw2776A-ms98-a-0052,400.776375,401.126375,chlorine,I,+,u-62-1
sw2776A-ms98-a-0052,401.126375,401.516375,causes,I,+,u-62-1
sw2776A-ms98-a-0052,401.516375,402.696375,arteriosclerosis,I,+,u-62-1
sw2776A-ms98-a-0052,402.826375,402.996375,which,I,+,u-62-1
sw2776A-ms98-a-0052,402.996375,403.136375,is,I,+,u-62-1
sw2776A-ms98-a-0052,403.196375,403.326375,the,I,+,u-62-1
sw2776A-ms98-a-0052,403.566375,403.966375,clogging,B,+,u-64-1
sw2776A-ms98-a-0052,403.966375,404.156375,of,I,+,u-64-1
sw2776A-ms98-a-0052,404.156375,404.316375,the,I,+,u-64-1
sw2776A-ms98-a-0052,404.736375,405.196375,arteries,I,+,u-64-1
sw2776A-ms98-a-0052,405.296375,405.806375,and,B,%,u-64-2
sw2776A-ms98-a-0052,405.806375,406.166375,uh,I,%,u-64-2
sw2776A-ms98-a-0053,406.623750,406.933750,you,I,%,u-64-2
sw2776A-ms98-a-0053,406.933750,407.093750,know,I,%,u-64-2
sw2776A-ms98-a-0053,407.093750,407.363750,he's,I,%,u-64-2
sw2776A-ms98-a-0053,407.363750,407.473750,uh,O,,
sw2776A-ms98-a-0053,407.573750,407.923750,there's,B,sd,u-64-3
sw2776A-ms98-a-0053,407.923750,408.053750,been,I,sd,u-64-3
sw2776A-ms98-a-0053,408.053750,408.123750,a,I,sd,u-64-3
sw2776A-ms98-a-0053,408.123750,408.303750,lot,I,sd,u-64-3
sw2776A-ms98-a-0053,408.303750,408.383750,of,I,sd,u-64-3
sw2776A-ms98-a-0053,408.383750,408.783750,reports,I,sd,u-64-3
sw2776A-ms98-a-0053,408.783750,409.163750,since,I,sd,u-64-3
sw2776A-ms98-a-0053,409.163750,409.303750,then,I,sd,u-64-3
sw2776A-ms98-a-0053,409.303750,409.553750,and,O,,
sw2776A-ms98-a-0053,409.553750,409.653750,this,B,sd,u-64-4
sw2776A-ms98-a-0053,409.653750,409.863750,whole,I,sd,u-64-4
sw2776A-ms98-a-0053,410.033750,410.283750,thing,I,sd,u-64-4
sw2776A-ms98-a-0053,410.283750,410.583750,about,I,sd,u-64-4
sw2776A-ms98-a-0053,410.663750,410.813750,you,O,,
sw2776A-ms98-a-0053,410.813750,410.893750,know,O,,
sw2776A-ms98-a-0053,410.893750,411.203750,first,B,sd,u-64-5
sw2776A-ms98-a-0053,411.203750,411.263750,it,I,sd,u-64-5
sw2776A-ms98-a-0053,411.263750,411.353750,was,I,sd,u-64-5
sw2776A-ms98-a-0053,411.353750,411.913750,stress,I,sd,u-64-5
sw2776A-ms98-a-0053,411.913750,412.063750,then,I,sd,u-64-5
sw2776A-ms98-a-0053,412.063750,412.143750,they,I,sd,u-64-5
sw2776A-ms98-a-0053,412.143750,412.323750,went,I,sd,u-64-5
sw2776A-ms98-a-0053,412.323750,412.423750,to,I,sd,u-64-5
sw2776A-ms98-a-0053,412.423750,413.113750,cholesterol,I,sd,u-64-5
sw2776A-ms98-a-0053,413.113750,413.223750,and,B,sd,u-64-6
sw2776A-ms98-a-0053,413.223750,413.313750,now,I,sd,u-64-6
sw2776A-ms98-a-0053,413.313750,413.403750,they're,I,sd,u-64-6
sw2776A-ms98-a-0053,413.403750,413.653750,saying,I,sd,u-64-6
sw2776A-ms98-a-0053,413.653750,413.863750,what's,I,sd,u-64-6
sw2776A-ms98-a-0053,413.863750,414.473750,cholesterol,I,sd,u-64-6
sw2776A-ms98-a-0053,414.473750,414.623750,well,B,sd,u-64-7
sw2776A-ms98-a-0053,414.623750,414.793750,there's,I,sd,u-64-7
sw2776A-ms98-a-0053,414.793750,414.973750,good,I,sd,u-64-7
sw2776A-ms98-a-0053,414.973750,415.423750,cholesterol,I,sd,u-64-7
sw2776A-ms98-a-0053,415.423750,415.513750,and,I,sd,u-64-7
sw2776A-ms98-a-0053,415.513750,415.633750,there's,I,sd,u-64-7
sw2776A-ms98-a-0053,415.633750,415.823750,bad,I,sd,u-64-7
sw2776A-ms98-a-0053,415.853750,416.443750,cholesterol,I,sd,u-64-7
sw2776A-ms98-a-0053,416.443750,416.633750,and,O,,
sw2776A-ms98-a-0054,417.639250,417.699250,you,B,sd,u-66-1
sw2776A-ms98-a-0054,417.699250,417.929250,know,I,sd,u-66-1
sw2776A-ms98-a-0054,417.929250,418.249250,it's,I,sd,u-66-1
sw2776A-ms98-a-0054,418.249250,418.569250,it's,I,sd,u-66-1
sw2776A-ms98-a-0054,418.609250,418.769250,it's,I,sd,u-66-1
sw2776A-ms98-a-0054,418.769250,419.379250,amazing,I,sd,u-66-1
sw2776A-ms98-a-0054,419.919250,420.109250,what,I,sd,u-66-1
sw2776A-ms98-a-0054,420.109250,420.219250,he,I,sd,u-66-1
sw2776A-ms98-a-0054,420.219250,420.599250,points,I,sd,u-66-1
sw2776A-ms98-a-0054,420.599250,420.719250,out,I,sd,u-66-1
sw2776A-ms98-a-0054,420.719250,420.789250,in,I,sd,u-66-1
sw2776A-ms98-a-0054,420.789250,420.949250,that,I,sd,u-66-1
sw2776A-ms98-a-0054,420.949250,421.349250,book,I,sd,u-66-1
sw2776A-ms98-a-0054,421.349250,421.479250,and,B,sd,u-66-2
sw2776A-ms98-a-0054,421.479250,421.659250,that,I,sd,u-66-2
sw2776A-ms98-a-0054,422.019250,422.549250,um,I,sd,u-66-2
sw2776A-ms98-a-0054,422.549250,422.679250,in,I,sd,u-66-2
sw2776A-ms98-a-0054,422.679250,423.179250,fact,I,sd,u-66-2
sw2776A-ms98-a-0054,423.179250,423.319250,he,I,sd,u-66-2
sw2776A-ms98-a-0054,423.439250,423.819250,even,I,sd,u-66-2
sw2776A-ms98-a-0054,424.639250,424.769250,uh,I,sd,u-66-2
sw2776A-ms98-a-0054,424.769250,424.969250,there,I,sd,u-66-2
sw2776A-ms98-a-0054,424.969250,425.229250,was,I,sd,u-66-2
sw2776A-ms98-a-0054,425.229250,425.399250,a,I,sd,u-66-2
sw2776A-ms98-a-0054,425.399250,425.949250,uh,I,sd,u-66-2
sw2776A-ms98-a-0054,426.329250,427.179250,toxicologist,I,sd,u-66-2
sw2776A-ms98-a-0054,427.179250,427.279250,for,I,sd,u-66-2
sw2776A-ms98-a-0054,427.279250,427.349250,the,I,sd,u-66-2
sw2776A-ms98-a-0054,427.349250,427.809250,Environmental,I,sd,u-66-2
sw2776A-ms98-a-0054,427.809250,428.309250,Protection,I,sd,u-66-2
sw2776A-ms98-a-0054,428.309250,428.809250,Agency,I,sd,u-66-2
sw2776A-ms98-a-0055,429.467625,429.567625,who,I,sd,u-66-2
sw2776A-ms98-a-0055,429.567625,429.807625,did,I,sd,u-66-2
sw2776A-ms98-a-0055,429.807625,430.227625,work,I,sd,u-66-2
