sw2064A-ms98-a-0003,5.230625,5.550625,um-hum,B,bh,u-2-1
sw2064A-ms98-a-0046,186.550000,186.630000,know,I,sv,u-58-3
sw2064A-ms98-a-0046,186.630000,186.830000,maybe,I,sv,u-58-3
sw2064A-ms98-a-0046,186.830000,187.060000,it's,I,sv,u-58-3
sw2064A-ms98-a-0047,187.827625,188.087625,life,I,sv,u-58-3
sw2064A-ms98-a-0047,188.087625,188.537625,imprisonment,I,sv,u-58-3
sw2064A-ms98-a-0047,188.537625,188.597625,or,I,sv,u-58-3
sw2064A-ms98-a-0047,188.597625,188.657625,you,I,sv,u-58-3
sw2064A-ms98-a-0047,188.657625,188.717625,know,I,sv,u-58-3
sw2064A-ms98-a-0047,188.717625,189.107625,something,I,sv,u-58-3
sw2064A-ms98-a-0047,189.107625,189.177625,i,B,sd,u-58-4
sw2064A-ms98-a-0047,189.177625,189.387625,don't,I,sd,u-58-4
sw2064A-ms98-a-0047,189.387625,189.447625,i,I,sd,u-58-4
sw2064A-ms98-a-0047,189.447625,189.577625,don't,I,sd,u-58-4
sw2064A-ms98-a-0047,189.577625,189.637625,know,I,sd,u-58-4
sw2064A-ms98-a-0047,189.637625,189.787625,how,I,sd,u-58-4
sw2064A-ms98-a-0047,189.787625,189.897625,they,I,sd,u-58-4
sw2064A-ms98-a-0047,189.897625,190.152750,handle,I,sd,u-58-4
sw2064A-ms98-a-0047,190.152750,190.178750,it,I,sd,u-58-4
sw2064A-ms98-a-0047,190.178750,190.236500,bu[t]-,O,,
sw2064A-ms98-a-0048,190.870750,190.938875,i,B,sd,u-58-5
sw2064A-ms98-a-0048,190.938875,191.007625,was,I,sd,u-58-5
sw2064A-ms98-a-0048,191.007625,191.360750,surprised,I,sd,u-58-5
sw2064A-ms98-a-0048,191.360750,191.440750,to,I,sd,u-58-5
sw2064A-ms98-a-0048,191.440750,191.650750,learn,I,sd,u-58-5
sw2064A-ms98-a-0048,191.650750,191.740750,that,I,sd,u-58-5
sw2064A-ms98-a-0048,191.740750,191.910750,so,I,sd,u-58-5
sw2064A-ms98-a-0048,191.910750,192.090750,few,I,sd,u-58-5
sw2064A-ms98-a-0048,192.090750,192.622000,countries,I,sd,u-58-5
sw2064A-ms98-a-0048,192.961000,193.220750,have,I,sd,u-58-5
sw2064A-ms98-a-0048,193.220750,193.560750,capital,I,sd,u-58-5
sw2064A-ms98-a-0048,193.560750,194.020750,punishment,I,sd,u-58-5
sw2064A-ms98-a-0050,201.078875,201.220375,oh,B,b,u-60-1
sw2064A-ms98-a-0050,201.220375,201.416625,yeah,O,,
sw2064A-ms98-a-0052,205.804000,206.004000,yes,B,aa,u-62-1
sw2064A-ms98-a-0052,206.004000,206.064000,a,B,sv,u-62-2
sw2064A-ms98-a-0052,206.064000,206.264000,lot,I,sv,u-62-2
sw2064A-ms98-a-0052,206.264000,206.374000,of,I,sv,u-62-2
sw2064A-ms98-a-0052,206.374000,206.434000,them_1,I,sv,u-62-2
sw2064A-ms98-a-0052,206.434000,206.633125,do,I,sv,u-62-2
sw2064A-ms98-a-0052,206.798750,206.944000,get,I,sv,u-62-2
sw2064A-ms98-a-0052,206.944000,207.094000,their,I,sv,u-62-2
sw2064A-ms98-a-0052,207.094000,207.524000,sentences,I,sv,u-62-2
sw2064A-ms98-a-0052,207.524000,207.884000,commuted,I,sv,u-62-2
sw2064A-ms98-a-0052,207.884000,207.976750,to,I,sv,u-62-2
sw2064A-ms98-a-0052,208.123625,208.414000,something,I,sv,u-62-2
sw2064A-ms98-a-0052,208.414000,208.704000,else,I,sv,u-62-2
sw2064A-ms98-a-0054,213.991000,214.362000,yes,B,b,u-64-1
sw2064A-ms98-a-0056,218.266750,218.629750,uh-huh,B,b,u-66-1
sw2064A-ms98-a-0056,219.296375,219.597500,yes,B,b,u-66-2
sw2064A-ms98-a-0058,221.774125,222.024125,right,B,b,u-68-1
sw2064A-ms98-a-0058,222.254125,222.334125,the,B,sv,u-68-2
sw2064A-ms98-a-0058,222.334125,222.654250,first,I,sv,u-68-2
sw2064A-ms98-a-0058,222.654250,222.933000,appeal,I,sv,u-68-2
sw2064A-ms98-a-0058,222.933000,223.004125,is,I,sv,u-68-2
sw2064A-ms98-a-0058,223.004125,223.574125,automatic,I,sv,u-68-2
sw2064A-ms98-a-0058,223.574125,223.774125,so,B,sv,u-68-3
sw2064A-ms98-a-0059,224.550750,224.700750,that,I,sv,u-68-3
sw2064A-ms98-a-0059,224.700750,225.060750,delays,I,sv,u-68-3
sw2064A-ms98-a-0059,225.060750,225.150750,it,I,sv,u-68-3
sw2064A-ms98-a-0059,225.150750,225.290750,for,I,sv,u-68-3
sw2064A-ms98-a-0059,225.290750,225.330750,a,I,sv,u-68-3
sw2064A-ms98-a-0059,225.330750,225.550750,few,I,sv,u-68-3
sw2064A-ms98-a-0059,225.550750,225.880750,years,I,sv,u-68-3
sw2064A-ms98-a-0059,225.880750,226.220750,just,I,sv,u-68-3
sw2064A-ms98-a-0059,226.320750,226.450750,right,I,sv,u-68-3
sw2064A-ms98-a-0059,226.450750,226.610750,off,I,sv,u-68-3
sw2064A-ms98-a-0059,226.610750,226.670750,the,I,sv,u-68-3
sw2064A-ms98-a-0059,226.670750,227.010750,bat,I,sv,u-68-3
sw2064A-ms98-a-0061,228.978250,229.268250,there's,B,sv,u-70-1
sw2064A-ms98-a-0061,229.268250,229.438250,there's,I,sv,u-70-1
sw2064A-ms98-a-0061,229.438250,229.498250,a,I,sv,u-70-1
sw2064A-ms98-a-0061,229.498250,229.668250,lot,I,sv,u-70-1
sw2064A-ms98-a-0061,229.668250,229.808250,of,I,sv,u-70-1
sw2064A-ms98-a-0061,229.808250,229.888250,you,I,sv,u-70-1
sw2064A-ms98-a-0061,229.888250,229.988250,know,I,sv,u-70-1
sw2064A-ms98-a-0061,229.988250,230.348250,last,I,sv,u-70-1
sw2064A-ms98-a-0061,230.348250,230.617250,minute,I,sv,u-70-1
sw2064A-ms98-a-0061,230.975250,231.223750,uh,I,sv,u-70-1
sw2064A-ms98-a-0062,232.679875,232.959875,things,I,sv,u-70-1
sw2064A-ms98-a-0062,232.959875,233.069875,that,I,sv,u-70-1
sw2064A-ms98-a-0062,233.069875,233.439875,happen,I,sv,u-70-1
sw2064A-ms98-a-0062,233.649875,233.869875,cause,I,sv,u-70-1
sw2064A-ms98-a-0062,233.869875,233.899875,a,I,sv,u-70-1
sw2064A-ms98-a-0062,233.899875,234.199875,person,I,sv,u-70-1
sw2064A-ms98-a-0062,234.199875,234.359875,not,I,sv,u-70-1
sw2064A-ms98-a-0062,234.359875,234.429875,to,I,sv,u-70-1
sw2064A-ms98-a-0062,234.429875,234.569875,have,B,+,u-72-1
sw2064A-ms98-a-0062,234.569875,234.649875,to,I,+,u-72-1
sw2064A-ms98-a-0062,234.989875,235.119875,go,I,+,u-72-1
sw2064A-ms98-a-0062,235.119875,235.279875,through,I,+,u-72-1
sw2064A-ms98-a-0062,235.279875,235.379875,the,I,+,u-72-1
sw2064A-ms98-a-0062,235.379875,235.559875,whole,I,+,u-72-1
sw2064A-ms98-a-0062,235.559875,235.833750,thing,I,+,u-72-1
sw2064A-ms98-a-0064,239.951875,240.331250,yes,B,ny,u-74-1
sw2064A-ms98-a-0064,240.331250,240.622875,uh-huh,B,ny,u-74-2
sw2064A-ms98-a-0064,241.191875,241.951875,that's,B,sd^e,u-74-3
sw2064A-ms98-a-0064,241.951875,242.241875,that's,I,sd^e,u-74-3
sw2064A-ms98-a-0064,242.241875,242.846250,fairly,I,sd^e,u-74-3
sw2064A-ms98-a-0064,242.981875,243.341875,recent,I,sd^e,u-74-3
sw2064A-ms98-a-0064,243.341875,243.401875,i,I,sd^e,u-74-3
sw2064A-ms98-a-0064,243.401875,243.571875,don't,I,sd^e,u-74-3
sw2064A-ms98-a-0064,243.571875,243.681875,know,I,sd^e,u-74-3
sw2064A-ms98-a-0064,243.681875,243.871875,how,I,sd^e,u-74-3
sw2064A-ms98-a-0064,243.871875,244.181875,recent,I,sd^e,u-74-3
sw2064A-ms98-a-0064,244.181875,244.291875,but,I,sd^e,u-74-3
sw2064A-ms98-a-0064,244.291875,244.621875,fairly,I,sd^e,u-74-3
sw2064A-ms98-a-0064,244.621875,244.881875,recent,I,sd^e,u-74-3
sw2064A-ms98-a-0064,244.881875,244.951875,in,I,sd^e,u-74-3
sw2064A-ms98-a-0064,244.951875,245.011875,the,I,sd^e,u-74-3
sw2064A-ms98-a-0064,245.011875,245.221875,state,I,sd^e,u-74-3
sw2064A-ms98-a-0064,245.221875,245.281875,of,I,sd^e,u-74-3
sw2064A-ms98-a-0064,245.281875,245.711875,Texas,I,sd^e,u-74-3
sw2064A-ms98-a-0064,245.711875,246.021875,before,B,sd,u-74-4
sw2064A-ms98-a-0064,246.021875,246.211875,that,I,sd,u-74-4
sw2064A-ms98-a-0064,246.211875,246.311875,it,I,sd,u-74-4
sw2064A-ms98-a-0064,246.311875,246.571875,was,I,sd,u-74-4
sw2064A-ms98-a-0064,246.571875,246.695250,uh,I,sd,u-74-4
sw2064A-ms98-a-0064,247.192375,247.421875,death,I,sd,u-74-4
sw2064A-ms98-a-0064,247.421875,247.521875,by,I,sd,u-74-4
sw2064A-ms98-a-0064,247.521875,248.231875,electrocution,I,sd,u-74-4
sw2064A-ms98-a-0066,250.234500,250.464500,yes,B,aa,u-76-1
sw2064A-ms98-a-0066,250.464500,250.524500,it,B,sd,u-76-2
sw2064A-ms98-a-0066,250.524500,250.874500,certainly,I,sd,u-76-2
sw2064A-ms98-a-0066,250.874500,251.246500,does,I,sd,u-76-2
sw2064A-ms98-a-0068,254.728250,254.968250,yes,B,aa,u-78-1
sw2064A-ms98-a-0068,254.968250,255.048250,it,B,sv,u-78-2
sw2064A-ms98-a-0068,255.048250,255.278250,would,I,sv,u-78-2
sw2064A-ms98-a-0068,255.278250,255.638250,almost,I,sv,u-78-2
sw2064A-ms98-a-0068,255.638250,255.828250,have,I,sv,u-78-2
sw2064A-ms98-a-0068,255.828250,255.948250,to,I,sv,u-78-2
sw2064A-ms98-a-0068,255.948250,256.128250,be,I,sv,u-78-2
sw2064A-ms98-a-0068,256.128250,256.198250,i,I,sv,u-78-2
sw2064A-ms98-a-0068,256.198250,256.568250,suppose,I,sv,u-78-2
sw2064A-ms98-a-0068,256.568250,256.688250,if,B,sv,u-78-3
sw2064A-ms98-a-0068,256.688250,256.778250,you,I,sv,u-78-3
sw2064A-ms98-a-0068,257.028250,257.118250,if,I,sv,u-78-3
sw2064A-ms98-a-0068,257.118250,257.198250,you,I,sv,u-78-3
sw2064A-ms98-a-0068,257.198250,257.348250,had,I,sv,u-78-3
sw2064A-ms98-a-0068,257.348250,257.428250,to,I,sv,u-78-3
sw2064A-ms98-a-0068,257.428250,257.818250,chose,I,sv,u-78-3
sw2064A-ms98-a-0068,257.818250,257.933625,i,I,sv,u-78-3
sw2064A-ms98-a-0068,257.933625,258.106875,guess,I,sv,u-78-3
sw2064A-ms98-a-0068,258.106875,258.233750,i,I,sv,u-78-3
sw2064A-ms98-a-0068,258.233750,258.398250,[laughter-would],I,sv,u-78-3
sw2064A-ms98-a-0068,258.398250,258.468250,i,I,sv,u-78-3
sw2064A-ms98-a-0068,258.468250,258.608250,am,I,sv,u-78-3
sw2064A-ms98-a-0068,258.608250,258.798625,sure,I,sv,u-78-3
sw2064A-ms98-a-0068,258.798625,258.866375,i,I,sv,u-78-3
sw2064A-ms98-a-0068,258.866375,258.958250,would,I,sv,u-78-3
sw2064A-ms98-a-0068,258.958250,259.168250,take,I,sv,u-78-3
sw2064A-ms98-a-0068,259.168250,259.254500,the,I,sv,u-78-3
sw2064A-ms98-a-0068,259.254500,259.559625,lethal,I,sv,u-78-3
sw2064A-ms98-a-0068,259.559625,259.988250,injection,I,sv,u-78-3
sw2064A-ms98-a-0070,262.914375,263.184375,yes,B,aa,u-80-1
sw2064A-ms98-a-0070,263.304375,263.854375,absolutely,B,aa,u-80-2
sw2064A-ms98-a-0071,265.239000,265.539000,it's,B,sv,u-82-1
sw2064A-ms98-a-0071,265.539000,265.579000,a,I,sv,u-82-1
sw2064A-ms98-a-0071,265.579000,265.839000,it's,I,sv,u-82-1
sw2064A-ms98-a-0071,265.839000,265.899000,a,I,sv,u-82-1
sw2064A-ms98-a-0071,265.899000,266.179000,tough,I,sv,u-82-1
sw2064A-ms98-a-0071,266.179000,266.589000,question,I,sv,u-82-1
sw2064A-ms98-a-0071,266.819000,266.979000,it,B,sv,u-82-2
sw2064A-ms98-a-0071,266.979000,267.154250,really,I,sv,u-82-2
sw2064A-ms98-a-0071,267.154250,267.301125,is,I,sv,u-82-2
sw2064A-ms98-a-0071,267.301125,267.439000,i,B,sd,u-82-3
sw2064A-ms98-a-0071,267.439000,267.729000,guess,I,sd,u-82-3
sw2064A-ms98-a-0071,267.729000,267.859000,if,I,sd,u-82-3
sw2064A-ms98-a-0071,267.859000,267.979000,i,I,sd,u-82-3
sw2064A-ms98-a-0071,267.979000,268.189000,had,I,sd,u-82-3
sw2064A-ms98-a-0071,268.189000,268.249000,to,I,sd,u-82-3
sw2064A-ms98-a-0071,268.249000,268.696625,say,I,sd,u-82-3
sw2064A-ms98-a-0072,269.987250,270.105125,you,I,sd,u-82-3
sw2064A-ms98-a-0072,270.105125,270.227250,know,I,sd,u-82-3
sw2064A-ms98-a-0072,270.227250,270.477250,yes,I,sd,u-82-3
sw2064A-ms98-a-0072,270.477250,270.617250,or,I,sd,u-82-3
sw2064A-ms98-a-0072,270.617250,270.897250,no,I,sd,u-82-3
sw2064A-ms98-a-0072,270.897250,271.038875,i,I,sd,u-82-3
sw2064A-ms98-a-0072,271.038875,271.177250,would,I,sd,u-82-3
sw2064A-ms98-a-0072,271.177250,271.417250,say,I,sd,u-82-3
sw2064A-ms98-a-0072,271.417250,271.477250,you,I,sd,u-82-3
sw2064A-ms98-a-0072,271.477250,271.537250,know,I,sd,u-82-3
sw2064A-ms98-a-0072,271.537250,271.747250,yes,I,sd,u-82-3
sw2064A-ms98-a-0072,271.747250,271.994875,i-,O,,
sw2064A-ms98-a-0072,272.213375,272.352500,i,B,sd,u-82-4
sw2064A-ms98-a-0072,272.352500,272.525750,would,I,sd,u-82-4
sw2064A-ms98-a-0072,272.807250,272.967250,have,I,sd,u-82-4
sw2064A-ms98-a-0072,272.967250,273.115500,to,I,sd,u-82-4
sw2064A-ms98-a-0072,273.582500,273.817250,lean,I,sd,u-82-4
sw2064A-ms98-a-0072,273.817250,274.127250,toward,I,sd,u-82-4
sw2064A-ms98-a-0072,274.127250,274.427250,capital,I,sd,u-82-4
sw2064A-ms98-a-0072,274.427250,274.877250,punishment,I,sd,u-82-4
sw2064A-ms98-a-0072,274.967250,275.038875,you,I,sd,u-82-4
sw2064A-ms98-a-0072,275.038875,275.136875,know,I,sd,u-82-4
sw2064A-ms98-a-0072,275.136875,275.267250,for,I,sd,u-82-4
sw2064A-ms98-a-0072,275.267250,275.527250,certain,I,sd,u-82-4
sw2064A-ms98-a-0072,275.527250,275.937250,crimes,I,sd,u-82-4
sw2064A-ms98-a-0074,284.211500,284.373000,no,B,nn,u-84-1
sw2064A-ms98-a-0074,284.373000,284.456375,i,B,sv^e,u-84-2
sw2064A-ms98-a-0074,284.456375,284.611500,don't,I,sv^e,u-84-2
sw2064A-ms98-a-0074,284.611500,284.781500,think,I,sv^e,u-84-2
sw2064A-ms98-a-0074,284.781500,284.901500,it's,I,sv^e,u-84-2
sw2064A-ms98-a-0074,284.901500,284.931500,a,I,sv^e,u-84-2
sw2064A-ms98-a-0074,284.931500,285.411500,monetary,I,sv^e,u-84-2
sw2064A-ms98-a-0074,285.411500,285.831500,thing,I,sv^e,u-84-2
sw2064A-ms98-a-0074,285.831500,285.911500,i,B,%,u-86-1
sw2064A-ms98-a-0074,285.911500,286.211500,think,I,%,u-86-1
sw2064A-ms98-a-0074,286.211500,286.354500,we,B,sv,u-86-2
sw2064A-ms98-a-0074,286.433625,286.751500,hope,I,sv,u-86-2
sw2064A-ms98-a-0074,286.751500,286.841500,that,I,sv,u-86-2
sw2064A-ms98-a-0074,286.841500,286.931500,it,I,sv,u-86-2
sw2064A-ms98-a-0074,286.931500,287.031500,will,I,sv,u-86-2
sw2064A-ms98-a-0074,287.031500,287.211500,be,I,sv,u-86-2
sw2064A-ms98-a-0074,287.341500,287.438875,you,I,sv,u-86-2
sw2064A-ms98-a-0074,287.438875,287.568375,know,I,sv,u-86-2
sw2064A-ms98-a-0075,288.539250,288.729250,some,I,sv,u-86-2
sw2064A-ms98-a-0075,288.729250,288.989250,sort,I,sv,u-86-2
sw2064A-ms98-a-0075,288.989250,289.067250,of,I,sv,u-86-2
sw2064A-ms98-a-0075,289.067250,289.628500,[determent/deterrent],I,sv,u-86-2
sw2064A-ms98-a-0075,289.628500,290.319250,deterrent,I,sv,u-86-2
sw2064A-ms98-a-0075,290.319250,290.419250,or,I,sv,u-86-2
sw2064A-ms98-a-0075,290.419250,290.489250,you,I,sv,u-86-2
sw2064A-ms98-a-0075,290.489250,290.699250,know,I,sv,u-86-2
sw2064A-ms98-a-0075,290.699250,290.789250,an,I,sv,u-86-2
sw2064A-ms98-a-0075,290.789250,290.979250,eye,I,sv,u-86-2
sw2064A-ms98-a-0075,290.979250,291.119250,for,I,sv,u-86-2
sw2064A-ms98-a-0075,291.119250,291.189250,an,I,sv,u-86-2
sw2064A-ms98-a-0075,291.189250,291.359250,eye,I,sv,u-86-2
sw2064A-ms98-a-0075,291.359250,291.709250,type,I,sv,u-86-2
sw2064A-ms98-a-0075,291.709250,291.919250,thing,I,sv,u-86-2
sw2064A-ms98-a-0075,291.919250,291.999250,or,I,sv,u-86-2
sw2064A-ms98-a-0075,291.999250,292.329250,something,I,sv,u-86-2
sw2064A-ms98-a-0075,292.329250,292.509250,like,I,sv,u-86-2
sw2064A-ms98-a-0075,292.509250,292.789250,that,I,sv,u-86-2
sw2064A-ms98-a-0076,294.136625,294.331625,some,B,sv,u-88-1
sw2064A-ms98-a-0076,294.331625,294.368375,of,I,sv,u-88-1
sw2064A-ms98-a-0076,294.368375,294.460125,the,I,sv,u-88-1
sw2064A-ms98-a-0076,294.460125,294.761500,crimes,I,sv,u-88-1
sw2064A-ms98-a-0076,294.761500,294.866625,are,I,sv,u-88-1
sw2064A-ms98-a-0076,294.866625,295.076625,just,I,sv,u-88-1
sw2064A-ms98-a-0076,295.076625,295.347000,so,I,sv,u-88-1
sw2064A-ms98-a-0076,295.557875,295.876625,brutal,I,sv,u-88-1
sw2064A-ms98-a-0076,295.876625,296.006625,and,I,sv,u-88-1
sw2064A-ms98-a-0076,296.006625,296.256625,so,I,sv,u-88-1
sw2064A-ms98-a-0076,296.256625,296.346625,you,I,sv,u-88-1
sw2064A-ms98-a-0076,296.346625,296.486625,know,I,sv,u-88-1
sw2064A-ms98-a-0076,296.486625,297.126625,useless,I,sv,u-88-1
sw2064A-ms98-a-0078,298.999500,299.189500,this,B,sv,u-88-2
sw2064A-ms98-a-0078,299.189500,299.308500,may,I,sv,u-88-2
sw2064A-ms98-a-0078,299.308500,299.471625,s[eem]-,I,sv,u-88-2
sw2064A-ms98-a-0078,299.909750,300.129500,seem,I,sv,u-88-2
sw2064A-ms98-a-0078,300.129500,300.189500,to,I,sv,u-88-2
sw2064A-ms98-a-0078,300.189500,300.299500,be,I,sv,u-88-2
sw2064A-ms98-a-0078,300.299500,300.359500,the,I,sv,u-88-2
sw2064A-ms98-a-0078,300.359500,300.639500,best,I,sv,u-88-2
sw2064A-ms98-a-0078,300.639500,300.829500,way,I,sv,u-88-2
sw2064A-ms98-a-0078,300.829500,300.989500,out,I,sv,u-88-2
sw2064A-ms98-a-0078,300.989500,301.029500,i,B,h,u-88-3
sw2064A-ms98-a-0078,301.029500,301.249500,don't,I,h,u-88-3
sw2064A-ms98-a-0078,301.249500,301.449500,know,I,h,u-88-3
sw2064A-ms98-a-0079,302.772875,303.159250,easiest,B,bf,u-90-1
sw2064A-ms98-a-0079,303.159250,303.339000,way,I,bf,u-90-1
sw2064A-ms98-a-0079,303.339000,303.496375,out,I,bf,u-90-1
sw2064A-ms98-a-0079,303.496375,303.763625,maybe,I,bf,u-90-1
sw2064A-ms98-a-0080,304.459875,304.609625,no,B,nn^r,u-90-2
sw2064A-ms98-a-0080,304.609625,304.702875,i,B,sv^e^r,u-90-3
sw2064A-ms98-a-0080,304.702875,304.869875,don't,I,sv^e^r,u-90-3
sw2064A-ms98-a-0080,304.869875,305.039875,think,I,sv^e^r,u-90-3
sw2064A-ms98-a-0080,305.039875,305.169875,it's,I,sv^e^r,u-90-3
sw2064A-ms98-a-0080,305.169875,305.209875,a,I,sv^e^r,u-90-3
sw2064A-ms98-a-0080,305.209875,305.709875,monetary,I,sv^e^r,u-90-3
sw2064A-ms98-a-0080,305.799875,305.989875,thing,I,sv^e^r,u-90-3
sw2064A-ms98-a-0082,311.413375,311.730500,yes,B,b,u-92-1
sw2064A-ms98-a-0082,312.076625,312.433375,especially,B,sd,u-92-2
sw2064A-ms98-a-0082,312.433375,312.493375,the,I,sd,u-92-2
sw2064A-ms98-a-0082,312.493375,312.823375,murder,I,sd,u-92-2
sw2064A-ms98-a-0082,312.823375,313.043375,rate,I,sd,u-92-2
sw2064A-ms98-a-0082,313.043375,313.163375,its,I,sd,u-92-2
sw2064A-ms98-a-0082,313.163375,313.393375,just,I,sd,u-92-2
sw2064A-ms98-a-0082,313.393375,313.693375,gone,I,sd,u-92-2
sw2064A-ms98-a-0082,313.693375,314.283375,crazy,I,sd,u-92-2
sw2064A-ms98-a-0084,316.241750,316.543750,yes,B,b,u-94-1
sw2064A-ms98-a-0084,317.007125,317.591750,absolutely,B,aa,u-96-1
sw2064A-ms98-a-0086,321.219375,321.502750,yes,B,aa,u-98-1
sw2064A-ms98-a-0086,321.894500,322.056000,i,B,sd,u-98-2
sw2064A-ms98-a-0086,322.056000,322.218000,wish,I,sd,u-98-2
sw2064A-ms98-a-0086,322.218000,322.289375,i,I,sd,u-98-2
sw2064A-ms98-a-0086,322.289375,322.449375,had,I,sd,u-98-2
sw2064A-ms98-a-0086,322.449375,322.529375,the,I,sd,u-98-2
sw2064A-ms98-a-0086,322.529375,322.819375,answer,I,sd,u-98-2
sw2064A-ms98-a-0086,322.819375,322.969375,for,I,sd,u-98-2
sw2064A-ms98-a-0086,322.969375,323.139375,that,I,sd,u-98-2
sw2064A-ms98-a-0086,323.139375,323.539375,everybody,B,sv,u-98-3
sw2064A-ms98-a-0086,323.539375,323.864125,does,I,sv,u-98-3
sw2064A-ms98-a-0088,328.474250,328.800000,yes,B,aa,u-100-1
sw2064A-ms98-a-0088,329.272250,329.614250,it's,B,sv,u-100-2
sw2064A-ms98-a-0088,329.614250,329.864250,nothing,I,sv,u-100-2
sw2064A-ms98-a-0088,329.864250,329.924250,to,I,sv,u-100-2
sw2064A-ms98-a-0088,329.924250,330.034250,be,I,sv,u-100-2
sw2064A-ms98-a-0088,330.034250,330.314250,proud,I,sv,u-100-2
sw2064A-ms98-a-0088,330.314250,330.484250,of,I,sv,u-100-2
sw2064A-ms98-a-0088,330.744250,331.024250,certainly,B,sv,u-102-1
sw2064A-ms98-a-0088,331.024250,331.294250,not,I,sv,u-102-1
sw2064A-ms98-a-0090,335.397375,335.689875,yes,B,b,u-104-1
sw2064A-ms98-a-0091,336.609625,336.759625,so,B,sd,u-106-2
sw2064A-ms98-a-0091,336.759625,336.899625,have,I,sd,u-106-2
sw2064A-ms98-a-0091,336.899625,337.110375,we,I,sd,u-106-2
sw2064A-ms98-a-0091,337.675375,337.819625,been,I,sd,u-106-2
sw2064A-ms98-a-0091,337.819625,337.999625,very,I,sd,u-106-2
sw2064A-ms98-a-0091,337.999625,338.259625,very,I,sd,u-106-2
sw2064A-ms98-a-0091,338.259625,338.679625,fortunate,I,sd,u-106-2
sw2064A-ms98-a-0093,344.602625,344.842625,that's,B,ba,u-108-1
sw2064A-ms98-a-0093,344.842625,345.072625,right,I,ba,u-108-1
sw2064A-ms98-a-0093,345.432625,345.912625,absolutely,B,aa,u-108-2
sw2064A-ms98-a-0095,347.617375,347.964625,um-hum,B,b,u-110-1
sw2064A-ms98-a-0097,354.216750,354.822500,absolutely,B,b,u-112-1
sw2064A-ms98-a-0099,356.986625,357.288250,uh-huh,B,b,u-114-1
sw2064A-ms98-a-0099,357.523875,357.726625,that's,B,ba,u-114-2
sw2064A-ms98-a-0099,357.726625,358.045625,right,I,ba,u-114-2
sw2064A-ms98-a-0101,359.730500,359.898375,yeah,O,,
sw2064A-ms98-a-0103,363.661500,363.831500,so,B,aa,u-118-1
sw2064A-ms98-a-0103,363.831500,363.981500,would,I,aa,u-118-1
sw2064A-ms98-a-0103,363.981500,364.133375,i-,O,,
sw2064A-ms98-a-0103,364.515125,364.631875,i,B,sd,u-118-2
sw2064A-ms98-a-0103,364.631875,365.011500,fortunately,I,sd,u-118-2
sw2064A-ms98-a-0103,365.011500,365.181500,never,I,sd,u-118-2
sw2064A-ms98-a-0103,365.181500,365.321500,been,I,sd,u-118-2
sw2064A-ms98-a-0103,365.321500,365.451500,in,I,sd,u-118-2
sw2064A-ms98-a-0103,365.451500,365.551500,that,I,sd,u-118-2
sw2064A-ms98-a-0103,365.551500,366.141500,circumstance,I,sd,u-118-2
sw2064A-ms98-a-0103,366.141500,366.211500,i,B,sd,u-118-3
sw2064A-ms98-a-0103,366.211500,366.381500,hope,I,sd,u-118-3
sw2064A-ms98-a-0103,366.381500,366.491500,i,I,sd,u-118-3
sw2064A-ms98-a-0103,366.491500,366.691500,never,I,sd,u-118-3
sw2064A-ms98-a-0103,366.691500,366.931500,am,I,sd,u-118-3
sw2064A-ms98-a-0103,367.201500,367.571500,like,I,sd,u-118-3
sw2064A-ms98-a-0103,367.571500,367.721500,like,I,sd,u-118-3
sw2064A-ms98-a-0103,367.721500,368.111500,everybody,I,sd,u-118-3
sw2064A-ms98-a-0103,368.111500,368.341500,else,I,sd,u-118-3
sw2064A-ms98-a-0105,377.453750,377.894375,um-hum,B,b,u-120-1
sw2064A-ms98-a-0107,379.988250,380.379750,uh-huh,B,b,u-122-1
sw2064A-ms98-a-0109,383.360125,383.640125,right,B,b,u-124-1
sw2064A-ms98-a-0111,386.592125,386.962125,uh-huh,B,b,u-126-1
sw2064A-ms98-a-0113,391.440625,391.745750,sure,B,aa,u-128-1
sw2064A-ms98-a-0113,392.080125,392.260625,it's,B,sv,u-128-2
sw2064A-ms98-a-0113,392.260625,392.400625,it's,I,sv,u-128-2
sw2064A-ms98-a-0113,392.400625,392.450625,a,I,sv,u-128-2
sw2064A-ms98-a-0113,392.450625,392.590625,big,I,sv,u-128-2
sw2064A-ms98-a-0113,392.590625,393.160625,responsibility,I,sv,u-128-2
sw2064A-ms98-a-0113,393.160625,393.220625,it,B,sv,u-128-3
sw2064A-ms98-a-0113,393.220625,393.420625,really,I,sv,u-128-3
sw2064A-ms98-a-0113,393.420625,393.626250,is,I,sv,u-128-3
sw2064A-ms98-a-0115,398.928000,399.233750,yes,B,b,u-130-1
sw2064A-ms98-a-0116,400.631750,400.776500,so,B,sd,u-132-1
sw2064A-ms98-a-0116,400.776500,400.905000,would,I,sd,u-132-1
sw2064A-ms98-a-0116,400.905000,401.119750,i,I,sd,u-132-1
sw2064A-ms98-a-0118,403.216625,403.498250,yes,B,aa,u-134-1
sw2064A-ms98-a-0118,403.761625,404.276625,absolutely,B,aa,u-134-2
sw2064A-ms98-a-0120,409.995500,410.085125,it,B,sv,u-136-1
sw2064A-ms98-a-0120,410.085125,410.252875,is,I,sv,u-136-1
sw2064A-ms98-a-0120,410.252875,410.438875,it's,I,sv,u-136-1
