sw2893A-ms98-a-0002,1.073500,1.471625,so,B,%,u-1-1
sw2893A-ms98-a-0069,261.818875,261.858875,a,I,sd,u-81-1
sw2893A-ms98-a-0069,261.858875,262.238875,friend,I,sd,u-81-1
sw2893A-ms98-a-0069,262.238875,262.482875,and,I,sd,u-81-1
sw2893A-ms98-a-0070,262.949500,263.079500,and,I,sd,u-81-1
sw2893A-ms98-a-0070,263.079500,263.249500,stuff,I,sd,u-81-1
sw2893A-ms98-a-0070,263.249500,263.339500,but,B,sd,u-81-2
sw2893A-ms98-a-0070,263.339500,263.429500,when,I,sd,u-81-2
sw2893A-ms98-a-0070,263.429500,263.509500,you,I,sd,u-81-2
sw2893A-ms98-a-0070,263.509500,263.639500,get,I,sd,u-81-2
sw2893A-ms98-a-0070,263.639500,263.759500,into,I,sd,u-81-2
sw2893A-ms98-a-0070,263.759500,263.909500,some,I,sd,u-81-2
sw2893A-ms98-a-0070,263.909500,263.969500,of,I,sd,u-81-2
sw2893A-ms98-a-0070,263.969500,264.109500,these,I,sd,u-81-2
sw2893A-ms98-a-0070,264.109500,264.219500,some,I,sd,u-81-2
sw2893A-ms98-a-0070,264.219500,264.279500,of,I,sd,u-81-2
sw2893A-ms98-a-0070,264.279500,264.399500,these,I,sd,u-81-2
sw2893A-ms98-a-0070,264.399500,264.579500,health,I,sd,u-81-2
sw2893A-ms98-a-0070,264.579500,264.769500,clubs,I,sd,u-81-2
sw2893A-ms98-a-0070,264.769500,264.859500,where,I,sd,u-81-2
sw2893A-ms98-a-0070,264.859500,264.919500,you,I,sd,u-81-2
sw2893A-ms98-a-0070,264.919500,265.089500,just,I,sd,u-81-2
sw2893A-ms98-a-0070,265.089500,265.369500,stand,I,sd,u-81-2
sw2893A-ms98-a-0070,265.369500,265.589500,around,I,sd,u-81-2
sw2893A-ms98-a-0070,265.589500,265.739500,and,I,sd,u-81-2
sw2893A-ms98-a-0070,265.739500,266.115750,wait,I,sd,u-81-2
sw2893A-ms98-a-0071,266.778250,266.898250,you,B,sd,u-83-1
sw2893A-ms98-a-0071,266.898250,267.012500,know,I,sd,u-83-1
sw2893A-ms98-a-0071,267.012500,267.062500,i,I,sd,u-83-1
sw2893A-ms98-a-0071,267.062500,267.232500,like,I,sd,u-83-1
sw2893A-ms98-a-0071,267.232500,267.322500,to,I,sd,u-83-1
sw2893A-ms98-a-0071,267.322500,267.872500,start,I,sd,u-83-1
sw2893A-ms98-a-0071,267.872500,268.002500,get,I,sd,u-83-1
sw2893A-ms98-a-0071,268.002500,268.152500,it,I,sd,u-83-1
sw2893A-ms98-a-0071,268.152500,268.392500,done,I,sd,u-83-1
sw2893A-ms98-a-0071,268.392500,268.622750,and,I,sd,u-83-1
sw2893A-ms98-a-0071,268.837500,268.962500,get,I,sd,u-83-1
sw2893A-ms98-a-0071,268.962500,269.182500,out,I,sd,u-83-1
sw2893A-ms98-a-0071,269.182500,269.272500,of,I,sd,u-83-1
sw2893A-ms98-a-0071,269.272500,269.526125,there,I,sd,u-83-1
sw2893A-ms98-a-0072,270.943875,271.213875,no,B,nn,u-85-1
sw2893A-ms98-a-0072,271.213875,271.313875,i'm,B,sd^e,u-85-2
sw2893A-ms98-a-0072,271.313875,271.585375,not,I,sd^e,u-85-2
sw2893A-ms98-a-0074,284.872125,285.200125,yeah,B,b,u-87-1
sw2893A-ms98-a-0076,289.752875,290.224500,right,B,b,u-89-1
sw2893A-ms98-a-0078,298.411750,298.593250,uh,B,sv,u-91-1
sw2893A-ms98-a-0078,298.593250,298.998750,especially,I,sv,u-91-1
sw2893A-ms98-a-0078,298.998750,299.188750,having,I,sv,u-91-1
sw2893A-ms98-a-0078,299.188750,299.248750,a,I,sv,u-91-1
sw2893A-ms98-a-0078,299.248750,299.558750,kid,I,sv,u-91-1
sw2893A-ms98-a-0078,299.558750,299.656000,i,I,sv,u-91-1
sw2893A-ms98-a-0078,299.656000,299.887875,guess,I,sv,u-91-1
sw2893A-ms98-a-0078,300.652375,300.888750,tends,I,sv,u-91-1
sw2893A-ms98-a-0078,300.888750,301.170625,to,I,sv,u-91-1
sw2893A-ms98-a-0078,301.848625,302.068750,just,I,sv,u-91-1
sw2893A-ms98-a-0078,302.068750,302.318750,gain,I,sv,u-91-1
sw2893A-ms98-a-0078,302.318750,302.688750,weight,I,sv,u-91-1
sw2893A-ms98-a-0078,302.688750,302.918750,because,I,sv,u-91-1
sw2893A-ms98-a-0078,302.918750,303.048750,you,I,sv,u-91-1
sw2893A-ms98-a-0078,303.048750,303.178750,have,I,sv,u-91-1
sw2893A-ms98-a-0078,303.178750,303.338750,to,I,sv,u-91-1
sw2893A-ms98-a-0078,303.338750,303.571125,to,I,sv,u-91-1
sw2893A-ms98-a-0079,304.551250,304.824875,to,B,+,u-93-1
sw2893A-ms98-a-0079,304.824875,305.129250,uh,I,+,u-93-1
sw2893A-ms98-a-0081,322.791375,323.058250,set,O,,
sw2893A-ms98-a-0081,323.058250,323.118250,to,B,bf,u-95-1
sw2893A-ms98-a-0081,323.118250,323.468250,start,I,bf,u-95-1
sw2893A-ms98-a-0081,323.468250,323.588250,all,I,bf,u-95-1
sw2893A-ms98-a-0081,323.588250,323.875625,over,I,bf,u-95-1
sw2893A-ms98-a-0083,328.853875,329.228875,right,B,b,u-97-1
sw2893A-ms98-a-0085,338.008500,338.204750,yeah,B,b,u-99-1
sw2893A-ms98-a-0085,338.204750,338.414750,some,B,sv,u-99-2
sw2893A-ms98-a-0085,338.414750,338.624750,people,I,sv,u-99-2
sw2893A-ms98-a-0085,338.624750,338.684750,are,I,sv,u-99-2
sw2893A-ms98-a-0085,338.684750,338.714750,a,I,sv,u-99-2
sw2893A-ms98-a-0085,338.714750,338.864750,little,I,sv,u-99-2
sw2893A-ms98-a-0085,338.864750,338.994750,bit,I,sv,u-99-2
sw2893A-ms98-a-0085,338.994750,339.574750,fanatical,I,sv,u-99-2
sw2893A-ms98-a-0085,339.574750,339.864750,about,I,sv,u-99-2
sw2893A-ms98-a-0085,339.864750,339.978625,it,I,sv,u-99-2
sw2893A-ms98-a-0085,340.504125,340.651875,you,B,%,u-99-3
sw2893A-ms98-a-0085,340.651875,340.824750,know,I,%,u-99-3
sw2893A-ms98-a-0085,340.824750,340.926000,i,I,%,u-99-3
sw2893A-ms98-a-0086,341.415250,341.610375,well,B,ny,u-101-1
sw2893A-ms98-a-0086,341.610375,341.900375,yeah,I,ny,u-101-1
sw2893A-ms98-a-0086,341.900375,342.060375,and,B,sd^e,u-101-2
sw2893A-ms98-a-0086,342.060375,342.426625,about,I,sd^e,u-101-2
sw2893A-ms98-a-0087,343.318875,343.718875,working,B,+,u-103-1
sw2893A-ms98-a-0087,343.718875,343.978875,out,I,+,u-103-1
sw2893A-ms98-a-0087,343.978875,344.078875,and,I,+,u-103-1
sw2893A-ms98-a-0087,344.078875,344.578875,fitness,I,+,u-103-1
sw2893A-ms98-a-0087,344.578875,344.638875,you,I,+,u-103-1
sw2893A-ms98-a-0087,344.638875,344.788875,know,I,+,u-103-1
sw2893A-ms98-a-0087,344.788875,344.858875,i,B,sd,u-103-2
sw2893A-ms98-a-0087,344.858875,345.058875,like,I,sd,u-103-2
sw2893A-ms98-a-0087,345.058875,345.268875,to,I,sd,u-103-2
sw2893A-ms98-a-0087,345.645500,345.748875,to,I,sd,u-103-2
sw2893A-ms98-a-0087,345.748875,345.938875,work,I,sd,u-103-2
sw2893A-ms98-a-0087,345.938875,346.078875,out,I,sd,u-103-2
sw2893A-ms98-a-0087,346.078875,346.178875,to,I,sd,u-103-2
sw2893A-ms98-a-0087,346.178875,346.328875,look,I,sd,u-103-2
sw2893A-ms98-a-0087,346.328875,346.528875,good,I,sd,u-103-2
sw2893A-ms98-a-0087,346.528875,346.678875,and,I,sd,u-103-2
sw2893A-ms98-a-0087,346.678875,346.978875,stay,I,sd,u-103-2
sw2893A-ms98-a-0087,346.978875,347.108875,in,I,sd,u-103-2
sw2893A-ms98-a-0087,347.108875,347.498875,shape,I,sd,u-103-2
sw2893A-ms98-a-0087,347.498875,347.783250,and,B,sd,u-103-3
sw2893A-ms98-a-0087,347.783250,347.928875,you,I,sd,u-103-3
sw2893A-ms98-a-0087,347.928875,348.078875,know,I,sd,u-103-3
sw2893A-ms98-a-0087,348.078875,348.118875,i,I,sd,u-103-3
sw2893A-ms98-a-0087,348.118875,348.218875,know,I,sd,u-103-3
sw2893A-ms98-a-0087,348.218875,348.338875,it's,I,sd,u-103-3
sw2893A-ms98-a-0087,348.338875,348.538875,good,I,sd,u-103-3
sw2893A-ms98-a-0087,348.538875,348.788875,for,I,sd,u-103-3
sw2893A-ms98-a-0087,348.788875,348.978875,me,I,sd,u-103-3
sw2893A-ms98-a-0087,348.978875,349.172250,but,B,sv,u-103-4
sw2893A-ms98-a-0088,349.947500,350.210250,people,I,sv,u-103-4
sw2893A-ms98-a-0088,350.210250,350.400250,that,I,sv,u-103-4
sw2893A-ms98-a-0088,350.400250,350.610250,live,I,sv,u-103-4
sw2893A-ms98-a-0088,350.610250,350.890250,for,I,sv,u-103-4
sw2893A-ms98-a-0088,350.890250,351.030250,it,I,sv,u-103-4
sw2893A-ms98-a-0088,351.030250,351.450250,and,I,sv,u-103-4
sw2893A-ms98-a-0088,351.450250,351.600250,you,I,sv,u-103-4
sw2893A-ms98-a-0088,351.600250,351.830250,know,I,sv,u-103-4
sw2893A-ms98-a-0088,351.830250,352.080250,eat,I,sv,u-103-4
sw2893A-ms98-a-0088,352.080250,352.130250,a,I,sv,u-103-4
sw2893A-ms98-a-0088,352.130250,352.360250,bunch,I,sv,u-103-4
sw2893A-ms98-a-0088,352.360250,352.420250,of,I,sv,u-103-4
sw2893A-ms98-a-0088,352.420250,352.743875,different,I,sv,u-103-4
sw2893A-ms98-a-0088,353.064000,353.500250,pills,I,sv,u-103-4
sw2893A-ms98-a-0088,353.500250,353.776875,and,I,sv,u-103-4
sw2893A-ms98-a-0089,354.610875,354.840875,all,B,+,u-105-1
sw2893A-ms98-a-0089,354.840875,355.013750,that,I,+,u-105-1
sw2893A-ms98-a-0089,355.013750,355.230875,kind,I,+,u-105-1
sw2893A-ms98-a-0089,355.230875,355.310875,of,I,+,u-105-1
sw2893A-ms98-a-0089,355.310875,355.670875,stuff,I,+,u-105-1
sw2893A-ms98-a-0089,355.670875,355.849250,it,I,+,u-105-1
sw2893A-ms98-a-0089,355.849250,356.060875,gets,I,+,u-105-1
sw2893A-ms98-a-0089,356.060875,356.130875,a,I,+,u-105-1
sw2893A-ms98-a-0089,356.130875,356.360875,little,I,+,u-105-1
sw2893A-ms98-a-0089,356.360875,356.542625,bit,I,+,u-105-1
sw2893A-ms98-a-0090,357.497125,358.554250,obsessive,I,+,u-105-1
sw2893A-ms98-a-0092,366.076875,366.484500,yeah,B,b,u-107-1
sw2893A-ms98-a-0094,369.160875,369.584000,yeah,B,b^r,u-109-1
sw2893A-ms98-a-0096,374.148875,374.888875,steroids,B,sd,u-111-1
sw2893A-ms98-a-0097,375.849500,376.104000,yeah,B,b,u-113-1
sw2893A-ms98-a-0097,376.104000,376.394000,there's,B,sv,u-113-2
sw2893A-ms98-a-0097,376.394000,376.614000,really,I,sv,u-113-2
sw2893A-ms98-a-0097,376.614000,376.902625,bad,I,sv,u-113-2
sw2893A-ms98-a-0097,376.902625,377.114000,for,I,sv,u-113-2
sw2893A-ms98-a-0097,377.114000,377.315625,you,I,sv,u-113-2
sw2893A-ms98-a-0099,381.002000,381.461875,[hem/hormones],O,,
sw2893A-ms98-a-0099,381.725500,382.370750,hormones,B,b^m,u-115-1
sw2893A-ms98-a-0101,388.013250,388.253875,yeah,B,b,u-117-1
sw2893A-ms98-a-0101,388.253875,388.773875,it's,B,sv,u-117-2
sw2893A-ms98-a-0101,388.773875,388.963875,too,I,sv,u-117-2
sw2893A-ms98-a-0101,388.963875,389.498750,dangerous,I,sv,u-117-2
sw2893A-ms98-a-0103,394.940500,395.699250,[laughter],O,,
sw2893A-ms98-a-0105,397.642000,397.885000,yeah,B,b,u-121-1
sw2893A-ms98-a-0105,397.885000,397.995000,i,B,sd,u-121-2
sw2893A-ms98-a-0105,397.995000,398.115000,had,I,sd,u-121-2
sw2893A-ms98-a-0105,398.115000,398.165000,a,I,sd,u-121-2
sw2893A-ms98-a-0105,398.165000,398.455000,friend,I,sd,u-121-2
sw2893A-ms98-a-0105,398.455000,398.605000,whose,I,sd,u-121-2
sw2893A-ms98-a-0105,398.605000,398.885000,brother,I,sd,u-121-2
sw2893A-ms98-a-0105,398.885000,399.055000,did,I,sd,u-121-2
sw2893A-ms98-a-0105,399.055000,399.585000,steroids,I,sd,u-121-2
sw2893A-ms98-a-0105,399.585000,399.736125,and,B,sd,u-121-3
sw2893A-ms98-a-0106,400.319625,400.399625,as,I,sd,u-121-3
sw2893A-ms98-a-0106,400.399625,400.559625,soon,I,sd,u-121-3
sw2893A-ms98-a-0106,400.559625,400.639625,as,I,sd,u-121-3
sw2893A-ms98-a-0106,400.639625,400.739625,he,I,sd,u-121-3
sw2893A-ms98-a-0106,400.739625,401.059625,stopped,I,sd,u-121-3
sw2893A-ms98-a-0106,401.059625,401.359625,working,I,sd,u-121-3
sw2893A-ms98-a-0106,401.359625,401.499625,out,I,sd,u-121-3
sw2893A-ms98-a-0106,401.499625,401.579625,he,I,sd,u-121-3
sw2893A-ms98-a-0106,401.579625,401.785750,just,I,sd,u-121-3
sw2893A-ms98-a-0107,402.501625,403.081625,ballooned,I,sd,u-121-3
sw2893A-ms98-a-0107,403.081625,403.361625,out,I,sd,u-121-3
sw2893A-ms98-a-0107,403.361625,403.481625,it,B,sd,u-121-4
sw2893A-ms98-a-0107,403.481625,403.611625,all,I,sd,u-121-4
sw2893A-ms98-a-0107,403.611625,403.901625,turned,I,sd,u-121-4
sw2893A-ms98-a-0107,403.901625,403.971625,to,I,sd,u-121-4
sw2893A-ms98-a-0107,403.971625,404.361625,fat,I,sd,u-121-4
sw2893A-ms98-a-0107,404.361625,404.451625,and,B,sd,u-121-5
sw2893A-ms98-a-0107,404.451625,404.554125,it,I,sd,u-121-5
sw2893A-ms98-a-0107,404.554125,404.779500,just,I,sd,u-121-5
sw2893A-ms98-a-0108,405.265500,405.524875,really,B,+,u-123-1
sw2893A-ms98-a-0108,405.524875,405.794875,looked,I,+,u-123-1
sw2893A-ms98-a-0108,405.794875,406.266375,bad,I,+,u-123-1
sw2893A-ms98-a-0110,407.841250,408.177000,but,B,%,u-125-1
sw2893A-ms98-a-0110,408.177000,408.434500,uh,I,%,u-125-1
sw2893A-ms98-a-0111,409.947500,410.037500,i,B,h,u-127-1
sw2893A-ms98-a-0111,410.037500,410.177500,don't,I,h,u-127-1
sw2893A-ms98-a-0111,410.177500,410.267500,know,I,h,u-127-1
sw2893A-ms98-a-0111,410.267500,410.367500,if,I,h,u-127-1
sw2893A-ms98-a-0111,410.367500,410.467500,it,I,h,u-127-1
sw2893A-ms98-a-0111,410.467500,410.667500,does,I,h,u-127-1
sw2893A-ms98-a-0111,410.667500,410.797500,to,I,h,u-127-1
sw2893A-ms98-a-0111,410.797500,411.257500,everybody,I,h,u-127-1
sw2893A-ms98-a-0111,411.257500,411.357500,he,B,%,u-127-2
sw2893A-ms98-a-0111,411.357500,411.705500,was,I,%,u-127-2
sw2893A-ms98-a-0112,411.994250,412.244250,it,B,sd,u-127-3
sw2893A-ms98-a-0112,412.244250,412.452500,it,I,sd,u-127-3
sw2893A-ms98-a-0112,412.642500,412.834250,just,I,sd,u-127-3
sw2893A-ms98-a-0112,412.834250,413.084250,that's,I,sd,u-127-3
sw2893A-ms98-a-0112,413.084250,413.234250,how,I,sd,u-127-3
sw2893A-ms98-a-0112,413.234250,413.294250,it,I,sd,u-127-3
sw2893A-ms98-a-0112,413.294250,413.714250,affected,I,sd,u-127-3
sw2893A-ms98-a-0112,413.714250,414.058125,him,I,sd,u-127-3
sw2893A-ms98-a-0112,414.749000,414.986250,and,B,h,u-127-4
sw2893A-ms98-a-0112,414.986250,415.205875,he,I,h,u-127-4
sw2893A-ms98-a-0112,415.470875,415.574250,i,I,h,u-127-4
sw2893A-ms98-a-0112,415.574250,415.704250,don't,I,h,u-127-4
sw2893A-ms98-a-0112,415.704250,415.924250,know,I,h,u-127-4
sw2893A-ms98-a-0112,415.924250,416.167875,just,I,h,u-127-4
sw2893A-ms98-a-0114,427.314500,427.761500,yeah,B,b,u-129-1
sw2893A-ms98-a-0115,428.521875,428.782250,at,B,sv,u-131-1
sw2893A-ms98-a-0115,428.782250,428.912250,least,I,sv,u-131-1
sw2893A-ms98-a-0115,428.912250,428.972250,you,I,sv,u-131-1
sw2893A-ms98-a-0115,428.972250,429.112250,got,I,sv,u-131-1
sw2893A-ms98-a-0115,429.112250,429.162250,a,I,sv,u-131-1
sw2893A-ms98-a-0115,429.162250,429.442250,chance,I,sv,u-131-1
sw2893A-ms98-a-0115,429.442250,429.522250,to,I,sv,u-131-1
sw2893A-ms98-a-0115,429.522250,429.812250,outrun,I,sv,u-131-1
sw2893A-ms98-a-0115,429.812250,429.922250,them_1,I,sv,u-131-1
sw2893A-ms98-a-0115,429.922250,430.132250,that,I,sv,u-131-1
sw2893A-ms98-a-0115,430.132250,430.311000,way,I,sv,u-131-1
sw2893A-ms98-a-0116,431.420875,431.508375,i,B,sd,u-133-1
sw2893A-ms98-a-0116,431.508375,431.648375,don't,I,sd,u-133-1
sw2893A-ms98-a-0116,431.648375,431.788375,like,I,sd,u-133-1
sw2893A-ms98-a-0116,431.788375,431.918375,to,I,sd,u-133-1
sw2893A-ms98-a-0116,431.918375,432.128375,run,I,sd,u-133-1
sw2893A-ms98-a-0116,432.128375,432.588375,myself,I,sd,u-133-1
sw2893A-ms98-a-0116,432.588375,432.684750,i've,B,sd,u-133-2
sw2893A-ms98-a-0116,432.918375,433.138375,thought,I,sd,u-133-2
sw2893A-ms98-a-0116,433.138375,433.358375,about,I,sd,u-133-2
sw2893A-ms98-a-0116,433.358375,433.428375,it,I,sd,u-133-2
sw2893A-ms98-a-0116,433.428375,433.758375,several,I,sd,u-133-2
sw2893A-ms98-a-0116,433.758375,434.188375,times,I,sd,u-133-2
sw2893A-ms98-a-0116,434.188375,434.298375,and,B,sd,u-133-3
sw2893A-ms98-a-0116,434.298375,434.338375,i,I,sd,u-133-3
sw2893A-ms98-a-0116,434.338375,434.518375,just,I,sd,u-133-3
sw2893A-ms98-a-0116,434.518375,434.733500,it,I,sd,u-133-3
sw2893A-ms98-a-0116,435.535750,435.688375,i,I,sd,u-133-3
sw2893A-ms98-a-0116,435.688375,435.888375,like,I,sd,u-133-3
sw2893A-ms98-a-0116,435.888375,436.008375,to,I,sd,u-133-3
sw2893A-ms98-a-0116,436.008375,436.208375,move,I,sd,u-133-3
sw2893A-ms98-a-0116,436.208375,436.268375,a,I,sd,u-133-3
sw2893A-ms98-a-0116,436.268375,436.458375,little,I,sd,u-133-3
sw2893A-ms98-a-0116,436.458375,436.998375,faster,I,sd,u-133-3
sw2893A-ms98-a-0116,436.998375,437.160000,and,I,sd,u-133-3
sw2893A-ms98-a-0116,437.860625,438.108375,cover,I,sd,u-133-3
sw2893A-ms98-a-0116,438.108375,438.338375,more,I,sd,u-133-3
sw2893A-ms98-a-0116,438.338375,438.861625,ground,I,sd,u-133-3
sw2893A-ms98-a-0118,444.633875,444.794125,it's,B,sv,u-135-1
sw2893A-ms98-a-0118,444.794125,445.084125,probably,I,sv,u-135-1
sw2893A-ms98-a-0118,445.084125,445.124125,i,I,sv,u-135-1
sw2893A-ms98-a-0118,445.124125,445.244125,would,I,sv,u-135-1
sw2893A-ms98-a-0118,445.244125,445.404125,think,I,sv,u-135-1
sw2893A-ms98-a-0118,445.404125,445.484125,it,I,sv,u-135-1
sw2893A-ms98-a-0118,445.484125,445.574125,would,I,sv,u-135-1
sw2893A-ms98-a-0118,445.574125,445.634125,be,I,sv,u-135-1
sw2893A-ms98-a-0118,445.634125,445.774125,hard,I,sv,u-135-1
sw2893A-ms98-a-0118,445.774125,445.874125,on,I,sv,u-135-1
sw2893A-ms98-a-0118,445.874125,446.210500,your,I,sv,u-135-1
sw2893A-ms98-a-0118,446.553250,446.956125,your,I,sv,u-135-1
sw2893A-ms98-a-0118,446.956125,447.324125,legs,I,sv,u-135-1
sw2893A-ms98-a-0118,447.324125,447.434125,and,I,sv,u-135-1
sw2893A-ms98-a-0118,447.434125,447.554125,your,I,sv,u-135-1
sw2893A-ms98-a-0118,447.554125,447.994125,joints,I,sv,u-135-1
sw2893A-ms98-a-0118,447.994125,448.124125,and,I,sv,u-135-1
sw2893A-ms98-a-0118,448.124125,448.412750,stuff,I,sv,u-135-1
sw2893A-ms98-a-0120,454.620375,455.019375,yeah,B,b,u-137-1
sw2893A-ms98-a-0122,459.112375,459.324500,uh,B,sd,u-139-1
sw2893A-ms98-a-0122,459.324500,459.498250,i,I,sd,u-139-1
sw2893A-ms98-a-0122,459.498250,459.930375,can't,I,sd,u-139-1
sw2893A-ms98-a-0124,467.244375,467.627375,yeah,B,b,u-141-1
sw2893A-ms98-a-0126,469.504125,469.747000,no,B,nn,u-143-1
sw2893A-ms98-a-0126,469.747000,469.897000,you,B,sd^e,u-143-2
sw2893A-ms98-a-0126,469.897000,470.372375,can't,I,sd^e,u-143-2
sw2893A-ms98-a-0127,471.166500,471.268875,it's,B,sv,u-143-3
sw2893A-ms98-a-0127,471.268875,471.915250,dangerous,I,sv,u-143-3
sw2893A-ms98-a-0128,472.410000,472.480000,at,B,sv,u-145-1
sw2893A-ms98-a-0128,472.480000,472.730000,least,I,sv,u-145-1
sw2893A-ms98-a-0128,472.730000,472.920000,maybe,I,sv,u-145-1
sw2893A-ms98-a-0128,472.920000,473.050000,some,I,sv,u-145-1
sw2893A-ms98-a-0128,473.050000,473.110000,of,I,sv,u-145-1
sw2893A-ms98-a-0128,473.110000,473.200000,these,I,sv,u-145-1
sw2893A-ms98-a-0128,473.200000,473.560000,mountain,I,sv,u-145-1
sw2893A-ms98-a-0128,473.560000,473.860000,bikes,I,sv,u-145-1
sw2893A-ms98-a-0128,473.860000,473.940000,you,I,sv,u-145-1
sw2893A-ms98-a-0128,473.940000,474.180000,could,I,sv,u-145-1
sw2893A-ms98-a-0128,474.180000,474.310000,but,B,sd,u-145-2
sw2893A-ms98-a-0128,474.310000,474.360000,a,I,sd,u-145-2
sw2893A-ms98-a-0128,474.360000,474.680000,regular,I,sd,u-145-2
sw2893A-ms98-a-0128,474.680000,474.900000,ten,I,sd,u-145-2
sw2893A-ms98-a-0128,474.900000,475.110000,speed,I,sd,u-145-2
sw2893A-ms98-a-0128,475.110000,475.200000,with,I,sd,u-145-2
sw2893A-ms98-a-0128,475.200000,475.320000,those,I,sd,u-145-2
sw2893A-ms98-a-0128,475.320000,475.634000,skinny,I,sd,u-145-2
sw2893A-ms98-a-0128,475.634000,476.093500,tires,I,sd,u-145-2
sw2893A-ms98-a-0129,476.691750,476.761750,you,B,+,u-147-1
sw2893A-ms98-a-0129,476.761750,477.091750,slide,I,+,u-147-1
sw2893A-ms98-a-0129,477.091750,477.181750,all,I,+,u-147-1
sw2893A-ms98-a-0129,477.181750,477.321750,over,I,+,u-147-1
sw2893A-ms98-a-0129,477.321750,477.418250,the,I,+,u-147-1
sw2893A-ms98-a-0129,477.418250,477.784125,place,I,+,u-147-1
sw2893A-ms98-a-0131,506.588250,506.879125,yeah,B,b,u-149-1
sw2893A-ms98-a-0133,512.670625,513.012250,yeah,B,fc,u-151-1
sw2893A-ms98-a-0133,513.012250,513.280875,well,B,%,u-151-2
sw2893A-ms98-a-0134,514.660250,514.758125,good,B,fc,u-153-1
sw2893A-ms98-a-0134,514.758125,514.958125,luck,I,fc,u-153-1
sw2893A-ms98-a-0134,514.958125,515.108125,with,I,fc,u-153-1
sw2893A-ms98-a-0134,515.108125,515.368125,the,I,fc,u-153-1
sw2893A-ms98-a-0134,515.368125,515.578125,the,I,fc,u-153-1
sw2893A-ms98-a-0134,515.578125,515.738125,new,I,fc,u-153-1
sw2893A-ms98-a-0134,515.738125,516.112250,kid,I,fc,u-153-1
sw2893A-ms98-a-0136,521.389875,521.753125,[laughter-all],O,,
sw2893A-ms98-a-0136,521.753125,522.249375,[laughter-right],O,,
sw2893A-ms98-a-0136,522.664500,522.845250,bye,O,,
sw2893A-ms98-a-0136,522.845250,523.063125,bye,O,,
