sw3659A-ms98-a-0001,0.032500,0.490000,set,B,o,u-1-1
sw3659A-ms98-a-0036,170.844125,171.024125,one,I,sd,u-75-1
sw3659A-ms98-a-0036,171.024125,171.094125,a,I,sd,u-75-1
sw3659A-ms98-a-0036,171.094125,171.264125,week,I,sd,u-75-1
sw3659A-ms98-a-0036,171.264125,171.354125,and,B,sd,u-75-2
sw3659A-ms98-a-0036,171.354125,171.454125,that,I,sd,u-75-2
sw3659A-ms98-a-0036,171.454125,171.564125,was,I,sd,u-75-2
sw3659A-ms98-a-0036,171.564125,171.904125,certainly,I,sd,u-75-2
sw3659A-ms98-a-0036,171.904125,172.739750,sufficient,I,sd,u-75-2
sw3659A-ms98-a-0036,172.973250,173.084125,so,B,sd,u-75-3
sw3659A-ms98-a-0036,173.084125,173.154125,if,I,sd,u-75-3
sw3659A-ms98-a-0036,173.154125,173.284125,they,I,sd,u-75-3
sw3659A-ms98-a-0036,173.284125,173.416000,just,I,sd,u-75-3
sw3659A-ms98-a-0036,173.416000,173.761125,do,I,sd,u-75-3
sw3659A-ms98-a-0036,173.761125,173.944125,one,B,sd,u-75-4
sw3659A-ms98-a-0036,173.944125,174.004125,of,I,sd,u-75-4
sw3659A-ms98-a-0036,174.004125,174.104125,them,I,sd,u-75-4
sw3659A-ms98-a-0036,174.104125,174.204125,will,I,sd,u-75-4
sw3659A-ms98-a-0036,174.204125,174.294125,be,I,sd,u-75-4
sw3659A-ms98-a-0036,174.294125,174.694125,trash,I,sd,u-75-4
sw3659A-ms98-a-0036,174.694125,174.784125,and,B,sd,u-75-5
sw3659A-ms98-a-0036,174.784125,174.914125,the,I,sd,u-75-5
sw3659A-ms98-a-0036,174.914125,175.384125,alternate,I,sd,u-75-5
sw3659A-ms98-a-0036,175.384125,175.654125,time,I,sd,u-75-5
sw3659A-ms98-a-0036,175.654125,175.764125,would,I,sd,u-75-5
sw3659A-ms98-a-0036,175.764125,175.914125,do,I,sd,u-75-5
sw3659A-ms98-a-0036,175.914125,176.644125,recyclables,I,sd,u-75-5
sw3659A-ms98-a-0036,176.644125,176.814125,that'd,O,,
sw3659A-ms98-a-0036,176.814125,176.934125,be,B,sd,u-75-6
sw3659A-ms98-a-0036,176.934125,177.626500,great,I,sd,u-75-6
sw3659A-ms98-a-0037,179.312625,179.652625,so,B,%,u-77-1
sw3659A-ms98-a-0037,179.742625,179.892625,i,O,,
sw3659A-ms98-a-0037,179.892625,180.092625,hope,O,,
sw3659A-ms98-a-0037,180.462625,180.522625,they,O,,
sw3659A-ms98-a-0037,180.522625,180.612625,do,O,,
sw3659A-ms98-a-0039,185.122625,185.505625,um-hum,B,b,u-79-1
sw3659A-ms98-a-0041,188.703250,189.286500,oh,B,b,u-81-1
sw3659A-ms98-a-0043,191.948750,192.329875,hm,B,%,u-83-1
sw3659A-ms98-a-0045,196.375375,196.903500,right,B,b,u-85-1
sw3659A-ms98-a-0047,204.871875,205.405500,yeah,B,b,u-87-1
sw3659A-ms98-a-0047,205.838625,205.931875,do,B,qy,u-87-2
sw3659A-ms98-a-0047,205.931875,206.011875,you,I,qy,u-87-2
sw3659A-ms98-a-0047,206.011875,206.331875,have,I,qy,u-87-2
sw3659A-ms98-a-0047,206.331875,206.611875,to,I,qy,u-87-2
sw3659A-ms98-a-0047,206.611875,206.874250,um,I,qy,u-87-2
sw3659A-ms98-a-0047,207.134125,207.581875,sort,I,qy,u-87-2
sw3659A-ms98-a-0047,207.581875,207.641875,the,I,qy,u-87-2
sw3659A-ms98-a-0047,207.641875,207.921875,paper,I,qy,u-87-2
sw3659A-ms98-a-0047,207.921875,208.031875,and,I,qy,u-87-2
sw3659A-ms98-a-0047,208.031875,208.251875,take,I,qy,u-87-2
sw3659A-ms98-a-0047,208.251875,208.381875,out,I,qy,u-87-2
sw3659A-ms98-a-0047,208.381875,208.441875,the,I,qy,u-87-2
sw3659A-ms98-a-0047,208.441875,208.901875,glossy,I,qy,u-87-2
sw3659A-ms98-a-0047,208.901875,209.401875,pages,I,qy,u-87-2
sw3659A-ms98-a-0047,209.401875,209.491875,and,I,qy,u-87-2
sw3659A-ms98-a-0047,209.491875,209.650875,that,I,qy,u-87-2
sw3659A-ms98-a-0047,209.835375,209.977500,that,I,qy,u-87-2
sw3659A-ms98-a-0047,209.977500,210.161875,sort,I,qy,u-87-2
sw3659A-ms98-a-0047,210.161875,210.221875,of,I,qy,u-87-2
sw3659A-ms98-a-0047,210.221875,210.431875,thing,I,qy,u-87-2
sw3659A-ms98-a-0047,210.431875,210.501875,or,B,qrr,u-87-3
sw3659A-ms98-a-0047,210.501875,210.591875,do,I,qrr,u-87-3
sw3659A-ms98-a-0047,210.591875,210.681875,they,I,qrr,u-87-3
sw3659A-ms98-a-0047,210.681875,210.871875,take,I,qrr,u-87-3
sw3659A-ms98-a-0047,210.871875,210.971875,the,I,qrr,u-87-3
sw3659A-ms98-a-0047,210.971875,211.091875,whole,I,qrr,u-87-3
sw3659A-ms98-a-0047,211.091875,211.562000,thing,I,qrr,u-87-3
sw3659A-ms98-a-0049,214.495125,214.660250,oh,B,bk,u-89-1
sw3659A-ms98-a-0049,214.660250,215.247375,okay,I,bk,u-89-1
sw3659A-ms98-a-0051,218.376875,218.716625,um-hum,B,b,u-91-1
sw3659A-ms98-a-0053,233.886875,235.079250,[laughter],O,,
sw3659A-ms98-a-0053,235.079250,235.179250,let,B,co,u-93-1
sw3659A-ms98-a-0053,235.179250,235.269250,me,I,co,u-93-1
sw3659A-ms98-a-0053,235.269250,235.519250,guess,I,co,u-93-1
sw3659A-ms98-a-0053,235.519250,235.589250,you,B,sd,u-95-1
sw3659A-ms98-a-0053,235.589250,235.759250,work,I,sd,u-95-1
sw3659A-ms98-a-0053,235.759250,235.909250,at,I,sd,u-95-1
sw3659A-ms98-a-0053,235.909250,236.309250,TI,O,,
sw3659A-ms98-a-0053,236.309250,236.650750,right,B,^g,u-95-2
sw3659A-ms98-a-0054,237.409750,237.678250,so,B,sd,u-97-1
sw3659A-ms98-a-0054,237.678250,237.868250,do,I,sd,u-97-1
sw3659A-ms98-a-0054,237.868250,238.328375,[laughter-i],O,,
sw3659A-ms98-a-0054,238.328375,238.701125,[laughter],O,,
sw3659A-ms98-a-0055,240.272500,240.730375,yeah,B,b,u-99-1
sw3659A-ms98-a-0056,242.187125,242.344875,i,O,,
sw3659A-ms98-a-0056,242.344875,242.738250,know,O,,
sw3659A-ms98-a-0058,246.377625,246.765500,yeah,B,b,u-103-1
sw3659A-ms98-a-0060,250.683125,251.043125,yeah,B,b,u-105-1
sw3659A-ms98-a-0062,253.342500,253.532500,well,B,sd,u-107-1
sw3659A-ms98-a-0062,253.532500,253.646375,th[ey]-,I,sd,u-107-1
sw3659A-ms98-a-0062,253.646375,253.802500,and,I,sd,u-107-1
sw3659A-ms98-a-0062,253.802500,253.920375,they,I,sd,u-107-1
sw3659A-ms98-a-0062,253.920375,254.086125,take,I,sd,u-107-1
sw3659A-ms98-a-0062,254.086125,254.492500,cans,I,sd,u-107-1
sw3659A-ms98-a-0062,254.492500,254.755500,now,I,sd,u-107-1
sw3659A-ms98-a-0062,254.755500,255.310625,too,I,sd,u-107-1
sw3659A-ms98-a-0062,255.552500,255.727500,which,B,+,u-109-1
sw3659A-ms98-a-0062,255.727500,255.857625,is,I,+,u-109-1
sw3659A-ms98-a-0062,255.857625,256.087000,great,I,+,u-109-1
sw3659A-ms98-a-0064,260.280375,261.288750,[laughter],O,,
sw3659A-ms98-a-0064,261.288750,261.538750,well,B,sd,u-111-1
sw3659A-ms98-a-0064,261.538750,261.698750,our,I,sd,u-111-1
sw3659A-ms98-a-0064,261.698750,262.128750,department,I,sd,u-111-1
sw3659A-ms98-a-0064,262.128750,262.248750,used,I,sd,u-111-1
sw3659A-ms98-a-0064,262.248750,262.358750,to,I,sd,u-111-1
sw3659A-ms98-a-0064,262.358750,262.618750,collect,I,sd,u-111-1
sw3659A-ms98-a-0064,262.618750,262.678750,the,I,sd,u-111-1
sw3659A-ms98-a-0064,262.678750,263.028750,cans,I,sd,u-111-1
sw3659A-ms98-a-0064,263.028750,263.378750,anyway,I,sd,u-111-1
sw3659A-ms98-a-0064,263.378750,263.488750,for,I,sd,u-111-1
sw3659A-ms98-a-0064,263.488750,263.558750,the,I,sd,u-111-1
sw3659A-ms98-a-0064,263.558750,263.868750,Christmas,I,sd,u-111-1
sw3659A-ms98-a-0064,263.868750,264.058750,tree,I,sd,u-111-1
sw3659A-ms98-a-0064,264.058750,264.764000,project,I,sd,u-111-1
sw3659A-ms98-a-0065,265.378125,265.888125,and,B,sd,u-111-2
sw3659A-ms98-a-0065,265.888125,265.978125,in,B,+,u-113-1
sw3659A-ms98-a-0065,265.978125,266.268125,fact,I,+,u-113-1
sw3659A-ms98-a-0065,266.268125,266.368125,we,I,+,u-113-1
sw3659A-ms98-a-0065,266.368125,266.664625,got,I,+,u-113-1
sw3659A-ms98-a-0065,266.796500,266.898125,this,I,+,u-113-1
sw3659A-ms98-a-0065,266.898125,267.188125,past,I,+,u-113-1
sw3659A-ms98-a-0065,267.188125,267.358125,year,I,+,u-113-1
sw3659A-ms98-a-0065,267.358125,267.448125,we,I,+,u-113-1
sw3659A-ms98-a-0065,267.448125,267.658125,got,I,+,u-113-1
sw3659A-ms98-a-0065,267.658125,267.838125,all,I,+,u-113-1
sw3659A-ms98-a-0065,267.838125,267.988125,of,I,+,u-113-1
sw3659A-ms98-a-0065,267.988125,268.088125,our,I,+,u-113-1
sw3659A-ms98-a-0065,268.088125,268.298125,money,I,+,u-113-1
sw3659A-ms98-a-0065,268.298125,268.398125,for,I,+,u-113-1
sw3659A-ms98-a-0065,268.398125,268.478125,the,I,+,u-113-1
sw3659A-ms98-a-0065,268.478125,268.798125,Christmas,I,+,u-113-1
sw3659A-ms98-a-0065,268.798125,269.055875,tree,I,+,u-113-1
sw3659A-ms98-a-0065,269.285625,269.488125,because,I,+,u-113-1
sw3659A-ms98-a-0065,269.488125,269.568125,we,I,+,u-113-1
sw3659A-ms98-a-0065,269.568125,269.878125,saved,I,+,u-113-1
sw3659A-ms98-a-0065,269.878125,270.270875,cans,I,+,u-113-1
sw3659A-ms98-a-0065,270.489250,270.665250,for,I,+,u-113-1
sw3659A-ms98-a-0065,270.665250,270.736875,the,I,+,u-113-1
sw3659A-ms98-a-0065,270.736875,271.438125,entire,I,+,u-113-1
sw3659A-ms98-a-0065,271.438125,272.038125,year,I,+,u-113-1
sw3659A-ms98-a-0066,272.947875,273.151250,and,B,sd,u-115-1
sw3659A-ms98-a-0066,273.151250,273.296875,it,I,sd,u-115-1
sw3659A-ms98-a-0066,273.296875,273.566875,worked,I,sd,u-115-1
sw3659A-ms98-a-0066,273.566875,273.696875,out,I,sd,u-115-1
sw3659A-ms98-a-0066,273.696875,273.956875,really,I,sd,u-115-1
sw3659A-ms98-a-0066,273.956875,274.580750,well,I,sd,u-115-1
sw3659A-ms98-a-0068,278.196500,278.604000,uh-huh,B,b,u-117-1
sw3659A-ms98-a-0069,279.485000,279.785000,uh-huh,B,b,u-119-1
sw3659A-ms98-a-0071,285.470625,286.041875,um-hum,B,b,u-121-1
sw3659A-ms98-a-0073,289.254250,289.514250,uh-huh,B,b,u-123-1
sw3659A-ms98-a-0074,291.328000,291.921250,um-hum,O,,
sw3659A-ms98-a-0076,295.063125,295.602000,yeah,B,b,u-125-1
sw3659A-ms98-a-0077,296.816625,297.260375,yep,O,,
sw3659A-ms98-a-0077,297.407250,297.855125,yep,O,,
sw3659A-ms98-a-0077,298.145125,298.355125,because_1,O,,
sw3659A-ms98-a-0077,298.355125,298.555125,we,B,sd,u-131-1
sw3659A-ms98-a-0077,298.555125,298.745125,would,I,sd,u-131-1
sw3659A-ms98-a-0077,298.745125,298.945125,get,I,sd,u-131-1
sw3659A-ms98-a-0077,298.945125,299.005125,it,I,sd,u-131-1
