sw2038A-ms98-a-0003,2.443875,2.780125,yep,O,,
sw2038A-ms98-a-0031,313.762625,314.072625,their,I,sd,u-20-5
sw2038A-ms98-a-0031,314.072625,314.822625,detriment,I,sd,u-20-5
sw2038A-ms98-a-0031,314.822625,315.202625,they,I,sd,u-20-5
sw2038A-ms98-a-0031,315.202625,315.542625,came,I,sd,u-20-5
sw2038A-ms98-a-0031,315.542625,315.922625,from,I,sd,u-20-5
sw2038A-ms98-a-0031,315.922625,316.505000,uh,I,sd,u-20-5
sw2038A-ms98-a-0031,316.810625,317.217250,this,I,sd,u-20-5
sw2038A-ms98-a-0032,318.026375,318.502125,uh,I,sd,u-20-5
sw2038A-ms98-a-0032,319.017250,319.424750,hundreds,I,sd,u-20-5
sw2038A-ms98-a-0032,319.424750,319.524750,of,I,sd,u-20-5
sw2038A-ms98-a-0032,319.524750,319.914750,years,I,sd,u-20-5
sw2038A-ms98-a-0032,319.914750,320.024750,of,I,sd,u-20-5
sw2038A-ms98-a-0032,320.024750,320.884750,Spanish,I,sd,u-20-5
sw2038A-ms98-a-0032,320.884750,321.574750,control,I,sd,u-20-5
sw2038A-ms98-a-0032,321.574750,321.734750,in,O,,
sw2038A-ms98-a-0032,321.734750,321.944750,the,B,sd,u-20-6
sw2038A-ms98-a-0032,321.944750,322.074750,in,I,sd,u-20-6
sw2038A-ms98-a-0032,322.074750,322.134750,the,I,sd,u-20-6
sw2038A-ms98-a-0032,322.134750,322.971250,Spaniards,I,sd,u-20-6
sw2038A-ms98-a-0032,323.518250,323.904750,have,I,sd,u-20-6
sw2038A-ms98-a-0032,323.904750,324.200875,a,I,sd,u-20-6
sw2038A-ms98-a-0032,324.460750,325.114750,horrible,I,sd,u-20-6
sw2038A-ms98-a-0032,325.114750,325.614750,history,I,sd,u-20-6
sw2038A-ms98-a-0032,325.614750,326.023500,of,I,sd,u-20-6
sw2038A-ms98-a-0032,326.494250,327.314750,corrupt,I,sd,u-20-6
sw2038A-ms98-a-0032,327.314750,327.803250,uh,I,sd,u-20-6
sw2038A-ms98-a-0032,327.803250,328.294750,government,I,sd,u-20-6
sw2038A-ms98-a-0032,328.294750,329.074750,greedy,I,sd,u-20-6
sw2038A-ms98-a-0032,329.074750,329.427750,uh,I,sd,u-20-6
sw2038A-ms98-a-0032,330.335000,331.024750,rulers,I,sd,u-20-6
sw2038A-ms98-a-0032,331.024750,331.364750,who,I,sd,u-20-6
sw2038A-ms98-a-0033,332.623000,332.700375,uh,I,sd,u-20-6
sw2038A-ms98-a-0033,332.700375,332.840375,have,I,sd,u-20-6
sw2038A-ms98-a-0033,332.840375,333.100375,been,I,sd,u-20-6
sw2038A-ms98-a-0033,333.100375,333.465375,uh,I,sd,u-20-6
sw2038A-ms98-a-0034,334.016750,334.128125,i,I,sd,u-20-6
sw2038A-ms98-a-0034,334.128125,334.348125,don't,I,sd,u-20-6
sw2038A-ms98-a-0034,334.348125,334.408125,know,I,sd,u-20-6
sw2038A-ms98-a-0034,334.408125,335.268125,manipulating,I,sd,u-20-6
sw2038A-ms98-a-0034,335.268125,335.888125,manipulating,I,sd,u-20-6
sw2038A-ms98-a-0034,335.888125,335.988125,their,I,sd,u-20-6
sw2038A-ms98-a-0034,335.988125,336.338125,public,I,sd,u-20-6
sw2038A-ms98-a-0034,336.338125,336.458125,for,I,sd,u-20-6
sw2038A-ms98-a-0034,336.458125,336.598125,their,I,sd,u-20-6
sw2038A-ms98-a-0034,336.598125,336.928125,own,I,sd,u-20-6
sw2038A-ms98-a-0034,336.928125,337.108125,their,I,sd,u-20-6
sw2038A-ms98-a-0034,337.108125,337.308125,own,I,sd,u-20-6
sw2038A-ms98-a-0034,337.308125,337.588125,good,I,sd,u-20-6
sw2038A-ms98-a-0034,337.588125,337.638125,i,B,sd,u-20-7
sw2038A-ms98-a-0034,337.638125,337.848125,mean,I,sd,u-20-7
sw2038A-ms98-a-0034,337.848125,337.908125,if,I,sd,u-20-7
sw2038A-ms98-a-0034,337.908125,338.008125,you,I,sd,u-20-7
sw2038A-ms98-a-0034,338.008125,338.128125,go,I,sd,u-20-7
sw2038A-ms98-a-0034,338.128125,338.338125,back,I,sd,u-20-7
sw2038A-ms98-a-0034,338.338125,338.458125,to,I,sd,u-20-7
sw2038A-ms98-a-0034,338.458125,338.518125,the,I,sd,u-20-7
sw2038A-ms98-a-0034,338.518125,338.948125,kings,I,sd,u-20-7
sw2038A-ms98-a-0034,338.948125,339.109000,and,I,sd,u-20-7
sw2038A-ms98-a-0034,339.564750,339.808125,then,I,sd,u-20-7
sw2038A-ms98-a-0034,339.808125,339.978125,the,I,sd,u-20-7
sw2038A-ms98-a-0034,339.978125,340.158125,the,I,sd,u-20-7
sw2038A-ms98-a-0034,340.158125,341.068125,conquistadors,I,sd,u-20-7
sw2038A-ms98-a-0034,341.068125,341.348125,coming,I,sd,u-20-7
sw2038A-ms98-a-0034,341.348125,341.488125,in,I,sd,u-20-7
sw2038A-ms98-a-0034,341.488125,341.738125,and,I,sd,u-20-7
sw2038A-ms98-a-0034,341.738125,341.900750,and,I,sd,u-20-7
sw2038A-ms98-a-0034,341.900750,342.040375,the,I,sd,u-20-7
sw2038A-ms98-a-0034,342.040375,342.247125,who[le]-,I,sd,u-20-7
sw2038A-ms98-a-0034,342.247125,342.486625,the,I,sd,u-20-7
sw2038A-ms98-a-0034,342.779625,343.834375,incredibly,I,sd,u-20-7
sw2038A-ms98-a-0034,343.834375,344.358125,horrible,I,sd,u-20-7
sw2038A-ms98-a-0034,344.358125,344.668125,things,I,sd,u-20-7
sw2038A-ms98-a-0034,344.668125,344.778125,they,I,sd,u-20-7
sw2038A-ms98-a-0034,344.778125,345.048125,did,I,sd,u-20-7
sw2038A-ms98-a-0034,345.048125,345.228125,to,I,sd,u-20-7
sw2038A-ms98-a-0034,345.228125,345.426875,the,I,sd,u-20-7
sw2038A-ms98-a-0035,346.065500,346.567125,uh,I,sd,u-20-7
sw2038A-ms98-a-0035,346.713250,347.075625,the,I,sd,u-20-7
sw2038A-ms98-a-0035,347.395750,347.775500,native,I,sd,u-20-7
sw2038A-ms98-a-0035,347.775500,348.235500,tribes,I,sd,u-20-7
sw2038A-ms98-a-0035,348.235500,348.285500,i,B,sv,u-20-8
sw2038A-ms98-a-0035,348.285500,348.405500,mean,I,sv,u-20-8
sw2038A-ms98-a-0035,348.405500,348.545500,they,I,sv,u-20-8
sw2038A-ms98-a-0035,348.545500,348.885500,make,I,sv,u-20-8
sw2038A-ms98-a-0035,348.885500,349.199625,uh,I,sv,u-20-8
sw2038A-ms98-a-0035,349.975500,350.085500,they,I,sv,u-20-8
sw2038A-ms98-a-0035,350.085500,350.485500,make,I,sv,u-20-8
sw2038A-ms98-a-0035,350.485500,350.575500,the,I,sv,u-20-8
sw2038A-ms98-a-0035,350.575500,350.895500,things,I,sv,u-20-8
sw2038A-ms98-a-0035,350.895500,351.025500,that,I,sv,u-20-8
sw2038A-ms98-a-0035,351.025500,351.435500,Custer,I,sv,u-20-8
sw2038A-ms98-a-0035,351.435500,351.655500,did,I,sv,u-20-8
sw2038A-ms98-a-0035,351.655500,351.865500,look,I,sv,u-20-8
sw2038A-ms98-a-0035,351.865500,352.175500,like,I,sv,u-20-8
sw2038A-ms98-a-0035,352.175500,352.479750,uh,I,sv,u-20-8
sw2038A-ms98-a-0035,353.146375,353.362750,like,I,sv,u-20-8
sw2038A-ms98-a-0035,353.656500,354.625500,trivial,I,sv,u-20-8
sw2038A-ms98-a-0035,354.625500,355.045500,and,B,%,u-20-9
sw2038A-ms98-a-0035,355.045500,355.545500,uh,I,%,u-20-9
sw2038A-ms98-a-0035,355.545500,355.895500,you,I,%,u-20-9
sw2038A-ms98-a-0035,355.895500,356.168875,get,I,%,u-20-9
sw2038A-ms98-a-0037,369.087250,369.715000,oh,B,aa,u-22-1
sw2038A-ms98-a-0037,369.715000,370.522500,absolutely,I,aa,u-22-1
sw2038A-ms98-a-0037,370.865250,371.377625,and,B,sd,u-22-2
sw2038A-ms98-a-0037,371.377625,371.717625,n[ow]-,I,sd,u-22-2
sw2038A-ms98-a-0037,371.717625,371.847625,we,I,sd,u-22-2
sw2038A-ms98-a-0037,371.847625,372.087625,set,I,sd,u-22-2
sw2038A-ms98-a-0037,372.087625,372.293125,up,I,sd,u-22-2
sw2038A-ms98-a-0038,373.729375,374.149375,and,O,,
sw2038A-ms98-a-0038,374.149375,374.229375,i,B,sv,u-24-2
sw2038A-ms98-a-0038,374.229375,374.349375,mean,I,sv,u-24-2
sw2038A-ms98-a-0038,374.349375,374.647000,Ted,I,sv,u-24-2
sw2038A-ms98-a-0038,374.839000,375.079375,Teddy,I,sv,u-24-2
sw2038A-ms98-a-0038,375.079375,375.569375,Roosevelt,I,sv,u-24-2
sw2038A-ms98-a-0038,375.569375,375.849375,didn't,I,sv,u-24-2
sw2038A-ms98-a-0038,375.849375,376.009375,have,I,sv,u-24-2
sw2038A-ms98-a-0038,376.009375,376.283750,the,I,sv,u-24-2
sw2038A-ms98-a-0038,376.283750,377.009375,reputation,I,sv,u-24-2
sw2038A-ms98-a-0038,377.009375,377.329375,speak,I,sv,u-24-2
sw2038A-ms98-a-0038,377.329375,377.779375,softly,I,sv,u-24-2
sw2038A-ms98-a-0038,377.779375,377.889375,and,I,sv,u-24-2
sw2038A-ms98-a-0038,377.889375,378.149375,carry,I,sv,u-24-2
sw2038A-ms98-a-0038,378.149375,378.199375,a,I,sv,u-24-2
sw2038A-ms98-a-0038,378.199375,378.409375,big,I,sv,u-24-2
sw2038A-ms98-a-0038,378.409375,378.769375,stick,I,sv,u-24-2
sw2038A-ms98-a-0038,378.769375,379.049375,for,I,sv,u-24-2
sw2038A-ms98-a-0038,379.049375,379.169375,uh,I,sv,u-24-2
sw2038A-ms98-a-0038,379.169375,379.859375,for,I,sv,u-24-2
sw2038A-ms98-a-0038,379.859375,380.289375,nothing,I,sv,u-24-2
sw2038A-ms98-a-0038,380.289375,380.649375,and,B,%,u-24-3
sw2038A-ms98-a-0038,380.649375,380.872875,uh,I,%,u-24-3
sw2038A-ms98-a-0040,391.707875,392.037625,right,B,b,u-26-1
sw2038A-ms98-a-0042,406.649125,406.920000,i've,O,,
sw2038A-ms98-a-0042,407.383250,407.451500,the,B,ar,u-28-1
sw2038A-ms98-a-0042,407.451500,407.693250,only,I,ar,u-28-1
sw2038A-ms98-a-0042,408.393750,408.471500,the,I,ar,u-28-1
sw2038A-ms98-a-0042,408.471500,408.591500,only,I,ar,u-28-1
sw2038A-ms98-a-0042,408.591500,408.781500,thing,I,ar,u-28-1
sw2038A-ms98-a-0042,408.781500,408.851500,i,I,ar,u-28-1
sw2038A-ms98-a-0042,408.851500,409.091500,see,I,ar,u-28-1
sw2038A-ms98-a-0042,409.091500,409.311500,about,I,ar,u-28-1
sw2038A-ms98-a-0042,409.311500,409.701500,Cuba,I,ar,u-28-1
sw2038A-ms98-a-0042,409.701500,409.891500,though,I,ar,u-28-1
sw2038A-ms98-a-0042,409.891500,410.164500,is,I,ar,u-28-1
sw2038A-ms98-a-0042,410.974250,411.251500,uh,I,ar,u-28-1
sw2038A-ms98-a-0042,411.251500,411.541500,after,I,ar,u-28-1
sw2038A-ms98-a-0042,411.541500,411.871500,Fidel,I,ar,u-28-1
sw2038A-ms98-a-0042,411.871500,412.351500,Castro,I,ar,u-28-1
sw2038A-ms98-a-0042,412.351500,412.691500,dies,I,ar,u-28-1
sw2038A-ms98-a-0042,412.691500,412.761500,i,I,ar,u-28-1
sw2038A-ms98-a-0042,412.761500,412.991500,don't,I,ar,u-28-1
sw2038A-ms98-a-0042,412.991500,413.191500,think,I,ar,u-28-1
sw2038A-ms98-a-0042,413.191500,413.341500,there'll,I,ar,u-28-1
sw2038A-ms98-a-0042,413.341500,413.551500,be,I,ar,u-28-1
sw2038A-ms98-a-0042,413.551500,414.041500,Communist,I,ar,u-28-1
sw2038A-ms98-a-0042,414.041500,414.371500,power,I,ar,u-28-1
sw2038A-ms98-a-0042,414.371500,414.824625,anymore,I,ar,u-28-1
sw2038A-ms98-a-0042,415.408500,415.581500,i,B,sv,u-28-2
sw2038A-ms98-a-0042,415.581500,415.711500,i,I,sv,u-28-2
sw2038A-ms98-a-0042,415.711500,416.061500,can't,I,sv,u-28-2
sw2038A-ms98-a-0042,416.061500,416.517625,see,I,sv,u-28-2
sw2038A-ms98-a-0042,416.517625,417.071500,Communism,I,sv,u-28-2
sw2038A-ms98-a-0042,417.071500,417.151500,in,I,sv,u-28-2
sw2038A-ms98-a-0042,417.151500,417.291500,that,I,sv,u-28-2
sw2038A-ms98-a-0042,417.291500,417.755000,country,I,sv,u-28-2
sw2038A-ms98-a-0042,418.214500,418.601500,carrying,I,sv,u-28-2
sw2038A-ms98-a-0042,418.601500,418.781500,on,I,sv,u-28-2
sw2038A-ms98-a-0042,418.781500,419.241500,past,I,sv,u-28-2
sw2038A-ms98-a-0042,419.241500,419.439500,him,I,sv,u-28-2
sw2038A-ms98-a-0044,442.482250,442.869375,yeah,B,b,u-30-1
sw2038A-ms98-a-0046,452.536500,453.026250,right,B,b,u-32-1
sw2038A-ms98-a-0048,459.900375,460.041125,yeah,O,,
sw2038A-ms98-a-0048,460.041125,460.538125,well,B,arp,u-34-2
sw2038A-ms98-a-0048,460.948750,461.111125,i,I,arp,u-34-2
sw2038A-ms98-a-0048,461.111125,461.251125,i,I,arp,u-34-2
sw2038A-ms98-a-0048,461.251125,461.411125,don't,I,arp,u-34-2
sw2038A-ms98-a-0048,461.411125,461.471125,know,I,arp,u-34-2
sw2038A-ms98-a-0048,461.471125,461.561125,if,I,arp,u-34-2
sw2038A-ms98-a-0048,461.561125,461.781125,maybe,I,arp,u-34-2
sw2038A-ms98-a-0048,461.781125,462.461125,Communism's,I,arp,u-34-2
sw2038A-ms98-a-0048,462.461125,462.571125,the,I,arp,u-34-2
sw2038A-ms98-a-0048,462.571125,462.901125,right,I,arp,u-34-2
sw2038A-ms98-a-0048,462.901125,463.011125,the,I,arp,u-34-2
sw2038A-ms98-a-0048,463.011125,463.331125,right,I,arp,u-34-2
sw2038A-ms98-a-0048,463.331125,463.561125,word,I,arp,u-34-2
sw2038A-ms98-a-0048,463.561125,463.771125,for,I,arp,u-34-2
sw2038A-ms98-a-0048,463.771125,463.831125,it,I,arp,u-34-2
sw2038A-ms98-a-0048,463.831125,464.031125,but,B,sd,u-34-3
sw2038A-ms98-a-0048,464.031125,464.231125,what,I,sd,u-34-3
sw2038A-ms98-a-0048,464.231125,464.411125,we,I,sd,u-34-3
sw2038A-ms98-a-0048,464.411125,464.641750,would,I,sd,u-34-3
sw2038A-ms98-a-0048,465.767875,465.961125,there'd,O,,
sw2038A-ms98-a-0048,465.961125,466.121125,have,B,sd,u-34-4
sw2038A-ms98-a-0048,466.121125,466.211125,to,I,sd,u-34-4
sw2038A-ms98-a-0048,466.211125,466.291125,be,I,sd,u-34-4
sw2038A-ms98-a-0048,466.291125,466.491125,some,I,sd,u-34-4
sw2038A-ms98-a-0048,466.491125,466.701125,kind,I,sd,u-34-4
sw2038A-ms98-a-0048,466.701125,466.868500,of,I,sd,u-34-4
sw2038A-ms98-a-0048,467.173625,467.511750,there,B,sv,u-34-5
sw2038A-ms98-a-0048,468.159500,468.331125,there,I,sv,u-34-5
sw2038A-ms98-a-0048,468.331125,468.581125,may,I,sv,u-34-5
sw2038A-ms98-a-0048,468.581125,468.741125,be,I,sv,u-34-5
sw2038A-ms98-a-0048,468.741125,468.791125,a,I,sv,u-34-5
sw2038A-ms98-a-0048,468.791125,469.391125,point,I,sv,u-34-5
sw2038A-ms98-a-0048,469.391125,469.531125,at,I,sv,u-34-5
sw2038A-ms98-a-0048,469.531125,469.982000,which,I,sv,u-34-5
sw2038A-ms98-a-0048,470.490375,471.230500,a[t]-,I,sv,u-34-5
sw2038A-ms98-a-0048,471.230500,471.441375,at,I,sv,u-34-5
sw2038A-ms98-a-0048,471.441375,472.025875,which,I,sv,u-34-5
sw2038A-ms98-a-0048,472.025875,472.421125,you've,I,sv,u-34-5
sw2038A-ms98-a-0048,472.421125,472.820250,uh,I,sv,u-34-5
sw2038A-ms98-a-0049,473.922000,474.040375,you,I,sv,u-34-5
sw2038A-ms98-a-0049,474.040375,474.420375,might,I,sv,u-34-5
sw2038A-ms98-a-0049,474.420375,474.630375,want,I,sv,u-34-5
sw2038A-ms98-a-0049,474.630375,474.690375,to,I,sv,u-34-5
sw2038A-ms98-a-0049,474.690375,475.260375,consider,I,sv,u-34-5
sw2038A-ms98-a-0049,475.260375,475.490375,some,I,sv,u-34-5
sw2038A-ms98-a-0049,475.490375,475.680375,kind,I,sv,u-34-5
sw2038A-ms98-a-0049,475.680375,475.750375,of,I,sv,u-34-5
sw2038A-ms98-a-0049,475.750375,476.858875,socialistic,I,sv,u-34-5
sw2038A-ms98-a-0049,477.455625,477.906375,uh,I,sv,u-34-5
sw2038A-ms98-a-0050,479.343625,480.049250,organization,I,sv,u-34-5
sw2038A-ms98-a-0050,480.049250,480.119250,or,I,sv,u-34-5
sw2038A-ms98-a-0050,480.119250,480.809250,socialistic,I,sv,u-34-5
sw2038A-ms98-a-0050,480.809250,481.249250,setup,I,sv,u-34-5
sw2038A-ms98-a-0050,481.249250,481.607625,to,I,sv,u-34-5
sw2038A-ms98-a-0050,481.607625,481.777125,to,I,sv,u-34-5
sw2038A-ms98-a-0050,481.777125,482.049250,deal,I,sv,u-34-5
sw2038A-ms98-a-0050,482.049250,482.169250,with,I,sv,u-34-5
sw2038A-ms98-a-0050,482.169250,482.229250,the,I,sv,u-34-5
sw2038A-ms98-a-0050,482.229250,482.710625,problem,I,sv,u-34-5
sw2038A-ms98-a-0050,483.403625,483.649250,and,I,sv,u-34-5
sw2038A-ms98-a-0050,483.649250,483.999250,then,I,sv,u-34-5
sw2038A-ms98-a-0050,483.999250,484.199250,be,I,sv,u-34-5
sw2038A-ms98-a-0050,484.199250,484.409250,able,I,sv,u-34-5
sw2038A-ms98-a-0050,484.409250,484.569250,to,I,sv,u-34-5
sw2038A-ms98-a-0050,484.569250,485.069250,gradually,I,sv,u-34-5
sw2038A-ms98-a-0050,485.069250,485.803125,transform,I,sv,u-34-5
sw2038A-ms98-a-0050,486.119500,486.409250,back,I,sv,u-34-5
sw2038A-ms98-a-0050,486.409250,486.559250,to,I,sv,u-34-5
sw2038A-ms98-a-0050,486.559250,486.639250,a,I,sv,u-34-5
sw2038A-ms98-a-0050,486.639250,487.477125,Democracy,I,sv,u-34-5
sw2038A-ms98-a-0052,496.761125,497.136750,right,B,b,u-36-1
sw2038A-ms98-a-0054,500.656625,501.032125,right,B,b^r,u-36-2
sw2038A-ms98-a-0056,502.953125,503.082500,but,B,sv,u-38-1
sw2038A-ms98-a-0056,503.082500,503.402500,cocoa,I,sv,u-38-1
sw2038A-ms98-a-0056,503.402500,503.692500,leaves,I,sv,u-38-1
sw2038A-ms98-a-0056,503.692500,504.172500,sell,I,sv,u-38-1
sw2038A-ms98-a-0056,504.172500,504.452500,real,I,sv,u-38-1
sw2038A-ms98-a-0056,504.452500,504.662500,low,I,sv,u-38-1
sw2038A-ms98-a-0056,504.662500,504.882500,right,I,sv,u-38-1
sw2038A-ms98-a-0056,504.882500,505.413250,[laughter-now],I,sv,u-38-1
sw2038A-ms98-a-0057,506.140625,506.340625,it,I,sv,u-38-1
sw2038A-ms98-a-0057,506.340625,506.870625,seems,I,sv,u-38-1
sw2038A-ms98-a-0057,506.870625,507.233375,yeah,B,%,u-38-2
sw2038A-ms98-a-0059,509.633000,510.571625,absolutely,B,aa,u-40-1
sw2038A-ms98-a-0060,511.900750,512.656125,absolutely,O,,
sw2038A-ms98-a-0060,512.656125,512.928250,i,B,%,u-40-2
sw2038A-ms98-a-0060,512.928250,513.284875,don't,I,%,u-40-2
sw2038A-ms98-a-0060,513.600875,513.721500,it's,B,sv,u-40-3
sw2038A-ms98-a-0060,513.721500,513.846125,gonna,I,sv,u-40-3
sw2038A-ms98-a-0060,513.846125,513.936125,be,I,sv,u-40-3
sw2038A-ms98-a-0060,513.936125,514.226125,hard,I,sv,u-40-3
sw2038A-ms98-a-0060,514.226125,514.536125,to,I,sv,u-40-3
sw2038A-ms98-a-0060,514.536125,514.810125,um,I,sv,u-40-3
sw2038A-ms98-a-0060,515.473000,515.756125,we've,O,,
sw2038A-ms98-a-0060,515.756125,515.796125,th[at's]-,O,,
sw2038A-ms98-a-0060,515.796125,516.076125,y[ou]-,O,,
sw2038A-ms98-a-0060,516.076125,516.266125,th[at's]-,O,,
sw2038A-ms98-a-0060,516.266125,516.440125,y[ou]-,O,,
sw2038A-ms98-a-0060,516.700000,516.986125,that's,O,,
sw2038A-ms98-a-0060,516.986125,517.346125,that's,B,sv,u-40-6
sw2038A-ms98-a-0060,517.346125,517.496125,where,I,sv,u-40-6
sw2038A-ms98-a-0060,517.496125,517.636125,you're,I,sv,u-40-6
sw2038A-ms98-a-0060,517.636125,518.056125,absolutely,I,sv,u-40-6
sw2038A-ms98-a-0060,518.056125,518.226125,right,I,sv,u-40-6
sw2038A-ms98-a-0060,518.226125,518.326125,as,I,sv,u-40-6
sw2038A-ms98-a-0060,518.326125,518.516125,we've,I,sv,u-40-6
sw2038A-ms98-a-0060,518.516125,518.646125,got,I,sv,u-40-6
sw2038A-ms98-a-0060,518.646125,518.726125,to,I,sv,u-40-6
sw2038A-ms98-a-0060,518.726125,518.866125,do,I,sv,u-40-6
sw2038A-ms98-a-0060,518.866125,519.376125,something,I,sv,u-40-6
sw2038A-ms98-a-0060,519.376125,519.476125,in,I,sv,u-40-6
sw2038A-ms98-a-0060,519.476125,519.656125,that,I,sv,u-40-6
sw2038A-ms98-a-0060,519.656125,520.046125,region,I,sv,u-40-6
sw2038A-ms98-a-0060,520.046125,520.306125,to,I,sv,u-40-6
sw2038A-ms98-a-0060,520.306125,520.905750,encourage,I,sv,u-40-6
sw2038A-ms98-a-0061,521.687500,522.024375,uh,I,sv,u-40-6
sw2038A-ms98-a-0061,522.024375,522.184375,or,I,sv,u-40-6
sw2038A-ms98-a-0061,522.184375,522.334375,to,I,sv,u-40-6
sw2038A-ms98-a-0061,522.334375,522.553250,make,I,sv,u-40-6
sw2038A-ms98-a-0061,522.824375,522.934375,to,I,sv,u-40-6
sw2038A-ms98-a-0061,522.934375,523.174375,make,I,sv,u-40-6
sw2038A-ms98-a-0061,523.174375,523.394375,him,I,sv,u-40-6
sw2038A-ms98-a-0061,523.394375,523.775250,growing,I,sv,u-40-6
sw2038A-ms98-a-0061,524.306375,524.884375,bananas,I,sv,u-40-6
sw2038A-ms98-a-0061,524.884375,525.624375,profitable,I,sv,u-40-6
sw2038A-ms98-a-0061,525.624375,526.004375,[laughter-again],O,,
sw2038A-ms98-a-0061,526.004375,526.670750,[laughter-i],O,,
sw2038A-ms98-a-0061,526.670750,527.314750,[laughter-mean],O,,
sw2038A-ms98-a-0063,532.521625,532.928375,right,B,b,u-42-1
sw2038A-ms98-a-0065,535.939750,536.179750,i,O,,
sw2038A-ms98-a-0065,536.179750,536.319750,got,B,sd,u-44-1
sw2038A-ms98-a-0065,536.319750,536.379750,to,I,sd,u-44-1
sw2038A-ms98-a-0065,536.379750,536.599750,watch,I,sd,u-44-1
sw2038A-ms98-a-0065,536.599750,536.689750,what,I,sd,u-44-1
sw2038A-ms98-a-0065,536.689750,536.729750,i,I,sd,u-44-1
sw2038A-ms98-a-0065,536.729750,536.959750,say,I,sd,u-44-1
sw2038A-ms98-a-0065,536.959750,537.169750,here,I,sd,u-44-1
sw2038A-ms98-a-0065,537.169750,537.279750,i,B,sd,u-44-2
sw2038A-ms98-a-0065,537.279750,537.519750,never,I,sd,u-44-2
sw2038A-ms98-a-0065,537.519750,537.659750,know,I,sd,u-44-2
sw2038A-ms98-a-0065,537.659750,537.779750,when,I,sd,u-44-2
sw2038A-ms98-a-0065,537.779750,537.849750,the,I,sd,u-44-2
sw2038A-ms98-a-0065,537.849750,538.359750,DIA,I,sd,u-44-2
sw2038A-ms98-a-0065,538.359750,538.729750,maybe,I,sd,u-44-2
sw2038A-ms98-a-0065,538.729750,538.899750,uh,I,sd,u-44-2
sw2038A-ms98-a-0065,538.899750,539.499750,[laughter-listening],O,,
sw2038A-ms98-a-0065,539.499750,539.619750,[laughter-on],O,,
sw2038A-ms98-a-0065,539.619750,539.729750,[laughter-my],O,,
sw2038A-ms98-a-0065,539.729750,540.469250,[laughter-phone],O,,
sw2038A-ms98-a-0065,540.469250,542.576125,[laughter],O,,
sw2038A-ms98-a-0065,542.576125,543.093500,right,B,b,u-46-1
sw2038A-ms98-a-0066,544.078875,544.274625,yeah,B,b,u-48-1
sw2038A-ms98-a-0066,544.274625,544.354625,uh,O,,
sw2038A-ms98-a-0066,544.354625,544.804625,it's,B,sv,u-48-2
sw2038A-ms98-a-0066,544.804625,545.264625,tempting,I,sv,u-48-2
sw2038A-ms98-a-0066,545.264625,545.514625,it's,B,sv,u-48-3
sw2038A-ms98-a-0066,545.514625,545.654625,got,I,sv,u-48-3
sw2038A-ms98-a-0066,545.654625,545.714625,to,I,sv,u-48-3
sw2038A-ms98-a-0066,545.714625,545.914625,be,I,sv,u-48-3
sw2038A-ms98-a-0066,545.914625,546.084625,it's,I,sv,u-48-3
sw2038A-ms98-a-0066,546.084625,546.244625,got,I,sv,u-48-3
sw2038A-ms98-a-0066,546.244625,546.334625,be,I,sv,u-48-3
sw2038A-ms98-a-0066,546.334625,546.764625,horribly,I,sv,u-48-3
sw2038A-ms98-a-0066,546.764625,547.234625,tempting,I,sv,u-48-3
sw2038A-ms98-a-0066,547.234625,547.394625,for,I,sv,u-48-3
sw2038A-ms98-a-0066,547.394625,547.653625,those,I,sv,u-48-3
sw2038A-ms98-a-0066,548.192250,548.234625,for,I,sv,u-48-3
sw2038A-ms98-a-0066,548.234625,548.425125,those,I,sv,u-48-3
sw2038A-ms98-a-0067,549.417250,549.885500,because_1,O,,
sw2038A-ms98-a-0067,549.885500,550.145125,yeah,O,,
sw2038A-ms98-a-0067,550.514375,550.973875,yeah,B,b,u-50-1
sw2038A-ms98-a-0067,550.973875,551.369125,yeah,B,b^r,u-50-2
sw2038A-ms98-a-0067,551.369125,551.634250,y[ou]-,O,,
sw2038A-ms98-a-0067,551.634250,551.904250,it's,B,sv,u-50-4
sw2038A-ms98-a-0067,551.904250,552.104250,not,I,sv,u-50-4
sw2038A-ms98-a-0067,552.104250,552.217000,j[ust]-,I,sv,u-50-4
sw2038A-ms98-a-0067,552.503250,552.663500,it's,I,sv,u-50-4
sw2038A-ms98-a-0067,552.663500,552.804250,not,I,sv,u-50-4
sw2038A-ms98-a-0067,552.804250,552.994250,just,I,sv,u-50-4
sw2038A-ms98-a-0067,552.994250,553.064250,a,I,sv,u-50-4
sw2038A-ms98-a-0067,553.064250,553.494250,matter,I,sv,u-50-4
sw2038A-ms98-a-0067,553.494250,553.634250,of,I,sv,u-50-4
sw2038A-ms98-a-0067,553.634250,553.899750,uh,I,sv,u-50-4
sw2038A-ms98-a-0067,554.502375,555.195000,of,I,sv,u-50-4
sw2038A-ms98-a-0067,555.443625,555.794250,having,I,sv,u-50-4
sw2038A-ms98-a-0067,555.794250,556.021250,an,I,sv,u-50-4
sw2038A-ms98-a-0068,556.774000,557.242500,extra,I,sv,u-50-4
sw2038A-ms98-a-0068,557.436625,558.013375,car,I,sv,u-50-4
sw2038A-ms98-a-0068,558.013375,558.353375,or,I,sv,u-50-4
sw2038A-ms98-a-0068,558.583125,558.943375,having,I,sv,u-50-4
sw2038A-ms98-a-0068,558.943375,559.003375,a,I,sv,u-50-4
sw2038A-ms98-a-0068,559.003375,559.303375,better,I,sv,u-50-4
