sw2006A-ms98-a-0002,16.453250,17.050500,right,B,aa,u-2-1
sw2006A-ms98-a-0045,300.774000,300.844000,the,I,sd,u-40-7
sw2006A-ms98-a-0045,300.844000,301.274000,Sherman,I,sd,u-40-7
sw2006A-ms98-a-0045,301.274000,301.914000,facility,I,sd,u-40-7
sw2006A-ms98-a-0045,301.914000,302.158250,than,I,sd,u-40-7
sw2006A-ms98-a-0045,302.256125,302.604000,um,I,sd,u-40-7
sw2006A-ms98-a-0045,303.014000,303.244000,just,I,sd,u-40-7
sw2006A-ms98-a-0045,303.244000,303.434000,letting,I,sd,u-40-7
sw2006A-ms98-a-0045,303.434000,303.514000,it,I,sd,u-40-7
sw2006A-ms98-a-0045,303.514000,303.644000,go,I,sd,u-40-7
sw2006A-ms98-a-0045,303.644000,303.704000,in,I,sd,u-40-7
sw2006A-ms98-a-0045,303.704000,303.774000,the,I,sd,u-40-7
sw2006A-ms98-a-0045,303.774000,304.094000,ground,I,sd,u-40-7
sw2006A-ms98-a-0045,304.094000,304.254000,because_1,O,,
sw2006A-ms98-a-0045,304.254000,304.664000,eventually,B,sd,u-40-8
sw2006A-ms98-a-0045,304.664000,304.754000,you,I,sd,u-40-8
sw2006A-ms98-a-0045,304.754000,305.024000,know,I,sd,u-40-8
sw2006A-ms98-a-0045,305.024000,305.344000,i[t]-,I,sd,u-40-8
sw2006A-ms98-a-0045,305.344000,305.534000,it,I,sd,u-40-8
sw2006A-ms98-a-0045,305.534000,305.764000,seems,I,sd,u-40-8
sw2006A-ms98-a-0045,305.764000,305.964000,that,I,sd,u-40-8
sw2006A-ms98-a-0045,305.964000,306.024000,no,I,sd,u-40-8
sw2006A-ms98-a-0045,306.024000,306.204000,matter,I,sd,u-40-8
sw2006A-ms98-a-0045,306.204000,306.374000,what,I,sd,u-40-8
sw2006A-ms98-a-0045,306.374000,306.474000,they,I,sd,u-40-8
sw2006A-ms98-a-0045,306.474000,306.594000,do,I,sd,u-40-8
sw2006A-ms98-a-0045,306.594000,306.694000,if,I,sd,u-40-8
sw2006A-ms98-a-0045,306.694000,306.774000,they,I,sd,u-40-8
sw2006A-ms98-a-0045,306.774000,306.984000,put,I,sd,u-40-8
sw2006A-ms98-a-0045,306.984000,307.114000,it,I,sd,u-40-8
sw2006A-ms98-a-0045,307.114000,307.224000,in,I,sd,u-40-8
sw2006A-ms98-a-0045,307.224000,307.484000,oil,I,sd,u-40-8
sw2006A-ms98-a-0045,307.484000,307.894000,drums,I,sd,u-40-8
sw2006A-ms98-a-0045,307.894000,307.994000,and,I,sd,u-40-8
sw2006A-ms98-a-0045,307.994000,308.114000,then,I,sd,u-40-8
sw2006A-ms98-a-0045,308.114000,308.414000,seal,I,sd,u-40-8
sw2006A-ms98-a-0045,308.414000,308.524000,it,I,sd,u-40-8
sw2006A-ms98-a-0045,308.524000,308.684000,in,I,sd,u-40-8
sw2006A-ms98-a-0045,308.684000,308.884000,some,I,sd,u-40-8
sw2006A-ms98-a-0045,308.884000,309.124000,kind,I,sd,u-40-8
sw2006A-ms98-a-0045,309.124000,309.224000,of,I,sd,u-40-8
sw2006A-ms98-a-0045,309.224000,309.894000,cement,I,sd,u-40-8
sw2006A-ms98-a-0045,309.894000,310.351375,lined,I,sd,u-40-8
sw2006A-ms98-a-0045,310.739250,310.874000,uh,I,sd,u-40-8
sw2006A-ms98-a-0045,310.874000,311.254000,dump,I,sd,u-40-8
sw2006A-ms98-a-0045,311.254000,311.624000,area,I,sd,u-40-8
sw2006A-ms98-a-0046,311.895250,312.015250,it,B,sd,u-40-9
sw2006A-ms98-a-0046,312.015250,312.345250,still,I,sd,u-40-9
sw2006A-ms98-a-0046,312.345250,312.607750,only,I,sd,u-40-9
sw2006A-ms98-a-0046,312.690625,312.825250,in,I,sd,u-40-9
sw2006A-ms98-a-0046,312.825250,313.435250,time,I,sd,u-40-9
sw2006A-ms98-a-0046,313.435250,313.855250,starts,I,sd,u-40-9
sw2006A-ms98-a-0046,313.855250,313.995250,to,I,sd,u-40-9
sw2006A-ms98-a-0046,313.995250,314.265250,leak,I,sd,u-40-9
sw2006A-ms98-a-0046,314.265250,314.833125,out,I,sd,u-40-9
sw2006A-ms98-a-0047,315.669625,316.179500,yeah,B,b,u-42-1
sw2006A-ms98-a-0047,316.590000,316.779625,there,B,sd,u-44-1
sw2006A-ms98-a-0047,316.779625,316.879625,there,I,sd,u-44-1
sw2006A-ms98-a-0047,316.879625,317.009625,was,I,sd,u-44-1
sw2006A-ms98-a-0047,317.009625,317.269625,one,I,sd,u-44-1
sw2006A-ms98-a-0047,317.269625,317.499625,site,I,sd,u-44-1
sw2006A-ms98-a-0047,317.499625,317.619625,that,I,sd,u-44-1
sw2006A-ms98-a-0047,317.619625,317.709625,they,I,sd,u-44-1
sw2006A-ms98-a-0047,317.709625,318.059625,cleaned,I,sd,u-44-1
sw2006A-ms98-a-0047,318.059625,318.239625,up,I,sd,u-44-1
sw2006A-ms98-a-0047,318.239625,318.389625,and,B,sd,u-44-2
sw2006A-ms98-a-0047,318.389625,318.589625,then,I,sd,u-44-2
sw2006A-ms98-a-0047,318.589625,318.714875,the,I,sd,u-44-2
sw2006A-ms98-a-0047,318.714875,318.922000,new,I,sd,u-44-2
sw2006A-ms98-a-0047,318.922000,319.399625,place,I,sd,u-44-2
sw2006A-ms98-a-0047,319.399625,319.649625,leaked,I,sd,u-44-2
sw2006A-ms98-a-0047,319.649625,320.099625,again,I,sd,u-44-2
sw2006A-ms98-a-0048,320.235000,321.433375,[laughter],O,,
sw2006A-ms98-a-0048,321.433375,322.209375,jeez,O,,
sw2006A-ms98-a-0048,322.209375,324.469375,[laughter],O,,
sw2006A-ms98-a-0050,335.027625,335.427750,um-hum,B,b,u-50-1
sw2006A-ms98-a-0052,346.013125,346.461375,um-hum,O,,
sw2006A-ms98-a-0054,358.115250,358.463375,hm,B,%,u-52-1
sw2006A-ms98-a-0056,362.886500,363.252000,um-hum,B,%,u-54-1
sw2006A-ms98-a-0058,388.782625,389.312750,yeah,B,b,u-56-1
sw2006A-ms98-a-0060,395.730125,395.840125,oh,B,bh,u-58-1
sw2006A-ms98-a-0060,395.840125,395.990125,you,I,bh,u-58-1
sw2006A-ms98-a-0060,395.990125,396.541125,were,I,bh,u-58-1
sw2006A-ms98-a-0060,396.974250,397.221500,oh,B,bk,u-60-1
sw2006A-ms98-a-0060,397.221500,397.874000,okay,I,bk,u-60-1
sw2006A-ms98-a-0062,400.006250,400.856250,yes,B,aa,u-62-1
sw2006A-ms98-a-0063,401.072625,401.672625,yes,B,aa^r,u-62-2
sw2006A-ms98-a-0063,401.672625,401.872625,it's,B,sd,u-62-3
sw2006A-ms98-a-0063,401.872625,401.982625,a,I,sd,u-62-3
sw2006A-ms98-a-0063,401.982625,402.172625,heck,I,sd,u-62-3
sw2006A-ms98-a-0063,402.172625,402.232625,of,I,sd,u-62-3
sw2006A-ms98-a-0063,402.232625,402.282625,a,I,sd,u-62-3
sw2006A-ms98-a-0063,402.282625,402.472625,lot,I,sd,u-62-3
sw2006A-ms98-a-0063,402.472625,402.810500,different,I,sd,u-62-3
sw2006A-ms98-a-0063,402.810500,402.919750,i,O,,
sw2006A-ms98-a-0063,402.919750,403.052625,mean,O,,
sw2006A-ms98-a-0063,403.052625,403.142625,w[e]-,O,,
sw2006A-ms98-a-0063,403.142625,403.342625,we,B,sd,u-62-4
sw2006A-ms98-a-0063,403.342625,403.502625,used,I,sd,u-62-4
sw2006A-ms98-a-0063,403.502625,403.592625,to,I,sd,u-62-4
sw2006A-ms98-a-0063,403.592625,403.712625,be,I,sd,u-62-4
sw2006A-ms98-a-0063,403.712625,404.032625,really,I,sd,u-62-4
sw2006A-ms98-a-0063,404.032625,404.502625,embarrassed,I,sd,u-62-4
sw2006A-ms98-a-0063,404.502625,404.722625,about,I,sd,u-62-4
sw2006A-ms98-a-0063,404.722625,404.782625,the,I,sd,u-62-4
sw2006A-ms98-a-0063,404.782625,405.022625,gray,I,sd,u-62-4
sw2006A-ms98-a-0063,405.022625,405.292625,metal,I,sd,u-62-4
sw2006A-ms98-a-0063,405.292625,405.642625,desk,I,sd,u-62-4
sw2006A-ms98-a-0063,405.642625,405.712625,we,B,sd,u-62-5
sw2006A-ms98-a-0063,405.712625,405.837750,were,I,sd,u-62-5
sw2006A-ms98-a-0063,405.837750,406.063750,about,I,sd,u-62-5
sw2006A-ms98-a-0063,406.063750,406.172625,the,I,sd,u-62-5
sw2006A-ms98-a-0063,406.172625,406.432625,only,I,sd,u-62-5
sw2006A-ms98-a-0063,406.432625,406.892625,place,B,+,u-64-1
sw2006A-ms98-a-0063,406.892625,407.122625,in,I,+,u-64-1
sw2006A-ms98-a-0063,407.122625,407.252625,you,I,+,u-64-1
sw2006A-ms98-a-0063,407.252625,407.412625,know,I,+,u-64-1
sw2006A-ms98-a-0063,407.412625,407.852625,TI,I,+,u-64-1
sw2006A-ms98-a-0063,407.852625,408.002625,that,I,+,u-64-1
sw2006A-ms98-a-0063,408.002625,408.142625,had,I,+,u-64-1
sw2006A-ms98-a-0063,408.142625,408.222625,the,I,+,u-64-1
sw2006A-ms98-a-0063,408.222625,408.562625,gray,I,+,u-64-1
sw2006A-ms98-a-0063,408.562625,408.852625,metal,I,+,u-64-1
sw2006A-ms98-a-0063,408.852625,409.182625,desk,I,+,u-64-1
sw2006A-ms98-a-0063,409.182625,409.412625,people,B,sd(^q),u-64-2
sw2006A-ms98-a-0063,409.412625,409.552625,used,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,409.552625,409.622625,to,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,409.622625,409.792625,come,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,409.792625,409.912625,and,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,409.912625,410.272625,laugh,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,410.272625,410.362625,and,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,410.362625,410.432625,go,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,410.432625,410.802625,gee,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,410.802625,410.832625,i,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,410.832625,411.152625,hadn't,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,411.152625,411.362625,seen,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,411.362625,411.492625,one,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,411.492625,411.562625,of,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,411.562625,411.802625,those,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,411.802625,411.922625,in,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,411.922625,412.162625,ten,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,412.162625,412.682625,fifteen,I,sd(^q),u-64-2
sw2006A-ms98-a-0063,412.682625,413.997125,[laughter-years],O,,
sw2006A-ms98-a-0063,413.997125,414.956625,[laughter],O,,
sw2006A-ms98-a-0065,421.331500,423.461500,[laughter],O,,
sw2006A-ms98-a-0065,423.461500,423.581500,we,B,sd,u-68-1
sw2006A-ms98-a-0065,423.581500,423.921500,finally,B,+,u-70-1
sw2006A-ms98-a-0065,423.921500,424.096875,got,I,+,u-70-1
sw2006A-ms98-a-0065,424.096875,424.243750,a,I,+,u-70-1
sw2006A-ms98-a-0065,424.243750,424.431500,little,I,+,u-70-1
sw2006A-ms98-a-0065,424.431500,425.051500,respect,I,+,u-70-1
sw2006A-ms98-a-0065,425.051500,425.381500,nobody,B,sv,u-70-2
sw2006A-ms98-a-0065,425.381500,425.591500,thought,I,sv,u-70-2
sw2006A-ms98-a-0065,425.591500,425.672875,of,I,sv,u-70-2
sw2006A-ms98-a-0065,425.672875,425.796500,us,I,sv,u-70-2
sw2006A-ms98-a-0065,425.796500,425.939625,as,I,sv,u-70-2
sw2006A-ms98-a-0065,425.939625,426.051500,a,I,sv,u-70-2
sw2006A-ms98-a-0065,426.051500,426.541500,profit,I,sv,u-70-2
sw2006A-ms98-a-0065,426.541500,426.811500,center,I,sv,u-70-2
sw2006A-ms98-a-0065,426.811500,427.525625,before,I,sv,u-70-2
sw2006A-ms98-a-0066,428.046875,428.707125,[laughter],O,,
sw2006A-ms98-a-0068,432.181375,432.772750,right,B,aa,u-72-1
sw2006A-ms98-a-0068,432.772750,433.230250,right,B,aa^r,u-72-2
sw2006A-ms98-a-0068,433.569250,433.782750,not,B,sv,u-74-1
sw2006A-ms98-a-0068,433.782750,434.012750,just,I,sv,u-74-1
sw2006A-ms98-a-0068,434.012750,435.028500,overhead,I,sv,u-74-1
sw2006A-ms98-a-0068,435.028500,435.031875,[laughter],O,,
sw2006A-ms98-a-0069,436.570625,436.720625,you,B,fc,u-76-1
sw2006A-ms98-a-0069,436.720625,437.053500,too,I,fc,u-76-1
sw2006A-ms98-a-0069,437.573375,437.983875,bye,B,fc,u-78-1
