sw2707A-ms98-a-0002,1.209625,1.492375,um,B,o,u-2-1
sw2707A-ms98-a-0101,343.511875,343.581875,know,I,sv^t,u-116-2
sw2707A-ms98-a-0101,343.581875,343.661875,it,I,sv^t,u-116-2
sw2707A-ms98-a-0101,343.661875,343.881875,takes,I,sv^t,u-116-2
sw2707A-ms98-a-0101,343.881875,344.341875,forever,I,sv^t,u-116-2
sw2707A-ms98-a-0101,344.341875,344.471875,to,I,sv^t,u-116-2
sw2707A-ms98-a-0101,344.471875,344.631875,get,I,sv^t,u-116-2
sw2707A-ms98-a-0101,344.631875,344.681875,a,I,sv^t,u-116-2
sw2707A-ms98-a-0101,344.681875,345.041875,call,I,sv^t,u-116-2
sw2707A-ms98-a-0101,345.041875,345.474750,through,I,sv^t,u-116-2
sw2707A-ms98-a-0103,351.334000,351.834000,yeah,B,b,u-118-1
sw2707A-ms98-a-0105,353.564000,354.094750,um-hum,B,b,u-120-1
sw2707A-ms98-a-0105,354.455625,354.962625,um-hum,B,b^r,u-120-2
sw2707A-ms98-a-0107,357.048125,357.437500,uh-huh,B,b,u-122-1
sw2707A-ms98-a-0108,358.311125,358.444500,yeah,B,b,u-124-1
sw2707A-ms98-a-0108,358.444500,358.544500,it's,B,sd,u-124-2
sw2707A-ms98-a-0108,358.544500,358.684500,like,I,sd,u-124-2
sw2707A-ms98-a-0108,358.684500,358.874500,eighty,I,sd,u-124-2
sw2707A-ms98-a-0108,358.874500,359.094500,five,I,sd,u-124-2
sw2707A-ms98-a-0108,359.094500,359.434500,degrees,I,sd,u-124-2
sw2707A-ms98-a-0108,359.434500,359.789750,here,I,sd,u-124-2
sw2707A-ms98-a-0110,368.862125,369.007625,no,B,nn,u-126-1
sw2707A-ms98-a-0110,369.007625,369.277625,i,B,sd^e,u-126-2
sw2707A-ms98-a-0110,369.277625,369.676250,haven't,I,sd^e,u-126-2
sw2707A-ms98-a-0112,374.321250,374.640625,uh-huh,B,b,u-128-1
sw2707A-ms98-a-0113,375.475000,375.793500,oh,B,b,u-130-1
sw2707A-ms98-a-0113,375.793500,376.145750,uh-huh,I,b,u-130-1
sw2707A-ms98-a-0115,380.047500,380.502500,um-hum,B,b,u-132-1
sw2707A-ms98-a-0117,386.336500,386.501375,oh,B,ba,u-134-1
sw2707A-ms98-a-0117,386.501375,386.851375,my,I,ba,u-134-1
sw2707A-ms98-a-0117,386.851375,387.258000,uh-huh,I,ba,u-134-1
sw2707A-ms98-a-0117,387.579125,387.620625,i'll,B,cc,u-136-1
sw2707A-ms98-a-0117,387.620625,387.731375,have,I,cc,u-136-1
sw2707A-ms98-a-0117,387.731375,387.811375,to,I,cc,u-136-1
sw2707A-ms98-a-0117,387.811375,387.971375,make,I,cc,u-136-1
sw2707A-ms98-a-0117,387.971375,388.081375,sure,I,cc,u-136-1
sw2707A-ms98-a-0117,388.081375,388.121375,i,I,cc,u-136-1
sw2707A-ms98-a-0117,388.121375,388.421375,catch,I,cc,u-136-1
sw2707A-ms98-a-0117,388.421375,388.761125,that,I,cc,u-136-1
sw2707A-ms98-a-0119,391.603375,391.824625,[laughter],O,,
sw2707A-ms98-a-0121,396.098250,396.535250,um-hum,B,b,u-140-1
sw2707A-ms98-a-0123,398.250000,398.604500,um-hum,B,b,u-142-1
sw2707A-ms98-a-0125,408.511000,408.958625,uh-huh,B,b,u-144-1
sw2707A-ms98-a-0127,411.649500,411.699000,i'll,B,cc^r,u-146-1
sw2707A-ms98-a-0127,411.699000,411.799000,have,I,cc^r,u-146-1
sw2707A-ms98-a-0127,411.799000,411.879000,to,I,cc^r,u-146-1
sw2707A-ms98-a-0127,411.879000,412.089000,make,I,cc^r,u-146-1
sw2707A-ms98-a-0127,412.089000,412.199000,sure,I,cc^r,u-146-1
sw2707A-ms98-a-0127,412.199000,412.289000,i,I,cc^r,u-146-1
sw2707A-ms98-a-0127,412.289000,412.579000,catch,I,cc^r,u-146-1
sw2707A-ms98-a-0127,412.579000,412.749000,that,I,cc^r,u-146-1
sw2707A-ms98-a-0129,414.905250,415.128125,uh,B,b,u-148-1
sw2707A-ms98-a-0129,415.507000,415.907625,uh-huh,I,b,u-148-1
sw2707A-ms98-a-0131,429.587125,430.103750,um-hum,B,b,u-150-1
sw2707A-ms98-a-0133,432.344625,432.765000,uh-huh,B,b,u-152-1
sw2707A-ms98-a-0135,440.070250,440.426250,um,B,sd,u-154-1
sw2707A-ms98-a-0135,440.426250,440.685750,right,I,sd,u-154-1
sw2707A-ms98-a-0135,440.685750,441.029875,now,I,sd,u-154-1
sw2707A-ms98-a-0135,441.252000,441.335750,the,I,sd,u-154-1
sw2707A-ms98-a-0135,441.335750,441.885750,District,I,sd,u-154-1
sw2707A-ms98-a-0135,441.885750,442.429000,Washington,B,sd,u-154-2
sw2707A-ms98-a-0135,442.907375,443.365750,um,B,sd,u-156-1
sw2707A-ms98-a-0135,443.365750,443.475750,in,I,sd,u-156-1
sw2707A-ms98-a-0135,443.475750,443.965750,Fairfax,I,sd,u-156-1
sw2707A-ms98-a-0135,443.965750,444.400750,Virginia,I,sd,u-156-1
sw2707A-ms98-a-0135,444.690750,444.845750,it's,B,sd,u-156-2
sw2707A-ms98-a-0135,444.845750,445.265750,fifteen,I,sd,u-156-2
sw2707A-ms98-a-0135,445.265750,445.555750,miles,I,sd,u-156-2
sw2707A-ms98-a-0135,445.555750,445.875750,west,I,sd,u-156-2
sw2707A-ms98-a-0135,445.875750,445.935750,of,I,sd,u-156-2
sw2707A-ms98-a-0135,445.935750,446.335750,Washington,I,sd,u-156-2
sw2707A-ms98-a-0135,446.335750,446.731625,DC,O,,
sw2707A-ms98-a-0137,449.508875,449.779000,yeah,B,ny,u-158-1
sw2707A-ms98-a-0137,449.779000,450.109000,there's,B,sd^e,u-158-2
sw2707A-ms98-a-0137,450.109000,450.269000,there's,I,sd^e,u-158-2
sw2707A-ms98-a-0137,450.269000,450.339000,a,I,sd^e,u-158-2
sw2707A-ms98-a-0137,450.339000,450.679000,few,I,sd^e,u-158-2
sw2707A-ms98-a-0137,450.679000,451.049000,not,B,sd,u-158-3
sw2707A-ms98-a-0137,451.049000,451.169000,you,I,sd,u-158-3
sw2707A-ms98-a-0137,451.169000,451.249000,know,I,sd,u-158-3
sw2707A-ms98-a-0137,451.249000,451.619000,nearly,I,sd,u-158-3
sw2707A-ms98-a-0137,451.619000,451.749000,as,I,sd,u-158-3
sw2707A-ms98-a-0137,451.749000,452.039000,many,I,sd,u-158-3
sw2707A-ms98-a-0137,452.039000,452.169000,as,I,sd,u-158-3
sw2707A-ms98-a-0137,452.169000,452.459000,what's,I,sd,u-158-3
sw2707A-ms98-a-0137,452.459000,452.819000,actually,I,sd,u-158-3
sw2707A-ms98-a-0137,452.819000,452.979000,in,I,sd,u-158-3
sw2707A-ms98-a-0137,452.979000,453.039000,the,I,sd,u-158-3
sw2707A-ms98-a-0137,453.039000,453.689000,District,I,sd,u-158-3
sw2707A-ms98-a-0137,453.689000,453.909000,but,B,sd,u-158-4
sw2707A-ms98-a-0137,453.909000,454.409000,um,I,sd,u-158-4
sw2707A-ms98-a-0137,454.409000,454.529000,they're,I,sd,u-158-4
sw2707A-ms98-a-0137,454.529000,454.929000,definitely,I,sd,u-158-4
sw2707A-ms98-a-0137,454.929000,455.698625,enjoyable,I,sd,u-158-4
sw2707A-ms98-a-0137,456.260125,456.469000,right,B,sd,u-160-1
sw2707A-ms98-a-0137,456.469000,456.639000,now,I,sd,u-160-1
sw2707A-ms98-a-0137,456.639000,456.699000,i,I,sd,u-160-1
sw2707A-ms98-a-0137,456.699000,456.949000,know,I,sd,u-160-1
sw2707A-ms98-a-0137,456.949000,457.019000,the,I,sd,u-160-1
sw2707A-ms98-a-0137,457.019000,457.559000,azaleas,I,sd,u-160-1
sw2707A-ms98-a-0137,457.559000,457.669000,and,I,sd,u-160-1
sw2707A-ms98-a-0137,457.669000,458.029000,everything,I,sd,u-160-1
sw2707A-ms98-a-0137,458.029000,458.109000,are,I,sd,u-160-1
sw2707A-ms98-a-0137,458.109000,458.309000,out,I,sd,u-160-1
sw2707A-ms98-a-0137,458.309000,458.399000,are,I,sd,u-160-1
sw2707A-ms98-a-0137,458.399000,459.275250,beautiful,I,sd,u-160-1
sw2707A-ms98-a-0139,464.830750,465.342625,um-hum,B,b,u-162-1
sw2707A-ms98-a-0141,468.893875,469.082875,yeah,B,b,u-164-1
sw2707A-ms98-a-0141,469.082875,469.392875,there,B,sd,u-164-2
sw2707A-ms98-a-0141,469.392875,469.672875,there,I,sd,u-164-2
sw2707A-ms98-a-0141,469.672875,469.822875,there,I,sd,u-164-2
sw2707A-ms98-a-0141,469.822875,469.962875,is,I,sd,u-164-2
sw2707A-ms98-a-0141,469.962875,470.042875,a,I,sd,u-164-2
sw2707A-ms98-a-0141,470.042875,470.382875,vast,I,sd,u-164-2
sw2707A-ms98-a-0141,470.382875,471.022875,variety,I,sd,u-164-2
sw2707A-ms98-a-0141,471.022875,471.412875,here,I,sd,u-164-2
sw2707A-ms98-a-0141,471.412875,471.692875,of,I,sd,u-164-2
sw2707A-ms98-a-0141,471.692875,471.762875,you,I,sd,u-164-2
sw2707A-ms98-a-0141,471.762875,471.952875,know,I,sd,u-164-2
sw2707A-ms98-a-0141,471.952875,472.322875,trees,I,sd,u-164-2
sw2707A-ms98-a-0141,472.322875,472.452875,like,B,sd,u-164-3
sw2707A-ms98-a-0141,472.452875,472.562875,if,I,sd,u-164-3
sw2707A-ms98-a-0141,472.562875,472.632875,i,I,sd,u-164-3
sw2707A-ms98-a-0141,472.632875,472.832875,look,I,sd,u-164-3
sw2707A-ms98-a-0141,472.832875,472.932875,out,I,sd,u-164-3
sw2707A-ms98-a-0141,472.932875,473.032875,my,I,sd,u-164-3
sw2707A-ms98-a-0141,473.032875,473.332875,window,I,sd,u-164-3
sw2707A-ms98-a-0141,473.332875,473.522875,right,I,sd,u-164-3
sw2707A-ms98-a-0141,473.522875,473.812875,now,I,sd,u-164-3
sw2707A-ms98-a-0141,473.812875,473.902875,i,I,sd,u-164-3
sw2707A-ms98-a-0141,473.902875,474.112875,can,I,sd,u-164-3
sw2707A-ms98-a-0141,474.112875,474.535250,see,I,sd,u-164-3
sw2707A-ms98-a-0141,474.998625,475.071250,you,I,sd,u-164-3
sw2707A-ms98-a-0141,475.071250,475.202875,know,I,sd,u-164-3
sw2707A-ms98-a-0141,475.202875,475.502875,couple,I,sd,u-164-3
sw2707A-ms98-a-0141,475.502875,475.632875,of,I,sd,u-164-3
sw2707A-ms98-a-0141,475.632875,475.922875,pine,I,sd,u-164-3
sw2707A-ms98-a-0141,475.922875,476.600875,trees,I,sd,u-164-3
sw2707A-ms98-a-0141,476.785375,476.932875,some,I,sd,u-164-3
sw2707A-ms98-a-0141,476.932875,477.162875,oak,I,sd,u-164-3
sw2707A-ms98-a-0141,477.162875,477.734625,trees,I,sd,u-164-3
sw2707A-ms98-a-0142,478.665375,478.944375,yeah,B,b,u-166-1
sw2707A-ms98-a-0144,481.685625,482.014375,um,B,nn,u-168-1
sw2707A-ms98-a-0144,482.014375,482.224375,no,I,nn,u-168-1
sw2707A-ms98-a-0144,482.224375,482.634375,actually,B,sd^e,u-168-2
sw2707A-ms98-a-0144,482.634375,482.724375,i,I,sd^e,u-168-2
sw2707A-ms98-a-0144,482.724375,483.120750,haven't,I,sd^e,u-168-2
sw2707A-ms98-a-0146,489.031250,489.447000,um-hum,B,b,u-170-1
sw2707A-ms98-a-0148,502.129875,502.580875,um-hum,B,b,u-172-1
sw2707A-ms98-a-0150,506.382250,506.819500,uh-huh,B,b,u-174-1
sw2707A-ms98-a-0152,519.710625,520.161250,um-hum,B,b,u-176-1
sw2707A-ms98-a-0154,523.127250,523.546375,uh-huh,B,b,u-178-1
sw2707A-ms98-a-0156,529.686250,530.083375,um-hum,B,b,u-180-1
sw2707A-ms98-a-0158,534.152000,534.710375,um,B,sd,u-182-1
sw2707A-ms98-a-0158,534.710375,534.790375,oh,I,sd,u-182-1
sw2707A-ms98-a-0158,534.790375,535.180500,well,I,sd,u-182-1
sw2707A-ms98-a-0158,535.180500,536.001625,[laughter],I,sd,u-182-1
sw2707A-ms98-a-0158,536.001625,536.060375,i,I,sd,u-182-1
sw2707A-ms98-a-0158,536.060375,536.250375,guess,I,sd,u-182-1
sw2707A-ms98-a-0158,536.250375,536.420375,that,I,sd,u-182-1
sw2707A-ms98-a-0158,536.420375,536.530375,i,I,sd,u-182-1
sw2707A-ms98-a-0158,536.530375,536.740375,really,I,sd,u-182-1
sw2707A-ms98-a-0158,536.740375,536.910375,don't,I,sd,u-182-1
sw2707A-ms98-a-0158,536.910375,537.020375,know,I,sd,u-182-1
sw2707A-ms98-a-0158,537.020375,537.180375,that,I,sd,u-182-1
sw2707A-ms98-a-0158,537.180375,537.596750,much,I,sd,u-182-1
sw2707A-ms98-a-0160,546.583750,546.971250,uh-huh,B,b,u-184-1
sw2707A-ms98-a-0162,549.148125,549.522375,uh-huh,B,b,u-186-1
sw2707A-ms98-a-0164,563.848875,564.269750,right,B,b,u-188-1
sw2707A-ms98-a-0165,565.384375,565.780125,uh-huh,B,b,u-190-1
sw2707A-ms98-a-0167,575.069875,575.643625,right,B,b,u-192-1
sw2707A-ms98-a-0167,575.643625,576.079500,uh-huh,B,b,u-192-2
sw2707A-ms98-a-0169,583.105375,583.537250,um-hum,B,b,u-194-1
sw2707A-ms98-a-0170,584.775375,585.181000,um-hum,B,b,u-196-1
sw2707A-ms98-a-0172,587.140750,587.502375,um-hum,B,b,u-198-1
sw2707A-ms98-a-0172,587.891875,588.000750,but,B,qw,u-198-2
sw2707A-ms98-a-0172,588.000750,588.160750,then,I,qw,u-198-2
sw2707A-ms98-a-0172,588.160750,588.270750,what,I,qw,u-198-2
sw2707A-ms98-a-0172,588.270750,588.520750,about,I,qw,u-198-2
sw2707A-ms98-a-0172,588.520750,588.900750,people,I,qw,u-198-2
sw2707A-ms98-a-0172,588.900750,589.160750,that,I,qw,u-198-2
sw2707A-ms98-a-0172,589.160750,589.614375,um,I,qw,u-198-2
sw2707A-ms98-a-0172,589.987250,590.106500,i-,O,,
sw2707A-ms98-a-0172,590.106500,590.313625,i,B,sd,u-198-3
sw2707A-ms98-a-0172,590.313625,590.479875,i,I,sd,u-198-3
sw2707A-ms98-a-0172,590.479875,590.770750,personally,I,sd,u-198-3
sw2707A-ms98-a-0172,590.770750,590.960750,work,I,sd,u-198-3
sw2707A-ms98-a-0172,590.960750,591.080750,with,I,sd,u-198-3
sw2707A-ms98-a-0172,591.080750,591.510750,someone,I,sd,u-198-3
sw2707A-ms98-a-0172,591.510750,591.660750,that,I,sd,u-198-3
sw2707A-ms98-a-0172,591.660750,591.830750,that,I,sd,u-198-3
sw2707A-ms98-a-0172,591.830750,591.980750,is,I,sd,u-198-3
sw2707A-ms98-a-0172,591.980750,592.462125,deaf,I,sd,u-198-3
sw2707A-ms98-a-0172,592.624125,592.750750,and,I,sd,u-198-3
sw2707A-ms98-a-0172,592.750750,593.100750,cannot,I,sd,u-198-3
sw2707A-ms98-a-0172,593.100750,593.410750,speak,I,sd,u-198-3
sw2707A-ms98-a-0172,593.410750,593.530750,she,B,sd,u-198-4
sw2707A-ms98-a-0172,593.530750,593.720750,can,I,sd,u-198-4
sw2707A-ms98-a-0172,593.720750,594.100750,speak,I,sd,u-198-4
sw2707A-ms98-a-0172,594.100750,594.340750,but,B,sd,u-198-5
sw2707A-ms98-a-0172,594.340750,594.450750,she,I,sd,u-198-5
sw2707A-ms98-a-0172,594.450750,594.862750,can't,I,sd,u-198-5
sw2707A-ms98-a-0173,595.409875,595.643625,speak,I,sd,u-198-5
sw2707A-ms98-a-0173,595.643625,595.863625,very,I,sd,u-198-5
sw2707A-ms98-a-0173,595.863625,596.611000,clearly,I,sd,u-198-5
sw2707A-ms98-a-0173,597.025375,597.173625,and,B,sd,u-200-1
sw2707A-ms98-a-0173,597.173625,597.353625,she,I,sd,u-200-1
sw2707A-ms98-a-0173,597.353625,597.443625,in,I,sd,u-200-1
sw2707A-ms98-a-0173,597.443625,597.643625,fact,I,sd,u-200-1
sw2707A-ms98-a-0173,597.643625,597.723625,is,I,sd,u-200-1
sw2707A-ms98-a-0173,597.723625,597.783625,a,I,sd,u-200-1
sw2707A-ms98-a-0173,597.783625,598.083625,data,I,sd,u-200-1
sw2707A-ms98-a-0173,598.083625,598.313625,entry,I,sd,u-200-1
sw2707A-ms98-a-0173,598.313625,598.783625,person,I,sd,u-200-1
sw2707A-ms98-a-0173,598.783625,598.843625,i,B,sd,u-200-2
sw2707A-ms98-a-0173,598.843625,599.063625,mean,I,sd,u-200-2
sw2707A-ms98-a-0173,599.063625,599.193625,she,I,sd,u-200-2
sw2707A-ms98-a-0173,599.193625,599.463625,types,I,sd,u-200-2
sw2707A-ms98-a-0173,599.463625,599.663625,away,I,sd,u-200-2
sw2707A-ms98-a-0173,599.663625,599.823625,all,I,sd,u-200-2
sw2707A-ms98-a-0173,599.823625,599.969375,day,I,sd,u-200-2
