sw3911A-ms98-a-0002,0.981250,1.551250,um,B,%,u-1-1
sw3911A-ms98-a-0028,147.427375,147.545875,i,I,h,u-35-2
sw3911A-ms98-a-0028,147.545875,147.695875,don't,I,h,u-35-2
sw3911A-ms98-a-0028,147.695875,147.815875,know,I,h,u-35-2
sw3911A-ms98-a-0028,147.815875,148.064000,i,B,sd(^q),u-35-3
sw3911A-ms98-a-0028,148.064000,148.271250,i,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,148.271250,148.635875,suppose,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,148.635875,148.725875,they,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,148.725875,148.785875,are,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,148.785875,149.085875,trying,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,149.085875,149.165875,to,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,149.165875,149.365875,get,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,149.365875,149.535875,through,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,149.535875,149.705875,to,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,149.705875,149.905875,them,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,149.905875,150.035875,that,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,150.035875,150.185875,well,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,150.185875,150.435875,daddy,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,150.435875,150.515875,is,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,150.515875,150.715875,not,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,150.715875,150.935875,home,I,sd(^q),u-35-3
sw3911A-ms98-a-0028,150.935875,151.364375,because,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,151.945375,152.025375,you,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,152.025375,152.155375,know,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,152.155375,152.255375,he,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,152.255375,152.375375,is,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,152.375375,152.575375,out,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,152.575375,152.875375,working,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,152.875375,153.105375,trying,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,153.105375,153.175375,to,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,153.175375,153.345375,make,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,153.345375,153.555375,some,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,153.555375,153.855375,money,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,153.855375,154.255375,for,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,154.255375,154.325375,you,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,154.325375,154.395375,know,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,154.395375,154.495375,we,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,154.495375,154.675375,can,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,154.675375,154.855375,buy,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,154.855375,155.211875,you,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,155.507375,155.729625,this,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,155.729625,156.155375,bike,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,156.155375,156.503250,and,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,156.642625,156.885375,that,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,156.885375,157.215750,toy,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,157.215750,157.633750,and,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,157.633750,157.925375,so,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,157.925375,158.295375,forth,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,158.295375,158.405375,you,I,sd(^q),u-35-3
sw3911A-ms98-a-0029,158.405375,158.655375,know,I,sd(^q),u-35-3
sw3911A-ms98-a-0030,159.586750,159.984500,but,B,%,u-37-1
sw3911A-ms98-a-0030,159.984500,160.578875,uh,I,%,u-37-1
sw3911A-ms98-a-0032,164.879375,164.999375,oh,B,aa,u-39-1
sw3911A-ms98-a-0032,164.999375,165.139375,i'm,I,aa,u-39-1
sw3911A-ms98-a-0032,165.139375,165.369375,sure,I,aa,u-39-1
sw3911A-ms98-a-0032,165.369375,165.509375,they,I,aa,u-39-1
sw3911A-ms98-a-0032,165.509375,165.969375,would,I,aa,u-39-1
sw3911A-ms98-a-0032,165.969375,166.149375,you,I,aa,u-39-1
sw3911A-ms98-a-0032,166.149375,166.394250,know,I,aa,u-39-1
sw3911A-ms98-a-0033,167.123500,167.745250,so,B,qy,u-39-2
sw3911A-ms98-a-0033,168.413500,168.573500,are,I,qy,u-39-2
sw3911A-ms98-a-0033,168.573500,168.722875,you,I,qy,u-39-2
sw3911A-ms98-a-0033,168.722875,169.078750,planning,I,qy,u-39-2
sw3911A-ms98-a-0033,169.078750,169.203000,on,I,qy,u-39-2
sw3911A-ms98-a-0033,169.203000,169.323500,to,I,qy,u-39-2
sw3911A-ms98-a-0033,169.323500,169.553500,having,I,qy,u-39-2
sw3911A-ms98-a-0033,169.553500,169.643500,any,I,qy,u-39-2
sw3911A-ms98-a-0033,169.643500,170.043500,children,I,qy,u-39-2
sw3911A-ms98-a-0033,170.043500,170.457125,or,B,%,u-39-3
sw3911A-ms98-a-0034,171.548500,172.137750,um-hum,B,b,u-41-1
sw3911A-ms98-a-0036,176.659250,177.366750,um,B,b,u-43-1
sw3911A-ms98-a-0036,177.977750,178.670750,yeah,I,b,u-43-1
sw3911A-ms98-a-0036,178.670750,178.784500,well,B,ba,u-45-1
sw3911A-ms98-a-0036,178.784500,179.044500,that's,I,ba,u-45-1
sw3911A-ms98-a-0036,179.044500,179.374500,good,I,ba,u-45-1
sw3911A-ms98-a-0036,179.374500,179.614500,yeah,O,,
sw3911A-ms98-a-0036,179.614500,179.944500,that's,B,sd,u-47-1
sw3911A-ms98-a-0037,180.669875,180.878625,that's,I,sd,u-47-1
sw3911A-ms98-a-0037,180.878625,180.988625,what,I,sd,u-47-1
sw3911A-ms98-a-0037,180.988625,181.258625,my,I,sd,u-47-1
sw3911A-ms98-a-0037,181.258625,181.398625,uh,I,sd,u-47-1
sw3911A-ms98-a-0037,181.398625,181.838625,daughter-in-law,I,sd,u-47-1
sw3911A-ms98-a-0037,181.838625,181.998625,had,I,sd,u-47-1
sw3911A-ms98-a-0037,181.998625,182.188625,told,I,sd,u-47-1
sw3911A-ms98-a-0037,182.188625,182.278625,me,I,sd,u-47-1
sw3911A-ms98-a-0037,182.278625,182.368625,that,I,sd,u-47-1
sw3911A-ms98-a-0037,182.368625,182.478625,they,I,sd,u-47-1
sw3911A-ms98-a-0037,182.478625,182.568625,were,I,sd,u-47-1
sw3911A-ms98-a-0037,182.568625,182.708625,going,I,sd,u-47-1
sw3911A-ms98-a-0037,182.708625,182.778625,to,I,sd,u-47-1
sw3911A-ms98-a-0037,182.778625,182.978625,have,I,sd,u-47-1
sw3911A-ms98-a-0037,182.978625,183.488875,kids,I,sd,u-47-1
sw3911A-ms98-a-0038,184.531000,185.011000,probably,I,sd,u-47-1
sw3911A-ms98-a-0038,185.011000,185.381000,after,I,sd,u-47-1
sw3911A-ms98-a-0038,185.381000,185.641000,two,I,sd,u-47-1
sw3911A-ms98-a-0038,185.641000,185.921000,years,I,sd,u-47-1
sw3911A-ms98-a-0038,185.921000,185.991000,of,I,sd,u-47-1
sw3911A-ms98-a-0038,185.991000,186.667500,marriage,I,sd,u-47-1
sw3911A-ms98-a-0039,187.466500,188.101125,and,B,sd,u-49-1
sw3911A-ms98-a-0039,188.101125,188.171125,they,I,sd,u-49-1
sw3911A-ms98-a-0039,188.171125,188.321125,will,I,sd,u-49-1
sw3911A-ms98-a-0039,188.321125,188.451125,be,I,sd,u-49-1
sw3911A-ms98-a-0039,188.451125,188.791125,married,I,sd,u-49-1
sw3911A-ms98-a-0039,188.791125,189.081125,nine,I,sd,u-49-1
sw3911A-ms98-a-0039,189.081125,189.461125,years,I,sd,u-49-1
sw3911A-ms98-a-0039,189.461125,190.141125,[laughter],O,,
sw3911A-ms98-a-0039,190.141125,190.443250,this,B,+,u-51-1
sw3911A-ms98-a-0039,190.443250,191.910125,[laughter-year],O,,
sw3911A-ms98-a-0040,192.067000,192.593250,so,B,h,u-51-2
sw3911A-ms98-a-0040,192.593250,192.723250,i,I,h,u-51-2
sw3911A-ms98-a-0040,192.723250,192.943250,don't,I,h,u-51-2
sw3911A-ms98-a-0040,192.943250,193.163250,know,I,h,u-51-2
sw3911A-ms98-a-0040,193.163250,193.463250,she's,B,sd,u-51-3
sw3911A-ms98-a-0040,193.463250,193.563250,a,I,sd,u-51-3
sw3911A-ms98-a-0040,193.563250,193.973250,nurse,I,sd,u-51-3
sw3911A-ms98-a-0040,193.973250,194.080250,you,I,sd,u-51-3
sw3911A-ms98-a-0040,194.080250,194.505875,know,I,sd,u-51-3
sw3911A-ms98-a-0040,194.505875,194.873250,and,B,sd,u-51-4
sw3911A-ms98-a-0040,194.873250,194.993250,uh,I,sd,u-51-4
sw3911A-ms98-a-0040,194.993250,195.233250,she,I,sd,u-51-4
sw3911A-ms98-a-0040,195.233250,195.413250,has,I,sd,u-51-4
sw3911A-ms98-a-0040,195.413250,195.703250,brothers,I,sd,u-51-4
sw3911A-ms98-a-0040,195.703250,195.813250,and,I,sd,u-51-4
sw3911A-ms98-a-0040,195.813250,196.133250,sisters,I,sd,u-51-4
sw3911A-ms98-a-0040,196.133250,196.303250,that,I,sd,u-51-4
sw3911A-ms98-a-0040,196.303250,196.393250,has,I,sd,u-51-4
sw3911A-ms98-a-0040,196.393250,196.563250,got,I,sd,u-51-4
sw3911A-ms98-a-0040,196.563250,196.843250,lots,I,sd,u-51-4
sw3911A-ms98-a-0040,196.843250,196.933250,of,I,sd,u-51-4
sw3911A-ms98-a-0040,196.933250,197.113250,little,I,sd,u-51-4
sw3911A-ms98-a-0040,197.113250,197.533250,kids,I,sd,u-51-4
sw3911A-ms98-a-0040,197.533250,197.653250,so,B,sd,u-51-5
sw3911A-ms98-a-0040,197.653250,197.913250,maybe,I,sd,u-51-5
sw3911A-ms98-a-0040,197.913250,198.063250,they,I,sd,u-51-5
sw3911A-ms98-a-0040,198.063250,198.283250,just,I,sd,u-51-5
sw3911A-ms98-a-0040,198.283250,198.713250,decided,I,sd,u-51-5
sw3911A-ms98-a-0040,198.713250,199.013250,that,I,sd,u-51-5
sw3911A-ms98-a-0040,199.013250,199.288625,uh,I,sd,u-51-5
sw3911A-ms98-a-0041,199.848875,200.009500,if,I,sd,u-51-5
sw3911A-ms98-a-0041,200.009500,200.089500,they,I,sd,u-51-5
sw3911A-ms98-a-0041,200.089500,200.359500,wanted,I,sd,u-51-5
sw3911A-ms98-a-0041,200.359500,200.419500,to,I,sd,u-51-5
sw3911A-ms98-a-0041,200.419500,200.580750,have,I,sd,u-51-5
sw3911A-ms98-a-0041,200.580750,200.825625,kids,I,sd,u-51-5
sw3911A-ms98-a-0041,200.825625,201.139500,around,I,sd,u-51-5
sw3911A-ms98-a-0041,201.139500,201.209500,the,I,sd,u-51-5
sw3911A-ms98-a-0041,201.209500,201.509500,house,I,sd,u-51-5
sw3911A-ms98-a-0041,201.509500,201.659500,they,I,sd,u-51-5
sw3911A-ms98-a-0041,201.659500,201.789500,would,I,sd,u-51-5
sw3911A-ms98-a-0041,201.789500,202.199500,just,I,sd,u-51-5
sw3911A-ms98-a-0041,202.199500,202.279500,you,I,sd,u-51-5
sw3911A-ms98-a-0041,202.279500,202.389500,know,I,sd,u-51-5
sw3911A-ms98-a-0041,202.389500,202.709500,call,I,sd,u-51-5
sw3911A-ms98-a-0041,202.709500,202.849500,one,I,sd,u-51-5
sw3911A-ms98-a-0041,202.849500,202.939500,of,I,sd,u-51-5
sw3911A-ms98-a-0041,202.939500,203.079500,their,I,sd,u-51-5
sw3911A-ms98-a-0041,203.079500,203.489500,sisters,I,sd,u-51-5
sw3911A-ms98-a-0041,203.489500,203.579500,or,I,sd,u-51-5
sw3911A-ms98-a-0041,203.579500,203.919500,brothers,I,sd,u-51-5
sw3911A-ms98-a-0041,203.919500,204.059500,up,I,sd,u-51-5
sw3911A-ms98-a-0041,204.059500,204.169500,and,I,sd,u-51-5
sw3911A-ms98-a-0041,204.169500,204.359500,tell,I,sd,u-51-5
sw3911A-ms98-a-0041,204.359500,204.459500,them,I,sd,u-51-5
sw3911A-ms98-a-0041,204.459500,204.519500,to,I,sd,u-51-5
sw3911A-ms98-a-0041,204.519500,204.639500,send,I,sd,u-51-5
sw3911A-ms98-a-0041,204.639500,204.699500,the,I,sd,u-51-5
sw3911A-ms98-a-0041,204.699500,204.969500,kids,I,sd,u-51-5
sw3911A-ms98-a-0041,204.969500,205.169500,over,I,sd,u-51-5
sw3911A-ms98-a-0041,205.169500,205.379500,for,I,sd,u-51-5
sw3911A-ms98-a-0041,205.379500,205.439500,the,I,sd,u-51-5
sw3911A-ms98-a-0041,205.439500,205.729500,night,I,sd,u-51-5
sw3911A-ms98-a-0043,208.087375,208.297375,you,B,o,u-53-1
sw3911A-ms98-a-0043,208.297375,208.591250,know,I,o,u-53-1
sw3911A-ms98-a-0043,208.824750,209.277375,but,B,%,u-53-2
sw3911A-ms98-a-0043,209.277375,209.524250,uh,I,%,u-53-2
sw3911A-ms98-a-0045,216.440750,216.958250,uh-huh,B,b,u-55-1
sw3911A-ms98-a-0047,219.770250,220.210250,uh-huh,B,b,u-57-1
sw3911A-ms98-a-0047,220.210250,220.462750,so,B,%,u-57-2
sw3911A-ms98-a-0049,227.066625,227.704125,right,B,b,u-59-1
sw3911A-ms98-a-0050,228.893250,229.400875,right,B,b,u-61-1
sw3911A-ms98-a-0050,229.536500,230.082250,right,B,b^r,u-61-2
sw3911A-ms98-a-0052,237.078125,237.652500,uh-huh,B,b,u-63-1
sw3911A-ms98-a-0054,239.460500,240.126125,right,B,b,u-65-1
sw3911A-ms98-a-0054,240.126125,240.480750,right,B,b^r,u-65-2
sw3911A-ms98-a-0056,244.806500,245.432500,yeah,B,b,u-67-1
sw3911A-ms98-a-0056,245.556750,246.036125,uh,B,qy,u-67-2
sw3911A-ms98-a-0056,246.036125,246.160375,do,I,qy,u-67-2
sw3911A-ms98-a-0056,246.160375,246.246875,you,I,qy,u-67-2
sw3911A-ms98-a-0056,246.246875,246.536875,plan,I,qy,u-67-2
sw3911A-ms98-a-0056,246.536875,246.706875,on,I,qy,u-67-2
sw3911A-ms98-a-0056,246.706875,247.016875,staying,I,qy,u-67-2
sw3911A-ms98-a-0056,247.016875,247.276875,home,I,qy,u-67-2
sw3911A-ms98-a-0056,247.276875,247.536875,after,I,qy,u-67-2
sw3911A-ms98-a-0056,247.536875,247.676875,you,I,qy,u-67-2
sw3911A-ms98-a-0056,247.676875,247.916875,have,I,qy,u-67-2
sw3911A-ms98-a-0056,247.916875,248.253375,your,I,qy,u-67-2
sw3911A-ms98-a-0056,248.460500,248.886875,children,I,qy,u-67-2
sw3911A-ms98-a-0056,248.886875,249.026875,or,B,qrr,u-67-3
sw3911A-ms98-a-0056,249.026875,249.116875,do,I,qrr,u-67-3
sw3911A-ms98-a-0056,249.116875,249.264375,you,I,qrr,u-67-3
sw3911A-ms98-a-0056,250.123125,250.266875,do,I,qrr,u-67-3
sw3911A-ms98-a-0056,250.266875,250.366875,you,I,qrr,u-67-3
sw3911A-ms98-a-0056,250.366875,250.776875,work,I,qrr,u-67-3
sw3911A-ms98-a-0056,250.776875,250.906875,or,I,qrr,u-67-3
sw3911A-ms98-a-0056,250.906875,251.230375,what,I,qrr,u-67-3
sw3911A-ms98-a-0058,255.318125,255.765125,uh-huh,B,b,u-69-1
sw3911A-ms98-a-0060,261.229125,261.791500,um-hum,B,b,u-71-1
sw3911A-ms98-a-0060,261.791500,262.252250,um-hum,B,b^r,u-71-2
sw3911A-ms98-a-0062,270.700375,271.412500,um-hum,B,b,u-73-1
sw3911A-ms98-a-0064,282.615375,283.245375,um-hum,B,b,u-75-1
sw3911A-ms98-a-0064,283.245375,283.618375,um-hum,B,b^r,u-75-2
sw3911A-ms98-a-0066,292.000750,292.464250,um-hum,B,b,u-77-1
sw3911A-ms98-a-0067,293.511750,294.033375,um-hum,B,b,u-79-1
