sw2792B-ms98-a-0001,0.620000,0.948125,okay,B,qy,u-1-1
sw2792B-ms98-a-0064,225.203750,225.263750,it,I,sd,u-63-6
sw2792B-ms98-a-0064,225.263750,225.373750,was,I,sd,u-63-6
sw2792B-ms98-a-0064,225.373750,225.583750,real,I,sd,u-63-6
sw2792B-ms98-a-0064,225.583750,226.045500,good,I,sd,u-63-6
sw2792B-ms98-a-0064,226.544375,226.706375,and,B,sd,u-63-7
sw2792B-ms98-a-0064,226.706375,226.813750,it,I,sd,u-63-7
sw2792B-ms98-a-0064,226.813750,227.191250,was,I,sd,u-63-7
sw2792B-ms98-a-0064,227.411500,227.831375,um,I,sd,u-63-7
sw2792B-ms98-a-0065,228.716125,228.786875,it,I,sd,u-63-7
sw2792B-ms98-a-0065,228.786875,228.865625,was,I,sd,u-63-7
sw2792B-ms98-a-0065,228.865625,229.035625,one,I,sd,u-63-7
sw2792B-ms98-a-0065,229.035625,229.095625,of,I,sd,u-63-7
sw2792B-ms98-a-0065,229.095625,229.155625,the,I,sd,u-63-7
sw2792B-ms98-a-0065,229.155625,229.315625,few,I,sd,u-63-7
sw2792B-ms98-a-0065,229.315625,229.635625,books,I,sd,u-63-7
sw2792B-ms98-a-0065,229.635625,229.805625,that,I,sd,u-63-7
sw2792B-ms98-a-0065,229.805625,230.040125,like,B,%,u-63-8
sw2792B-ms98-a-0065,230.040125,230.089125,it,I,%,u-63-8
sw2792B-ms98-a-0065,230.325625,230.435625,you,I,%,u-63-8
sw2792B-ms98-a-0065,230.435625,230.675625,know,I,%,u-63-8
sw2792B-ms98-a-0065,230.675625,231.020625,just,B,sd,u-63-9
sw2792B-ms98-a-0065,231.291750,231.555625,hurry,I,sd,u-63-9
sw2792B-ms98-a-0065,231.555625,231.675625,up,I,sd,u-63-9
sw2792B-ms98-a-0065,231.675625,231.765625,and,I,sd,u-63-9
sw2792B-ms98-a-0065,231.765625,231.905625,go,I,sd,u-63-9
sw2792B-ms98-a-0065,231.905625,232.476000,through,I,sd,u-63-9
sw2792B-ms98-a-0065,232.665625,232.965625,without,I,sd,u-63-9
sw2792B-ms98-a-0065,232.965625,233.335625,putting,I,sd,u-63-9
sw2792B-ms98-a-0065,233.335625,233.745625,down,I,sd,u-63-9
sw2792B-ms98-a-0065,233.745625,233.855625,you,I,sd,u-63-9
sw2792B-ms98-a-0065,233.855625,234.225375,know,I,sd,u-63-9
sw2792B-ms98-a-0067,240.862250,241.306375,um-hum,B,b,u-65-1
sw2792B-ms98-a-0069,250.897375,251.660500,yeah,B,b,u-67-1
sw2792B-ms98-a-0071,263.063625,263.461500,uh-huh,B,b,u-69-1
sw2792B-ms98-a-0073,266.794750,267.501750,no,B,ar,u-71-1
sw2792B-ms98-a-0073,267.501750,267.764750,i'm,B,sv,u-71-2
sw2792B-ms98-a-0073,267.764750,268.074750,sure,I,sv,u-71-2
sw2792B-ms98-a-0073,268.074750,268.387125,it's,I,sv,u-71-2
sw2792B-ms98-a-0074,269.013500,269.322750,fast,I,sv,u-71-2
sw2792B-ms98-a-0074,269.322750,269.834625,[vocalized-noise],I,sv,u-71-2
sw2792B-ms98-a-0074,269.834625,269.933500,or,I,sv,u-71-2
sw2792B-ms98-a-0074,269.933500,270.299250,something,I,sv,u-71-2
sw2792B-ms98-a-0076,273.401625,273.743625,uh-huh,B,b,u-73-1
sw2792B-ms98-a-0078,275.176625,275.236625,i,B,aa,u-73-2
sw2792B-ms98-a-0078,275.236625,275.306625,know,I,aa,u-73-2
sw2792B-ms98-a-0078,275.306625,275.466625,what,I,aa,u-73-2
sw2792B-ms98-a-0078,275.466625,275.536625,you,I,aa,u-73-2
sw2792B-ms98-a-0078,275.536625,275.818875,mean,I,aa,u-73-2
sw2792B-ms98-a-0079,276.509750,276.604875,i,B,sd,u-73-3
sw2792B-ms98-a-0079,276.604875,276.796875,like,I,sd,u-73-3
sw2792B-ms98-a-0079,276.796875,277.106875,reading,I,sd,u-73-3
sw2792B-ms98-a-0079,277.106875,277.336875,late,I,sd,u-73-3
sw2792B-ms98-a-0079,277.336875,277.426875,at,I,sd,u-73-3
sw2792B-ms98-a-0079,277.426875,277.842500,night,I,sd,u-73-3
sw2792B-ms98-a-0079,277.842500,278.056875,right,I,sd,u-73-3
sw2792B-ms98-a-0079,278.056875,278.246875,before,I,sd,u-73-3
sw2792B-ms98-a-0079,278.246875,278.276875,i,I,sd,u-73-3
sw2792B-ms98-a-0079,278.276875,278.366875,go,I,sd,u-73-3
sw2792B-ms98-a-0079,278.366875,278.456875,to,I,sd,u-73-3
sw2792B-ms98-a-0079,278.456875,278.696875,bed,I,sd,u-73-3
sw2792B-ms98-a-0079,278.696875,279.156875,sometimes,I,sd,u-73-3
sw2792B-ms98-a-0079,279.156875,279.246875,i,B,sd,u-73-4
sw2792B-ms98-a-0079,279.246875,279.486875,just,I,sd,u-73-4
sw2792B-ms98-a-0079,279.486875,279.716875,sleep,I,sd,u-73-4
sw2792B-ms98-a-0079,279.716875,279.956875,better,I,sd,u-73-4
sw2792B-ms98-a-0079,279.956875,280.066875,or,I,sd,u-73-4
sw2792B-ms98-a-0079,280.066875,280.346875,[laughter-something],O,,
sw2792B-ms98-a-0081,283.851375,284.072375,but,B,b,u-75-1
sw2792B-ms98-a-0081,284.072375,284.391625,uh,I,b,u-75-1
sw2792B-ms98-a-0083,291.608625,291.931375,uh-huh,B,b,u-77-1
sw2792B-ms98-a-0085,298.254750,298.641000,yeah,B,b,u-79-1
sw2792B-ms98-a-0087,301.102625,301.445125,which,B,qw,u-81-1
sw2792B-ms98-a-0087,301.554625,301.763375,what,I,qw,u-81-1
sw2792B-ms98-a-0087,301.763375,302.023375,book,I,qw,u-81-1
sw2792B-ms98-a-0087,302.023375,302.183375,have,I,qw,u-81-1
sw2792B-ms98-a-0087,302.183375,302.283375,you,I,qw,u-81-1
sw2792B-ms98-a-0087,302.283375,302.603375,read,I,qw,u-81-1
sw2792B-ms98-a-0087,302.603375,302.887625,that,I,qw,u-81-1
sw2792B-ms98-a-0087,303.004375,303.153375,is,I,qw,u-81-1
sw2792B-ms98-a-0087,303.153375,303.443375,along,I,qw,u-81-1
sw2792B-ms98-a-0087,303.443375,303.653375,those,I,qw,u-81-1
sw2792B-ms98-a-0087,303.653375,304.131375,lines,I,qw,u-81-1
sw2792B-ms98-a-0088,305.160125,305.241000,that,B,+,u-83-1
sw2792B-ms98-a-0088,305.241000,305.391000,was,I,+,u-83-1
sw2792B-ms98-a-0088,305.391000,305.631000,really,I,+,u-83-1
sw2792B-ms98-a-0088,305.631000,306.033375,good,I,+,u-83-1
sw2792B-ms98-a-0090,310.889125,311.200750,well,B,qw,u-85-1
sw2792B-ms98-a-0090,311.545000,311.616500,how,I,qw,u-85-1
sw2792B-ms98-a-0090,311.616500,311.906500,about,I,qw,u-85-1
sw2792B-ms98-a-0090,311.906500,312.256500,who,I,qw,u-85-1
sw2792B-ms98-a-0092,317.288250,317.368875,do,B,qy,u-87-1
sw2792B-ms98-a-0092,317.368875,317.438875,you,I,qy,u-87-1
sw2792B-ms98-a-0092,317.438875,317.548875,know,I,qy,u-87-1
sw2792B-ms98-a-0092,317.548875,317.648875,who,I,qy,u-87-1
sw2792B-ms98-a-0092,317.648875,317.758875,it,I,qy,u-87-1
sw2792B-ms98-a-0092,317.758875,317.908875,was,I,qy,u-87-1
sw2792B-ms98-a-0092,317.908875,318.298250,about,I,qy,u-87-1
sw2792B-ms98-a-0094,340.368625,340.742375,uh-huh,B,b,u-89-1
sw2792B-ms98-a-0096,355.845500,356.238375,yeah,B,b,u-91-1
sw2792B-ms98-a-0098,359.209125,359.459125,yeah,B,b,u-93-1
sw2792B-ms98-a-0100,367.835375,367.916250,and,B,bf,u-95-1
sw2792B-ms98-a-0100,367.916250,368.226250,then,I,bf,u-95-1
sw2792B-ms98-a-0100,368.226250,368.446250,do,I,bf,u-95-1
sw2792B-ms98-a-0100,368.446250,368.693875,it,I,bf,u-95-1
sw2792B-ms98-a-0102,371.152375,371.667000,[laughter],O,,
sw2792B-ms98-a-0104,373.429750,374.033500,[laughter],O,,
sw2792B-ms98-a-0106,377.996125,378.297500,uh-huh,B,b,u-101-1
sw2792B-ms98-a-0108,384.599250,385.030750,uh-huh,B,b,u-103-1
sw2792B-ms98-a-0108,385.479375,385.695750,[laughter],O,,
sw2792B-ms98-a-0108,386.610250,386.726375,well,B,ba,u-103-2
sw2792B-ms98-a-0108,386.726375,386.866875,that's,I,ba,u-103-2
sw2792B-ms98-a-0108,386.866875,386.969250,all,I,ba,u-103-2
sw2792B-ms98-a-0108,386.969250,387.329250,right,I,ba,u-103-2
sw2792B-ms98-a-0110,392.521250,392.610375,you're,B,sv,u-105-1
sw2792B-ms98-a-0110,392.610375,392.800375,more,I,sv,u-105-1
sw2792B-ms98-a-0110,392.800375,393.100375,fun,I,sv,u-105-1
sw2792B-ms98-a-0110,393.100375,393.430625,though,I,sv,u-105-1
sw2792B-ms98-a-0110,393.611375,393.912875,see,I,sv,u-105-1
sw2792B-ms98-a-0110,393.912875,394.624750,[laughter],O,,
sw2792B-ms98-a-0110,394.624750,394.770375,you're,B,qy^g,u-105-2
sw2792B-ms98-a-0110,394.770375,394.970375,not,I,qy^g,u-105-2
sw2792B-ms98-a-0110,394.970375,395.420375,ridged,I,qy^g,u-105-2
sw2792B-ms98-a-0110,395.420375,395.828375,right,I,qy^g,u-105-2
sw2792B-ms98-a-0112,402.387250,402.579500,that's,B,ba,u-107-1
sw2792B-ms98-a-0112,402.579500,403.058750,good,I,ba,u-107-1
sw2792B-ms98-a-0114,405.564375,405.892500,yeah,B,b,u-109-1
sw2792B-ms98-a-0116,410.601750,410.706875,there,B,sd,u-111-1
sw2792B-ms98-a-0116,410.706875,410.866875,may,I,sd,u-111-1
sw2792B-ms98-a-0116,410.866875,411.066875,be,I,sd,u-111-1
sw2792B-ms98-a-0116,411.066875,411.286875,some,I,sd,u-111-1
sw2792B-ms98-a-0116,411.286875,411.686875,schools,I,sd,u-111-1
sw2792B-ms98-a-0116,411.686875,411.796875,you,I,sd,u-111-1
sw2792B-ms98-a-0116,411.796875,411.966875,could,I,sd,u-111-1
sw2792B-ms98-a-0116,411.966875,412.206875,read,I,sd,u-111-1
sw2792B-ms98-a-0116,412.206875,412.546875,about,I,sd,u-111-1
sw2792B-ms98-a-0116,412.546875,412.706875,and,I,sd,u-111-1
sw2792B-ms98-a-0116,412.706875,413.056375,learn,I,sd,u-111-1
sw2792B-ms98-a-0118,417.557000,417.922250,uh,B,sd,u-113-1
sw2792B-ms98-a-0118,417.922250,418.104750,about,I,sd,u-113-1
sw2792B-ms98-a-0118,418.104750,418.649125,twenty,I,sd,u-113-1
sw2792B-ms98-a-0120,420.420875,420.860000,no,B,aa,u-115-1
sw2792B-ms98-a-0121,422.142875,422.612875,no,B,aa,u-117-1
sw2792B-ms98-a-0123,424.849000,425.539000,[laughter-sometimes],O,,
sw2792B-ms98-a-0124,426.227250,426.630500,sometimes,B,sd,u-121-1
sw2792B-ms98-a-0124,426.630500,426.860500,more,I,sd,u-121-1
sw2792B-ms98-a-0124,426.860500,427.030500,than,I,sd,u-121-1
sw2792B-ms98-a-0124,427.030500,427.503125,others,I,sd,u-121-1
sw2792B-ms98-a-0124,427.977750,428.170500,but,B,%,u-121-2
sw2792B-ms98-a-0124,428.170500,428.621000,yeah,I,%,u-121-2
sw2792B-ms98-a-0124,428.758375,428.897750,i,B,sd,u-121-3
sw2792B-ms98-a-0124,428.897750,429.165500,do,I,sd,u-121-3
sw2792B-ms98-a-0124,429.485625,429.590500,i've,B,sd,u-123-1
sw2792B-ms98-a-0124,429.590500,429.720500,been,I,sd,u-123-1
sw2792B-ms98-a-0124,429.720500,429.830500,there,I,sd,u-123-1
sw2792B-ms98-a-0124,429.830500,430.040500,about,I,sd,u-123-1
sw2792B-ms98-a-0124,430.040500,430.240500,three,I,sd,u-123-1
sw2792B-ms98-a-0124,430.240500,430.616750,years,I,sd,u-123-1
sw2792B-ms98-a-0126,433.621625,433.741625,yeah,B,ny,u-125-1
sw2792B-ms98-a-0126,433.741625,433.801625,i,B,sd^e,u-125-2
sw2792B-ms98-a-0126,433.801625,433.951625,just,I,sd^e,u-125-2
sw2792B-ms98-a-0126,433.951625,434.061625,got,I,sd^e,u-125-2
sw2792B-ms98-a-0126,434.061625,434.341625,married,I,sd^e,u-125-2
sw2792B-ms98-a-0126,434.341625,434.651625,last,I,sd^e,u-125-2
sw2792B-ms98-a-0126,434.651625,434.991625,year,I,sd^e,u-125-2
sw2792B-ms98-a-0126,434.991625,435.231000,and,B,sd,u-125-3
sw2792B-ms98-a-0127,436.069625,436.480000,um,I,sd,u-125-3
sw2792B-ms98-a-0127,436.610875,436.779500,most,I,sd,u-125-3
sw2792B-ms98-a-0127,436.779500,436.839500,of,I,sd,u-125-3
sw2792B-ms98-a-0127,436.839500,436.919500,my,I,sd,u-125-3
sw2792B-ms98-a-0127,436.919500,437.269500,family's,I,sd,u-125-3
sw2792B-ms98-a-0127,437.269500,437.379500,in,I,sd,u-125-3
sw2792B-ms98-a-0127,437.379500,438.009625,Indiana,I,sd,u-125-3
sw2792B-ms98-a-0128,439.071500,439.511500,so,B,sd,u-127-1
sw2792B-ms98-a-0128,439.511500,439.801500,i've,I,sd,u-127-1
sw2792B-ms98-a-0128,439.801500,439.991500,only,I,sd,u-127-1
sw2792B-ms98-a-0128,439.991500,440.121500,been,I,sd,u-127-1
sw2792B-ms98-a-0128,440.121500,440.201500,in,I,sd,u-127-1
sw2792B-ms98-a-0128,440.201500,440.541500,Texas,I,sd,u-127-1
sw2792B-ms98-a-0128,440.541500,440.781500,three,I,sd,u-127-1
sw2792B-ms98-a-0128,440.781500,441.221500,years,I,sd,u-127-1
sw2792B-ms98-a-0129,442.461750,442.604750,yeah,B,ny,u-129-1
sw2792B-ms98-a-0129,442.604750,442.711250,i,B,sd^e,u-129-2
sw2792B-ms98-a-0129,442.711250,443.108750,do,I,sd^e,u-129-2
sw2792B-ms98-a-0129,443.108750,443.238875,i,B,sd,u-129-3
sw2792B-ms98-a-0129,443.238875,443.412125,love,I,sd,u-129-3
sw2792B-ms98-a-0129,443.412125,443.532625,the,I,sd,u-129-3
sw2792B-ms98-a-0129,443.532625,443.794750,weather,I,sd,u-129-3
sw2792B-ms98-a-0129,443.794750,444.014750,down,I,sd,u-129-3
sw2792B-ms98-a-0129,444.014750,444.274500,here,I,sd,u-129-3
sw2792B-ms98-a-0131,448.232875,448.816250,yeah,B,aa,u-131-1
sw2792B-ms98-a-0131,448.816250,448.914375,i,B,aa,u-131-2
sw2792B-ms98-a-0131,448.914375,449.404375,know,I,aa,u-131-2
sw2792B-ms98-a-0133,451.501000,451.822125,boy,B,sd,u-133-1
sw2792B-ms98-a-0133,451.822125,452.151375,they,I,sd,u-133-1
sw2792B-ms98-a-0133,452.505375,452.682125,they,I,sd,u-133-1
sw2792B-ms98-a-0133,452.682125,452.942125,have,I,sd,u-133-1
sw2792B-ms98-a-0133,452.942125,453.402125,storms,I,sd,u-133-1
sw2792B-ms98-a-0133,453.402125,453.712125,here,I,sd,u-133-1
sw2792B-ms98-a-0133,453.712125,454.002125,i've,B,%,u-133-2
sw2792B-ms98-a-0134,455.066750,455.653500,hail,B,ba,u-135-1
sw2792B-ms98-a-0134,455.653500,455.891250,and,I,ba,u-135-1
sw2792B-ms98-a-0134,456.277375,456.763500,thunder,I,ba,u-135-1
sw2792B-ms98-a-0134,456.763500,456.903500,and,I,ba,u-135-1
sw2792B-ms98-a-0136,459.204250,459.656000,yeah,B,b,u-137-1
sw2792B-ms98-a-0138,461.281875,461.367000,were,B,qy,u-139-1
sw2792B-ms98-a-0138,461.367000,461.440000,you,I,qy,u-139-1
sw2792B-ms98-a-0138,461.440000,461.600000,here,I,qy,u-139-1
sw2792B-ms98-a-0138,461.600000,461.820000,during,I,qy,u-139-1
sw2792B-ms98-a-0138,461.820000,461.940000,the,I,qy,u-139-1
sw2792B-ms98-a-0138,461.940000,462.552375,hailstorm,I,qy,u-139-1
sw2792B-ms98-a-0138,462.959125,463.070000,two,I,qy,u-139-1
sw2792B-ms98-a-0138,463.070000,463.260000,years,I,qy,u-139-1
sw2792B-ms98-a-0138,463.260000,463.520000,ago,I,qy,u-139-1
sw2792B-ms98-a-0140,477.273250,477.723250,yeah,B,b,u-141-1
sw2792B-ms98-a-0140,477.723250,478.125500,boy,B,sd,u-141-2
sw2792B-ms98-a-0141,479.037125,479.179125,i,I,sd,u-141-2
sw2792B-ms98-a-0141,479.179125,479.450000,had,I,sd,u-141-2
sw2792B-ms98-a-0141,479.678500,479.937125,thirty,I,sd,u-141-2
sw2792B-ms98-a-0141,479.937125,480.127125,three,I,sd,u-141-2
sw2792B-ms98-a-0141,480.127125,480.337125,hundred,I,sd,u-141-2
sw2792B-ms98-a-0141,480.337125,480.895125,dollars,I,sd,u-141-2
sw2792B-ms98-a-0141,480.989250,481.417125,damage,I,sd,u-141-2
sw2792B-ms98-a-0141,481.417125,481.667125,done,I,sd,u-141-2
sw2792B-ms98-a-0141,481.667125,481.727125,on,I,sd,u-141-2
sw2792B-ms98-a-0141,481.727125,481.847125,my,I,sd,u-141-2
sw2792B-ms98-a-0141,481.847125,482.648750,car,I,sd,u-141-2
sw2792B-ms98-a-0141,482.648750,482.761750,a,B,sd,u-141-3
sw2792B-ms98-a-0141,482.761750,482.857125,lot,I,sd,u-141-3
sw2792B-ms98-a-0141,482.857125,482.917125,of,I,sd,u-141-3
sw2792B-ms98-a-0141,482.917125,483.107125,people,I,sd,u-141-3
sw2792B-ms98-a-0141,483.107125,483.207125,had,I,sd,u-141-3
sw2792B-ms98-a-0141,483.207125,483.297125,their,I,sd,u-141-3
sw2792B-ms98-a-0141,483.297125,483.617125,cars,I,sd,u-141-3
sw2792B-ms98-a-0141,483.617125,484.282500,totaled,I,sd,u-141-3
sw2792B-ms98-a-0142,484.904750,485.038375,just,I,sd,u-141-3
sw2792B-ms98-a-0142,485.038375,485.188375,from,I,sd,u-141-3
sw2792B-ms98-a-0142,485.188375,485.589250,hail,I,sd,u-141-3
sw2792B-ms98-a-0144,487.691250,487.760750,i,B,sv,u-143-1
sw2792B-ms98-a-0144,487.760750,487.933000,think,I,sv,u-143-1
sw2792B-ms98-a-0144,487.933000,488.183000,State,I,sv,u-143-1
sw2792B-ms98-a-0144,488.183000,488.513000,Farm,I,sv,u-143-1
sw2792B-ms98-a-0144,488.513000,488.673000,went,I,sv,u-143-1
sw2792B-ms98-a-0144,488.673000,489.289250,bankrupt,I,sv,u-143-1
sw2792B-ms98-a-0144,489.922750,490.175500,just,B,+,u-145-1
sw2792B-ms98-a-0144,490.175500,490.573625,[laughter-about],O,,
sw2792B-ms98-a-0146,491.709125,491.962625,but,B,%,u-145-2
sw2792B-ms98-a-0146,491.962625,492.172375,uh,I,%,u-145-2
sw2792B-ms98-a-0148,497.869500,498.311750,really,B,bh,u-147-1
sw2792B-ms98-a-0150,500.418125,500.783625,hm,O,,
sw2792B-ms98-a-0152,507.531125,507.960000,yeah,B,aa,u-151-1
sw2792B-ms98-a-0152,507.960000,508.370000,and,B,sd,u-151-2
sw2792B-ms98-a-0152,508.370000,509.010000,Colorado,I,sd,u-151-2
sw2792B-ms98-a-0152,509.010000,509.590000,Springs,I,sd,u-151-2
sw2792B-ms98-a-0153,510.745250,511.151500,yeah,B,ny,u-153-1
sw2792B-ms98-a-0153,511.151500,511.221500,i,B,sd^e,u-153-2
sw2792B-ms98-a-0153,511.221500,511.441500,talked,I,sd^e,u-153-2
sw2792B-ms98-a-0153,511.441500,511.501500,to,I,sd^e,u-153-2
sw2792B-ms98-a-0153,511.501500,511.551500,a,I,sd^e,u-153-2
sw2792B-ms98-a-0153,511.551500,511.751500,guy,I,sd^e,u-153-2
sw2792B-ms98-a-0153,511.751500,511.851500,on,I,sd^e,u-153-2
sw2792B-ms98-a-0153,511.851500,511.911500,the,I,sd^e,u-153-2
sw2792B-ms98-a-0153,511.911500,512.201500,phone,I,sd^e,u-153-2
sw2792B-ms98-a-0153,512.201500,512.321500,on,I,sd^e,u-153-2
sw2792B-ms98-a-0153,512.321500,512.694250,this,I,sd^e,u-153-2
sw2792B-ms98-a-0153,512.942750,513.051500,the,I,sd^e,u-153-2
sw2792B-ms98-a-0153,513.051500,513.171500,other,I,sd^e,u-153-2
sw2792B-ms98-a-0153,513.171500,513.441500,day,I,sd^e,u-153-2
sw2792B-ms98-a-0153,513.441500,513.531500,and,B,sd,u-153-3
sw2792B-ms98-a-0153,513.531500,513.591500,he,I,sd,u-153-3
sw2792B-ms98-a-0153,513.591500,513.691500,was,I,sd,u-153-3
sw2792B-ms98-a-0153,513.691500,513.971500,telling,I,sd,u-153-3
sw2792B-ms98-a-0153,513.971500,514.031500,me,I,sd,u-153-3
sw2792B-ms98-a-0153,514.031500,514.291500,about,I,sd,u-153-3
sw2792B-ms98-a-0153,514.291500,514.517250,it,I,sd,u-153-3
sw2792B-ms98-a-0155,516.360000,516.501250,they,B,sd,u-155-1
sw2792B-ms98-a-0155,516.501250,516.691625,just,I,sd,u-155-1
sw2792B-ms98-a-0155,516.691625,517.034375,sold,I,sd,u-155-1
sw2792B-ms98-a-0155,517.034375,517.161250,it,I,sd,u-155-1
sw2792B-ms98-a-0157,518.483250,518.866750,closed,B,sd,u-157-1
sw2792B-ms98-a-0157,518.866750,519.106750,up,I,sd,u-157-1
sw2792B-ms98-a-0157,519.106750,519.226750,and,I,sd,u-157-1
sw2792B-ms98-a-0157,519.226750,519.486750,moved,I,sd,u-157-1
sw2792B-ms98-a-0157,519.486750,519.756750,down,I,sd,u-157-1
sw2792B-ms98-a-0157,519.756750,520.026750,to,I,sd,u-157-1
sw2792B-ms98-a-0157,520.026750,520.469625,McKinney,I,sd,u-157-1
sw2792B-ms98-a-0159,523.981875,524.381375,yeah,B,b,u-159-1
sw2792B-ms98-a-0161,526.290875,526.486125,i,B,aa,u-161-1
sw2792B-ms98-a-0161,526.486125,526.668500,know,I,aa,u-161-1
sw2792B-ms98-a-0163,534.648000,534.788000,how,B,br,u-163-1
sw2792B-ms98-a-0163,534.788000,534.848000,do,I,br,u-163-1
sw2792B-ms98-a-0163,534.848000,534.947375,i,I,br,u-163-1
sw2792B-ms98-a-0163,534.947375,535.108000,feel,I,br,u-163-1
sw2792B-ms98-a-0163,535.108000,535.361000,what,I,br,u-163-1
sw2792B-ms98-a-0165,540.526125,540.862625,uh-huh,B,b,u-165-1
sw2792B-ms98-a-0167,545.209125,545.590000,yeah,B,b,u-167-1
sw2792B-ms98-a-0169,555.141875,555.331375,that's,B,ba,u-169-1
sw2792B-ms98-a-0169,555.331375,555.706000,good,I,ba,u-169-1
sw2792B-ms98-a-0171,559.535250,559.784250,that's,B,ba,u-171-1
sw2792B-ms98-a-0171,559.784250,560.067500,real,O,,
sw2792B-ms98-a-0171,560.192125,560.604250,yeah,B,b,u-171-2
sw2792B-ms98-a-0173,563.043375,563.528125,[laughter],O,,
sw2792B-ms98-a-0175,568.820625,569.075125,oh,B,b,u-173-1
sw2792B-ms98-a-0175,569.075125,569.547000,yeah,I,b,u-173-1
sw2792B-ms98-a-0177,579.460000,579.602500,yeah,B,aa,u-175-1
sw2792B-ms98-a-0177,579.602500,579.732500,it's,B,sd,u-175-2
sw2792B-ms98-a-0177,579.732500,579.892500,really,I,sd,u-175-2
sw2792B-ms98-a-0177,579.892500,580.322500,surprising,I,sd,u-175-2
sw2792B-ms98-a-0177,580.322500,580.402500,how,I,sd,u-175-2
sw2792B-ms98-a-0177,580.402500,580.532500,many,I,sd,u-175-2
sw2792B-ms98-a-0177,580.532500,580.812500,people,I,sd,u-175-2
sw2792B-ms98-a-0177,580.812500,581.302500,graduate,I,sd,u-175-2
sw2792B-ms98-a-0177,581.302500,581.482500,from,I,sd,u-175-2
sw2792B-ms98-a-0177,581.482500,581.676750,high,I,sd,u-175-2
sw2792B-ms98-a-0177,581.676750,582.224500,school,I,sd,u-175-2
sw2792B-ms98-a-0177,582.224500,582.652500,and,B,+,u-177-1
sw2792B-ms98-a-0177,582.652500,582.772500,that,I,+,u-177-1
sw2792B-ms98-a-0177,582.772500,582.892500,i,I,+,u-177-1
sw2792B-ms98-a-0177,582.892500,583.212500,work,I,+,u-177-1
sw2792B-ms98-a-0177,583.212500,583.512500,with,I,+,u-177-1
sw2792B-ms98-a-0177,583.512500,583.642500,and,B,%,u-177-2
sw2792B-ms98-a-0177,583.642500,584.047625,people,I,%,u-177-2
sw2792B-ms98-a-0177,584.375375,584.469500,i,I,%,u-177-2
sw2792B-ms98-a-0177,584.469500,584.542500,mean,I,%,u-177-2
sw2792B-ms98-a-0177,584.542500,584.612500,i,B,sd,u-177-3
sw2792B-ms98-a-0177,584.612500,584.752500,get,I,sd,u-177-3
sw2792B-ms98-a-0177,584.752500,585.142500,memos,I,sd,u-177-3
sw2792B-ms98-a-0177,585.142500,585.252500,all,I,sd,u-177-3
sw2792B-ms98-a-0177,585.252500,585.312500,the,I,sd,u-177-3
sw2792B-ms98-a-0177,585.312500,585.552500,time,I,sd,u-177-3
sw2792B-ms98-a-0177,585.552500,585.762500,across,I,sd,u-177-3
sw2792B-ms98-a-0177,585.762500,585.872500,my,I,sd,u-177-3
sw2792B-ms98-a-0177,585.872500,586.212500,desk,I,sd,u-177-3
sw2792B-ms98-a-0177,586.212500,586.472500,and,B,sd,u-177-4
sw2792B-ms98-a-0177,586.472500,586.722500,things,I,sd,u-177-4
sw2792B-ms98-a-0177,586.722500,586.782500,are,I,sd,u-177-4
sw2792B-ms98-a-0177,586.782500,587.442500,misspelled,I,sd,u-177-4
sw2792B-ms98-a-0177,587.442500,587.602500,and,B,sv,u-177-5
sw2792B-ms98-a-0177,587.602500,587.812500,it's,B,+,u-179-1
sw2792B-ms98-a-0177,587.812500,588.312500,really,I,+,u-179-1
sw2792B-ms98-a-0178,589.309500,589.416125,it's,B,+,u-181-1
sw2792B-ms98-a-0178,589.416125,589.616125,pretty,I,+,u-181-1
sw2792B-ms98-a-0178,589.616125,590.187375,sad,I,+,u-181-1
sw2792B-ms98-a-0178,590.413375,590.526125,a,B,sd,u-183-1
sw2792B-ms98-a-0178,590.526125,590.686125,lot,I,sd,u-183-1
sw2792B-ms98-a-0178,590.686125,590.756125,of,I,sd,u-183-1
sw2792B-ms98-a-0178,590.756125,590.966125,people,I,sd,u-183-1
sw2792B-ms98-a-0178,590.966125,591.066125,that,I,sd,u-183-1
sw2792B-ms98-a-0178,591.066125,591.236125,work,I,sd,u-183-1
sw2792B-ms98-a-0178,591.236125,591.376125,for,I,sd,u-183-1
sw2792B-ms98-a-0178,591.376125,591.516125,me,I,sd,u-183-1
sw2792B-ms98-a-0178,591.516125,591.656125,that,I,sd,u-183-1
sw2792B-ms98-a-0178,591.656125,591.926125,can't,I,sd,u-183-1
sw2792B-ms98-a-0178,591.926125,592.246125,even,I,sd,u-183-1
sw2792B-ms98-a-0178,592.556125,592.916125,spell,I,sd,u-183-1
sw2792B-ms98-a-0178,592.916125,593.076125,or,I,sd,u-183-1
sw2792B-ms98-a-0178,593.076125,593.426125,read,I,sd,u-183-1
sw2792B-ms98-a-0178,593.426125,593.526125,you,I,sd,u-183-1
sw2792B-ms98-a-0178,593.526125,593.775750,know,I,sd,u-183-1
sw2792B-ms98-a-0180,596.944750,597.316375,yeah,B,b,u-185-1
