sw3591A-ms98-a-0001,0.904375,1.144250,well,B,%,u-1-1
sw3591A-ms98-a-0033,251.415500,251.941125,need,I,sd,u-35-1
sw3591A-ms98-a-0035,253.739875,254.141500,yeah,B,b,u-37-1
sw3591A-ms98-a-0035,254.141500,254.281750,the,B,sv,u-37-2
sw3591A-ms98-a-0035,254.281750,254.664500,church,I,sv,u-37-2
sw3591A-ms98-a-0035,254.664500,255.167500,or,I,sv,u-37-2
sw3591A-ms98-a-0035,255.167500,255.794500,synagogue,I,sv,u-37-2
sw3591A-ms98-a-0035,255.794500,256.511750,whatever,I,sv,u-37-2
sw3591A-ms98-a-0035,257.168250,257.598625,because,B,+,u-39-1
sw3591A-ms98-a-0035,257.771875,258.224500,typically,I,+,u-39-1
sw3591A-ms98-a-0035,258.224500,258.474500,these,I,+,u-39-1
sw3591A-ms98-a-0035,258.474500,258.594500,were,I,+,u-39-1
sw3591A-ms98-a-0035,258.594500,259.244500,close-knit,I,+,u-39-1
sw3591A-ms98-a-0035,259.244500,259.574500,groups,I,+,u-39-1
sw3591A-ms98-a-0035,259.574500,259.664500,at,I,+,u-39-1
sw3591A-ms98-a-0035,259.664500,259.904500,one,I,+,u-39-1
sw3591A-ms98-a-0035,259.904500,260.244500,time,I,+,u-39-1
sw3591A-ms98-a-0035,260.244500,260.354500,but,B,sv,u-39-2
sw3591A-ms98-a-0035,260.354500,260.504500,in,I,sv,u-39-2
sw3591A-ms98-a-0035,260.504500,261.094500,today's,I,sv,u-39-2
sw3591A-ms98-a-0035,261.094500,261.764500,large,I,sv,u-39-2
sw3591A-ms98-a-0035,261.764500,262.554500,metropolitan,I,sv,u-39-2
sw3591A-ms98-a-0035,262.554500,263.044500,areas,I,sv,u-39-2
sw3591A-ms98-a-0035,263.044500,263.164500,or,I,sv,u-39-2
sw3591A-ms98-a-0035,263.164500,263.583625,even,I,sv,u-39-2
sw3591A-ms98-a-0036,264.416125,264.766375,in,I,sv,u-39-2
sw3591A-ms98-a-0036,265.500875,265.992250,most,I,sv,u-39-2
sw3591A-ms98-a-0036,265.992250,266.292375,even,I,sv,u-39-2
sw3591A-ms98-a-0036,266.292375,266.482375,even,I,sv,u-39-2
sw3591A-ms98-a-0036,266.482375,266.582375,the,I,sv,u-39-2
sw3591A-ms98-a-0036,266.582375,266.902375,rural,I,sv,u-39-2
sw3591A-ms98-a-0036,266.902375,267.302375,areas,I,sv,u-39-2
sw3591A-ms98-a-0036,267.302375,267.536375,now,I,sv,u-39-2
sw3591A-ms98-a-0036,267.751125,268.042375,people,I,sv,u-39-2
sw3591A-ms98-a-0036,268.042375,268.152375,are,I,sv,u-39-2
sw3591A-ms98-a-0036,268.152375,268.422375,not,I,sv,u-39-2
sw3591A-ms98-a-0036,268.422375,268.662375,quite,I,sv,u-39-2
sw3591A-ms98-a-0036,268.662375,268.792375,as,I,sv,u-39-2
sw3591A-ms98-a-0036,268.792375,269.242375,close,I,sv,u-39-2
sw3591A-ms98-a-0036,269.242375,269.312375,as,I,sv,u-39-2
sw3591A-ms98-a-0036,269.312375,269.392375,they,I,sv,u-39-2
sw3591A-ms98-a-0036,269.392375,269.752375,once,I,sv,u-39-2
sw3591A-ms98-a-0036,269.752375,270.091750,were,I,sv,u-39-2
sw3591A-ms98-a-0037,271.139750,271.407375,uh,B,sv,u-41-1
sw3591A-ms98-a-0037,271.407375,271.607375,the,I,sv,u-41-1
sw3591A-ms98-a-0037,271.607375,272.367375,mobility,I,sv,u-41-1
sw3591A-ms98-a-0037,272.367375,273.191000,factor,I,sv,u-41-1
sw3591A-ms98-a-0037,273.191000,273.323250,the,I,sv,u-41-1
sw3591A-ms98-a-0037,273.323250,273.787375,factor,I,sv,u-41-1
sw3591A-ms98-a-0037,273.787375,274.117375,that,I,sv,u-41-1
sw3591A-ms98-a-0037,274.117375,274.491250,uh,I,sv,u-41-1
sw3591A-ms98-a-0038,275.558750,276.293000,oh,I,sv,u-41-1
sw3591A-ms98-a-0038,276.839125,277.042250,we're,I,sv,u-41-1
sw3591A-ms98-a-0038,277.042250,277.372250,living,I,sv,u-41-1
sw3591A-ms98-a-0038,277.372250,278.062250,longer,I,sv,u-41-1
sw3591A-ms98-a-0038,278.062250,278.343875,and,I,sv,u-41-1
sw3591A-ms98-a-0039,279.358625,279.693875,people,I,sv,u-41-1
sw3591A-ms98-a-0039,279.693875,279.763875,are,I,sv,u-41-1
sw3591A-ms98-a-0039,279.763875,280.013875,less,I,sv,u-41-1
sw3591A-ms98-a-0039,280.013875,280.603875,trusting,I,sv,u-41-1
sw3591A-ms98-a-0039,280.603875,280.803875,all,I,sv,u-41-1
sw3591A-ms98-a-0039,280.803875,280.963875,these,I,sv,u-41-1
sw3591A-ms98-a-0039,280.963875,281.273875,things,I,sv,u-41-1
sw3591A-ms98-a-0039,281.273875,281.473875,tend,I,sv,u-41-1
sw3591A-ms98-a-0039,281.473875,281.583875,to,I,sv,u-41-1
sw3591A-ms98-a-0039,281.583875,282.093875,destroy,I,sv,u-41-1
sw3591A-ms98-a-0039,282.093875,282.313875,this,I,sv,u-41-1
sw3591A-ms98-a-0039,282.313875,282.643875,type,I,sv,u-41-1
sw3591A-ms98-a-0039,282.643875,282.743875,of,I,sv,u-41-1
sw3591A-ms98-a-0039,282.743875,283.233875,system,I,sv,u-41-1
sw3591A-ms98-a-0039,283.233875,283.353875,but,B,sd,u-41-2
sw3591A-ms98-a-0039,283.353875,283.433875,i,I,sd,u-41-2
sw3591A-ms98-a-0039,283.433875,283.713875,agree,I,sd,u-41-2
sw3591A-ms98-a-0039,283.713875,283.843875,with,I,sd,u-41-2
sw3591A-ms98-a-0039,283.843875,284.003875,you,I,sd,u-41-2
sw3591A-ms98-a-0039,284.003875,284.089250,it,O,,
sw3591A-ms98-a-0039,284.089250,284.300250,it,O,,
sw3591A-ms98-a-0039,284.300250,284.523875,might,B,sv,u-41-3
sw3591A-ms98-a-0039,284.523875,284.653875,be,I,sv,u-41-3
sw3591A-ms98-a-0039,284.653875,284.823875,some,I,sv,u-41-3
sw3591A-ms98-a-0039,284.823875,285.663875,possibilities,I,sv,u-41-3
sw3591A-ms98-a-0039,285.663875,286.033875,there,I,sv,u-41-3
sw3591A-ms98-a-0040,286.783625,287.102000,although,B,sv,u-43-1
sw3591A-ms98-a-0040,287.102000,287.632000,dealing,I,sv,u-43-1
sw3591A-ms98-a-0040,287.632000,288.002000,with,I,sv,u-43-1
sw3591A-ms98-a-0040,288.002000,289.209125,geriatrics,I,sv,u-43-1
sw3591A-ms98-a-0041,290.401125,290.600750,is,I,sv,u-43-1
sw3591A-ms98-a-0041,290.600750,290.990750,something,I,sv,u-43-1
sw3591A-ms98-a-0041,290.990750,291.060750,a,I,sv,u-43-1
sw3591A-ms98-a-0041,291.060750,291.420750,lot,I,sv,u-43-1
sw3591A-ms98-a-0041,291.420750,291.500750,of,I,sv,u-43-1
sw3591A-ms98-a-0041,291.500750,291.760750,young,I,sv,u-43-1
sw3591A-ms98-a-0041,291.760750,292.060750,people,I,sv,u-43-1
sw3591A-ms98-a-0041,292.060750,292.310750,just,I,sv,u-43-1
sw3591A-ms98-a-0041,292.310750,292.560750,aren't,I,sv,u-43-1
sw3591A-ms98-a-0041,292.560750,293.010750,emotionally,I,sv,u-43-1
sw3591A-ms98-a-0041,293.010750,293.440750,prepared,I,sv,u-43-1
sw3591A-ms98-a-0041,293.440750,293.550750,to,I,sv,u-43-1
sw3591A-ms98-a-0041,293.550750,293.966000,do,I,sv,u-43-1
sw3591A-ms98-a-0042,295.600125,295.695750,i,B,sv,u-45-1
sw3591A-ms98-a-0042,295.695750,295.906750,think,I,sv,u-45-1
sw3591A-ms98-a-0042,295.906750,296.006750,they,I,sv,u-45-1
sw3591A-ms98-a-0042,296.006750,296.146750,would,I,sv,u-45-1
sw3591A-ms98-a-0042,296.146750,296.356750,have,I,sv,u-45-1
sw3591A-ms98-a-0042,296.356750,296.466750,to,I,sv,u-45-1
sw3591A-ms98-a-0042,296.466750,296.656750,have,I,sv,u-45-1
sw3591A-ms98-a-0042,296.656750,296.926750,some,I,sv,u-45-1
sw3591A-ms98-a-0042,296.926750,297.696750,training,I,sv,u-45-1
sw3591A-ms98-a-0042,297.699375,298.070750,so[me]-,O,,
