sw3750B-ms98-a-0001,0.020000,0.189875,yeah,B,o,u-1-1
sw3750B-ms98-a-0019,123.126375,123.486375,third,I,sd,u-49-1
sw3750B-ms98-a-0019,123.486375,123.656375,from,I,sd,u-49-1
sw3750B-ms98-a-0019,123.656375,123.736375,the,I,sd,u-49-1
sw3750B-ms98-a-0019,123.736375,124.096375,end,I,sd,u-49-1
sw3750B-ms98-a-0019,124.096375,124.216375,on,I,sd,u-49-1
sw3750B-ms98-a-0019,124.216375,124.276375,the,I,sd,u-49-1
sw3750B-ms98-a-0019,124.276375,124.716375,electric,I,sd,u-49-1
sw3750B-ms98-a-0019,124.716375,125.328250,string,I,sd,u-49-1
sw3750B-ms98-a-0020,126.781625,127.493750,so,B,sd,u-51-1
sw3750B-ms98-a-0020,127.493750,127.843375,uh,I,sd,u-51-1
sw3750B-ms98-a-0020,127.843375,128.083750,and,I,sd,u-51-1
sw3750B-ms98-a-0020,128.083750,128.213750,we're,I,sd,u-51-1
sw3750B-ms98-a-0020,128.213750,128.313750,at,I,sd,u-51-1
sw3750B-ms98-a-0020,128.313750,128.413750,the,I,sd,u-51-1
sw3750B-ms98-a-0020,128.413750,128.623750,end,I,sd,u-51-1
sw3750B-ms98-a-0020,128.623750,128.683750,of,I,sd,u-51-1
sw3750B-ms98-a-0020,128.683750,128.743750,the,I,sd,u-51-1
sw3750B-ms98-a-0020,128.743750,129.023750,mail,I,sd,u-51-1
sw3750B-ms98-a-0020,129.023750,129.557875,route,I,sd,u-51-1
sw3750B-ms98-a-0020,129.557875,131.243750,[laughter],O,,
sw3750B-ms98-a-0020,131.243750,131.413750,like,B,sv,u-53-1
sw3750B-ms98-a-0020,131.413750,131.493750,i,I,sv,u-53-1
sw3750B-ms98-a-0020,131.493750,131.663750,said,I,sv,u-53-1
sw3750B-ms98-a-0020,131.663750,131.913750,we,I,sv,u-53-1
sw3750B-ms98-a-0020,131.913750,132.223750,are,I,sv,u-53-1
sw3750B-ms98-a-0020,132.223750,132.703750,probably,I,sv,u-53-1
sw3750B-ms98-a-0020,132.703750,132.813750,as,I,sv,u-53-1
sw3750B-ms98-a-0020,132.813750,133.183750,far,I,sv,u-53-1
sw3750B-ms98-a-0020,133.183750,133.313750,as,I,sv,u-53-1
sw3750B-ms98-a-0020,133.313750,133.433750,you,I,sv,u-53-1
sw3750B-ms98-a-0020,133.433750,133.573750,can,I,sv,u-53-1
sw3750B-ms98-a-0020,133.573750,133.793750,get,I,sv,u-53-1
sw3750B-ms98-a-0020,133.793750,133.973750,from,I,sv,u-53-1
sw3750B-ms98-a-0020,133.973750,134.023750,a,I,sv,u-53-1
sw3750B-ms98-a-0020,134.023750,134.303750,Seven,I,sv,u-53-1
sw3750B-ms98-a-0020,134.303750,134.553750,Eleven,I,sv,u-53-1
sw3750B-ms98-a-0020,134.553750,134.653750,and,I,sv,u-53-1
sw3750B-ms98-a-0020,134.653750,134.873750,still,I,sv,u-53-1
sw3750B-ms98-a-0020,134.873750,134.973750,be,I,sv,u-53-1
sw3750B-ms98-a-0020,134.973750,135.073750,in,I,sv,u-53-1
sw3750B-ms98-a-0020,135.073750,135.423750,Texas,I,sv,u-53-1
sw3750B-ms98-a-0021,136.879375,137.239375,but,B,sd,u-55-1
sw3750B-ms98-a-0021,137.239375,137.509375,uh,I,sd,u-55-1
sw3750B-ms98-a-0021,137.509375,137.649375,you,I,sd,u-55-1
sw3750B-ms98-a-0021,137.649375,137.889375,know,I,sd,u-55-1
sw3750B-ms98-a-0021,137.889375,138.129375,right,I,sd,u-55-1
sw3750B-ms98-a-0021,138.129375,138.559375,now,I,sd,u-55-1
sw3750B-ms98-a-0021,138.559375,139.380375,uh,I,sd,u-55-1
sw3750B-ms98-a-0021,139.380375,139.579375,what,I,sd,u-55-1
sw3750B-ms98-a-0021,139.579375,139.729375,we,I,sd,u-55-1
sw3750B-ms98-a-0021,139.729375,140.219375,did,I,sd,u-55-1
sw3750B-ms98-a-0021,140.419375,140.539375,my,I,sd,u-55-1
sw3750B-ms98-a-0021,140.539375,140.829375,wife,I,sd,u-55-1
sw3750B-ms98-a-0021,140.829375,140.949375,and,I,sd,u-55-1
sw3750B-ms98-a-0021,140.949375,141.039375,i,I,sd,u-55-1
sw3750B-ms98-a-0021,141.039375,141.209375,is,I,sd,u-55-1
sw3750B-ms98-a-0021,141.209375,141.289375,we,I,sd,u-55-1
sw3750B-ms98-a-0021,141.289375,141.479375,got,I,sd,u-55-1
sw3750B-ms98-a-0021,141.479375,141.509375,a,I,sd,u-55-1
sw3750B-ms98-a-0021,141.509375,141.682375,a,I,sd,u-55-1
sw3750B-ms98-a-0021,141.682375,142.099375,mobile,I,sd,u-55-1
sw3750B-ms98-a-0021,142.099375,142.479375,home,I,sd,u-55-1
sw3750B-ms98-a-0022,143.447625,143.567625,one,B,+,u-57-1
sw3750B-ms98-a-0022,143.567625,143.627625,of,I,+,u-57-1
sw3750B-ms98-a-0022,143.627625,143.797625,these,I,+,u-57-1
sw3750B-ms98-a-0022,143.797625,144.087625,twelve,I,+,u-57-1
sw3750B-ms98-a-0022,144.087625,144.177625,by,I,+,u-57-1
sw3750B-ms98-a-0022,144.177625,144.527625,forty,I,+,u-57-1
sw3750B-ms98-a-0022,144.527625,144.947625,eight's,I,+,u-57-1
sw3750B-ms98-a-0022,144.947625,145.106250,that,I,+,u-57-1
sw3750B-ms98-a-0022,145.422625,145.693250,got,I,+,u-57-1
sw3750B-ms98-a-0022,145.693250,146.298000,repaid,O,,
sw3750B-ms98-a-0023,147.462875,147.912875,and,B,+,u-59-1
sw3750B-ms98-a-0023,147.912875,148.192875,uh,I,+,u-59-1
sw3750B-ms98-a-0023,148.192875,148.302875,i,I,+,u-59-1
sw3750B-ms98-a-0023,148.302875,148.792875,swapped,I,+,u-59-1
sw3750B-ms98-a-0023,148.792875,148.882875,them_1,I,+,u-59-1
sw3750B-ms98-a-0023,148.882875,148.932875,a,I,+,u-59-1
sw3750B-ms98-a-0023,148.932875,149.362875,Cadillac,I,+,u-59-1
sw3750B-ms98-a-0023,149.362875,149.615250,for,I,+,u-59-1
sw3750B-ms98-a-0023,149.615250,149.773500,it,I,+,u-59-1
sw3750B-ms98-a-0023,149.773500,150.030125,and,I,+,u-59-1
sw3750B-ms98-a-0023,150.030125,150.150625,uh,I,+,u-59-1
sw3750B-ms98-a-0023,150.263625,150.380375,put,I,+,u-59-1
sw3750B-ms98-a-0023,150.380375,150.471750,it,I,+,u-59-1
sw3750B-ms98-a-0023,150.471750,150.692875,out,I,+,u-59-1
sw3750B-ms98-a-0023,150.692875,150.902875,here,I,+,u-59-1
sw3750B-ms98-a-0023,150.902875,151.012875,on,I,+,u-59-1
sw3750B-ms98-a-0023,151.012875,151.112875,the,I,+,u-59-1
sw3750B-ms98-a-0023,151.112875,151.492875,land,I,+,u-59-1
sw3750B-ms98-a-0023,151.492875,151.882875,figuring,I,+,u-59-1
sw3750B-ms98-a-0023,151.882875,152.062875,i'd,I,+,u-59-1
sw3750B-ms98-a-0023,152.612875,152.852875,build,I,+,u-59-1
sw3750B-ms98-a-0023,152.852875,152.892875,a,I,+,u-59-1
sw3750B-ms98-a-0023,152.892875,153.192875,house,I,+,u-59-1
sw3750B-ms98-a-0023,153.192875,153.532875,some,I,+,u-59-1
sw3750B-ms98-a-0023,153.532875,154.032875,day,I,+,u-59-1
sw3750B-ms98-a-0023,154.032875,154.272875,you,I,+,u-59-1
sw3750B-ms98-a-0023,154.272875,154.402875,know,I,+,u-59-1
sw3750B-ms98-a-0023,154.402875,154.492875,i'm,B,sd,u-61-1
sw3750B-ms98-a-0023,154.492875,154.612875,in,I,sd,u-61-1
sw3750B-ms98-a-0023,154.612875,155.282875,construction,I,sd,u-61-1
sw3750B-ms98-a-0023,155.975750,156.544625,and,B,sd,u-61-2
sw3750B-ms98-a-0023,156.544625,156.992875,uh,I,sd,u-61-2
sw3750B-ms98-a-0024,158.142875,158.272875,you,I,sd,u-61-2
sw3750B-ms98-a-0024,158.272875,158.372875,know,I,sd,u-61-2
sw3750B-ms98-a-0024,158.372875,158.462875,i,I,sd,u-61-2
sw3750B-ms98-a-0024,158.462875,158.642875,just,I,sd,u-61-2
sw3750B-ms98-a-0024,158.642875,158.892875,had,I,sd,u-61-2
sw3750B-ms98-a-0024,158.892875,159.042875,this,I,sd,u-61-2
sw3750B-ms98-a-0024,159.042875,159.372875,place,I,sd,u-61-2
sw3750B-ms98-a-0024,159.372875,159.462875,you,I,sd,u-61-2
sw3750B-ms98-a-0024,159.462875,159.632875,know,I,sd,u-61-2
sw3750B-ms98-a-0024,159.632875,159.812875,to,I,sd,u-61-2
sw3750B-ms98-a-0024,159.812875,160.232875,shower,I,sd,u-61-2
sw3750B-ms98-a-0024,160.232875,160.392875,up,I,sd,u-61-2
sw3750B-ms98-a-0024,160.392875,160.562875,while,I,sd,u-61-2
sw3750B-ms98-a-0024,160.562875,160.632875,i,I,sd,u-61-2
sw3750B-ms98-a-0024,160.632875,161.014000,was,I,sd,u-61-2
sw3750B-ms98-a-0024,161.405625,161.532875,you,I,sd,u-61-2
sw3750B-ms98-a-0024,161.532875,161.795875,know,I,sd,u-61-2
sw3750B-ms98-a-0024,161.795875,162.022875,out,I,sd,u-61-2
sw3750B-ms98-a-0024,162.022875,162.332875,here,I,sd,u-61-2
sw3750B-ms98-a-0024,162.332875,162.422875,you,I,sd,u-61-2
sw3750B-ms98-a-0024,162.422875,162.584875,know,I,sd,u-61-2
sw3750B-ms98-a-0024,163.093375,163.432875,putting,I,sd,u-61-2
sw3750B-ms98-a-0024,163.432875,163.582875,up,I,sd,u-61-2
sw3750B-ms98-a-0024,163.582875,163.928250,fence,I,sd,u-61-2
sw3750B-ms98-a-0024,163.928250,164.154250,and,I,sd,u-61-2
sw3750B-ms98-a-0024,164.702875,165.082875,building,I,sd,u-61-2
sw3750B-ms98-a-0024,165.082875,165.782875,driveway,I,sd,u-61-2
sw3750B-ms98-a-0024,165.782875,165.892875,and,I,sd,u-61-2
sw3750B-ms98-a-0024,165.892875,166.222875,drilling,I,sd,u-61-2
sw3750B-ms98-a-0024,166.222875,166.552875,well,I,sd,u-61-2
sw3750B-ms98-a-0024,166.552875,166.642875,and,I,sd,u-61-2
sw3750B-ms98-a-0024,166.642875,166.792875,all,I,sd,u-61-2
sw3750B-ms98-a-0024,166.792875,166.932875,that,I,sd,u-61-2
sw3750B-ms98-a-0024,166.932875,167.202875,stuff,I,sd,u-61-2
sw3750B-ms98-a-0024,167.202875,167.342875,that,I,sd,u-61-2
sw3750B-ms98-a-0024,167.342875,167.402875,you,I,sd,u-61-2
sw3750B-ms98-a-0024,167.402875,167.642875,have,I,sd,u-61-2
sw3750B-ms98-a-0024,167.642875,167.712875,to,I,sd,u-61-2
sw3750B-ms98-a-0024,167.712875,167.772875,do,I,sd,u-61-2
sw3750B-ms98-a-0024,167.772875,168.022875,before,I,sd,u-61-2
sw3750B-ms98-a-0024,168.022875,168.082875,you,I,sd,u-61-2
sw3750B-ms98-a-0024,168.082875,168.222875,can,I,sd,u-61-2
sw3750B-ms98-a-0024,168.222875,168.342875,even,I,sd,u-61-2
sw3750B-ms98-a-0024,168.342875,168.482875,put,I,sd,u-61-2
sw3750B-ms98-a-0024,168.482875,168.542875,a,I,sd,u-61-2
sw3750B-ms98-a-0024,168.542875,168.852875,house,I,sd,u-61-2
sw3750B-ms98-a-0024,168.852875,169.022875,in,I,sd,u-61-2
sw3750B-ms98-a-0024,169.022875,169.102875,you,I,sd,u-61-2
sw3750B-ms98-a-0024,169.102875,169.356875,know,I,sd,u-61-2
sw3750B-ms98-a-0025,170.537250,171.146875,and,B,sd,u-63-1
sw3750B-ms98-a-0025,171.146875,171.520500,uh,I,sd,u-63-1
sw3750B-ms98-a-0025,171.961125,172.036875,i,I,sd,u-63-1
sw3750B-ms98-a-0025,172.036875,172.226875,came,I,sd,u-63-1
sw3750B-ms98-a-0025,172.226875,172.406875,home,I,sd,u-63-1
sw3750B-ms98-a-0025,172.406875,172.586875,from,I,sd,u-63-1
sw3750B-ms98-a-0025,172.586875,172.826875,work,I,sd,u-63-1
sw3750B-ms98-a-0025,172.826875,172.986875,one,I,sd,u-63-1
sw3750B-ms98-a-0025,172.986875,173.386875,Friday,I,sd,u-63-1
sw3750B-ms98-a-0025,173.386875,173.946875,afternoon,I,sd,u-63-1
sw3750B-ms98-a-0025,173.946875,174.247750,and,B,sd,u-63-2
sw3750B-ms98-a-0025,174.741125,174.936875,our,I,sd,u-63-2
sw3750B-ms98-a-0025,174.936875,175.216875,truck,I,sd,u-63-2
sw3750B-ms98-a-0025,175.216875,175.316875,was,I,sd,u-63-2
sw3750B-ms98-a-0025,175.316875,176.042000,[laughter-packed],O,,
sw3750B-ms98-a-0025,176.576875,176.896875,everything,B,sd,u-63-3
sw3750B-ms98-a-0025,176.896875,176.986875,we,I,sd,u-63-3
sw3750B-ms98-a-0025,176.986875,177.186875,had,I,sd,u-63-3
sw3750B-ms98-a-0025,177.186875,177.346875,was,I,sd,u-63-3
sw3750B-ms98-a-0025,177.346875,177.516875,in,I,sd,u-63-3
sw3750B-ms98-a-0025,177.516875,178.183750,boxes,I,sd,u-63-3
sw3750B-ms98-a-0025,178.988500,179.156875,and,B,sd(^q),u-63-4
sw3750B-ms98-a-0025,179.156875,179.226875,my,I,sd(^q),u-63-4
sw3750B-ms98-a-0025,179.226875,179.516875,wife,I,sd(^q),u-63-4
sw3750B-ms98-a-0025,179.516875,179.784250,said,I,sd(^q),u-63-4
sw3750B-ms98-a-0025,180.093125,180.322625,uh,I,sd(^q),u-63-4
sw3750B-ms98-a-0025,180.322625,180.516875,we're,I,sd(^q),u-63-4
sw3750B-ms98-a-0025,180.516875,180.886250,moving,I,sd(^q),u-63-4
sw3750B-ms98-a-0025,180.886250,181.485500,[laughter],O,,
sw3750B-ms98-a-0026,182.486375,182.636375,and,B,sd(^q),u-65-1
sw3750B-ms98-a-0026,182.636375,182.706375,i,I,sd(^q),u-65-1
sw3750B-ms98-a-0026,182.706375,182.906375,said,I,sd(^q),u-65-1
sw3750B-ms98-a-0026,182.906375,183.216375,where,I,sd(^q),u-65-1
sw3750B-ms98-a-0026,183.216375,183.366375,she,B,sd(^q),u-65-2
sw3750B-ms98-a-0026,183.366375,183.616375,said,I,sd(^q),u-65-2
sw3750B-ms98-a-0026,183.616375,183.736375,out,I,sd(^q),u-65-2
sw3750B-ms98-a-0026,183.736375,183.846375,to,I,sd(^q),u-65-2
sw3750B-ms98-a-0026,183.846375,183.946375,the,I,sd(^q),u-65-2
sw3750B-ms98-a-0026,183.946375,184.306375,trailer,I,sd(^q),u-65-2
sw3750B-ms98-a-0026,184.306375,184.396375,and,B,sd(^q),u-65-3
sw3750B-ms98-a-0026,184.396375,184.523625,i,I,sd(^q),u-65-3
sw3750B-ms98-a-0026,185.005750,185.096375,said,I,sd(^q),u-65-3
sw3750B-ms98-a-0026,185.096375,185.156375,oh,I,sd(^q),u-65-3
sw3750B-ms98-a-0026,185.156375,185.458375,no,O,,
sw3750B-ms98-a-0026,185.959375,186.106375,she,B,sd(^q),u-65-4
sw3750B-ms98-a-0026,186.106375,186.416375,said,I,sd(^q),u-65-4
sw3750B-ms98-a-0026,186.416375,186.587500,yep,I,sd(^q),u-65-4
sw3750B-ms98-a-0026,186.855000,186.996375,i,B,sd(^q),u-65-5
sw3750B-ms98-a-0026,186.996375,187.166375,said,I,sd(^q),u-65-5
sw3750B-ms98-a-0026,187.166375,187.702375,okay,I,sd(^q),u-65-5
sw3750B-ms98-a-0026,187.702375,188.100500,[laughter],O,,
sw3750B-ms98-a-0027,189.271000,189.511000,so,B,sd,u-67-1
sw3750B-ms98-a-0027,189.511000,189.901000,we've,I,sd,u-67-1
sw3750B-ms98-a-0027,189.901000,190.150000,been,I,sd,u-67-1
sw3750B-ms98-a-0027,190.150000,190.491000,uh,I,sd,u-67-1
sw3750B-ms98-a-0027,190.491000,190.821000,roughing,I,sd,u-67-1
sw3750B-ms98-a-0027,190.821000,190.941000,it,I,sd,u-67-1
sw3750B-ms98-a-0027,190.941000,191.091000,out,I,sd,u-67-1
sw3750B-ms98-a-0027,191.091000,191.221000,here,I,sd,u-67-1
sw3750B-ms98-a-0027,191.221000,191.481000,about,I,sd,u-67-1
sw3750B-ms98-a-0027,191.481000,191.701000,three,I,sd,u-67-1
sw3750B-ms98-a-0027,191.701000,192.161000,years,I,sd,u-67-1
sw3750B-ms98-a-0027,192.161000,192.381000,but,B,sd,u-67-2
sw3750B-ms98-a-0027,192.381000,192.531000,it's,I,sd,u-67-2
sw3750B-ms98-a-0027,192.531000,192.741000,not,I,sd,u-67-2
sw3750B-ms98-a-0027,192.741000,192.961000,bad,I,sd,u-67-2
sw3750B-ms98-a-0027,192.961000,192.991000,i,B,sd,u-67-3
sw3750B-ms98-a-0027,192.991000,193.131000,we,I,sd,u-67-3
sw3750B-ms98-a-0027,193.131000,193.271000,got,I,sd,u-67-3
sw3750B-ms98-a-0027,193.271000,193.511000,color,I,sd,u-67-3
sw3750B-ms98-a-0027,193.511000,193.781000,TV,I,sd,u-67-3
sw3750B-ms98-a-0027,193.781000,193.901000,and,I,sd,u-67-3
sw3750B-ms98-a-0027,193.901000,194.431000,microwave,I,sd,u-67-3
sw3750B-ms98-a-0027,194.431000,194.491000,i,I,sd,u-67-3
sw3750B-ms98-a-0027,194.491000,194.801625,mean,I,sd,u-67-3
sw3750B-ms98-a-0027,194.801625,194.951000,you,I,sd,u-67-3
sw3750B-ms98-a-0027,194.951000,195.364250,know,I,sd,u-67-3
sw3750B-ms98-a-0027,195.914250,196.141000,it's,O,,
sw3750B-ms98-a-0027,196.141000,196.390250,not,B,sd,u-69-1
sw3750B-ms98-a-0027,196.714125,197.280375,horrible,I,sd,u-69-1
sw3750B-ms98-a-0027,197.879250,198.151000,but,B,sv,u-69-2
sw3750B-ms98-a-0027,198.151000,198.597500,it's,I,sv,u-69-2
sw3750B-ms98-a-0027,198.801000,199.071000,it's,I,sv,u-69-2
sw3750B-ms98-a-0027,199.071000,199.161000,a,I,sv,u-69-2
sw3750B-ms98-a-0027,199.161000,199.381000,lot,I,sv,u-69-2
sw3750B-ms98-a-0027,199.381000,199.581000,like,I,sv,u-69-2
sw3750B-ms98-a-0027,199.581000,200.011250,camping,I,sv,u-69-2
sw3750B-ms98-a-0029,203.559125,204.095875,uh-huh,B,b,u-71-1
sw3750B-ms98-a-0030,205.318250,205.845250,uh-huh,B,b,u-73-1
sw3750B-ms98-a-0032,224.086875,224.416875,sure,B,ba,u-75-1
sw3750B-ms98-a-0034,228.215125,228.545125,became,B,^2,u-77-1
sw3750B-ms98-a-0034,228.545125,229.272750,civilized,I,^2,u-77-1
sw3750B-ms98-a-0035,230.304500,230.714250,[laughter],O,,
sw3750B-ms98-a-0036,231.410625,231.630625,yep,O,,
sw3750B-ms98-a-0036,231.630625,231.750625,my,B,sd,u-79-2
sw3750B-ms98-a-0036,231.750625,232.040625,mom,I,sd,u-79-2
sw3750B-ms98-a-0036,232.040625,232.230625,goes,I,sd,u-79-2
sw3750B-ms98-a-0036,232.230625,232.780625,camping,I,sd,u-79-2
sw3750B-ms98-a-0036,232.780625,232.910625,you,I,sd,u-79-2
sw3750B-ms98-a-0036,232.910625,233.259875,know,I,sd,u-79-2
sw3750B-ms98-a-0036,233.493375,233.620625,she,B,sd,u-79-3
sw3750B-ms98-a-0036,233.620625,233.710625,she,I,sd,u-79-3
sw3750B-ms98-a-0036,233.710625,234.110625,takes,I,sd,u-79-3
sw3750B-ms98-a-0036,234.110625,234.500625,her,I,sd,u-79-3
sw3750B-ms98-a-0036,234.500625,234.830250,uh,I,sd,u-79-3
sw3750B-ms98-a-0036,235.342500,235.620625,motor,I,sd,u-79-3
sw3750B-ms98-a-0036,235.620625,235.910625,home,I,sd,u-79-3
sw3750B-ms98-a-0037,236.704500,236.814500,you,B,sd,u-79-4
sw3750B-ms98-a-0037,236.814500,236.954500,know,I,sd,u-79-4
sw3750B-ms98-a-0037,236.954500,237.064500,she's,I,sd,u-79-4
sw3750B-ms98-a-0037,237.064500,237.174500,got,I,sd,u-79-4
sw3750B-ms98-a-0037,237.174500,237.274500,one,I,sd,u-79-4
sw3750B-ms98-a-0037,237.274500,237.334500,of,I,sd,u-79-4
sw3750B-ms98-a-0037,237.334500,237.553750,these,I,sd,u-79-4
sw3750B-ms98-a-0037,237.553750,238.034500,huge,I,sd,u-79-4
sw3750B-ms98-a-0037,238.034500,238.874500,Winnebago's,I,sd,u-79-4
sw3750B-ms98-a-0037,238.874500,239.034500,with,I,sd,u-79-4
sw3750B-ms98-a-0037,239.034500,239.084500,a,I,sd,u-79-4
sw3750B-ms98-a-0037,239.084500,239.914500,refrigerator,I,sd,u-79-4
sw3750B-ms98-a-0037,239.914500,240.004500,and,I,sd,u-79-4
sw3750B-ms98-a-0037,240.004500,240.154500,air,I,sd,u-79-4
sw3750B-ms98-a-0037,240.154500,240.764500,conditioning,I,sd,u-79-4
sw3750B-ms98-a-0037,240.764500,241.204500,color,I,sd,u-79-4
sw3750B-ms98-a-0037,241.204500,241.784500,TV,I,sd,u-79-4
sw3750B-ms98-a-0037,241.784500,242.284500,microwave,I,sd,u-79-4
sw3750B-ms98-a-0037,242.404500,242.624500,[laughter-oven],O,,
sw3750B-ms98-a-0037,242.624500,243.191125,[laughter-you],O,,
sw3750B-ms98-a-0037,243.191125,243.731000,[laughter-know],O,,
sw3750B-ms98-a-0037,243.731000,243.942000,she,B,%,u-81-2
sw3750B-ms98-a-0037,243.942000,244.423875,just,I,%,u-81-2
sw3750B-ms98-a-0037,244.423875,244.964500,roughing,B,sd,u-81-3
sw3750B-ms98-a-0037,244.964500,245.094500,it,I,sd,u-81-3
sw3750B-ms98-a-0037,245.094500,245.264500,for,I,sd,u-81-3
sw3750B-ms98-a-0037,245.264500,245.624500,me,I,sd,u-81-3
sw3750B-ms98-a-0037,245.624500,245.824500,is,I,sd,u-81-3
sw3750B-ms98-a-0037,245.824500,245.944500,you,I,sd,u-81-3
sw3750B-ms98-a-0037,245.944500,246.124500,know,I,sd,u-81-3
sw3750B-ms98-a-0037,246.124500,246.324500,going,I,sd,u-81-3
sw3750B-ms98-a-0037,246.324500,246.384500,to,I,sd,u-81-3
sw3750B-ms98-a-0037,246.384500,246.474500,the,I,sd,u-81-3
sw3750B-ms98-a-0037,246.474500,246.924500,Holiday,I,sd,u-81-3
sw3750B-ms98-a-0037,246.924500,247.034500,Inn,I,sd,u-81-3
sw3750B-ms98-a-0037,247.034500,247.134500,and,I,sd,u-81-3
sw3750B-ms98-a-0037,247.134500,247.334500,getting,I,sd,u-81-3
sw3750B-ms98-a-0037,247.334500,247.374500,a,I,sd,u-81-3
sw3750B-ms98-a-0037,247.374500,247.892500,shower,I,sd,u-81-3
sw3750B-ms98-a-0037,248.476500,248.626125,you,B,+,u-83-1
sw3750B-ms98-a-0037,248.626125,248.944250,know,I,+,u-83-1
sw3750B-ms98-a-0038,249.365375,249.777000,and,O,,
sw3750B-ms98-a-0038,250.083750,250.279750,but,B,sd,u-85-1
sw3750B-ms98-a-0038,250.539750,250.639750,you,I,sd,u-85-1
sw3750B-ms98-a-0038,250.639750,250.849750,know,I,sd,u-85-1
sw3750B-ms98-a-0038,250.849750,251.009750,she,I,sd,u-85-1
sw3750B-ms98-a-0038,251.009750,251.209750,has,I,sd,u-85-1
sw3750B-ms98-a-0038,251.209750,251.239750,a,I,sd,u-85-1
sw3750B-ms98-a-0038,251.239750,251.349750,lot,I,sd,u-85-1
sw3750B-ms98-a-0038,251.349750,251.419750,of,I,sd,u-85-1
sw3750B-ms98-a-0038,251.419750,251.713000,fun,I,sd,u-85-1
sw3750B-ms98-a-0039,252.790250,253.014875,and,B,%,u-87-1
sw3750B-ms98-a-0039,253.179000,253.650250,mostly,I,%,u-87-1
sw3750B-ms98-a-0039,253.650250,253.890250,it's,I,%,u-87-1
sw3750B-ms98-a-0039,253.890250,254.080250,just,I,%,u-87-1
sw3750B-ms98-a-0039,254.080250,254.140250,a,I,%,u-87-1
sw3750B-ms98-a-0039,254.140250,254.400250,way,I,%,u-87-1
sw3750B-ms98-a-0039,254.400250,254.712000,to,I,%,u-87-1
sw3750B-ms98-a-0039,255.378750,255.547125,she,B,sd,u-87-2
sw3750B-ms98-a-0039,255.547125,255.740250,she,I,sd,u-87-2
sw3750B-ms98-a-0039,255.740250,255.940250,goes,I,sd,u-87-2
sw3750B-ms98-a-0039,255.940250,256.070250,to,I,sd,u-87-2
sw3750B-ms98-a-0039,256.070250,256.380250,dog,I,sd,u-87-2
sw3750B-ms98-a-0039,256.380250,256.869375,shows,I,sd,u-87-2
sw3750B-ms98-a-0039,257.276125,257.450250,see,B,sd,u-89-1
sw3750B-ms98-a-0039,257.450250,257.620250,she,I,sd,u-89-1
sw3750B-ms98-a-0039,257.620250,257.960250,shows,I,sd,u-89-1
sw3750B-ms98-a-0039,257.960250,258.559875,dogs,I,sd,u-89-1
sw3750B-ms98-a-0039,259.015625,259.170250,and,B,sd,u-89-2
sw3750B-ms98-a-0039,259.170250,259.388000,uh,I,sd,u-89-2
sw3750B-ms98-a-0039,259.572625,259.841500,you,I,sd,u-89-2
sw3750B-ms98-a-0039,260.142875,260.240250,can,I,sd,u-89-2
sw3750B-ms98-a-0039,260.240250,260.560250,sneak,I,sd,u-89-2
sw3750B-ms98-a-0039,260.560250,260.620250,a,I,sd,u-89-2
sw3750B-ms98-a-0039,260.620250,260.960250,dog,I,sd,u-89-2
sw3750B-ms98-a-0039,260.960250,261.240250,into,I,sd,u-89-2
sw3750B-ms98-a-0039,261.240250,261.290250,a,I,sd,u-89-2
sw3750B-ms98-a-0039,261.290250,261.936000,motel,I,sd,u-89-2
sw3750B-ms98-a-0039,262.565000,262.750250,but,B,sd,u-91-1
sw3750B-ms98-a-0039,262.750250,262.830250,you,I,sd,u-91-1
sw3750B-ms98-a-0039,262.830250,263.140250,can't,I,sd,u-91-1
sw3750B-ms98-a-0039,263.140250,263.430250,sneak,I,sd,u-91-1
sw3750B-ms98-a-0039,263.430250,263.830250,ten,I,sd,u-91-1
sw3750B-ms98-a-0039,263.830250,264.150250,dogs,I,sd,u-91-1
sw3750B-ms98-a-0039,264.150250,264.450250,into,I,sd,u-91-1
sw3750B-ms98-a-0039,264.450250,264.500250,a,I,sd,u-91-1
sw3750B-ms98-a-0039,264.500250,265.054125,motel,I,sd,u-91-1
sw3750B-ms98-a-0040,265.887750,266.237125,and,O,,
sw3750B-ms98-a-0040,266.237125,266.467125,so,B,sd,u-93-1
sw3750B-ms98-a-0040,266.467125,266.827125,she,I,sd,u-93-1
sw3750B-ms98-a-0040,266.827125,266.967125,you,I,sd,u-93-1
sw3750B-ms98-a-0040,266.967125,267.147125,know,I,sd,u-93-1
sw3750B-ms98-a-0040,267.147125,267.537125,takes,I,sd,u-93-1
sw3750B-ms98-a-0040,267.537125,267.597125,the,I,sd,u-93-1
sw3750B-ms98-a-0040,267.597125,267.837125,motor,I,sd,u-93-1
sw3750B-ms98-a-0040,267.837125,268.176375,home,I,sd,u-93-1
sw3750B-ms98-a-0041,269.333000,269.607375,and,B,sd,u-93-2
sw3750B-ms98-a-0041,269.607375,269.697375,she,I,sd,u-93-2
sw3750B-ms98-a-0041,269.697375,269.867375,made,I,sd,u-93-2
sw3750B-ms98-a-0041,269.867375,269.907375,a,I,sd,u-93-2
sw3750B-ms98-a-0041,269.907375,270.127375,deal,I,sd,u-93-2
sw3750B-ms98-a-0041,270.127375,270.217375,with,I,sd,u-93-2
sw3750B-ms98-a-0041,270.217375,270.347375,my,I,sd,u-93-2
sw3750B-ms98-a-0041,270.347375,270.727375,dad,I,sd,u-93-2
