sw3294A-ms98-a-0002,1.380875,1.609375,so,B,qo,u-2-1
sw3294A-ms98-a-0059,242.456000,242.576000,they,I,sd,u-82-2
sw3294A-ms98-a-0059,242.576000,242.726000,would,I,sd,u-82-2
sw3294A-ms98-a-0059,242.726000,242.846000,just,I,sd,u-82-2
sw3294A-ms98-a-0059,242.846000,242.946000,pay,I,sd,u-82-2
sw3294A-ms98-a-0059,242.946000,243.056000,me,I,sd,u-82-2
sw3294A-ms98-a-0059,243.056000,243.296000,enough,I,sd,u-82-2
sw3294A-ms98-a-0059,243.296000,243.736000,money,I,sd,u-82-2
sw3294A-ms98-a-0059,243.736000,243.826000,i,B,+,u-84-1
sw3294A-ms98-a-0059,243.826000,244.046000,would,I,+,u-84-1
sw3294A-ms98-a-0059,244.046000,244.176000,be,I,+,u-84-1
sw3294A-ms98-a-0059,244.176000,244.376000,willing,I,+,u-84-1
sw3294A-ms98-a-0059,244.376000,244.446000,to,I,+,u-84-1
sw3294A-ms98-a-0059,244.446000,244.966000,consider,I,+,u-84-1
sw3294A-ms98-a-0059,245.576000,245.759000,but,B,sv,u-86-1
sw3294A-ms98-a-0059,245.894625,245.971375,but,I,sv,u-86-1
sw3294A-ms98-a-0059,245.971375,246.056000,a,I,sv,u-86-1
sw3294A-ms98-a-0059,246.056000,246.416000,dollar,I,sv,u-86-1
sw3294A-ms98-a-0059,246.416000,246.666000,isn't,I,sv,u-86-1
sw3294A-ms98-a-0059,246.666000,246.936000,it,I,sv,u-86-1
sw3294A-ms98-a-0059,246.936000,247.026000,you,B,%,u-86-2
sw3294A-ms98-a-0059,247.026000,247.226000,know,I,%,u-86-2
sw3294A-ms98-a-0059,247.226000,247.601875,it's,I,%,u-86-2
sw3294A-ms98-a-0059,247.601875,248.198500,[laughter],O,,
sw3294A-ms98-a-0059,249.096000,249.537500,uh,B,sd,u-88-1
sw3294A-ms98-a-0060,250.325375,250.419125,and,I,sd,u-88-1
sw3294A-ms98-a-0060,250.419125,250.545375,i,I,sd,u-88-1
sw3294A-ms98-a-0060,250.545375,250.765375,also,I,sd,u-88-1
sw3294A-ms98-a-0060,250.765375,250.915375,sort,I,sd,u-88-1
sw3294A-ms98-a-0060,250.915375,250.995375,of,I,sd,u-88-1
sw3294A-ms98-a-0060,250.995375,251.335375,worry,I,sd,u-88-1
sw3294A-ms98-a-0060,251.335375,251.515375,that,I,sd,u-88-1
sw3294A-ms98-a-0060,251.515375,251.665375,you,I,sd,u-88-1
sw3294A-ms98-a-0060,251.665375,251.785375,know,I,sd,u-88-1
sw3294A-ms98-a-0060,251.785375,251.995375,that,I,sd,u-88-1
sw3294A-ms98-a-0060,251.995375,252.305375,sometimes,I,sd,u-88-1
sw3294A-ms98-a-0060,252.305375,252.525375,people,I,sd,u-88-1
sw3294A-ms98-a-0060,252.525375,252.675375,give,I,sd,u-88-1
sw3294A-ms98-a-0060,252.675375,252.845375,away,I,sd,u-88-1
sw3294A-ms98-a-0060,252.845375,253.235375,personal,I,sd,u-88-1
sw3294A-ms98-a-0060,253.235375,253.805375,information,I,sd,u-88-1
sw3294A-ms98-a-0060,254.165375,254.645375,um,B,sd,u-88-2
sw3294A-ms98-a-0061,255.424750,255.904750,[vocalized-noise],I,sd,u-88-2
sw3294A-ms98-a-0061,255.904750,256.124750,when,I,sd,u-88-2
sw3294A-ms98-a-0061,256.124750,256.264750,when,I,sd,u-88-2
sw3294A-ms98-a-0061,256.264750,256.324750,the,I,sd,u-88-2
sw3294A-ms98-a-0061,256.324750,256.644750,call,I,sd,u-88-2
sw3294A-ms98-a-0061,256.644750,257.004750,comes,I,sd,u-88-2
sw3294A-ms98-a-0061,257.004750,257.194750,and,I,sd,u-88-2
sw3294A-ms98-a-0061,257.194750,257.374750,and,I,sd,u-88-2
sw3294A-ms98-a-0061,257.374750,257.624750,they,I,sd,u-88-2
sw3294A-ms98-a-0061,257.624750,257.694750,uh,I,sd,u-88-2
sw3294A-ms98-a-0061,257.924750,258.236750,uh,I,sd,u-88-2
sw3294A-ms98-a-0061,258.804750,258.914750,you,I,sd,u-88-2
sw3294A-ms98-a-0061,258.914750,259.078875,know,I,sd,u-88-2
sw3294A-ms98-a-0061,259.078875,259.379125,[vocalized-noise],I,sd,u-88-2
sw3294A-ms98-a-0061,259.545500,259.744750,sort,I,sd,u-88-2
sw3294A-ms98-a-0061,259.744750,259.983750,of,I,sd,u-88-2
sw3294A-ms98-a-0061,260.214750,260.734750,seductive,I,sd,u-88-2
sw3294A-ms98-a-0061,260.734750,260.864750,to,I,sd,u-88-2
sw3294A-ms98-a-0061,260.864750,260.964750,you,I,sd,u-88-2
sw3294A-ms98-a-0061,260.964750,261.054750,know,I,sd,u-88-2
sw3294A-ms98-a-0061,261.054750,261.374750,somebody's,O,,
sw3294A-ms98-a-0061,261.374750,261.664750,asking,B,sd,u-88-3
sw3294A-ms98-a-0061,261.664750,261.824750,me,I,sd,u-88-3
sw3294A-ms98-a-0061,261.824750,261.994750,my,I,sd,u-88-3
sw3294A-ms98-a-0061,261.994750,262.324750,-[o]pinion,I,sd,u-88-3
sw3294A-ms98-a-0061,262.324750,262.394750,on,I,sd,u-88-3
sw3294A-ms98-a-0061,262.394750,262.504750,all,I,sd,u-88-3
sw3294A-ms98-a-0061,262.504750,262.574750,of,I,sd,u-88-3
sw3294A-ms98-a-0061,262.574750,262.764750,these,I,sd,u-88-3
sw3294A-ms98-a-0061,262.764750,262.954750,things,I,sd,u-88-3
sw3294A-ms98-a-0061,262.954750,263.054750,and,B,sd,u-88-4
sw3294A-ms98-a-0061,263.054750,263.194750,so,I,sd,u-88-4
sw3294A-ms98-a-0061,263.194750,263.274750,i,I,sd,u-88-4
sw3294A-ms98-a-0061,263.274750,263.504750,start,I,sd,u-88-4
sw3294A-ms98-a-0061,263.504750,263.894750,answering,I,sd,u-88-4
sw3294A-ms98-a-0061,263.894750,263.984750,and,B,sv,u-88-5
sw3294A-ms98-a-0061,263.984750,264.074750,then,I,sv,u-88-5
sw3294A-ms98-a-0061,264.074750,264.304750,you,I,sv,u-88-5
sw3294A-ms98-a-0061,264.304750,264.374750,you,I,sv,u-88-5
sw3294A-ms98-a-0061,264.374750,264.444750,know,I,sv,u-88-5
sw3294A-ms98-a-0061,264.444750,264.594750,you,I,sv,u-88-5
sw3294A-ms98-a-0061,264.594750,264.664750,go,I,sv,u-88-5
sw3294A-ms98-a-0061,264.664750,264.854750,down,I,sv,u-88-5
sw3294A-ms98-a-0061,264.854750,264.894750,a,I,sv,u-88-5
sw3294A-ms98-a-0061,264.894750,265.403500,path,I,sv,u-88-5
sw3294A-ms98-a-0061,266.200000,267.024750,um,B,sv,u-90-1
sw3294A-ms98-a-0062,267.522250,267.662250,and,I,sv,u-90-1
sw3294A-ms98-a-0062,267.662250,267.722250,you,I,sv,u-90-1
sw3294A-ms98-a-0062,267.722250,267.862250,don't,I,sv,u-90-1
sw3294A-ms98-a-0062,267.862250,267.942250,know,I,sv,u-90-1
sw3294A-ms98-a-0062,267.942250,268.042250,where,I,sv,u-90-1
sw3294A-ms98-a-0062,268.042250,268.152250,it's,I,sv,u-90-1
sw3294A-ms98-a-0062,268.152250,268.342250,gonna,I,sv,u-90-1
sw3294A-ms98-a-0062,268.342250,268.654125,end,I,sv,u-90-1
sw3294A-ms98-a-0062,269.203500,269.559625,uh,B,%@,u-92-1
sw3294A-ms98-a-0063,270.742750,270.872750,in,B,+,u-94-1
sw3294A-ms98-a-0063,270.872750,271.042750,fact,I,+,u-94-1
sw3294A-ms98-a-0063,271.042750,271.102750,you,I,+,u-94-1
sw3294A-ms98-a-0063,271.102750,271.232750,don't,I,+,u-94-1
sw3294A-ms98-a-0063,271.232750,271.352750,even,I,+,u-94-1
sw3294A-ms98-a-0063,271.352750,271.452750,know,I,+,u-94-1
sw3294A-ms98-a-0063,271.452750,271.572750,what,I,+,u-94-1
sw3294A-ms98-a-0063,271.572750,271.792750,you've,I,+,u-94-1
sw3294A-ms98-a-0063,271.792750,272.312750,eventually,I,+,u-94-1
sw3294A-ms98-a-0063,272.312750,272.452750,you,I,+,u-94-1
sw3294A-ms98-a-0063,272.452750,272.532750,know,I,+,u-94-1
sw3294A-ms98-a-0063,272.532750,272.612750,the,I,+,u-94-1
sw3294A-ms98-a-0063,272.612750,273.092750,totality,I,+,u-94-1
sw3294A-ms98-a-0063,273.092750,273.152750,of,I,+,u-94-1
sw3294A-ms98-a-0063,273.152750,273.282750,what,I,+,u-94-1
sw3294A-ms98-a-0063,273.282750,273.392750,you've,I,+,u-94-1
sw3294A-ms98-a-0063,273.392750,273.852750,revealed,I,+,u-94-1
sw3294A-ms98-a-0063,273.852750,274.004625,and,B,%@,u-94-2
sw3294A-ms98-a-0063,274.004625,274.102750,you,I,%@,u-94-2
sw3294A-ms98-a-0063,274.102750,274.262750,know,I,%@,u-94-2
sw3294A-ms98-a-0064,274.880500,275.270500,this,B,+,u-96-1
sw3294A-ms98-a-0064,275.460500,275.720500,isn't,I,+,u-96-1
sw3294A-ms98-a-0064,276.070500,276.160500,you,I,+,u-96-1
sw3294A-ms98-a-0064,276.160500,276.336000,know,I,+,u-96-1
sw3294A-ms98-a-0064,276.524375,276.830500,prob[ably]-,I,+,u-96-1
sw3294A-ms98-a-0064,277.150500,277.500500,most,I,+,u-96-1
sw3294A-ms98-a-0064,277.500500,277.750500,likely,I,+,u-96-1
sw3294A-ms98-a-0064,277.750500,278.000500,not,I,+,u-96-1
sw3294A-ms98-a-0064,278.000500,278.100500,to,I,+,u-96-1
sw3294A-ms98-a-0064,278.260500,278.400500,going,I,+,u-96-1
sw3294A-ms98-a-0064,278.400500,278.460500,to,I,+,u-96-1
sw3294A-ms98-a-0064,278.460500,278.530500,be,I,+,u-96-1
sw3294A-ms98-a-0064,278.530500,278.760500,used,I,+,u-96-1
sw3294A-ms98-a-0064,278.760500,279.050500,against,I,+,u-96-1
sw3294A-ms98-a-0064,279.050500,279.150500,you,I,+,u-96-1
sw3294A-ms98-a-0064,279.150500,279.260500,but,B,sv,u-96-2
sw3294A-ms98-a-0064,279.260500,279.340500,it,I,sv,u-96-2
sw3294A-ms98-a-0064,279.340500,279.660500,could,I,sv,u-96-2
sw3294A-ms98-a-0064,279.660500,279.940500,and,B,sv,u-96-3
sw3294A-ms98-a-0065,281.414375,281.504375,and,B,+,u-98-1
sw3294A-ms98-a-0065,281.504375,281.624375,that,I,+,u-98-1
sw3294A-ms98-a-0065,281.624375,281.824375,seems,I,+,u-98-1
sw3294A-ms98-a-0065,281.824375,281.894375,to,I,+,u-98-1
sw3294A-ms98-a-0065,281.894375,282.004375,be,I,+,u-98-1
sw3294A-ms98-a-0065,282.004375,282.254375,something,I,+,u-98-1
sw3294A-ms98-a-0065,282.254375,282.394375,that,I,+,u-98-1
sw3294A-ms98-a-0065,282.394375,282.634375,should,I,+,u-98-1
sw3294A-ms98-a-0065,283.164375,283.344375,should,I,+,u-98-1
sw3294A-ms98-a-0065,283.344375,283.574375,really,I,+,u-98-1
sw3294A-ms98-a-0065,283.574375,283.764375,be,I,+,u-98-1
sw3294A-ms98-a-0065,283.764375,284.194375,outlawed,I,+,u-98-1
sw3294A-ms98-a-0066,285.440750,285.660750,because,B,+,u-100-1
sw3294A-ms98-a-0066,285.660750,285.810750,it's,I,+,u-100-1
sw3294A-ms98-a-0066,285.810750,286.110750,subject,I,+,u-100-1
sw3294A-ms98-a-0066,286.110750,286.210750,to,I,+,u-100-1
sw3294A-ms98-a-0066,286.210750,286.570750,abuse,I,+,u-100-1
sw3294A-ms98-a-0066,286.570750,286.710750,and,B,%,u-100-2
sw3294A-ms98-a-0066,286.710750,286.820750,it,I,%,u-100-2
