sw2657A-ms98-a-0002,0.474125,0.660375,huh,B,br,u-1-1
sw2657A-ms98-a-0043,234.214375,235.260250,self-reliant,O,,
sw2657A-ms98-a-0044,236.856375,237.046375,and,B,o,u-49-1
sw2657A-ms98-a-0044,237.046375,237.286375,yes,I,o,u-49-1
sw2657A-ms98-a-0044,237.286375,237.436375,you're,B,sv,u-49-2
sw2657A-ms98-a-0044,237.436375,237.706375,right,I,sv,u-49-2
sw2657A-ms98-a-0044,237.706375,237.828125,i,B,sd,u-49-3
sw2657A-ms98-a-0044,237.828125,238.177500,think,I,sd,u-49-3
sw2657A-ms98-a-0044,238.637000,238.886375,it's,I,sd,u-49-3
sw2657A-ms98-a-0044,238.886375,238.986375,a,I,sd,u-49-3
sw2657A-ms98-a-0044,238.986375,239.586375,sixties,I,sd,u-49-3
sw2657A-ms98-a-0044,239.586375,240.096375,program,I,sd,u-49-3
sw2657A-ms98-a-0044,240.096375,240.126375,i,B,sd,u-49-4
sw2657A-ms98-a-0044,240.126375,240.346375,think,I,sd,u-49-4
sw2657A-ms98-a-0044,240.346375,240.406375,it,I,sd,u-49-4
sw2657A-ms98-a-0044,240.406375,240.526375,was,I,sd,u-49-4
sw2657A-ms98-a-0044,240.526375,240.696375,one,I,sd,u-49-4
sw2657A-ms98-a-0044,240.696375,240.766375,of,I,sd,u-49-4
sw2657A-ms98-a-0044,240.766375,241.455750,Kennedy's,I,sd,u-49-4
sw2657A-ms98-a-0044,242.186375,242.366375,hot,I,sd,u-49-4
sw2657A-ms98-a-0044,242.446375,243.069375,points,I,sd,u-49-4
sw2657A-ms98-a-0044,243.208750,243.406375,that,I,sd,u-49-4
sw2657A-ms98-a-0044,243.406375,243.626375,he,I,sd,u-49-4
sw2657A-ms98-a-0044,243.746375,243.966375,that,B,sd,u-49-5
sw2657A-ms98-a-0044,243.966375,244.076375,was,I,sd,u-49-5
sw2657A-ms98-a-0044,244.076375,244.316375,his,I,sd,u-49-5
sw2657A-ms98-a-0044,244.316375,244.526375,big,I,sd,u-49-5
sw2657A-ms98-a-0044,244.526375,244.959375,deal,I,sd,u-49-5
sw2657A-ms98-a-0046,260.312125,260.861125,right,B,b,u-51-1
sw2657A-ms98-a-0046,261.112125,261.614375,right,B,b^r,u-51-2
sw2657A-ms98-a-0046,262.311750,263.055625,um,B,sd,u-51-3
sw2657A-ms98-a-0048,265.904000,266.047250,i,I,sd,u-51-3
sw2657A-ms98-a-0048,266.047250,266.351750,think,I,sd,u-51-3
sw2657A-ms98-a-0048,266.551875,266.721125,i-,I,sd,u-51-3
sw2657A-ms98-a-0048,266.721125,266.973375,i-,I,sd,u-51-3
sw2657A-ms98-a-0048,266.973375,267.289375,i,I,sd,u-51-3
sw2657A-ms98-a-0048,267.289375,267.661750,i've,I,sd,u-51-3
sw2657A-ms98-a-0049,268.403375,268.853375,singled,I,sd,u-51-3
sw2657A-ms98-a-0049,268.853375,268.993375,out,I,sd,u-51-3
sw2657A-ms98-a-0049,268.993375,269.203625,my,I,sd,u-51-3
sw2657A-ms98-a-0049,269.203625,269.964500,grandchildren,I,sd,u-51-3
sw2657A-ms98-a-0049,269.964500,270.243375,and,B,sd,u-51-4
sw2657A-ms98-a-0049,270.243375,270.403375,but,I,sd,u-51-4
sw2657A-ms98-a-0049,270.403375,270.773375,actually,I,sd,u-51-4
sw2657A-ms98-a-0049,270.773375,271.003375,they're,I,sd,u-51-4
sw2657A-ms98-a-0049,271.003375,271.163375,they're,I,sd,u-51-4
sw2657A-ms98-a-0049,271.163375,271.423375,pretty,I,sd,u-51-4
sw2657A-ms98-a-0049,271.423375,271.860125,good,I,sd,u-51-4
sw2657A-ms98-a-0050,272.285250,272.665250,along,B,+,u-53-1
sw2657A-ms98-a-0050,272.665250,272.865250,those,I,+,u-53-1
sw2657A-ms98-a-0050,272.865250,273.195250,lines,I,+,u-53-1
sw2657A-ms98-a-0050,273.195250,273.365250,as,I,+,u-53-1
sw2657A-ms98-a-0050,273.365250,273.895250,compared,I,+,u-53-1
sw2657A-ms98-a-0050,273.895250,274.105250,to,I,+,u-53-1
sw2657A-ms98-a-0050,274.105250,274.325250,what,I,+,u-53-1
sw2657A-ms98-a-0050,274.325250,274.546375,i,I,+,u-53-1
sw2657A-ms98-a-0050,274.546375,274.836375,have,I,+,u-53-1
sw2657A-ms98-a-0050,274.836375,275.350750,seen,I,+,u-53-1
sw2657A-ms98-a-0050,275.735000,275.945250,from,I,+,u-53-1
sw2657A-ms98-a-0050,275.945250,276.165250,other,I,+,u-53-1
sw2657A-ms98-a-0050,276.165250,276.585250,people's,I,+,u-53-1
sw2657A-ms98-a-0050,276.585250,276.965250,children,I,+,u-53-1
sw2657A-ms98-a-0050,276.965250,277.145250,and,I,+,u-53-1
sw2657A-ms98-a-0050,277.145250,277.872000,grandchildren,I,+,u-53-1
sw2657A-ms98-a-0050,277.947375,278.255250,mine,I,+,u-53-1
sw2657A-ms98-a-0050,278.255250,278.555250,aren't,I,+,u-53-1
sw2657A-ms98-a-0050,278.555250,278.785250,really,I,+,u-53-1
sw2657A-ms98-a-0050,278.785250,279.025250,that,I,+,u-53-1
sw2657A-ms98-a-0050,279.025250,279.472750,bad,I,+,u-53-1
sw2657A-ms98-a-0050,279.815250,279.925250,but,B,sd,u-53-2
sw2657A-ms98-a-0050,279.925250,280.045250,at,I,sd,u-53-2
sw2657A-ms98-a-0050,280.045250,280.125250,the,I,sd,u-53-2
sw2657A-ms98-a-0050,280.125250,280.485250,same,I,sd,u-53-2
sw2657A-ms98-a-0050,280.485250,280.825250,time,I,sd,u-53-2
sw2657A-ms98-a-0050,280.825250,280.905250,i,I,sd,u-53-2
sw2657A-ms98-a-0050,280.905250,281.205250,think,I,sd,u-53-2
sw2657A-ms98-a-0050,281.205250,281.275250,it,I,sd,u-53-2
sw2657A-ms98-a-0050,281.275250,281.375250,would,I,sd,u-53-2
sw2657A-ms98-a-0050,281.375250,281.505250,do,I,sd,u-53-2
sw2657A-ms98-a-0050,281.505250,281.715250,them,I,sd,u-53-2
sw2657A-ms98-a-0050,281.715250,281.845250,a,I,sd,u-53-2
sw2657A-ms98-a-0050,281.845250,282.145250,world,I,sd,u-53-2
sw2657A-ms98-a-0050,282.145250,282.215250,of,I,sd,u-53-2
sw2657A-ms98-a-0050,282.215250,282.627500,good,I,sd,u-53-2
sw2657A-ms98-a-0051,284.145875,284.335875,but,B,%,u-55-1
sw2657A-ms98-a-0051,284.655875,284.895875,there's,I,%,u-55-1
sw2657A-ms98-a-0051,284.895875,285.062000,a,I,%,u-55-1
sw2657A-ms98-a-0053,288.252750,289.052750,mandatory,B,^2,u-57-1
sw2657A-ms98-a-0053,289.052750,289.292750,just,I,^2,u-57-1
sw2657A-ms98-a-0053,289.292750,289.462750,like,I,^2,u-57-1
sw2657A-ms98-a-0053,289.532750,289.797000,like,B,+,u-59-1
sw2657A-ms98-a-0053,289.797000,289.928750,the,I,+,u-59-1
sw2657A-ms98-a-0053,289.928750,290.635500,draft,I,+,u-59-1
sw2657A-ms98-a-0053,290.952750,291.566500,no,B,aa,u-61-1
sw2657A-ms98-a-0055,294.461875,294.691875,every,B,^2,u-63-1
sw2657A-ms98-a-0055,294.691875,294.961875,time,I,^2,u-63-1
sw2657A-ms98-a-0055,294.961875,295.121875,you,I,^2,u-63-1
sw2657A-ms98-a-0055,295.121875,295.301500,ha[ve]-,O,,
sw2657A-ms98-a-0057,299.523125,299.662375,they,B,sv,u-65-1
sw2657A-ms98-a-0057,299.662375,299.813125,could,I,sv,u-65-1
sw2657A-ms98-a-0057,299.813125,300.033125,buy,I,sv,u-65-1
sw2657A-ms98-a-0057,300.033125,300.173125,their,I,sv,u-65-1
sw2657A-ms98-a-0057,300.173125,300.493125,way,I,sv,u-65-1
sw2657A-ms98-a-0057,300.493125,300.683125,out,I,sv,u-65-1
sw2657A-ms98-a-0059,304.225625,304.765625,right,B,b,u-67-1
sw2657A-ms98-a-0059,304.765625,304.905625,you,B,sv,u-67-2
sw2657A-ms98-a-0059,304.905625,305.035625,know,I,sv,u-67-2
sw2657A-ms98-a-0059,305.035625,305.195625,they,I,sv,u-67-2
sw2657A-ms98-a-0059,305.195625,305.435625,they'd,I,sv,u-67-2
sw2657A-ms98-a-0059,305.435625,305.715625,figure,I,sv,u-67-2
sw2657A-ms98-a-0059,305.715625,305.775625,a,I,sv,u-67-2
sw2657A-ms98-a-0059,305.775625,305.945625,way,I,sv,u-67-2
sw2657A-ms98-a-0059,305.945625,306.305625,around,I,sv,u-67-2
sw2657A-ms98-a-0059,306.305625,306.515625,that,I,sv,u-67-2
sw2657A-ms98-a-0059,306.515625,306.645625,one,I,sv,u-67-2
sw2657A-ms98-a-0059,306.645625,306.765625,in,I,sv,u-67-2
sw2657A-ms98-a-0059,306.765625,306.825625,a,I,sv,u-67-2
sw2657A-ms98-a-0059,306.825625,307.499500,heartbeat,I,sv,u-67-2
sw2657A-ms98-a-0059,308.079625,308.690875,but,B,sd,u-67-3
sw2657A-ms98-a-0061,312.184375,312.384375,i'm,I,sd,u-67-3
sw2657A-ms98-a-0061,312.384375,312.814375,wondering,I,sd,u-67-3
sw2657A-ms98-a-0061,312.814375,312.914375,if,I,sd,u-67-3
sw2657A-ms98-a-0061,312.914375,313.134375,there's,I,sd,u-67-3
sw2657A-ms98-a-0061,313.134375,313.484375,another,I,sd,u-67-3
sw2657A-ms98-a-0061,313.484375,314.054375,issue,I,sd,u-67-3
sw2657A-ms98-a-0061,314.054375,314.526750,here,I,sd,u-67-3
sw2657A-ms98-a-0061,314.978625,315.114375,and,B,sv,u-67-4
sw2657A-ms98-a-0061,315.114375,315.354375,maybe,I,sv,u-67-4
sw2657A-ms98-a-0061,315.354375,315.564375,this,I,sv,u-67-4
sw2657A-ms98-a-0061,315.564375,315.824375,is,I,sv,u-67-4
sw2657A-ms98-a-0061,315.824375,316.454375,why,I,sv,u-67-4
sw2657A-ms98-a-0061,316.454375,316.664375,this,I,sv,u-67-4
sw2657A-ms98-a-0061,316.664375,316.834375,has,I,sv,u-67-4
sw2657A-ms98-a-0061,316.834375,317.274375,died,I,sv,u-67-4
sw2657A-ms98-a-0061,317.274375,317.718500,out,I,sv,u-67-4
sw2657A-ms98-a-0062,318.972250,319.312250,can,B,%,u-67-5
sw2657A-ms98-a-0062,319.312250,319.492250,you,I,%,u-67-5
sw2657A-ms98-a-0062,319.492250,319.762250,go,I,%,u-67-5
sw2657A-ms98-a-0062,319.762250,320.222250,into,I,%,u-67-5
sw2657A-ms98-a-0062,320.222250,320.442250,and,B,sd^t,u-67-6
sw2657A-ms98-a-0062,320.442250,320.622250,this,I,sd^t,u-67-6
sw2657A-ms98-a-0062,320.622250,320.902250,wasn't,I,sd^t,u-67-6
sw2657A-ms98-a-0062,320.902250,320.962250,the,I,sd^t,u-67-6
sw2657A-ms98-a-0062,320.962250,321.452250,question,I,sd^t,u-67-6
sw2657A-ms98-a-0062,321.452250,321.582250,but,B,sv,u-67-7
sw2657A-ms98-a-0062,321.582250,321.812250,it's,I,sv,u-67-7
sw2657A-ms98-a-0062,321.952250,322.192250,it,I,sv,u-67-7
sw2657A-ms98-a-0062,322.192250,322.422250,may,I,sv,u-67-7
sw2657A-ms98-a-0062,322.422250,322.702250,be,I,sv,u-67-7
sw2657A-ms98-a-0062,322.702250,322.875750,the,I,sv,u-67-7
sw2657A-ms98-a-0062,323.246250,323.713500,more,I,sv,u-67-7
sw2657A-ms98-a-0062,323.713500,324.033625,of,I,sv,u-67-7
sw2657A-ms98-a-0062,324.033625,324.215500,the,I,sv,u-67-7
sw2657A-ms98-a-0062,324.215500,324.602250,issue,I,sv,u-67-7
sw2657A-ms98-a-0062,324.602250,325.117750,versus,I,sv,u-67-7
sw2657A-ms98-a-0062,325.449250,325.974375,should,I,sv,u-67-7
sw2657A-ms98-a-0062,326.467750,326.792250,young,I,sv,u-67-7
sw2657A-ms98-a-0062,326.792250,327.376625,adults,I,sv,u-67-7
sw2657A-ms98-a-0063,328.153750,328.513750,can,B,qy,u-67-8
sw2657A-ms98-a-0063,328.513750,328.693750,they,I,qy,u-67-8
sw2657A-ms98-a-0063,328.693750,328.923750,go,I,qy,u-67-8
sw2657A-ms98-a-0063,328.923750,329.157250,in,I,qy,u-67-8
sw2657A-ms98-a-0063,329.157250,329.549000,there,I,qy,u-67-8
sw2657A-ms98-a-0063,329.549000,329.758750,and,I,qy,u-67-8
sw2657A-ms98-a-0063,329.758750,330.018625,can,I,qy,u-67-8
sw2657A-ms98-a-0063,330.018625,330.883750,anyone,I,qy,u-67-8
sw2657A-ms98-a-0064,331.733750,332.117500,go,I,qy,u-67-8
sw2657A-ms98-a-0064,332.117500,333.227750,into,I,qy,u-67-8
sw2657A-ms98-a-0065,334.556250,334.756250,well,I,qy,u-67-8
sw2657A-ms98-a-0065,334.756250,334.876250,out,I,qy,u-67-8
sw2657A-ms98-a-0065,334.876250,334.936250,of,I,qy,u-67-8
sw2657A-ms98-a-0065,334.936250,335.006250,the,B,sd,u-67-9
sw2657A-ms98-a-0065,335.006250,335.346250,Kurdish,I,sd,u-67-9
sw2657A-ms98-a-0065,335.346250,335.936250,community,I,sd,u-67-9
sw2657A-ms98-a-0065,335.936250,336.046250,is,I,sd,u-67-9
sw2657A-ms98-a-0065,336.046250,336.106250,a,I,sd,u-67-9
sw2657A-ms98-a-0065,336.106250,336.296250,little,I,sd,u-67-9
sw2657A-ms98-a-0065,336.296250,336.426250,bit,I,sd,u-67-9
sw2657A-ms98-a-0065,336.426250,336.506250,of,I,sd,u-67-9
sw2657A-ms98-a-0065,336.506250,337.236250,extreme,I,sd,u-67-9
sw2657A-ms98-a-0065,337.236250,337.316250,at,I,sd,u-67-9
sw2657A-ms98-a-0065,337.316250,337.496250,this,I,sd,u-67-9
sw2657A-ms98-a-0065,337.496250,337.826250,time,I,sd,u-67-9
sw2657A-ms98-a-0065,338.316250,338.506250,but,B,sv,u-67-10
sw2657A-ms98-a-0065,338.506250,339.272750,say,I,sv,u-67-10
sw2657A-ms98-a-0065,339.776500,339.886750,i,I,sv,u-67-10
sw2657A-ms98-a-0065,339.886750,340.065000,think,I,sv,u-67-10
sw2657A-ms98-a-0065,340.065000,340.876250,Bangladesh,I,sv,u-67-10
sw2657A-ms98-a-0065,340.876250,340.966250,would,I,sv,u-67-10
sw2657A-ms98-a-0065,340.966250,341.056250,have,I,sv,u-67-10
sw2657A-ms98-a-0065,341.056250,341.196250,been,I,sv,u-67-10
sw2657A-ms98-a-0065,341.196250,341.276250,a,I,sv,u-67-10
sw2657A-ms98-a-0065,341.276250,341.436250,good,I,sv,u-67-10
sw2657A-ms98-a-0065,341.436250,342.146250,example,I,sv,u-67-10
sw2657A-ms98-a-0066,343.036250,343.206250,or,I,sv,u-67-10
sw2657A-ms98-a-0066,343.206250,343.516500,some,I,sv,u-67-10
sw2657A-ms98-a-0066,343.625750,344.044000,some,I,sv,u-67-10
sw2657A-ms98-a-0066,344.145750,344.516250,really,I,sv,u-67-10
sw2657A-ms98-a-0066,344.516250,345.256250,desperate,I,sv,u-67-10
sw2657A-ms98-a-0066,345.256250,346.032750,situation,I,sv,u-67-10
sw2657A-ms98-a-0066,346.367500,346.516250,and,B,qy,u-67-11
sw2657A-ms98-a-0066,346.516250,346.806250,teach,I,qy,u-67-11
sw2657A-ms98-a-0066,346.806250,346.926250,them_1,I,qy,u-67-11
sw2657A-ms98-a-0066,346.926250,347.026250,to,I,qy,u-67-11
sw2657A-ms98-a-0066,347.026250,347.396250,farm,I,qy,u-67-11
sw2657A-ms98-a-0066,347.396250,347.546250,and,I,qy,u-67-11
sw2657A-ms98-a-0066,347.546250,347.806250,teach,I,qy,u-67-11
sw2657A-ms98-a-0066,347.806250,347.958000,them_1,O,,
sw2657A-ms98-a-0066,348.055875,348.246250,and,B,sv,u-67-12
sw2657A-ms98-a-0066,348.246250,348.506250,doesn't,I,sv,u-67-12
sw2657A-ms98-a-0066,348.506250,348.616250,do,I,sv,u-67-12
sw2657A-ms98-a-0066,348.616250,348.786250,any,I,sv,u-67-12
sw2657A-ms98-a-0066,348.786250,349.147375,good,I,sv,u-67-12
sw2657A-ms98-a-0067,350.399125,350.517375,i,B,sd,u-69-1
sw2657A-ms98-a-0067,350.517375,350.639125,don't,I,sd,u-69-1
sw2657A-ms98-a-0067,350.639125,350.769125,know,I,sd,u-69-1
sw2657A-ms98-a-0067,350.769125,350.919125,that,I,sd,u-69-1
sw2657A-ms98-a-0067,350.919125,351.049125,it,I,sd,u-69-1
sw2657A-ms98-a-0067,351.049125,351.548750,does,I,sd,u-69-1
sw2657A-ms98-a-0068,352.693250,352.850000,i-,O,,
sw2657A-ms98-a-0068,352.850000,353.083500,i,B,sd,u-69-2
sw2657A-ms98-a-0068,353.083500,353.286875,i,I,sd,u-69-2
sw2657A-ms98-a-0068,353.286875,353.509000,don't,B,+,u-71-1
sw2657A-ms98-a-0068,353.509000,353.855375,know,I,+,u-71-1
sw2657A-ms98-a-0068,353.855375,354.215375,that,I,+,u-71-1
sw2657A-ms98-a-0068,354.215375,354.595375,um,I,+,u-71-1
sw2657A-ms98-a-0069,355.641375,355.831375,if,I,+,u-71-1
sw2657A-ms98-a-0069,355.831375,355.911375,you,I,+,u-71-1
sw2657A-ms98-a-0069,355.911375,356.171375,step,I,+,u-71-1
sw2657A-ms98-a-0069,356.171375,356.431375,back,I,+,u-71-1
sw2657A-ms98-a-0069,356.431375,356.611375,from,I,+,u-71-1
sw2657A-ms98-a-0069,356.611375,356.681375,the,I,+,u-71-1
sw2657A-ms98-a-0069,356.681375,357.131375,current,I,+,u-71-1
sw2657A-ms98-a-0069,357.131375,357.733750,issue,I,+,u-71-1
sw2657A-ms98-a-0069,358.191375,358.481375,and,I,+,u-71-1
sw2657A-ms98-a-0069,358.481375,358.751375,look,I,+,u-71-1
sw2657A-ms98-a-0069,358.751375,358.931375,at,I,+,u-71-1
sw2657A-ms98-a-0069,358.931375,359.256375,it,I,+,u-71-1
sw2657A-ms98-a-0070,359.947250,360.177250,more,I,+,u-71-1
sw2657A-ms98-a-0070,360.177250,361.207250,intellectually,I,+,u-71-1
sw2657A-ms98-a-0071,362.060500,362.385500,there,I,+,u-71-1
sw2657A-ms98-a-0071,362.385500,362.568375,are,I,+,u-71-1
sw2657A-ms98-a-0071,362.756625,363.430500,forever,I,+,u-71-1
sw2657A-ms98-a-0071,363.430500,363.749375,over,I,+,u-71-1
sw2657A-ms98-a-0071,363.960250,364.160500,as,I,+,u-71-1
sw2657A-ms98-a-0071,364.160500,364.410500,long,I,+,u-71-1
sw2657A-ms98-a-0071,364.410500,364.550500,as,I,+,u-71-1
sw2657A-ms98-a-0071,364.550500,364.700500,we,I,+,u-71-1
sw2657A-ms98-a-0071,364.700500,364.930500,know,I,+,u-71-1
sw2657A-ms98-a-0071,364.930500,365.090500,there,I,+,u-71-1
sw2657A-ms98-a-0071,365.090500,365.420500,are,I,+,u-71-1
sw2657A-ms98-a-0071,365.420500,365.790500,races,I,+,u-71-1
sw2657A-ms98-a-0071,365.790500,365.890500,of,I,+,u-71-1
sw2657A-ms98-a-0071,365.890500,366.260500,people,I,+,u-71-1
sw2657A-ms98-a-0071,366.260500,366.400500,that,I,+,u-71-1
sw2657A-ms98-a-0071,366.400500,366.695000,are,I,+,u-71-1
sw2657A-ms98-a-0071,367.291500,367.719375,dropping,I,+,u-71-1
sw2657A-ms98-a-0071,367.719375,368.108000,out,I,+,u-71-1
sw2657A-ms98-a-0072,368.929000,369.052875,you,B,sv,u-71-2
sw2657A-ms98-a-0072,369.052875,369.177500,know,I,sv,u-71-2
sw2657A-ms98-a-0072,369.177500,369.299000,we're,I,sv,u-71-2
sw2657A-ms98-a-0072,369.299000,369.889000,losing,I,sv,u-71-2
sw2657A-ms98-a-0072,370.169375,370.806000,certain,I,sv,u-71-2
sw2657A-ms98-a-0072,370.806000,371.329000,races,B,+,u-73-1
sw2657A-ms98-a-0072,371.329000,371.469000,of,I,+,u-73-1
sw2657A-ms98-a-0072,371.469000,371.929000,people,I,+,u-73-1
sw2657A-ms98-a-0072,372.489000,372.639000,there,B,sv,u-73-2
sw2657A-ms98-a-0072,372.639000,372.819000,are,I,sv,u-73-2
sw2657A-ms98-a-0072,372.819000,373.229000,people,I,sv,u-73-2
sw2657A-ms98-a-0072,373.229000,373.739000,now,I,sv,u-73-2
sw2657A-ms98-a-0073,374.487500,374.727500,that,I,sv,u-73-2
sw2657A-ms98-a-0073,374.797500,375.117500,are,I,sv,u-73-2
sw2657A-ms98-a-0073,375.117500,375.870625,obsolete,I,sv,u-73-2
sw2657A-ms98-a-0073,375.983625,376.247500,point,I,sv,u-73-2
sw2657A-ms98-a-0073,376.247500,376.387500,and,I,sv,u-73-2
sw2657A-ms98-a-0073,376.387500,376.777500,fact,I,sv,u-73-2
sw2657A-ms98-a-0073,376.777500,377.097500,just,I,sv,u-73-2
sw2657A-ms98-a-0073,377.097500,377.317500,just,I,sv,u-73-2
sw2657A-ms98-a-0073,377.317500,377.527500,like,I,sv,u-73-2
sw2657A-ms98-a-0073,377.527500,378.007500,endangered,I,sv,u-73-2
sw2657A-ms98-a-0073,378.007500,378.477500,species,I,sv,u-73-2
sw2657A-ms98-a-0073,378.477500,378.577500,of,I,sv,u-73-2
sw2657A-ms98-a-0073,378.577500,379.079375,animals,I,sv,u-73-2
sw2657A-ms98-a-0073,379.380750,379.647500,so,I,sv,u-73-2
sw2657A-ms98-a-0073,379.647500,379.847500,there,I,sv,u-73-2
sw2657A-ms98-a-0073,379.847500,380.047500,are,I,sv,u-73-2
sw2657A-ms98-a-0073,380.047500,380.357500,quote,I,sv,u-73-2
sw2657A-ms98-a-0073,380.357500,380.857500,tribes,I,sv,u-73-2
sw2657A-ms98-a-0073,380.857500,380.957500,of,I,sv,u-73-2
sw2657A-ms98-a-0073,380.957500,381.357500,people,I,sv,u-73-2
sw2657A-ms98-a-0074,382.717500,382.897500,that,B,+,u-75-1
sw2657A-ms98-a-0074,382.897500,383.124125,are,I,+,u-75-1
sw2657A-ms98-a-0074,383.124125,383.867500,endangered,I,+,u-75-1
sw2657A-ms98-a-0074,383.867500,384.237500,or,I,+,u-75-1
sw2657A-ms98-a-0074,384.237500,384.992875,obsolete,I,+,u-75-1
sw2657A-ms98-a-0075,385.827625,386.067625,and,B,sv,u-75-2
sw2657A-ms98-a-0075,386.067625,386.507625,i'm,I,sv,u-75-2
sw2657A-ms98-a-0075,386.507625,386.877625,just,I,sv,u-75-2
sw2657A-ms98-a-0075,386.987625,387.427625,wondering,I,sv,u-75-2
sw2657A-ms98-a-0075,387.427625,387.567625,if,I,sv,u-75-2
sw2657A-ms98-a-0075,387.567625,387.707625,you're,I,sv,u-75-2
sw2657A-ms98-a-0075,387.707625,388.147625,fighting,I,sv,u-75-2
sw2657A-ms98-a-0075,388.147625,388.197625,a,I,sv,u-75-2
sw2657A-ms98-a-0075,388.197625,388.597625,natural,I,sv,u-75-2
sw2657A-ms98-a-0075,388.597625,389.187625,process,I,sv,u-75-2
sw2657A-ms98-a-0075,389.187625,389.460875,there,I,sv,u-75-2
sw2657A-ms98-a-0075,390.010750,390.217625,of,I,sv,u-75-2
sw2657A-ms98-a-0075,390.217625,390.557625,being,I,sv,u-75-2
sw2657A-ms98-a-0075,390.557625,390.887625,winnowed,I,sv,u-75-2
sw2657A-ms98-a-0075,390.887625,391.294125,out,I,sv,u-75-2
sw2657A-ms98-a-0075,391.872250,392.047625,there's,B,sd,u-75-3
sw2657A-ms98-a-0075,392.047625,392.137625,a,I,sd,u-75-3
sw2657A-ms98-a-0075,392.137625,392.577625,German,I,sd,u-75-3
sw2657A-ms98-a-0075,392.577625,392.817625,word,I,sd,u-75-3
sw2657A-ms98-a-0075,392.817625,393.077625,for,I,sd,u-75-3
sw2657A-ms98-a-0075,393.077625,393.177625,it,I,sd,u-75-3
sw2657A-ms98-a-0075,393.177625,393.367625,that's,I,sd,u-75-3
sw2657A-ms98-a-0075,393.367625,393.847625,elegant,I,sd,u-75-3
sw2657A-ms98-a-0075,393.847625,393.947625,but,B,sd,u-75-4
sw2657A-ms98-a-0075,393.947625,394.017625,i,I,sd,u-75-4
sw2657A-ms98-a-0075,394.017625,394.217625,never,I,sd,u-75-4
sw2657A-ms98-a-0075,394.217625,394.467625,can,I,sd,u-75-4
sw2657A-ms98-a-0075,394.467625,394.867625,remember,I,sd,u-75-4
sw2657A-ms98-a-0075,394.867625,395.057625,what,I,sd,u-75-4
sw2657A-ms98-a-0075,395.057625,395.167625,it,I,sd,u-75-4
sw2657A-ms98-a-0075,395.167625,395.617625,was,I,sd,u-75-4
sw2657A-ms98-a-0075,395.617625,395.834500,uh,B,sd,u-75-5
sw2657A-ms98-a-0076,396.889125,397.069125,but,I,sd,u-75-5
sw2657A-ms98-a-0076,397.069125,397.309125,but,I,sd,u-75-5
sw2657A-ms98-a-0076,397.309125,397.579125,they're,I,sd,u-75-5
sw2657A-ms98-a-0076,397.579125,397.799125,they're,I,sd,u-75-5
sw2657A-ms98-a-0076,397.799125,398.129125,being,I,sd,u-75-5
sw2657A-ms98-a-0076,398.129125,398.514250,winnowed,I,sd,u-75-5
sw2657A-ms98-a-0076,398.809125,399.550500,because,I,sd,u-75-5
sw2657A-ms98-a-0076,399.879125,400.232125,they're,I,sd,u-75-5
sw2657A-ms98-a-0076,400.296125,400.529125,where,I,sd,u-75-5
sw2657A-ms98-a-0076,400.529125,400.759125,they,I,sd,u-75-5
sw2657A-ms98-a-0076,400.759125,400.969125,are,I,sd,u-75-5
sw2657A-ms98-a-0076,400.969125,401.169125,they're,I,sd,u-75-5
sw2657A-ms98-a-0076,401.169125,401.369125,not,I,sd,u-75-5
sw2657A-ms98-a-0076,401.369125,401.939125,adapted,I,sd,u-75-5
sw2657A-ms98-a-0076,402.289125,402.449125,to,I,sd,u-75-5
sw2657A-ms98-a-0076,402.449125,402.619125,their,I,sd,u-75-5
sw2657A-ms98-a-0076,402.619125,403.189125,environment,I,sd,u-75-5
sw2657A-ms98-a-0077,403.945750,404.577750,essentially,I,sd,u-75-5
sw2657A-ms98-a-0078,406.109000,406.599000,um,B,sd,u-77-1
sw2657A-ms98-a-0078,406.709000,407.079000,and,I,sd,u-77-1
sw2657A-ms98-a-0079,407.767375,407.899500,uh,I,sd,u-77-1
sw2657A-ms98-a-0079,408.045875,408.307750,one,I,sd,u-77-1
sw2657A-ms98-a-0079,408.307750,408.387750,of,I,sd,u-77-1
sw2657A-ms98-a-0079,408.387750,408.490375,the,I,sd,u-77-1
sw2657A-ms98-a-0079,408.814250,409.004625,quick,I,sd,u-77-1
sw2657A-ms98-a-0079,409.004625,409.557750,examples,I,sd,u-77-1
sw2657A-ms98-a-0079,409.557750,409.747750,is,I,sd,u-77-1
sw2657A-ms98-a-0079,409.747750,409.877750,the,I,sd,u-77-1
sw2657A-ms98-a-0079,409.877750,410.779375,aborigines,I,sd,u-77-1
sw2657A-ms98-a-0081,412.445500,412.685500,uh,B,sd,u-79-1
sw2657A-ms98-a-0081,412.685500,412.895500,when,I,sd,u-79-1
sw2657A-ms98-a-0081,412.895500,413.065500,we,I,sd,u-79-1
sw2657A-ms98-a-0081,413.065500,413.305500,were,I,sd,u-79-1
sw2657A-ms98-a-0081,413.305500,413.729250,in,I,sd,u-79-1
sw2657A-ms98-a-0081,413.857375,414.602750,Australia,I,sd,u-79-1
sw2657A-ms98-a-0083,416.955000,417.414750,uh,I,sd,u-79-1
sw2657A-ms98-a-0083,417.825375,418.265000,sad,B,sd,u-79-2
sw2657A-ms98-a-0083,418.265000,418.505000,little,I,sd,u-79-2
sw2657A-ms98-a-0083,418.505000,419.075000,things,I,sd,u-79-2
